,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,SL_ba,SI_ba,CU_ba,FF_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
23,2023-05-27,718003,Lineout,field_out,True,667670,664285,Brent Rooker,Framber Valdez,0,0,0,eb94e888-0b70-4ee3-a03d-2c0a4d5e206a,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
24,2023-05-27,718003,Flyout,field_out,True,664913,664285,Seth Brown,Framber Valdez,0,0,0,eb6d88a8-f4d5-428f-b293-7538f6031037,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
25,2023-05-27,718003,Strikeout,strikeout,True,663656,663687,Kyle Tucker,Hogan Harris,0,0,0,0228138f-9323-4c97-810c-8a92d4b8fbac,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.35700000000000004,0.184,0.316,0.496,80.1,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,,,,,0.47,0.078,0.06,0.203,-0.58,,-2.5,-1.37,0.61,92.6,,77.4,74.9,0.278,,0.3,0.25,0.205,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,,,,,,,,
26,2023-05-27,718003,Strikeout,strikeout,True,547989,663687,José Abreu,Hogan Harris,0,0,0,a66ce1b6-ecd0-41b7-8e02-dc0514994b91,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.35700000000000004,0.184,0.316,0.496,80.1,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,,,,,0.47,0.078,0.06,0.203,-0.58,,-2.5,-1.37,0.61,92.6,,77.4,74.9,0.278,,0.3,0.25,0.205,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,,,,,,,,
27,2023-05-27,718003,Strikeout,strikeout,True,676801,663687,Chas McCormick,Hogan Harris,0,0,0,48ca821b-b1a5-445b-bd78-123cc635c882,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.35700000000000004,0.184,0.316,0.496,80.1,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,,,,,0.47,0.078,0.06,0.203,-0.58,,-2.5,-1.37,0.61,92.6,,77.4,74.9,0.278,,0.3,0.25,0.205,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,,,,,,,,
28,2023-05-27,718003,Groundout,field_out,True,657656,664285,Ramón Laureano,Framber Valdez,1,0,0,204169c7-c7b3-4730-8e24-9b3cfb5ea74b,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
29,2023-05-27,718003,Groundout,field_out,True,542583,664285,Jesús Aguilar,Framber Valdez,0,0,0,89a6abaf-430d-4f95-b6b0-91f1aec65772,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
30,2023-05-27,718003,Groundout,field_out,True,649557,664285,Aledmys Díaz,Framber Valdez,1,0,0,cc23257b-a439-405c-85e0-ed58a34fa025,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
31,2023-05-27,718003,Strikeout,strikeout,True,667452,663687,Corey Julks,Hogan Harris,0,0,0,d7b9c6ec-8e15-4154-ad56-b7bf204dd6ae,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.35700000000000004,0.184,0.316,0.496,80.1,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,,,,,0.47,0.078,0.06,0.203,-0.58,,-2.5,-1.37,0.61,92.6,,77.4,74.9,0.278,,0.3,0.25,0.205,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,,,,,,,,
32,2023-05-27,718003,Lineout,field_out,True,455117,663687,Martín Maldonado,Hogan Harris,1,0,0,6a59772b-4532-4443-8d6b-399e39f39a05,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.35700000000000004,0.184,0.316,0.496,80.1,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,,,,,0.47,0.078,0.06,0.203,-0.58,,-2.5,-1.37,0.61,92.6,,77.4,74.9,0.278,,0.3,0.25,0.205,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,,,,,,,,
