,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vSL,vKC,SL_ba,FF_ba,CU_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,wFC/C,wSI/C,wCU/C,vFC,vSI,vCU,SI_ba,ST_ba,FC_ba
10,2023-06-03,717915,Caught Stealing 2B,caught_stealing_2b,True,670097,656302,Zack Short,Dylan Cease,0,0,0,347e0da4-a8c1-4fee-899c-8b6debe242dd,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
11,2023-06-03,717915,Flyout,field_out,True,660162,547179,Yoán Moncada,Michael Lorenzen,0,0,0,df957ab0-4c1c-486f-ab3d-113f1072b9c0,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.24600000000000002,0.41700000000000004,0.09699999999999999,0.35200000000000004,0.447,84.5,95.0,101.0,102.0,98.0,100.0,97.0,116.0,102.0,106.0,,,,0.34700000000000003,0.297,,0.21600000000000003,1.17,0.34,,0.26,94.3,84.7,,0.242,0.211,0.667,0.186,103.0,112.0,110.0,82.0,108.0,100.0,89.0,75.0,71.0,0.12,0.009000000000000001,0.011000000000000001,-7.35,0.73,-4.26,90.8,93.7,82.3,0.333,0.293,0.6
12,2023-06-03,717915,Groundout,field_out,True,683734,547179,Andrew Vaughn,Michael Lorenzen,0,0,0,c4ecc5af-435f-44df-95e5-9f5baaf709e4,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.24600000000000002,0.41700000000000004,0.09699999999999999,0.35200000000000004,0.447,84.5,95.0,101.0,102.0,98.0,100.0,97.0,116.0,102.0,106.0,,,,0.34700000000000003,0.297,,0.21600000000000003,1.17,0.34,,0.26,94.3,84.7,,0.242,0.211,0.667,0.186,103.0,112.0,110.0,82.0,108.0,100.0,89.0,75.0,71.0,0.12,0.009000000000000001,0.011000000000000001,-7.35,0.73,-4.26,90.8,93.7,82.3,0.333,0.293,0.6
13,2023-06-03,717915,Groundout,field_out,True,518735,547179,Yasmani Grandal,Michael Lorenzen,1,0,0,b8afa7bf-0660-419f-ba07-a0b34e98ba70,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.24600000000000002,0.41700000000000004,0.09699999999999999,0.35200000000000004,0.447,84.5,95.0,101.0,102.0,98.0,100.0,97.0,116.0,102.0,106.0,,,,0.34700000000000003,0.297,,0.21600000000000003,1.17,0.34,,0.26,94.3,84.7,,0.242,0.211,0.667,0.186,103.0,112.0,110.0,82.0,108.0,100.0,89.0,75.0,71.0,0.12,0.009000000000000001,0.011000000000000001,-7.35,0.73,-4.26,90.8,93.7,82.3,0.333,0.293,0.6
14,2023-06-03,717915,Walk,walk,False,670097,656302,Zack Short,Dylan Cease,1,0,0,220e2686-f40c-412a-ae64-221325d0fbc0,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
15,2023-06-03,717915,Strikeout,strikeout,True,570731,656302,Jonathan Schoop,Dylan Cease,0,0,0,693a3077-a7e9-4d10-84d5-4742569d817d,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
16,2023-06-03,717915,Lineout,field_out,True,545350,656302,Jake Marisnick,Dylan Cease,1,1,0,18fc7c1f-2288-4b6b-a78f-88f73f471b40,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
17,2023-06-03,717915,Flyout,field_out,True,656716,656302,Zach McKinstry,Dylan Cease,1,0,0,de5bd280-b9f4-44b5-8a4a-804c89886b19,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
18,2023-06-03,717915,Pop Out,field_out,True,657757,547179,Gavin Sheets,Michael Lorenzen,0,0,0,7b94bfa2-048b-46df-93c5-908305af6c0c,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.24600000000000002,0.41700000000000004,0.09699999999999999,0.35200000000000004,0.447,84.5,95.0,101.0,102.0,98.0,100.0,97.0,116.0,102.0,106.0,,,,0.34700000000000003,0.297,,0.21600000000000003,1.17,0.34,,0.26,94.3,84.7,,0.242,0.211,0.667,0.186,103.0,112.0,110.0,82.0,108.0,100.0,89.0,75.0,71.0,0.12,0.009000000000000001,0.011000000000000001,-7.35,0.73,-4.26,90.8,93.7,82.3,0.333,0.293,0.6
19,2023-06-03,717915,Groundout,field_out,True,462101,547179,Elvis Andrus,Michael Lorenzen,1,0,0,a551ff9e-8d76-44e6-af7b-3ba30cc9b2ce,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.24600000000000002,0.41700000000000004,0.09699999999999999,0.35200000000000004,0.447,84.5,95.0,101.0,102.0,98.0,100.0,97.0,116.0,102.0,106.0,,,,0.34700000000000003,0.297,,0.21600000000000003,1.17,0.34,,0.26,94.3,84.7,,0.242,0.211,0.667,0.186,103.0,112.0,110.0,82.0,108.0,100.0,89.0,75.0,71.0,0.12,0.009000000000000001,0.011000000000000001,-7.35,0.73,-4.26,90.8,93.7,82.3,0.333,0.293,0.6
