,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FS%,wFS/C,vFS,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba
31,2023-06-20,717687,Single,single,False,670042,680694,Luke Raley,Kyle Bradish,0,0,0,1511ddda-72a0-403e-916a-2ebbe2c393c2,680694.0,kylebradish,Bradish,Right,Kyle Bradish,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.11599999999999999,0.26899999999999996,0.43200000000000005,90.8,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,171.0,105.0,116.0,0.207,0.22399999999999998,0.313,0.17300000000000001,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,95.0,88.1,84.8,0.366,0.168,0.142,88.0,104.0,98.0,0.23,0.259,,,,,,,,,,,,,,,,,,,,,
32,2023-06-20,717687,Strikeout,strikeout,True,668227,680694,Randy Arozarena,Kyle Bradish,0,0,0,8ee5f64c-f796-4a86-80cf-82a132c3c25e,680694.0,kylebradish,Bradish,Right,Kyle Bradish,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.11599999999999999,0.26899999999999996,0.43200000000000005,90.8,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,171.0,105.0,116.0,0.207,0.22399999999999998,0.313,0.17300000000000001,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,95.0,88.1,84.8,0.366,0.168,0.142,88.0,104.0,98.0,0.23,0.259,,,,,,,,,,,,,,,,,,,,,
33,2023-06-20,717687,Lineout,field_out,True,623912,680694,Harold Ramírez,Kyle Bradish,0,0,0,ce128f80-6975-4274-86cd-31cf58296df7,680694.0,kylebradish,Bradish,Right,Kyle Bradish,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.11599999999999999,0.26899999999999996,0.43200000000000005,90.8,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,171.0,105.0,116.0,0.207,0.22399999999999998,0.313,0.17300000000000001,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,95.0,88.1,84.8,0.366,0.168,0.142,88.0,104.0,98.0,0.23,0.259,,,,,,,,,,,,,,,,,,,,,
34,2023-06-20,717687,Groundout,field_out,True,666139,680694,Josh Lowe,Kyle Bradish,0,0,0,ca37b185-5862-44de-9c60-ab179578aa24,680694.0,kylebradish,Bradish,Right,Kyle Bradish,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.11599999999999999,0.26899999999999996,0.43200000000000005,90.8,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,171.0,105.0,116.0,0.207,0.22399999999999998,0.313,0.17300000000000001,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,95.0,88.1,84.8,0.366,0.168,0.142,88.0,104.0,98.0,0.23,0.259,,,,,,,,,,,,,,,,,,,,,
35,2023-06-20,717687,Strikeout,strikeout,True,623993,607192,Anthony Santander,Tyler Glasnow,0,0,0,819c90c9-9c12-4b00-ac3d-bdc4a8347cec,607192.0,tylerglasnow,Glasnow,Right,Tyler Glasnow,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.24600000000000002,0.37200000000000005,0.161,0.386,0.45399999999999996,92.3,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,94.0,97.0,104.0,0.004,0.43200000000000005,0.348,0.213,0.003,0.54,-7.7,1.25,1.81,2.91,96.4,96.4,90.1,83.9,0.236,0.254,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2023-06-20,717687,Home Run,home_run,False,656811,542888,Ryan O'Hearn,Shawn Armstrong,0,0,0,85d174da-3a41-46d0-b43b-e9a85fdce3b7,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,1.38,2.65,52.0,108.0,105.0,108.0,0.7659999999999999,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.43700000000000006,,,,,,,,107.0,122.0,119.0,109.0,123.0,132.0,0.341,0.20800000000000002,0.07400000000000001,,,2.69,2.2,-2.41,,,94.5,94.7,85.2,,0.089,0.353,,107.0,103.0,102.0,0.213,,101.0,103.0,103.0,0.376,2.25,91.4,0.191,,,,,,,,,,,,,,
37,2023-06-20,717687,Double,double,False,669720,542888,Austin Hays,Shawn Armstrong,0,0,0,e3701f38-fb1d-4307-b826-ab0b50b94db0,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,1.38,2.65,52.0,108.0,105.0,108.0,0.7659999999999999,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.43700000000000006,,,,,,,,107.0,122.0,119.0,109.0,123.0,132.0,0.341,0.20800000000000002,0.07400000000000001,,,2.69,2.2,-2.41,,,94.5,94.7,85.2,,0.089,0.353,,107.0,103.0,102.0,0.213,,101.0,103.0,103.0,0.376,2.25,91.4,0.191,,,,,,,,,,,,,,
38,2023-06-20,717687,Flyout,field_out,True,543305,542888,Aaron Hicks,Shawn Armstrong,1,0,1,9d24fd9b-aad2-4414-9634-77dc164f50c2,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,1.38,2.65,52.0,108.0,105.0,108.0,0.7659999999999999,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.43700000000000006,,,,,,,,107.0,122.0,119.0,109.0,123.0,132.0,0.341,0.20800000000000002,0.07400000000000001,,,2.69,2.2,-2.41,,,94.5,94.7,85.2,,0.089,0.353,,107.0,103.0,102.0,0.213,,101.0,103.0,103.0,0.376,2.25,91.4,0.191,,,,,,,,,,,,,,
39,2023-06-20,717687,Strikeout,strikeout,True,624428,542888,Adam Frazier,Shawn Armstrong,0,0,0,588b05da-6810-427b-b582-193bac09d85a,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,1.38,2.65,52.0,108.0,105.0,108.0,0.7659999999999999,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.43700000000000006,,,,,,,,107.0,122.0,119.0,109.0,123.0,132.0,0.341,0.20800000000000002,0.07400000000000001,,,2.69,2.2,-2.41,,,94.5,94.7,85.2,,0.089,0.353,,107.0,103.0,102.0,0.213,,101.0,103.0,103.0,0.376,2.25,91.4,0.191,,,,,,,,,,,,,,
40,2023-06-20,717687,Hit By Pitch,hit_by_pitch,False,670623,680694,Isaac Paredes,Kyle Bradish,1,1,0,e5e0783f-9618-4043-8801-bc2f88abb200,680694.0,kylebradish,Bradish,Right,Kyle Bradish,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.11599999999999999,0.26899999999999996,0.43200000000000005,90.8,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,171.0,105.0,116.0,0.207,0.22399999999999998,0.313,0.17300000000000001,0.083,-1.0,1.53,1.77,3.99,-0.36,94.5,95.0,88.1,84.8,0.366,0.168,0.142,88.0,104.0,98.0,0.23,0.259,,,,,,,,,,,,,,,,,,,,,
