,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vFS,vSI,vSL,vCU,vKC,FF_ba,SI_ba,ST_ba,SL_ba,CU_ba,FS_ba,FC_ba,CH_ba
10,2023-08-14,716996,Strikeout,strikeout,True,592518,680570,Manny Machado,Grayson Rodriguez,0,0,0,54148910-45aa-4148-a6e8-6349ed0eb696,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
11,2023-08-14,716996,Single,single,False,593428,680570,Xander Bogaerts,Grayson Rodriguez,1,1,1,6050b847-f4b0-4cee-a18a-b7a0cb06f312,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
12,2023-08-14,716996,Groundout,field_out,True,630105,680570,Jake Cronenworth,Grayson Rodriguez,0,0,1,c4d31013-5468-4b2a-8165-42fa36ee60ee,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
13,2023-08-14,716996,Pop Out,field_out,True,669134,680570,Luis Campusano,Grayson Rodriguez,1,0,0,43fb60d2-ecb9-4159-b7af-46cfb5d74d66,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
14,2023-08-14,716996,Groundout,field_out,True,543305,506433,Aaron Hicks,Yu Darvish,1,0,0,8f79f04c-e0c5-4fb4-b1b4-37bc36d26c0f,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
15,2023-08-14,716996,Pop Out,field_out,True,676059,506433,Jordan Westburg,Yu Darvish,0,0,0,440320e9-9333-4a9e-8935-e4e7fe76bd28,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
16,2023-08-14,716996,Groundout,field_out,True,668939,506433,Adley Rutschman,Yu Darvish,1,0,0,34657964-6d55-4181-bdba-e331a5d3bb4b,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
17,2023-08-14,716996,Flyout,field_out,True,643265,680570,Garrett Cooper,Grayson Rodriguez,1,0,0,7c9fbeb1-0f4f-4bcc-acc2-0ce2342abf93,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
18,2023-08-14,716996,Groundout,field_out,True,663757,680570,Trent Grisham,Grayson Rodriguez,0,0,0,740afdf6-e5fd-4252-a6ea-bb12499b3225,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
19,2023-08-14,716996,Pop Out,field_out,True,673490,680570,Ha-Seong Kim,Grayson Rodriguez,1,1,0,4ee5dc11-1015-4695-a548-6718021d0c15,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
