,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,SI_ba,ST_ba,CH_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
0,2023-05-29,717969,Flyout,field_out,True,650402,682243,Gleyber Torres,Bryce Miller,1,0,0,b58c939a-0820-460c-8b9a-205f94bf7628,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,4.32,4.86,131.1,104.0,117.0,109.0,0.7829999999999999,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.35600000000000004,0.46399999999999997,85.0,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,0.076,0.585,0.27399999999999997,0.009000000000000001,0.055999999999999994,0.3,1.22,0.14,-8.41,0.66,95.1,95.1,85.0,78.2,0.256,0.202,0.26,0.3,0.167,0.667,,,,,,,
1,2023-05-29,717969,Pop Out,field_out,True,592450,682243,Aaron Judge,Bryce Miller,0,0,0,584ffa49-7750-4e3e-a6ef-2f73e8ec9f33,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,4.32,4.86,131.1,104.0,117.0,109.0,0.7829999999999999,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.35600000000000004,0.46399999999999997,85.0,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,0.076,0.585,0.27399999999999997,0.009000000000000001,0.055999999999999994,0.3,1.22,0.14,-8.41,0.66,95.1,95.1,85.0,78.2,0.256,0.202,0.26,0.3,0.167,0.667,,,,,,,
2,2023-05-29,717969,Double,double,False,641432,682243,Willie Calhoun,Bryce Miller,0,0,0,efc78152-8c84-4468-8812-e02f582361f4,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,4.32,4.86,131.1,104.0,117.0,109.0,0.7829999999999999,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.35600000000000004,0.46399999999999997,85.0,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,0.076,0.585,0.27399999999999997,0.009000000000000001,0.055999999999999994,0.3,1.22,0.14,-8.41,0.66,95.1,95.1,85.0,78.2,0.256,0.202,0.26,0.3,0.167,0.667,,,,,,,
3,2023-05-29,717969,Flyout,field_out,True,518934,682243,DJ LeMahieu,Bryce Miller,0,0,0,15ffedbe-e330-4d74-b07c-af28245a49a2,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,4.32,4.86,131.1,104.0,117.0,109.0,0.7829999999999999,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.35600000000000004,0.46399999999999997,85.0,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,0.076,0.585,0.27399999999999997,0.009000000000000001,0.055999999999999994,0.3,1.22,0.14,-8.41,0.66,95.1,95.1,85.0,78.2,0.256,0.202,0.26,0.3,0.167,0.667,,,,,,,
4,2023-05-29,717969,Pop Out,field_out,True,641487,593334,J.P. Crawford,Domingo Germán,0,0,0,c00acbb8-8462-453c-8163-152c3d5b23ba,593334.0,domingogerman,Germán,Right,Domingo Germán,4.56,4.3,108.2,100.0,92.0,98.0,0.7070000000000001,9.44,2.82,6.87,1.66,0.97,0.159,0.486,0.166,0.32799999999999996,0.41600000000000004,85.8,96.0,98.0,95.0,94.0,102.0,104.0,89.0,100.0,97.0,82.0,95.0,87.0,,,,0.105,0.27699999999999997,,0.409,0.209,-1.75,0.95,,1.5,1.01,92.3,92.4,,82.9,0.321,,0.15,,0.2,0.174,,,,,,,
5,2023-05-29,717969,Groundout,field_out,True,664034,593334,Ty France,Domingo Germán,1,0,0,b595df11-b34c-4701-80d5-ad54336e9506,593334.0,domingogerman,Germán,Right,Domingo Germán,4.56,4.3,108.2,100.0,92.0,98.0,0.7070000000000001,9.44,2.82,6.87,1.66,0.97,0.159,0.486,0.166,0.32799999999999996,0.41600000000000004,85.8,96.0,98.0,95.0,94.0,102.0,104.0,89.0,100.0,97.0,82.0,95.0,87.0,,,,0.105,0.27699999999999997,,0.409,0.209,-1.75,0.95,,1.5,1.01,92.3,92.4,,82.9,0.321,,0.15,,0.2,0.174,,,,,,,
6,2023-05-29,717969,Pop Out,field_out,True,677594,593334,Julio Rodríguez,Domingo Germán,0,0,0,030248bf-0663-4779-82fb-779adf87b2a8,593334.0,domingogerman,Germán,Right,Domingo Germán,4.56,4.3,108.2,100.0,92.0,98.0,0.7070000000000001,9.44,2.82,6.87,1.66,0.97,0.159,0.486,0.166,0.32799999999999996,0.41600000000000004,85.8,96.0,98.0,95.0,94.0,102.0,104.0,89.0,100.0,97.0,82.0,95.0,87.0,,,,0.105,0.27699999999999997,,0.409,0.209,-1.75,0.95,,1.5,1.01,92.3,92.4,,82.9,0.321,,0.15,,0.2,0.174,,,,,,,
7,2023-05-29,717969,Single,single,False,664056,682243,Harrison Bader,Bryce Miller,1,0,0,3a91ce0e-b8c4-40fe-b9f0-24c0e83a95e3,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,4.32,4.86,131.1,104.0,117.0,109.0,0.7829999999999999,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.35600000000000004,0.46399999999999997,85.0,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,0.076,0.585,0.27399999999999997,0.009000000000000001,0.055999999999999994,0.3,1.22,0.14,-8.41,0.66,95.1,95.1,85.0,78.2,0.256,0.202,0.26,0.3,0.167,0.667,,,,,,,
8,2023-05-29,717969,Double,double,False,641343,682243,Jake Bauers,Bryce Miller,0,0,1,223625b6-5f75-43e7-9c7a-54d485347929,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,4.32,4.86,131.1,104.0,117.0,109.0,0.7829999999999999,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.35600000000000004,0.46399999999999997,85.0,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,0.076,0.585,0.27399999999999997,0.009000000000000001,0.055999999999999994,0.3,1.22,0.14,-8.41,0.66,95.1,95.1,85.0,78.2,0.256,0.202,0.26,0.3,0.167,0.667,,,,,,,
9,2023-05-29,717969,Strikeout,strikeout,True,643396,682243,Isiah Kiner-Falefa,Bryce Miller,0,0,0,4cfc790a-3b7b-490d-a8bd-ec1214da9e37,682243.0,brycemiller,"Miller, B",Right,Bryce Miller,4.32,4.86,131.1,104.0,117.0,109.0,0.7829999999999999,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.35600000000000004,0.46399999999999997,85.0,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,0.076,0.585,0.27399999999999997,0.009000000000000001,0.055999999999999994,0.3,1.22,0.14,-8.41,0.66,95.1,95.1,85.0,78.2,0.256,0.202,0.26,0.3,0.167,0.667,,,,,,,
