,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SV_ba,ST_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
37,2023-07-26,717248,Field Error,field_error,False,607043,607074,Brandon Nimmo,Carlos Rodón,1,1,0,ccf49457-a2de-48d8-88c7-f640ac91a18f,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
38,2023-07-26,717248,Single,single,False,668901,607074,Mark Vientos,Carlos Rodón,0,0,1,444b424a-4764-4b8f-a908-f94f96fd142f,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
39,2023-07-26,717248,Lineout,field_out,True,596019,607074,Francisco Lindor,Carlos Rodón,0,0,0,de0eb819-a93d-4314-a692-e88c236c9640,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
40,2023-07-26,717248,Strikeout,strikeout,True,624413,607074,Pete Alonso,Carlos Rodón,0,0,0,2e14750c-a657-485a-86ed-c5259973ab43,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
41,2023-07-26,717248,Flyout,field_out,True,650402,500779,Gleyber Torres,Jose Quintana,0,0,0,f4f55fa7-bd33-409b-a7a9-65861870a3da,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
42,2023-07-26,717248,Groundout,field_out,True,519317,500779,Giancarlo Stanton,Jose Quintana,0,0,0,ccd7b4ea-8e18-455d-9f9b-e28a3220eb27,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
43,2023-07-26,717248,Flyout,field_out,True,519203,500779,Anthony Rizzo,Jose Quintana,0,0,0,1a8e8c47-9d58-48d0-9073-1695457e97a0,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
44,2023-07-26,717248,Flyout,field_out,True,502054,607074,Tommy Pham,Carlos Rodón,0,0,0,d54e6494-c95a-4862-88b0-c2455583ca7c,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
45,2023-07-26,717248,Lineout,field_out,True,643446,607074,Jeff McNeil,Carlos Rodón,0,0,0,e429a4bf-1b1d-408c-96e2-95a57e4f1904,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
46,2023-07-26,717248,Single,single,False,592192,607074,Mark Canha,Carlos Rodón,0,0,0,9b35a736-9a75-4dcb-b3d7-91ccbdcd14e0,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
