,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,FF_ba,CH_ba,ST_ba,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,vSC (sc),SC%,wSC/C,SC_ba
11,2023-06-15,717750,Flyout,field_out,True,593428,671106,Xander Bogaerts,Logan Allen,1,0,0,09e6d792-6040-459a-9f8e-978d5cf4e26a,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,,79.3,0.257,0.191,0.263,,110.0,97.0,98.0,0.08900000000000001,-2.1,86.3,0.462,0.3,,,,,,,,,,,,,,,,,,,,,
12,2023-06-15,717750,Strikeout,strikeout,True,673490,671106,Ha-Seong Kim,Logan Allen,0,0,0,a13f135d-3a99-4442-a3eb-722dfaa6a1a2,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,,79.3,0.257,0.191,0.263,,110.0,97.0,98.0,0.08900000000000001,-2.1,86.3,0.462,0.3,,,,,,,,,,,,,,,,,,,,,
13,2023-06-15,717750,Groundout,field_out,True,443558,671106,Nelson Cruz,Logan Allen,0,0,0,51f72d5e-40cd-4271-bf1f-ab17be9e087d,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,,79.3,0.257,0.191,0.263,,110.0,97.0,98.0,0.08900000000000001,-2.1,86.3,0.462,0.3,,,,,,,,,,,,,,,,,,,,,
14,2023-06-15,717750,Single,single,False,664702,677960,Myles Straw,Ryan Weathers,1,1,0,aded0e42-2df2-4925-a239-60f51c8dce0b,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,6.55,4.7,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,86.8,67.0,97.0,88.0,91.0,99.0,93.0,105.0,99.0,100.0,0.01,0.551,0.203,0.23600000000000002,-1.58,9.15,-1.09,-1.24,95.1,94.9,80.8,0.35,0.304,0.229,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2023-06-15,717750,Groundout,field_out,True,665926,677960,Andrés Giménez,Ryan Weathers,1,0,1,cd2a9bc3-346e-4c8c-9484-5982edc0f28a,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,6.55,4.7,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,86.8,67.0,97.0,88.0,91.0,99.0,93.0,105.0,99.0,100.0,0.01,0.551,0.203,0.23600000000000002,-1.58,9.15,-1.09,-1.24,95.1,94.9,80.8,0.35,0.304,0.229,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2023-06-15,717750,Lineout,field_out,True,642708,677960,Amed Rosario,Ryan Weathers,1,0,0,2cee27eb-c2ad-48d8-84d6-61d546fc8a4d,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,6.55,4.7,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,86.8,67.0,97.0,88.0,91.0,99.0,93.0,105.0,99.0,100.0,0.01,0.551,0.203,0.23600000000000002,-1.58,9.15,-1.09,-1.24,95.1,94.9,80.8,0.35,0.304,0.229,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2023-06-15,717750,Double,double,False,608070,677960,José Ramírez,Ryan Weathers,0,0,1,f1fd7287-c623-47a5-ad56-e9041746b041,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,6.55,4.7,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,86.8,67.0,97.0,88.0,91.0,99.0,93.0,105.0,99.0,100.0,0.01,0.551,0.203,0.23600000000000002,-1.58,9.15,-1.09,-1.24,95.1,94.9,80.8,0.35,0.304,0.229,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2023-06-15,717750,Strikeout,strikeout,True,605137,656290,Josh Bell,Drew Carlton,0,0,0,83e748dd-d7f9-4b65-aebd-061683fc74e7,656290.0,drewcarlton,Carlton,Right,Drew Carlton,4.35,4.33,20.2,105.0,86.0,96.0,0.818,7.84,2.61,7.84,0.87,1.25,0.237,0.40700000000000003,0.085,0.254,0.455,84.9,71.0,90.0,76.0,78.0,113.0,101.0,109.0,91.0,91.0,0.221,0.485,0.188,0.106,3.05,-1.47,-2.06,-1.29,92.2,91.2,82.6,0.133,0.25,,0.381,,,,,,,,0.267,89.0,106.0,98.0,,,,,,,,,,,,,,,,,,
19,2023-06-15,717750,Groundout,field_out,True,641525,671106,Brandon Dixon,Logan Allen,1,0,0,a30384e2-8127-4534-9807-f364f52d6eae,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,,79.3,0.257,0.191,0.263,,110.0,97.0,98.0,0.08900000000000001,-2.1,86.3,0.462,0.3,,,,,,,,,,,,,,,,,,,,,
20,2023-06-15,717750,Flyout,field_out,True,663757,671106,Trent Grisham,Logan Allen,1,1,0,4827a5ec-5e49-467d-9786-4334f0ef079c,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,,79.3,0.257,0.191,0.263,,110.0,97.0,98.0,0.08900000000000001,-2.1,86.3,0.462,0.3,,,,,,,,,,,,,,,,,,,,,
21,2023-06-15,717750,Double,double,False,543592,671106,Austin Nola,Logan Allen,1,0,0,af564b83-a0b2-4bbc-a495-ab376c473515,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,,79.3,0.257,0.191,0.263,,110.0,97.0,98.0,0.08900000000000001,-2.1,86.3,0.462,0.3,,,,,,,,,,,,,,,,,,,,,
22,2023-06-15,717750,Walk,walk,False,665487,671106,Fernando Tatis Jr.,Logan Allen,1,0,1,29f141c1-65a5-44a3-a00f-3c8dd48c2297,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,,79.3,0.257,0.191,0.263,,110.0,97.0,98.0,0.08900000000000001,-2.1,86.3,0.462,0.3,,,,,,,,,,,,,,,,,,,,,
23,2023-06-15,717750,Walk,walk,False,665742,671106,Juan Soto,Logan Allen,1,0,1,a20631b9-25a8-4219-a9db-8004dc29e9f7,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,,79.3,0.257,0.191,0.263,,110.0,97.0,98.0,0.08900000000000001,-2.1,86.3,0.462,0.3,,,,,,,,,,,,,,,,,,,,,
24,2023-06-15,717750,Strikeout,strikeout,True,592518,671106,Manny Machado,Logan Allen,0,0,0,34085aed-78ca-4cca-8c5f-26d99a9c52db,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,,79.3,0.257,0.191,0.263,,110.0,97.0,98.0,0.08900000000000001,-2.1,86.3,0.462,0.3,,,,,,,,,,,,,,,,,,,,,
25,2023-06-15,717750,Groundout,field_out,True,647304,656290,Josh Naylor,Drew Carlton,1,0,0,67c36986-a13a-4c54-a078-f75c19974409,656290.0,drewcarlton,Carlton,Right,Drew Carlton,4.35,4.33,20.2,105.0,86.0,96.0,0.818,7.84,2.61,7.84,0.87,1.25,0.237,0.40700000000000003,0.085,0.254,0.455,84.9,71.0,90.0,76.0,78.0,113.0,101.0,109.0,91.0,91.0,0.221,0.485,0.188,0.106,3.05,-1.47,-2.06,-1.29,92.2,91.2,82.6,0.133,0.25,,0.381,,,,,,,,0.267,89.0,106.0,98.0,,,,,,,,,,,,,,,,,,
26,2023-06-15,717750,Lineout,field_out,True,672356,656290,Gabriel Arias,Drew Carlton,1,0,0,cc91ea4e-eb3d-4415-ae62-13262329b332,656290.0,drewcarlton,Carlton,Right,Drew Carlton,4.35,4.33,20.2,105.0,86.0,96.0,0.818,7.84,2.61,7.84,0.87,1.25,0.237,0.40700000000000003,0.085,0.254,0.455,84.9,71.0,90.0,76.0,78.0,113.0,101.0,109.0,91.0,91.0,0.221,0.485,0.188,0.106,3.05,-1.47,-2.06,-1.29,92.2,91.2,82.6,0.133,0.25,,0.381,,,,,,,,0.267,89.0,106.0,98.0,,,,,,,,,,,,,,,,,,
27,2023-06-15,717750,Groundout,field_out,True,681807,656290,David Fry,Drew Carlton,1,0,0,7e8c983c-2efb-48fe-89d4-05f21e8fb7c6,656290.0,drewcarlton,Carlton,Right,Drew Carlton,4.35,4.33,20.2,105.0,86.0,96.0,0.818,7.84,2.61,7.84,0.87,1.25,0.237,0.40700000000000003,0.085,0.254,0.455,84.9,71.0,90.0,76.0,78.0,113.0,101.0,109.0,91.0,91.0,0.221,0.485,0.188,0.106,3.05,-1.47,-2.06,-1.29,92.2,91.2,82.6,0.133,0.25,,0.381,,,,,,,,0.267,89.0,106.0,98.0,,,,,,,,,,,,,,,,,,
