,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FS_ba,SI_ba,FF_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCU,CH_ba,SL_ba,ST_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
23,2023-09-10,716634,Home Run,home_run,False,642731,663567,Thairo Estrada,Peter Lambert,0,0,0,761ae23d-2ec0-4e84-8398-b7d0e90d1ff0,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
24,2023-09-10,716634,Flyout,field_out,True,527038,663567,Wilmer Flores,Peter Lambert,0,0,0,13ac8afe-cb57-4951-8c39-793526e9028f,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
25,2023-09-10,716634,Groundout,field_out,True,592626,663567,Joc Pederson,Peter Lambert,0,0,0,04dd70ea-4f9c-4563-8101-32b2b0770c69,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
26,2023-09-10,716634,Single,single,False,664774,663567,LaMonte Wade Jr.,Peter Lambert,0,0,0,47b8235e-4486-4d55-a40a-a9a5c44dee84,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
27,2023-09-10,716634,Home Run,home_run,False,571745,663567,Mitch Haniger,Peter Lambert,0,0,1,8c9874f3-e6cd-48f9-88aa-a1f311f2cba2,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
28,2023-09-10,716634,Walk,walk,False,666165,663567,Blake Sabol,Peter Lambert,0,0,0,1f9b5b85-3242-4b65-b5bf-b9297291839f,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
29,2023-09-10,716634,Flyout,field_out,True,543063,663567,Brandon Crawford,Peter Lambert,1,0,0,89cbc15d-e57a-44b3-b82b-d92a770e9bfd,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,5.36,5.44,87.1,99.0,90.0,95.0,0.7959999999999999,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,82.0,97.0,89.0,,,,109.0,104.0,109.0,,,,,0.446,,0.32299999999999995,-0.78,,,-1.15,93.2,,,86.2,,,0.271,86.2,86.0,98.0,92.0,74.0,108.0,101.0,0.032,0.2,1.04,-1.74,78.0,0.235,0.304,0.308,0.267,,,,,,,
30,2023-09-10,716634,Strikeout,strikeout,True,666134,676775,Nolan Jones,Keaton Winn,0,0,0,91adc093-446e-409b-a20f-65c372dc66f4,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
31,2023-09-10,716634,Flyout,field_out,True,696100,676775,Hunter Goodman,Keaton Winn,1,0,0,c5498092-060f-4cee-8061-7ccaa3c087a0,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
32,2023-09-10,716634,Strikeout,strikeout,True,656248,676775,Sean Bouchard,Keaton Winn,0,0,0,9cc5ce41-d2d1-470b-ab81-704a2a6b9680,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,91.0,105.0,98.0,85.0,92.0,90.0,119.0,107.0,104.0,143.0,99.0,110.0,0.153,0.258,0.5539999999999999,0.035,-1.55,1.11,-0.06,2.19,95.9,88.7,95.5,85.9,0.221,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,
