,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,ST_ba
52,2023-05-30,717965,Strikeout,strikeout,True,642133,663878,Rowdy Tellez,Nate Pearson,0,0,0,f1706e41-189d-4371-9768-9f0ac8a2c90f,663878.0,natepearson,Pearson,Right,Nate Pearson,4.85,3.9,42.2,93.0,127.0,102.0,0.758,9.07,3.8,7.59,1.48,0.6,0.22899999999999998,0.43200000000000005,0.195,0.35600000000000004,0.43799999999999994,,,,,140.0,89.0,103.0,118.0,93.0,100.0,140.0,93.0,104.0,0.619,0.239,0.142,,1.0,-1.33,-1.42,,97.9,87.4,80.4,0.229,0.237,0.188,,,,,,,,,,,,,,,,,,,,,,
53,2023-05-30,717965,Groundout,field_out,True,686894,663878,Joey Wiemer,Nate Pearson,0,0,0,73c30d29-c486-4fa1-9ebc-94c5fbedae48,663878.0,natepearson,Pearson,Right,Nate Pearson,4.85,3.9,42.2,93.0,127.0,102.0,0.758,9.07,3.8,7.59,1.48,0.6,0.22899999999999998,0.43200000000000005,0.195,0.35600000000000004,0.43799999999999994,,,,,140.0,89.0,103.0,118.0,93.0,100.0,140.0,93.0,104.0,0.619,0.239,0.142,,1.0,-1.33,-1.42,,97.9,87.4,80.4,0.229,0.237,0.188,,,,,,,,,,,,,,,,,,,,,,
54,2023-05-30,717965,Single,single,False,665489,669060,Vladimir Guerrero Jr.,Bryse Wilson,0,0,0,97dad019-1fad-4eae-be32-e84ce7514355,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,2.58,3.98,76.2,100.0,102.0,96.0,0.8270000000000001,7.16,2.58,7.04,1.06,0.87,0.266,0.349,0.135,0.345,0.43799999999999994,87.5,88.0,74.0,59.0,95.0,109.0,110.0,98.0,105.0,101.0,,,,0.163,,0.134,0.006999999999999999,2.58,,-0.93,-4.49,93.6,,79.6,0.106,,0.205,,99.0,99.0,94.0,0.349,-0.84,93.1,0.31,108.0,97.0,92.0,153.0,-7.0,-5.0,0.34700000000000003,0.001,2.34,-3.87,89.2,86.3,0.165,
55,2023-05-30,717965,Flyout,field_out,True,474832,669060,Brandon Belt,Bryse Wilson,0,0,0,dc55b4ad-0bac-4e64-9cb0-e02d9ecf5ef1,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,2.58,3.98,76.2,100.0,102.0,96.0,0.8270000000000001,7.16,2.58,7.04,1.06,0.87,0.266,0.349,0.135,0.345,0.43799999999999994,87.5,88.0,74.0,59.0,95.0,109.0,110.0,98.0,105.0,101.0,,,,0.163,,0.134,0.006999999999999999,2.58,,-0.93,-4.49,93.6,,79.6,0.106,,0.205,,99.0,99.0,94.0,0.349,-0.84,93.1,0.31,108.0,97.0,92.0,153.0,-7.0,-5.0,0.34700000000000003,0.001,2.34,-3.87,89.2,86.3,0.165,
56,2023-05-30,717965,Flyout,field_out,True,656305,669060,Matt Chapman,Bryse Wilson,1,0,0,43632d9e-1e51-46ff-a60a-648242455960,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,2.58,3.98,76.2,100.0,102.0,96.0,0.8270000000000001,7.16,2.58,7.04,1.06,0.87,0.266,0.349,0.135,0.345,0.43799999999999994,87.5,88.0,74.0,59.0,95.0,109.0,110.0,98.0,105.0,101.0,,,,0.163,,0.134,0.006999999999999999,2.58,,-0.93,-4.49,93.6,,79.6,0.106,,0.205,,99.0,99.0,94.0,0.349,-0.84,93.1,0.31,108.0,97.0,92.0,153.0,-7.0,-5.0,0.34700000000000003,0.001,2.34,-3.87,89.2,86.3,0.165,
57,2023-05-30,717965,Pop Out,field_out,True,593160,669060,Whit Merrifield,Bryse Wilson,0,0,0,2f09802d-4669-44ce-9f05-02780047ec40,669060.0,brysewilson,"Wilson, B",Right,Bryse Wilson,2.58,3.98,76.2,100.0,102.0,96.0,0.8270000000000001,7.16,2.58,7.04,1.06,0.87,0.266,0.349,0.135,0.345,0.43799999999999994,87.5,88.0,74.0,59.0,95.0,109.0,110.0,98.0,105.0,101.0,,,,0.163,,0.134,0.006999999999999999,2.58,,-0.93,-4.49,93.6,,79.6,0.106,,0.205,,99.0,99.0,94.0,0.349,-0.84,93.1,0.31,108.0,97.0,92.0,153.0,-7.0,-5.0,0.34700000000000003,0.001,2.34,-3.87,89.2,86.3,0.165,
58,2023-05-30,717965,Strikeout,strikeout,True,668930,663878,Brice Turang,Nate Pearson,0,0,0,baa5547f-b96d-4b10-a6f9-107122686d3f,663878.0,natepearson,Pearson,Right,Nate Pearson,4.85,3.9,42.2,93.0,127.0,102.0,0.758,9.07,3.8,7.59,1.48,0.6,0.22899999999999998,0.43200000000000005,0.195,0.35600000000000004,0.43799999999999994,,,,,140.0,89.0,103.0,118.0,93.0,100.0,140.0,93.0,104.0,0.619,0.239,0.142,,1.0,-1.33,-1.42,,97.9,87.4,80.4,0.229,0.237,0.188,,,,,,,,,,,,,,,,,,,,,,
59,2023-05-30,717965,Strikeout,strikeout,True,655316,663878,Andruw Monasterio,Nate Pearson,0,0,0,310b99dc-1374-4b7b-8102-4c8186f06eea,663878.0,natepearson,Pearson,Right,Nate Pearson,4.85,3.9,42.2,93.0,127.0,102.0,0.758,9.07,3.8,7.59,1.48,0.6,0.22899999999999998,0.43200000000000005,0.195,0.35600000000000004,0.43799999999999994,,,,,140.0,89.0,103.0,118.0,93.0,100.0,140.0,93.0,104.0,0.619,0.239,0.142,,1.0,-1.33,-1.42,,97.9,87.4,80.4,0.229,0.237,0.188,,,,,,,,,,,,,,,,,,,,,,
60,2023-05-30,717965,Strikeout,strikeout,True,573131,663878,Darin Ruf,Nate Pearson,0,0,0,acd2d919-3742-46b6-a73d-5f1187903f4b,663878.0,natepearson,Pearson,Right,Nate Pearson,4.85,3.9,42.2,93.0,127.0,102.0,0.758,9.07,3.8,7.59,1.48,0.6,0.22899999999999998,0.43200000000000005,0.195,0.35600000000000004,0.43799999999999994,,,,,140.0,89.0,103.0,118.0,93.0,100.0,140.0,93.0,104.0,0.619,0.239,0.142,,1.0,-1.33,-1.42,,97.9,87.4,80.4,0.229,0.237,0.188,,,,,,,,,,,,,,,,,,,,,,
61,2023-05-30,717965,Single,single,False,662139,571948,Daulton Varsho,Hoby Milner,0,0,0,8c538779-0b16-4efa-b2a2-e6b68807c97d,571948.0,hobymilner,Milner,Left,Hoby Milner,1.82,2.95,64.1,109.0,74.0,101.0,0.8029999999999999,8.25,1.82,6.85,0.7,1.48,0.303,0.376,0.16899999999999998,0.315,0.405,81.1,53.0,110.0,103.0,,,,103.0,117.0,103.0,,,,0.19899999999999998,0.331,,0.17300000000000001,1.79,2.16,,2.91,89.0,79.6,,0.146,,,0.255,95.0,110.0,107.0,0.297,0.1,88.2,0.27,,,,,,,,,,,,,,0.145
