,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CU%,wSI/C,wSL/C,wCU/C,vSI,vSL,vCU,SL_ba,SI_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CH%,wFA/C,wFC/C,wCH/C,vFA,vFC,FF_ba,CH_ba,FC_ba,CU_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,ST_ba
20,2023-06-24,717639,Strikeout,strikeout,True,606466,676775,Ketel Marte,Keaton Winn,0,0,0,0451e3f9-9799-493b-a2f7-49e4ceff1c35,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,,,,85.0,92.0,90.0,119.0,107.0,104.0,0.153,0.035,,-0.06,2.19,,95.5,85.9,,,0.25,,,,,91.0,105.0,98.0,,,,0.258,,,-1.55,,,95.9,,0.24,,,,143.0,99.0,110.0,0.5539999999999999,1.11,88.7,0.221,
21,2023-06-24,717639,Lineout,field_out,True,682998,676775,Corbin Carroll,Keaton Winn,0,0,0,ac3f0fa5-7156-4501-ab5d-59ab92b4cdb6,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,,,,85.0,92.0,90.0,119.0,107.0,104.0,0.153,0.035,,-0.06,2.19,,95.5,85.9,,,0.25,,,,,91.0,105.0,98.0,,,,0.258,,,-1.55,,,95.9,,0.24,,,,143.0,99.0,110.0,0.5539999999999999,1.11,88.7,0.221,
22,2023-06-24,717639,Groundout,field_out,True,572233,676775,Christian Walker,Keaton Winn,0,0,0,b2a43227-6aed-4d50-b296-2de7e14a53f3,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,,,,85.0,92.0,90.0,119.0,107.0,104.0,0.153,0.035,,-0.06,2.19,,95.5,85.9,,,0.25,,,,,91.0,105.0,98.0,,,,0.258,,,-1.55,,,95.9,,0.24,,,,143.0,99.0,110.0,0.5539999999999999,1.11,88.7,0.221,
23,2023-06-24,717639,Flyout,field_out,True,642731,518876,Thairo Estrada,Merrill Kelly,0,0,0,c7c035f8-7244-417c-b4a6-900dfd373659,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
24,2023-06-24,717639,Single,single,False,592626,518876,Joc Pederson,Merrill Kelly,0,0,0,2c45023e-6355-4a52-a419-299718a10893,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
25,2023-06-24,717639,Pop Out,field_out,True,605204,518876,J.D. Davis,Merrill Kelly,0,0,0,2775f820-e4df-4729-b18e-01074c079bde,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
26,2023-06-24,717639,Walk,walk,False,624424,518876,Michael Conforto,Merrill Kelly,0,0,1,9edaaa0f-ebd3-43e2-81a4-7b2e9b4f9c45,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
27,2023-06-24,717639,Single,single,False,666165,518876,Blake Sabol,Merrill Kelly,0,0,1,530e9b65-78fe-4e08-b352-dcc461604448,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
28,2023-06-24,717639,Lineout,field_out,True,672275,518876,Patrick Bailey,Merrill Kelly,1,0,0,610bc7b0-7f2a-4b78-a013-f273ec90eb5b,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,85.0,105.0,95.0,104.0,112.0,110.0,0.122,0.055,0.11,0.83,-0.64,-0.45,92.4,85.5,82.1,0.217,0.261,88.7,99.0,108.0,114.0,78.0,104.0,97.0,87.0,101.0,99.0,0.301,0.18100000000000002,0.231,0.04,0.88,2.43,92.2,90.8,0.224,0.18,0.22,0.268,,,,,,,,
29,2023-06-24,717639,Flyout,field_out,True,666971,676775,Lourdes Gurriel Jr.,Keaton Winn,0,0,0,b184c717-5898-4f53-9fb3-35f5b36605ca,676775.0,keatonwinn,Winn,Right,Keaton Winn,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.21100000000000002,0.455,0.098,0.366,0.451,,,,85.0,92.0,90.0,119.0,107.0,104.0,0.153,0.035,,-0.06,2.19,,95.5,85.9,,,0.25,,,,,91.0,105.0,98.0,,,,0.258,,,-1.55,,,95.9,,0.24,,,,143.0,99.0,110.0,0.5539999999999999,1.11,88.7,0.221,
