,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,SI_ba,CU_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,KC%,wKC/C,vKC,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
69,2023-08-06,717098,Lineout,field_out,True,592696,643410,Eddie Rosario,Mark Leiter Jr.,0,0,0,32417eda-4471-4968-8f11-b8e2b6a3a5cc,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,3.5,4.04,64.1,92.0,79.0,90.0,0.703,10.77,3.36,6.72,0.98,1.41,0.16899999999999998,0.469,0.175,0.313,0.392,,,,,83.0,86.0,87.0,64.0,84.0,76.0,73.0,95.0,84.0,,,,0.281,0.081,,0.091,,-3.68,0.61,,0.4,,91.2,91.3,,73.4,0.389,,0.283,0.25,,88.0,93.0,93.0,0.20600000000000002,1.6,88.8,0.2,,,,,83.0,93.0,96.0,0.34,1.03,84.7,0.134
70,2023-08-06,717098,Strikeout,strikeout,True,671739,643410,Michael Harris II,Mark Leiter Jr.,0,0,0,df187457-caf8-4aae-a5f5-453b391e4fd6,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,3.5,4.04,64.1,92.0,79.0,90.0,0.703,10.77,3.36,6.72,0.98,1.41,0.16899999999999998,0.469,0.175,0.313,0.392,,,,,83.0,86.0,87.0,64.0,84.0,76.0,73.0,95.0,84.0,,,,0.281,0.081,,0.091,,-3.68,0.61,,0.4,,91.2,91.3,,73.4,0.389,,0.283,0.25,,88.0,93.0,93.0,0.20600000000000002,1.6,88.8,0.2,,,,,83.0,93.0,96.0,0.34,1.03,84.7,0.134
71,2023-08-06,717098,Flyout,field_out,True,660670,643410,Ronald Acuña Jr.,Mark Leiter Jr.,0,0,0,c77bf6c8-77b8-4166-925e-f71d505338ba,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,3.5,4.04,64.1,92.0,79.0,90.0,0.703,10.77,3.36,6.72,0.98,1.41,0.16899999999999998,0.469,0.175,0.313,0.392,,,,,83.0,86.0,87.0,64.0,84.0,76.0,73.0,95.0,84.0,,,,0.281,0.081,,0.091,,-3.68,0.61,,0.4,,91.2,91.3,,73.4,0.389,,0.283,0.25,,88.0,93.0,93.0,0.20600000000000002,1.6,88.8,0.2,,,,,83.0,93.0,96.0,0.34,1.03,84.7,0.134
72,2023-08-06,717098,Walk,walk,False,665804,489446,Miguel Amaya,Kirby Yates,0,0,0,76a445e9-2f30-4ce8-a744-9ec80c466340,489446.0,kirbyyates,Yates,Right,Kirby Yates,3.28,4.51,60.1,94.0,104.0,91.0,0.706,11.93,5.52,5.22,1.34,0.78,0.242,0.379,0.136,0.303,0.374,,,,,,,,84.0,99.0,94.0,,,,94.0,40.0,50.0,,0.539,0.015,,,0.61,,-6.77,,,93.6,,77.4,,0.167,,,,,,,,,,,,,,,,130.0,91.0,89.0,0.446,1.08,86.1,0.16
73,2023-08-06,717098,Lineout,field_out,True,643565,489446,Mike Tauchman,Kirby Yates,0,0,0,f7138058-dfc3-4d0f-b536-e9b82bd15414,489446.0,kirbyyates,Yates,Right,Kirby Yates,3.28,4.51,60.1,94.0,104.0,91.0,0.706,11.93,5.52,5.22,1.34,0.78,0.242,0.379,0.136,0.303,0.374,,,,,,,,84.0,99.0,94.0,,,,94.0,40.0,50.0,,0.539,0.015,,,0.61,,-6.77,,,93.6,,77.4,,0.167,,,,,,,,,,,,,,,,130.0,91.0,89.0,0.446,1.08,86.1,0.16
74,2023-08-06,717098,Walk,walk,False,663538,489446,Nico Hoerner,Kirby Yates,0,0,1,3bf21f29-86fb-4dfb-a181-90a048ed20d4,489446.0,kirbyyates,Yates,Right,Kirby Yates,3.28,4.51,60.1,94.0,104.0,91.0,0.706,11.93,5.52,5.22,1.34,0.78,0.242,0.379,0.136,0.303,0.374,,,,,,,,84.0,99.0,94.0,,,,94.0,40.0,50.0,,0.539,0.015,,,0.61,,-6.77,,,93.6,,77.4,,0.167,,,,,,,,,,,,,,,,130.0,91.0,89.0,0.446,1.08,86.1,0.16
75,2023-08-06,717098,Flyout,field_out,True,664023,489446,Ian Happ,Kirby Yates,0,0,1,1de39ef4-1e7e-441e-9481-6c865aff054a,489446.0,kirbyyates,Yates,Right,Kirby Yates,3.28,4.51,60.1,94.0,104.0,91.0,0.706,11.93,5.52,5.22,1.34,0.78,0.242,0.379,0.136,0.303,0.374,,,,,,,,84.0,99.0,94.0,,,,94.0,40.0,50.0,,0.539,0.015,,,0.61,,-6.77,,,93.6,,77.4,,0.167,,,,,,,,,,,,,,,,130.0,91.0,89.0,0.446,1.08,86.1,0.16
76,2023-08-06,717098,Double,double,False,645277,640470,Ozzie Albies,Adbert Alzolay,1,0,0,948d37ca-27fb-4e60-9b74-5f4a1f23fa62,640470.0,adbertalzolay,Alzolay,Right,Adbert Alzolay,2.67,3.61,64.0,104.0,105.0,104.0,0.737,9.42,1.83,7.31,0.7,1.17,0.214,0.375,0.17300000000000001,0.304,0.449,87.9,80.0,108.0,85.0,,,,99.0,102.0,98.0,92.0,99.0,93.0,118.0,107.0,114.0,0.192,0.209,0.494,,0.005,-0.48,1.76,2.04,,-14.09,95.3,95.3,87.1,,0.302,0.194,0.184,,,93.0,106.0,104.0,0.1,0.91,91.1,0.238,,,,0.286,,,,,,,
77,2023-08-06,717098,Strikeout,strikeout,True,663586,640470,Austin Riley,Adbert Alzolay,0,0,0,7cd0bd36-05f1-4c70-ae98-66a1f2735d24,640470.0,adbertalzolay,Alzolay,Right,Adbert Alzolay,2.67,3.61,64.0,104.0,105.0,104.0,0.737,9.42,1.83,7.31,0.7,1.17,0.214,0.375,0.17300000000000001,0.304,0.449,87.9,80.0,108.0,85.0,,,,99.0,102.0,98.0,92.0,99.0,93.0,118.0,107.0,114.0,0.192,0.209,0.494,,0.005,-0.48,1.76,2.04,,-14.09,95.3,95.3,87.1,,0.302,0.194,0.184,,,93.0,106.0,104.0,0.1,0.91,91.1,0.238,,,,0.286,,,,,,,
78,2023-08-06,717098,Flyout,field_out,True,621566,640470,Matt Olson,Adbert Alzolay,0,0,0,375bd783-1f9c-4d15-95d7-92147ba7e565,640470.0,adbertalzolay,Alzolay,Right,Adbert Alzolay,2.67,3.61,64.0,104.0,105.0,104.0,0.737,9.42,1.83,7.31,0.7,1.17,0.214,0.375,0.17300000000000001,0.304,0.449,87.9,80.0,108.0,85.0,,,,99.0,102.0,98.0,92.0,99.0,93.0,118.0,107.0,114.0,0.192,0.209,0.494,,0.005,-0.48,1.76,2.04,,-14.09,95.3,95.3,87.1,,0.302,0.194,0.184,,,93.0,106.0,104.0,0.1,0.91,91.1,0.238,,,,0.286,,,,,,,
79,2023-08-06,717098,Groundout,field_out,True,518595,640470,Travis d'Arnaud,Adbert Alzolay,0,0,0,5aa0c40f-c02b-4a93-968a-b54f05dad3e0,640470.0,adbertalzolay,Alzolay,Right,Adbert Alzolay,2.67,3.61,64.0,104.0,105.0,104.0,0.737,9.42,1.83,7.31,0.7,1.17,0.214,0.375,0.17300000000000001,0.304,0.449,87.9,80.0,108.0,85.0,,,,99.0,102.0,98.0,92.0,99.0,93.0,118.0,107.0,114.0,0.192,0.209,0.494,,0.005,-0.48,1.76,2.04,,-14.09,95.3,95.3,87.1,,0.302,0.194,0.184,,,93.0,106.0,104.0,0.1,0.91,91.1,0.238,,,,0.286,,,,,,,
