,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vSI,vSL,vKC,FF_ba,SL_ba,CU_ba,FC_ba,CH_ba,SI_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
10,2023-04-17,718538,Pop Out,field_out,True,571448,518876,Nolan Arenado,Merrill Kelly,0,0,0,342ebf91-ffe2-46b7-acb3-206724062a1b,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
11,2023-04-17,718538,Single,single,False,669357,518876,Nolan Gorman,Merrill Kelly,1,0,0,51c395a4-4521-4829-b2dd-3f38fcf3aa36,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
12,2023-04-17,718538,Flyout,field_out,True,641933,518876,Tyler O'Neill,Merrill Kelly,0,0,0,1bbab5df-2995-42fe-bc3a-3ed3fcf38b76,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
13,2023-04-17,718538,Groundout,field_out,True,663457,518876,Lars Nootbaar,Merrill Kelly,0,0,0,68cc319c-025a-40f6-b380-3d0f8fa22bac,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
14,2023-04-17,718538,Groundout,field_out,True,677950,656427,Alek Thomas,Jack Flaherty,1,0,0,0b3b3446-83bd-4b84-a805-a855fb17d12b,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
15,2023-04-17,718538,Groundout,field_out,True,672695,656427,Geraldo Perdomo,Jack Flaherty,1,1,0,9ae88822-1445-4c87-b98f-808ea0394ce9,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
16,2023-04-17,718538,Lineout,field_out,True,668942,656427,Josh Rojas,Jack Flaherty,0,0,0,45f2f4c5-3d60-4e76-80f0-6658bcd2aca7,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.24600000000000002,0.45899999999999996,0.132,0.307,0.39799999999999996,85.3,68.0,89.0,84.0,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,93.0,102.0,108.0,92.0,98.0,101.0,0.02,0.41700000000000004,0.091,0.24600000000000002,0.19399999999999998,0.033,-0.44,-1.05,-2.28,-1.15,0.23,0.86,93.1,88.7,90.1,84.2,76.2,0.29,0.339,0.204,0.318,0.154,0.333,,,,,,
17,2023-04-17,718538,Groundout,field_out,True,691023,518876,Jordan Walker,Merrill Kelly,1,0,0,7c3f2ed7-1e40-4404-baa6-4465640e6dd7,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
18,2023-04-17,718538,Groundout,field_out,True,669242,518876,Tommy Edman,Merrill Kelly,0,0,0,55ed84d4-f162-46de-8a2f-bc60b486fd26,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
19,2023-04-17,718538,Groundout,field_out,True,680977,518876,Brendan Donovan,Merrill Kelly,0,0,0,95aed204-0ca8-4fec-9d5e-90e2a4e195a3,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,88.7,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,,,,87.0,101.0,99.0,0.122,0.301,0.18100000000000002,0.055,,0.231,0.04,0.88,0.83,-0.64,,2.43,92.2,90.8,92.4,85.5,,0.224,0.217,0.268,0.22,0.18,0.261,121.0,105.0,111.0,0.11,-0.45,82.1
