,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FF_ba,FC_ba,CU_ba,CH_ba,SL_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba
0,2023-06-28,717577,Groundout,field_out,True,680757,680735,Steven Kwan,Austin Cox,1,0,0,cb5cc0c6-89a6-4977-b24e-070506f655ac,680735.0,austincox,Cox,Left,Austin Cox,4.54,4.93,35.2,101.0,86.0,98.0,0.759,8.33,4.29,7.07,0.5,0.92,0.268,0.35100000000000003,0.10300000000000001,0.371,0.42,82.9,80.0,99.0,95.0,87.0,104.0,109.0,75.0,98.0,93.0,101.0,113.0,111.0,118.0,105.0,104.0,0.486,0.192,0.017,0.152,0.152,0.04,1.14,0.86,1.57,-0.04,91.5,86.7,83.4,77.8,0.246,0.185,0.211,0.176,0.333,,,,,,,,,,,,,,,
1,2023-06-28,717577,Lineout,field_out,True,642708,680735,Amed Rosario,Austin Cox,0,0,0,5f54e2cd-e4d3-41d3-a82e-a8f8a4e7e726,680735.0,austincox,Cox,Left,Austin Cox,4.54,4.93,35.2,101.0,86.0,98.0,0.759,8.33,4.29,7.07,0.5,0.92,0.268,0.35100000000000003,0.10300000000000001,0.371,0.42,82.9,80.0,99.0,95.0,87.0,104.0,109.0,75.0,98.0,93.0,101.0,113.0,111.0,118.0,105.0,104.0,0.486,0.192,0.017,0.152,0.152,0.04,1.14,0.86,1.57,-0.04,91.5,86.7,83.4,77.8,0.246,0.185,0.211,0.176,0.333,,,,,,,,,,,,,,,
2,2023-06-28,717577,Strikeout,strikeout,True,608070,680735,José Ramírez,Austin Cox,0,0,0,ff231f61-979d-4813-812f-5bf40c5c3846,680735.0,austincox,Cox,Left,Austin Cox,4.54,4.93,35.2,101.0,86.0,98.0,0.759,8.33,4.29,7.07,0.5,0.92,0.268,0.35100000000000003,0.10300000000000001,0.371,0.42,82.9,80.0,99.0,95.0,87.0,104.0,109.0,75.0,98.0,93.0,101.0,113.0,111.0,118.0,105.0,104.0,0.486,0.192,0.017,0.152,0.152,0.04,1.14,0.86,1.57,-0.04,91.5,86.7,83.4,77.8,0.246,0.185,0.211,0.176,0.333,,,,,,,,,,,,,,,
3,2023-06-28,717577,Strikeout,strikeout,True,677951,671106,Bobby Witt Jr.,Logan Allen,0,0,0,d665c18b-18d1-42da-8991-7b481ab75ce1,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,,,,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,,0.213,-0.12,-2.1,-0.74,,1.49,91.4,86.3,79.3,,0.257,0.462,,0.191,0.3,0.263,,,,,,,,,,,,,,
4,2023-06-28,717577,Groundout,field_out,True,521692,671106,Salvador Perez,Logan Allen,1,1,0,69257c8e-15dc-4153-8f2a-50130e47b262,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,,,,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,,0.213,-0.12,-2.1,-0.74,,1.49,91.4,86.3,79.3,,0.257,0.462,,0.191,0.3,0.263,,,,,,,,,,,,,,
5,2023-06-28,717577,Groundout,field_out,True,622110,671106,Matt Duffy,Logan Allen,0,0,0,004a7777-a493-4c56-b231-4e545b3363a0,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.43200000000000005,0.155,0.337,0.414,82.7,60.0,104.0,105.0,,,,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.08900000000000001,0.247,,0.213,-0.12,-2.1,-0.74,,1.49,91.4,86.3,79.3,,0.257,0.462,,0.191,0.3,0.263,,,,,,,,,,,,,,
6,2023-06-28,717577,Double,double,False,647304,680735,Josh Naylor,Austin Cox,0,0,0,5ef83445-65c8-4b6a-92fa-6e0c3867c644,680735.0,austincox,Cox,Left,Austin Cox,4.54,4.93,35.2,101.0,86.0,98.0,0.759,8.33,4.29,7.07,0.5,0.92,0.268,0.35100000000000003,0.10300000000000001,0.371,0.42,82.9,80.0,99.0,95.0,87.0,104.0,109.0,75.0,98.0,93.0,101.0,113.0,111.0,118.0,105.0,104.0,0.486,0.192,0.017,0.152,0.152,0.04,1.14,0.86,1.57,-0.04,91.5,86.7,83.4,77.8,0.246,0.185,0.211,0.176,0.333,,,,,,,,,,,,,,,
7,2023-06-28,717577,Lineout,field_out,True,605137,680735,Josh Bell,Austin Cox,0,0,1,18f6b49f-9230-49bb-be97-7c30cb67a8cb,680735.0,austincox,Cox,Left,Austin Cox,4.54,4.93,35.2,101.0,86.0,98.0,0.759,8.33,4.29,7.07,0.5,0.92,0.268,0.35100000000000003,0.10300000000000001,0.371,0.42,82.9,80.0,99.0,95.0,87.0,104.0,109.0,75.0,98.0,93.0,101.0,113.0,111.0,118.0,105.0,104.0,0.486,0.192,0.017,0.152,0.152,0.04,1.14,0.86,1.57,-0.04,91.5,86.7,83.4,77.8,0.246,0.185,0.211,0.176,0.333,,,,,,,,,,,,,,,
8,2023-06-28,717577,Groundout,field_out,True,665926,680735,Andrés Giménez,Austin Cox,0,0,0,abff1372-e440-4f26-990b-bf3ede7dd519,680735.0,austincox,Cox,Left,Austin Cox,4.54,4.93,35.2,101.0,86.0,98.0,0.759,8.33,4.29,7.07,0.5,0.92,0.268,0.35100000000000003,0.10300000000000001,0.371,0.42,82.9,80.0,99.0,95.0,87.0,104.0,109.0,75.0,98.0,93.0,101.0,113.0,111.0,118.0,105.0,104.0,0.486,0.192,0.017,0.152,0.152,0.04,1.14,0.86,1.57,-0.04,91.5,86.7,83.4,77.8,0.246,0.185,0.211,0.176,0.333,,,,,,,,,,,,,,,
9,2023-06-28,717577,Walk,walk,False,686823,680735,Will Brennan,Austin Cox,0,0,0,0b7963f9-c5b2-4686-9feb-dafa98714af2,680735.0,austincox,Cox,Left,Austin Cox,4.54,4.93,35.2,101.0,86.0,98.0,0.759,8.33,4.29,7.07,0.5,0.92,0.268,0.35100000000000003,0.10300000000000001,0.371,0.42,82.9,80.0,99.0,95.0,87.0,104.0,109.0,75.0,98.0,93.0,101.0,113.0,111.0,118.0,105.0,104.0,0.486,0.192,0.017,0.152,0.152,0.04,1.14,0.86,1.57,-0.04,91.5,86.7,83.4,77.8,0.246,0.185,0.211,0.176,0.333,,,,,,,,,,,,,,,
