,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,SL_ba,SI_ba,FF_ba,CH_ba,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vSL,vKC,FC_ba,CU_ba,ST_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI
22,2023-09-16,716563,Strikeout,strikeout,True,678225,596133,Ji Hwan Bae,Luke Weaver,0,0,0,326a20bc-ebf5-469e-a576-9b2dcedc5a42,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
23,2023-09-16,716563,Groundout,field_out,True,668804,596133,Bryan Reynolds,Luke Weaver,1,0,0,22cbbdb2-badb-4c6a-9238-976ebd107be5,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
24,2023-09-16,716563,Home Run,home_run,False,519317,682847,Giancarlo Stanton,Luis L. Ortiz,0,0,0,94e59bb7-de0a-44a2-9299-6075321d8434,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2023-09-16,716563,Groundout,field_out,True,683011,682847,Anthony Volpe,Luis L. Ortiz,0,0,0,81c55d15-24ad-4206-a82d-b2b2d1b81b31,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2023-09-16,716563,Flyout,field_out,True,664314,682847,Estevan Florial,Luis L. Ortiz,0,0,0,4cf98a9c-16f2-4ae3-bd8f-4debfbb8a23b,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2023-09-16,716563,Field Error,field_error,False,672724,682847,Oswald Peraza,Luis L. Ortiz,0,0,0,bc1e6c47-7671-451e-a371-c3e439727578,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2023-09-16,716563,Groundout,field_out,True,665828,682847,Oswaldo Cabrera,Luis L. Ortiz,0,0,0,2b74b657-4389-455e-ba21-9acd538c4586,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2023-09-16,716563,Double,double,False,663647,596133,Ke'Bryan Hayes,Luke Weaver,0,0,0,bf7144c7-7434-4a7e-b602-0a36dcf865a7,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
30,2023-09-16,716563,Groundout,field_out,True,669261,596133,Jack Suwinski,Luke Weaver,0,0,1,b2ed3b3b-5cf4-4320-bf4b-060b053e2403,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
31,2023-09-16,716563,Sac Fly,sac_fly,True,682848,596133,Endy Rodríguez,Luke Weaver,1,1,1,9576cc3f-eba3-4a04-a435-69f43c36bffe,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
32,2023-09-16,716563,Strikeout,strikeout,True,641943,596133,Joshua Palacios,Luke Weaver,0,0,0,fdeefd0d-c2f2-496c-b2af-431261316e43,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
33,2023-09-16,716563,Groundout,field_out,True,518934,682847,DJ LeMahieu,Luis L. Ortiz,1,1,0,b0e8e9dc-65a7-46cd-acde-0df031a00c3d,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2023-09-16,716563,Walk,walk,False,592450,682847,Aaron Judge,Luis L. Ortiz,0,0,0,f6d6b23c-15f2-4989-b36c-6f8b103e3dff,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2023-09-16,716563,Single,single,False,650402,682847,Gleyber Torres,Luis L. Ortiz,0,0,1,0858c301-f449-479d-b192-c89ed9404ef3,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2023-09-16,716563,Grounded Into DP,grounded_into_double_play,True,669224,682847,Austin Wells,Luis L. Ortiz,0,0,1,7e1b1efb-c4fa-4d33-acf3-44f508244868,682847.0,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,0.246,0.294,0.383,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2023-09-16,716563,Strikeout,strikeout,True,680779,596133,Henry Davis,Luke Weaver,0,0,0,efdb4251-ff3b-40df-8a3b-3f1eb1f46a87,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
38,2023-09-16,716563,Strikeout,strikeout,True,663845,596133,Alfonso Rivas III,Luke Weaver,0,0,0,8852e6a5-b93c-4243-b58f-2db2014fc17f,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
39,2023-09-16,716563,Groundout,field_out,True,678894,596133,Liover Peguero,Luke Weaver,0,0,0,6cd57687-a89a-4cbd-abbe-509586c3a205,596133.0,lukeweaver,Weaver,Right,Luke Weaver,0.385,,0.311,0.316,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.37799999999999995,0.433,86.1,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.13699999999999998,0.11800000000000001,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,85.8,81.7,0.218,0.255,0.235,,,,,,
