,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CH_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,FC_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
42,2023-06-21,717667,Sac Bunt,sac_bunt,True,621545,527048,Zach Remillard,Martín Pérez,0,0,1,0872e5ef-cbe0-4b05-a45b-c0b2def301f6,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,4.45,4.9,141.2,104.0,74.0,95.0,0.8370000000000001,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.39899999999999997,84.1,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,88.0,94.0,96.0,0.04,0.01,0.037000000000000005,0.265,3.25,2.0,3.35,-0.75,91.8,83.4,79.1,0.167,0.0,0.316,0.063,73.0,102.0,95.0,79.0,99.0,88.0,0.428,0.221,-2.02,0.44,89.2,91.6,0.244,0.342,,,,,,,,,,,,,
43,2023-06-21,717667,Groundout,field_out,True,664874,527048,Seby Zavala,Martín Pérez,1,0,1,7ec9f420-6b96-4f17-a597-0665771e2ec6,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,4.45,4.9,141.2,104.0,74.0,95.0,0.8370000000000001,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.39899999999999997,84.1,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,88.0,94.0,96.0,0.04,0.01,0.037000000000000005,0.265,3.25,2.0,3.35,-0.75,91.8,83.4,79.1,0.167,0.0,0.316,0.063,73.0,102.0,95.0,79.0,99.0,88.0,0.428,0.221,-2.02,0.44,89.2,91.6,0.244,0.342,,,,,,,,,,,,,
44,2023-06-21,717667,Strikeout,strikeout,True,643217,527048,Andrew Benintendi,Martín Pérez,0,0,0,2699daf9-a09e-4d60-9dde-450814c2a2aa,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,4.45,4.9,141.2,104.0,74.0,95.0,0.8370000000000001,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.39899999999999997,84.1,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,88.0,94.0,96.0,0.04,0.01,0.037000000000000005,0.265,3.25,2.0,3.35,-0.75,91.8,83.4,79.1,0.167,0.0,0.316,0.063,73.0,102.0,95.0,79.0,99.0,88.0,0.428,0.221,-2.02,0.44,89.2,91.6,0.244,0.342,,,,,,,,,,,,,
45,2023-06-21,717667,Lineout,field_out,True,665750,657053,Leody Taveras,Touki Toussaint,0,0,0,bc8bb26f-0b9d-47f7-bcab-e8126892f0f7,657053.0,toukitoussaint,Toussaint,Right,Touki Toussaint,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.47700000000000004,0.106,0.315,0.366,,,,,108.0,99.0,104.0,79.0,87.0,79.0,88.0,112.0,117.0,0.235,0.023,0.28800000000000003,,-1.46,-6.26,1.81,,93.6,86.6,76.1,0.294,0.333,,0.115,94.0,94.0,89.0,,,,0.265,,,0.33,,92.9,0.3,,,,,,,,96.0,96.0,99.0,0.18899999999999997,-0.3,87.5,0.188
46,2023-06-21,717667,Groundout,field_out,True,543760,657053,Marcus Semien,Touki Toussaint,0,0,0,9237ddf0-9fb5-4178-840b-867ad3a633d3,657053.0,toukitoussaint,Toussaint,Right,Touki Toussaint,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.47700000000000004,0.106,0.315,0.366,,,,,108.0,99.0,104.0,79.0,87.0,79.0,88.0,112.0,117.0,0.235,0.023,0.28800000000000003,,-1.46,-6.26,1.81,,93.6,86.6,76.1,0.294,0.333,,0.115,94.0,94.0,89.0,,,,0.265,,,0.33,,92.9,0.3,,,,,,,,96.0,96.0,99.0,0.18899999999999997,-0.3,87.5,0.188
47,2023-06-21,717667,Groundout,field_out,True,608369,657053,Corey Seager,Touki Toussaint,0,0,0,ae2ca48e-73a0-4b98-b91c-81d41d236045,657053.0,toukitoussaint,Toussaint,Right,Touki Toussaint,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.47700000000000004,0.106,0.315,0.366,,,,,108.0,99.0,104.0,79.0,87.0,79.0,88.0,112.0,117.0,0.235,0.023,0.28800000000000003,,-1.46,-6.26,1.81,,93.6,86.6,76.1,0.294,0.333,,0.115,94.0,94.0,89.0,,,,0.265,,,0.33,,92.9,0.3,,,,,,,,96.0,96.0,99.0,0.18899999999999997,-0.3,87.5,0.188
48,2023-06-21,717667,Home Run,home_run,False,683734,527048,Andrew Vaughn,Martín Pérez,1,1,0,7c05e9c3-a86c-464d-9ae5-d829523988aa,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,4.45,4.9,141.2,104.0,74.0,95.0,0.8370000000000001,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.39899999999999997,84.1,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,88.0,94.0,96.0,0.04,0.01,0.037000000000000005,0.265,3.25,2.0,3.35,-0.75,91.8,83.4,79.1,0.167,0.0,0.316,0.063,73.0,102.0,95.0,79.0,99.0,88.0,0.428,0.221,-2.02,0.44,89.2,91.6,0.244,0.342,,,,,,,,,,,,,
49,2023-06-21,717667,Groundout,field_out,True,673357,527048,Luis Robert Jr.,Martín Pérez,0,0,0,5f826a3e-31fe-47e1-b92a-8a22bb568f84,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,4.45,4.9,141.2,104.0,74.0,95.0,0.8370000000000001,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.39899999999999997,84.1,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,88.0,94.0,96.0,0.04,0.01,0.037000000000000005,0.265,3.25,2.0,3.35,-0.75,91.8,83.4,79.1,0.167,0.0,0.316,0.063,73.0,102.0,95.0,79.0,99.0,88.0,0.428,0.221,-2.02,0.44,89.2,91.6,0.244,0.342,,,,,,,,,,,,,
50,2023-06-21,717667,Groundout,field_out,True,650391,527048,Eloy Jiménez,Martín Pérez,0,0,0,59f20945-cbc5-4772-9eda-1b5ce04e3a3c,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,4.45,4.9,141.2,104.0,74.0,95.0,0.8370000000000001,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.39899999999999997,84.1,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,88.0,94.0,96.0,0.04,0.01,0.037000000000000005,0.265,3.25,2.0,3.35,-0.75,91.8,83.4,79.1,0.167,0.0,0.316,0.063,73.0,102.0,95.0,79.0,99.0,88.0,0.428,0.221,-2.02,0.44,89.2,91.6,0.244,0.342,,,,,,,,,,,,,
51,2023-06-21,717667,Flyout,field_out,True,669394,527048,Jake Burger,Martín Pérez,0,0,0,d4101ecd-fd30-4c75-ad25-a713b6166d79,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,4.45,4.9,141.2,104.0,74.0,95.0,0.8370000000000001,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.39899999999999997,84.1,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,88.0,94.0,96.0,0.04,0.01,0.037000000000000005,0.265,3.25,2.0,3.35,-0.75,91.8,83.4,79.1,0.167,0.0,0.316,0.063,73.0,102.0,95.0,79.0,99.0,88.0,0.428,0.221,-2.02,0.44,89.2,91.6,0.244,0.342,,,,,,,,,,,,,
