,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FF_ba,FC_ba,CH_ba,ST_ba,CU_ba,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,FS%,wFS/C,vFS,FS_ba
24,2023-05-22,718071,Groundout,field_out,True,663697,656756,Jonathan India,Jordan Montgomery,0,0,0,f6debe2a-9585-444b-8469-3c4c4fbe91fd,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.333,0.417,0.239,,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,,,,
25,2023-05-22,718071,Single,single,False,680574,656756,Matt McLain,Jordan Montgomery,0,0,0,cec60fae-083e-435f-871f-b5c6166acdae,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.333,0.417,0.239,,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,,,,
26,2023-05-22,718071,Home Run,home_run,False,668715,656756,Spencer Steer,Jordan Montgomery,0,0,1,2ab3c6a8-6751-4854-a4fc-b32d01150bcb,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.333,0.417,0.239,,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,,,,
27,2023-05-22,718071,Walk,walk,False,663886,656756,Tyler Stephenson,Jordan Montgomery,0,0,0,5d551819-1f33-4a93-94ad-96743b482200,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.333,0.417,0.239,,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,,,,
28,2023-05-22,718071,Single,single,False,669222,656756,Nick Senzel,Jordan Montgomery,0,0,1,8c640867-9c55-48db-8808-2271c825f7f2,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.333,0.417,0.239,,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,,,,
29,2023-05-22,718071,Strikeout,strikeout,True,656413,656756,Stuart Fairchild,Jordan Montgomery,0,0,1,2540332e-eb4b-4148-8684-cc92f70546cc,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.333,0.417,0.239,,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,,,,
30,2023-05-22,718071,Groundout,field_out,True,571976,656756,Wil Myers,Jordan Montgomery,1,0,0,5c14cdb8-f60b-44a1-acc8-a9cd0bce0cf5,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.333,0.417,0.239,,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,,,,
31,2023-05-22,718071,Strikeout,strikeout,True,657557,682227,Paul DeJong,Brandon Williamson,0,0,0,1d860091-7279-4556-bb75-ee31f9d00ca6,682227.0,brandonwilliamson,Williamson,Left,Brandon Williamson,4.46,4.77,117.0,99.0,93.0,96.0,0.8009999999999999,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,84.0,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,132.0,104.0,113.0,106.0,102.0,98.0,0.37200000000000005,0.298,0.102,0.064,0.165,-0.15,1.71,-1.33,-1.75,-0.51,92.8,89.3,81.7,73.1,0.269,0.252,0.183,0.277,0.333,0.0,,,,,,,,,,,
32,2023-05-22,718071,Flyout,field_out,True,640458,682227,Óscar Mercado,Brandon Williamson,0,0,0,291d4b79-6a76-4035-b19a-929bab7ea561,682227.0,brandonwilliamson,Williamson,Left,Brandon Williamson,4.46,4.77,117.0,99.0,93.0,96.0,0.8009999999999999,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,84.0,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,132.0,104.0,113.0,106.0,102.0,98.0,0.37200000000000005,0.298,0.102,0.064,0.165,-0.15,1.71,-1.33,-1.75,-0.51,92.8,89.3,81.7,73.1,0.269,0.252,0.183,0.277,0.333,0.0,,,,,,,,,,,
33,2023-05-22,718071,Single,single,False,668800,682227,Andrew Knizner,Brandon Williamson,0,0,0,77cbd9fa-4fe3-4a8c-8e96-efdbbd4e1e1c,682227.0,brandonwilliamson,Williamson,Left,Brandon Williamson,4.46,4.77,117.0,99.0,93.0,96.0,0.8009999999999999,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,84.0,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,132.0,104.0,113.0,106.0,102.0,98.0,0.37200000000000005,0.298,0.102,0.064,0.165,-0.15,1.71,-1.33,-1.75,-0.51,92.8,89.3,81.7,73.1,0.269,0.252,0.183,0.277,0.333,0.0,,,,,,,,,,,
