,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,CU_ba,SL_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,SI_ba,FC_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
48,2023-05-01,718349,Grounded Into DP,grounded_into_double_play,True,608841,592767,Joey Meneses,Drew Smyly,0,0,1,6c6de0eb-6bee-43f2-8301-bc88231caaf8,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
49,2023-05-01,718349,Pop Out,field_out,True,663538,663658,Nico Hoerner,Thaddeus Ward,1,0,0,304298bd-0f01-4623-a002-8a966889ecde,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,0.25,0.217,0.234,,,,,,,
50,2023-05-01,718349,Groundout,field_out,True,621020,663658,Dansby Swanson,Thaddeus Ward,1,0,0,13e1c27c-d5fd-4003-98d1-04624c4a1249,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,0.25,0.217,0.234,,,,,,,
51,2023-05-01,718349,Groundout,field_out,True,641355,663658,Cody Bellinger,Thaddeus Ward,0,0,0,f940e11e-caaf-4266-95e3-194304e4f481,663658.0,thaddeusward,Ward,Right,Thaddeus Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,0.25,0.217,0.234,,,,,,,
52,2023-05-01,718349,Lineout,field_out,True,660688,592767,Keibert Ruiz,Drew Smyly,0,0,0,77e87ff3-652a-4aa3-ab38-c926b685aa57,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
53,2023-05-01,718349,Pop Out,field_out,True,657041,592767,Lane Thomas,Drew Smyly,1,0,0,caa8021b-0f49-44a1-88f8-4fd8d4b89e2c,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
54,2023-05-01,718349,Single,single,False,642086,592767,Dominic Smith,Drew Smyly,0,0,0,7fcf4a54-2628-41b0-86db-7eeee31e33d1,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
55,2023-05-01,718349,Groundout,field_out,True,645302,592767,Victor Robles,Drew Smyly,0,0,0,a563ac3c-d3cc-4f4d-ae0b-79b48b12e707,592767.0,drewsmyly,Smyly,Left,Drew Smyly,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.22899999999999998,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.11699999999999999,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.314,0.293,,,,,,,,
56,2023-05-01,718349,Flyout,field_out,True,673548,676265,Seiya Suzuki,Cory Abbott,0,0,0,0f5a0f0e-b504-4cb3-9e87-8b8b6b6516e6,676265.0,coryabbott,"Abbott, C",Right,Cory Abbott,6.64,5.2,39.1,93.0,100.0,93.0,0.759,9.15,4.35,10.98,2.06,1.07,0.225,0.375,0.142,0.33299999999999996,0.452,,,,,,,,92.0,94.0,92.0,67.0,94.0,89.0,0.457,0.073,,,-2.52,-4.48,,,92.3,86.7,,0.365,0.247,0.3,,,,,112.0,91.0,95.0,,,,0.001,,0.46799999999999997,,4.16,0.56,,85.8,84.7,,,,,,,,,,
57,2023-05-01,718349,Strikeout,strikeout,True,641820,676265,Trey Mancini,Cory Abbott,0,0,0,84d85a04-736c-4e5c-8570-7d5977dee780,676265.0,coryabbott,"Abbott, C",Right,Cory Abbott,6.64,5.2,39.1,93.0,100.0,93.0,0.759,9.15,4.35,10.98,2.06,1.07,0.225,0.375,0.142,0.33299999999999996,0.452,,,,,,,,92.0,94.0,92.0,67.0,94.0,89.0,0.457,0.073,,,-2.52,-4.48,,,92.3,86.7,,0.365,0.247,0.3,,,,,112.0,91.0,95.0,,,,0.001,,0.46799999999999997,,4.16,0.56,,85.8,84.7,,,,,,,,,,
