,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,SI_ba,CH_ba,FF_ba,SL_ba,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,ST_ba
56,2023-05-04,718316,Groundout,field_out,True,646240,657024,Rafael Devers,Erik Swanson,1,0,0,cfb18a96-bb07-4ca3-b5cd-5227ba89b9c9,657024.0,erikswanson,"Swanson, E",Right,Erik Swanson,2.97,3.04,66.2,98.0,99.0,102.0,0.691,10.13,2.84,7.02,1.08,0.87,0.24100000000000002,0.428,0.127,0.325,0.40399999999999997,,,,,87.0,98.0,94.0,,,,89.0,93.0,95.0,,,,,0.34600000000000003,,0.179,,-0.4,,,-0.56,,93.7,,,86.6,,,0.267,0.423,,111.0,100.0,109.0,0.475,3.04,85.1,0.162,,,,,,,,
57,2023-05-04,718316,Single,single,False,680776,657024,Jarren Duran,Erik Swanson,1,0,0,89b16c0e-3d6e-4226-afcb-8acfc25d00fc,657024.0,erikswanson,"Swanson, E",Right,Erik Swanson,2.97,3.04,66.2,98.0,99.0,102.0,0.691,10.13,2.84,7.02,1.08,0.87,0.24100000000000002,0.428,0.127,0.325,0.40399999999999997,,,,,87.0,98.0,94.0,,,,89.0,93.0,95.0,,,,,0.34600000000000003,,0.179,,-0.4,,,-0.56,,93.7,,,86.6,,,0.267,0.423,,111.0,100.0,109.0,0.475,3.04,85.1,0.162,,,,,,,,
58,2023-05-04,718316,Groundout,field_out,True,671213,657024,Triston Casas,Erik Swanson,0,0,1,493f8264-d6da-4527-a284-4d38b6e59355,657024.0,erikswanson,"Swanson, E",Right,Erik Swanson,2.97,3.04,66.2,98.0,99.0,102.0,0.691,10.13,2.84,7.02,1.08,0.87,0.24100000000000002,0.428,0.127,0.325,0.40399999999999997,,,,,87.0,98.0,94.0,,,,89.0,93.0,95.0,,,,,0.34600000000000003,,0.179,,-0.4,,,-0.56,,93.7,,,86.6,,,0.267,0.423,,111.0,100.0,109.0,0.475,3.04,85.1,0.162,,,,,,,,
59,2023-05-04,718316,Lineout,field_out,True,595281,657514,Kevin Kiermaier,Brennan Bernardino,0,0,0,5cf5fa56-e405-4db6-bfb1-fd56ece70558,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,,,,,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,
60,2023-05-04,718316,Walk,walk,False,543807,657514,George Springer,Brennan Bernardino,0,0,0,a012ea4d-0681-4c0c-9e5c-405211ca504b,657514.0,brennanbernardino,Bernardino,Left,Brennan Bernardino,3.2,4.07,50.2,96.0,88.0,90.0,0.773,10.3,3.2,8.53,0.71,1.86,0.254,0.34299999999999997,0.149,0.321,0.457,82.4,34.0,68.0,70.0,,,,79.0,100.0,88.0,,,,,,,0.5589999999999999,,,,0.013999999999999999,,,1.73,,-13.88,,,90.8,,0.252,0.5,,,,,,,,,,,101.0,93.0,93.0,0.42700000000000005,-0.78,77.6,0.238,
61,2023-05-04,718316,Strikeout,strikeout,True,666182,670167,Bo Bichette,John Schreiber,0,0,0,3ad96a88-aacd-4c14-bddb-5d23eb59bf1e,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,,,,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.278,0.167,0.264,,,,,,,,,,,,,,,,,0.185
62,2023-05-04,718316,Strikeout,strikeout,True,665489,670167,Vladimir Guerrero Jr.,John Schreiber,0,0,0,abe3162d-3159-4491-8477-659e3ef54094,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,,,,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.278,0.167,0.264,,,,,,,,,,,,,,,,,0.185
63,2023-05-04,718316,Flyout,field_out,True,665839,542914,Enmanuel Valdez,Anthony Bass,0,0,0,1af6926c-e2fd-4484-b0eb-65885dd6256b,542914.0,anthonybass,Bass,Right,Anthony Bass,4.95,5.23,20.0,100.0,105.0,101.0,0.727,8.55,4.05,8.55,1.35,1.0,0.233,0.517,0.083,0.38299999999999995,0.42,,,,,82.0,86.0,84.0,101.0,97.0,96.0,112.0,103.0,106.0,,,,0.293,0.08,,0.5589999999999999,,-8.56,,-2.67,1.9,,94.4,,94.5,85.4,0.333,,0.625,0.136,,93.0,95.0,101.0,0.068,1.43,86.8,0.25,,,,,,,,
64,2023-05-04,718316,Strikeout,strikeout,True,571771,542914,Enrique Hernández,Anthony Bass,0,0,0,51713392-a4d8-4500-a945-8dadea0fbdd7,542914.0,anthonybass,Bass,Right,Anthony Bass,4.95,5.23,20.0,100.0,105.0,101.0,0.727,8.55,4.05,8.55,1.35,1.0,0.233,0.517,0.083,0.38299999999999995,0.42,,,,,82.0,86.0,84.0,101.0,97.0,96.0,112.0,103.0,106.0,,,,0.293,0.08,,0.5589999999999999,,-8.56,,-2.67,1.9,,94.4,,94.5,85.4,0.333,,0.625,0.136,,93.0,95.0,101.0,0.068,1.43,86.8,0.25,,,,,,,,
65,2023-05-04,718316,Lineout,field_out,True,624512,542914,Reese McGuire,Anthony Bass,1,0,0,c836cbed-8b51-4e01-b9b5-885a9487ca21,542914.0,anthonybass,Bass,Right,Anthony Bass,4.95,5.23,20.0,100.0,105.0,101.0,0.727,8.55,4.05,8.55,1.35,1.0,0.233,0.517,0.083,0.38299999999999995,0.42,,,,,82.0,86.0,84.0,101.0,97.0,96.0,112.0,103.0,106.0,,,,0.293,0.08,,0.5589999999999999,,-8.56,,-2.67,1.9,,94.4,,94.5,85.4,0.333,,0.625,0.136,,93.0,95.0,101.0,0.068,1.43,86.8,0.25,,,,,,,,
66,2023-05-04,718316,Single,single,False,662139,670167,Daulton Varsho,John Schreiber,1,0,0,d1438cd1-cd38-469e-88bb-f272d0f798bd,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,,,,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.278,0.167,0.264,,,,,,,,,,,,,,,,,0.185
67,2023-05-04,718316,Strikeout,strikeout,True,656305,670167,Matt Chapman,John Schreiber,0,0,0,53da0547-0aca-4648-a39e-362118659462,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,,,,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.278,0.167,0.264,,,,,,,,,,,,,,,,,0.185
68,2023-05-04,718316,Grounded Into DP,grounded_into_double_play,True,672386,670167,Alejandro Kirk,John Schreiber,0,0,1,d07e7fee-1b69-4bba-8069-794bf5e6c2e5,670167.0,johnschreiber,Schreiber,Right,John Schreiber,3.86,4.13,46.2,102.0,111.0,104.0,0.76,10.22,4.82,7.91,1.16,1.09,0.32799999999999996,0.336,0.18,0.344,0.415,88.1,71.0,104.0,109.0,109.0,106.0,99.0,106.0,102.0,96.0,125.0,99.0,111.0,,,,0.253,0.289,0.001,0.375,0.08199999999999999,-0.15,7.1,0.39,-0.19,-0.09,93.2,90.0,92.7,80.9,0.278,0.167,0.264,,,,,,,,,,,,,,,,,0.185
69,2023-05-04,718316,Walk,walk,False,606132,647315,Raimel Tapia,Zach Pop,0,0,0,7bee5c22-f85a-464f-9bfb-bcf4fcb8bacc,647315.0,zachpop,Pop,Right,Zach Pop,6.59,5.62,13.2,93.0,104.0,97.0,0.731,9.22,3.95,7.24,2.63,1.17,0.278,0.389,0.083,0.33299999999999996,0.382,84.9,,,,,,,98.0,90.0,92.0,112.0,97.0,104.0,,,,0.605,,,0.39,0.005,,,0.16,0.15,-3.64,,,95.8,85.6,0.233,,,0.2,,,,,,,,,,,,,,,,
