,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vSI,vCU,SI_ba,FF_ba,CU_ba,CH_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,vSC (sc),SC%,wSC/C,ST_ba,SC_ba,FC_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
39,2023-05-25,718035,Single,single,False,593428,600921,Xander Bogaerts,Andrés Machado,1,1,1,d06ae9ec-f224-4df8-a034-61aa659f42c7,600921.0,andresmachado,"Machado, A",Right,Andrés Machado,5.22,5.52,50.0,104.0,100.0,103.0,0.7859999999999999,7.74,2.34,9.54,2.16,1.22,0.2,0.38,0.127,0.313,0.447,89.7,81.0,102.0,99.0,,,,107.0,103.0,100.0,107.0,108.0,110.0,0.298,0.295,,0.275,-2.5,-0.8,,3.03,96.6,96.0,,0.359,0.277,,0.196,109.0,99.0,104.0,0.132,-1.04,88.4,0.3,,,,,,,,,,,,,,,,,,,
40,2023-05-25,718035,Strikeout,strikeout,True,572761,600921,Matt Carpenter,Andrés Machado,0,0,1,045910be-b89a-4dd3-9b2d-59a43ce82ef2,600921.0,andresmachado,"Machado, A",Right,Andrés Machado,5.22,5.52,50.0,104.0,100.0,103.0,0.7859999999999999,7.74,2.34,9.54,2.16,1.22,0.2,0.38,0.127,0.313,0.447,89.7,81.0,102.0,99.0,,,,107.0,103.0,100.0,107.0,108.0,110.0,0.298,0.295,,0.275,-2.5,-0.8,,3.03,96.6,96.0,,0.359,0.277,,0.196,109.0,99.0,104.0,0.132,-1.04,88.4,0.3,,,,,,,,,,,,,,,,,,,
41,2023-05-25,718035,Double,double,False,596059,600921,Rougned Odor,Andrés Machado,0,0,1,e3349ad4-2634-4c32-ba94-50d7dc30643f,600921.0,andresmachado,"Machado, A",Right,Andrés Machado,5.22,5.52,50.0,104.0,100.0,103.0,0.7859999999999999,7.74,2.34,9.54,2.16,1.22,0.2,0.38,0.127,0.313,0.447,89.7,81.0,102.0,99.0,,,,107.0,103.0,100.0,107.0,108.0,110.0,0.298,0.295,,0.275,-2.5,-0.8,,3.03,96.6,96.0,,0.359,0.277,,0.196,109.0,99.0,104.0,0.132,-1.04,88.4,0.3,,,,,,,,,,,,,,,,,,,
42,2023-05-25,718035,Groundout,field_out,True,641525,600921,Brandon Dixon,Andrés Machado,0,0,0,941a373b-f25d-44f1-ad0c-6e01c08f9181,600921.0,andresmachado,"Machado, A",Right,Andrés Machado,5.22,5.52,50.0,104.0,100.0,103.0,0.7859999999999999,7.74,2.34,9.54,2.16,1.22,0.2,0.38,0.127,0.313,0.447,89.7,81.0,102.0,99.0,,,,107.0,103.0,100.0,107.0,108.0,110.0,0.298,0.295,,0.275,-2.5,-0.8,,3.03,96.6,96.0,,0.359,0.277,,0.196,109.0,99.0,104.0,0.132,-1.04,88.4,0.3,,,,,,,,,,,,,,,,,,,
43,2023-05-25,718035,Walk,walk,False,657041,605483,Lane Thomas,Blake Snell,1,0,0,82204f5b-1e77-4def-8738-6e0c72cf20c1,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
44,2023-05-25,718035,Single,single,False,671277,605483,Luis García Jr.,Blake Snell,0,0,1,859b13ff-da0c-49bf-99c7-d5dcdb0059fa,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
45,2023-05-25,718035,Strikeout,strikeout,True,608841,605483,Joey Meneses,Blake Snell,0,0,0,fa5c608c-c940-4fcb-9a7e-dff03d163fb8,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
46,2023-05-25,718035,Hit By Pitch,hit_by_pitch,False,600869,605483,Jeimer Candelario,Blake Snell,1,0,1,ad86c4fc-7e5b-4ad3-a84f-213de6a72b93,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
47,2023-05-25,718035,Strikeout,strikeout,True,656448,605483,Stone Garrett,Blake Snell,0,0,0,2d74c74e-1141-4b8b-9378-45153d6f7bb9,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
48,2023-05-25,718035,Strikeout,strikeout,True,642086,605483,Dominic Smith,Blake Snell,0,0,0,914e472e-e36c-4293-b188-4782b0967b5b,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
49,2023-05-25,718035,Walk,walk,False,663757,666168,Trent Grisham,Mason Thompson,0,0,0,86c72b56-0477-4b64-a1d8-b56ea2e78def,666168.0,masonthompson,"Thompson, M",Right,Mason Thompson,5.5,4.61,54.0,97.0,106.0,97.0,0.8009999999999999,7.33,3.67,10.33,0.67,1.7,0.3,0.34700000000000003,0.218,0.259,0.45399999999999996,86.3,106.0,84.0,85.0,121.0,90.0,93.0,88.0,107.0,99.0,106.0,94.0,94.0,0.569,0.06,0.084,0.002,-0.68,-1.59,-2.96,1.86,94.6,94.7,80.5,0.369,0.2,0.353,,104.0,104.0,106.0,0.285,2.35,84.7,0.14,,,,,,,,,,,,,,,,,,,
50,2023-05-25,718035,Flyout,field_out,True,664954,666168,Brett Sullivan,Mason Thompson,0,0,0,53a056bc-6553-48eb-8e06-0cf8ba7d6546,666168.0,masonthompson,"Thompson, M",Right,Mason Thompson,5.5,4.61,54.0,97.0,106.0,97.0,0.8009999999999999,7.33,3.67,10.33,0.67,1.7,0.3,0.34700000000000003,0.218,0.259,0.45399999999999996,86.3,106.0,84.0,85.0,121.0,90.0,93.0,88.0,107.0,99.0,106.0,94.0,94.0,0.569,0.06,0.084,0.002,-0.68,-1.59,-2.96,1.86,94.6,94.7,80.5,0.369,0.2,0.353,,104.0,104.0,106.0,0.285,2.35,84.7,0.14,,,,,,,,,,,,,,,,,,,
51,2023-05-25,718035,Groundout,field_out,True,665487,666168,Fernando Tatis Jr.,Mason Thompson,0,0,1,be3c75ea-6a56-4b31-923a-3f467c52fef4,666168.0,masonthompson,"Thompson, M",Right,Mason Thompson,5.5,4.61,54.0,97.0,106.0,97.0,0.8009999999999999,7.33,3.67,10.33,0.67,1.7,0.3,0.34700000000000003,0.218,0.259,0.45399999999999996,86.3,106.0,84.0,85.0,121.0,90.0,93.0,88.0,107.0,99.0,106.0,94.0,94.0,0.569,0.06,0.084,0.002,-0.68,-1.59,-2.96,1.86,94.6,94.7,80.5,0.369,0.2,0.353,,104.0,104.0,106.0,0.285,2.35,84.7,0.14,,,,,,,,,,,,,,,,,,,
