,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,CH_ba,SI_ba,ST_ba,FF_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,SL_ba
20,2023-07-09,717422,Single,single,False,596103,607536,Austin Slater,Kyle Freeland,1,0,0,223565e0-df01-460c-b85d-8b73625d612a,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
21,2023-07-09,717422,Single,single,False,527038,607536,Wilmer Flores,Kyle Freeland,0,0,1,95feab23-4dd9-4ae7-b4d5-e5e67335b6b7,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
22,2023-07-09,717422,Grounded Into DP,grounded_into_double_play,True,672275,607536,Patrick Bailey,Kyle Freeland,1,0,1,a23f79f7-a488-4846-9fb7-af9289aff950,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
23,2023-07-09,717422,Strikeout,strikeout,True,641857,657277,Ryan McMahon,Logan Webb,0,0,0,6c00db0d-bd3b-4b26-9a3b-e2fec51e0eab,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
24,2023-07-09,717422,Groundout,field_out,True,553869,657277,Elias Díaz,Logan Webb,0,0,0,74688ac6-d4a7-4315-b531-6188ac559855,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
25,2023-07-09,717422,Strikeout,strikeout,True,543068,657277,C.J. Cron,Logan Webb,0,0,0,6321d443-a599-4949-a924-e889114b27d8,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
26,2023-07-09,717422,Home Run,home_run,False,605204,607536,J.D. Davis,Kyle Freeland,0,0,0,ac60c50b-5d6a-4345-80e2-cb15e18b0e6a,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
27,2023-07-09,717422,Single,single,False,624424,607536,Michael Conforto,Kyle Freeland,0,0,0,2694ed03-537d-4f2e-a3e0-417adb1498a7,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
28,2023-07-09,717422,Sac Bunt,sac_bunt,True,682641,607536,Luis Matos,Kyle Freeland,0,0,1,45d6125e-b4a4-43eb-a0d9-2adbec437c86,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
29,2023-07-09,717422,Walk,walk,False,573262,607536,Mike Yastrzemski,Kyle Freeland,0,0,0,0b409c76-e5e2-4201-8ee4-050a70fc96ac,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
30,2023-07-09,717422,Grounded Into DP,grounded_into_double_play,True,669477,607536,Casey Schmitt,Kyle Freeland,0,0,1,19970968-dd62-43a6-8aee-a01f2e849d77,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
31,2023-07-09,717422,Groundout,field_out,True,666134,657277,Nolan Jones,Logan Webb,0,0,0,66f08522-b64d-4188-b6e2-52ee90f49a10,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
32,2023-07-09,717422,Flyout,field_out,True,678662,657277,Ezequiel Tovar,Logan Webb,1,0,0,ea1e0347-c025-4f3c-83b1-30f6848c6bcd,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
33,2023-07-09,717422,Single,single,False,605612,657277,Harold Castro,Logan Webb,0,0,0,850689d9-a05f-4d9d-a568-bbbf198caf39,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
34,2023-07-09,717422,Flyout,field_out,True,686668,657277,Brenton Doyle,Logan Webb,1,0,0,81431237-0b09-4870-b22f-863bc7cbaf18,657277.0,loganwebb,Webb,Right,Logan Webb,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.14300000000000002,0.325,0.419,87.5,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037000000000000005,0.212,0.41600000000000004,-1.37,0.31,0.11,2.18,92.6,92.3,84.3,0.225,0.313,0.208,0.226,,,,,,,,
35,2023-07-09,717422,Groundout,field_out,True,689172,607536,Brett Wisely,Kyle Freeland,1,0,0,29451363-1958-4c7f-8f4b-78c5e1218e6b,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
36,2023-07-09,717422,Flyout,field_out,True,596103,607536,Austin Slater,Kyle Freeland,0,0,0,ab325331-e88f-4248-ad02-a6eb9b083b52,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.20199999999999999,0.441,0.122,0.391,0.43700000000000006,84.2,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.28300000000000003,0.184,0.23600000000000002,0.122,1.13,-0.86,-0.2,-3.3,88.8,88.7,84.1,0.435,0.349,,0.239,96.0,105.0,105.0,0.17600000000000002,-1.91,80.6,0.261,0.246
