,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,FF_ba,FC_ba,SI_ba,CH_ba,CU_ba,ST_ba,SL_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
56,2023-08-04,717134,Single,single,False,669720,657585,Austin Hays,Reed Garrett,0,0,1,27521371-b46c-4a0d-be9d-3d5db23793b8,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,6.41,4.51,19.2,100.0,113.0,105.0,0.73,7.32,3.2,10.07,1.37,1.47,0.23800000000000002,0.381,0.222,0.33299999999999996,0.41200000000000003,,,,,121.0,103.0,127.0,112.0,98.0,100.0,121.0,93.0,99.0,117.0,99.0,108.0,,,,0.135,0.32,,0.375,0.026000000000000002,,-1.41,,2.73,-0.17,8.55,,96.3,,95.9,89.4,84.9,0.286,0.32,0.167,,0.0,0.4,,,,,,,,98.0,99.0,106.0,0.14400000000000002,-4.26,87.5,0.231
57,2023-08-04,717134,Home Run,home_run,False,676059,657585,Jordan Westburg,Reed Garrett,0,0,1,c601c1f9-b845-4bff-a35e-2adc48ea2824,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,6.41,4.51,19.2,100.0,113.0,105.0,0.73,7.32,3.2,10.07,1.37,1.47,0.23800000000000002,0.381,0.222,0.33299999999999996,0.41200000000000003,,,,,121.0,103.0,127.0,112.0,98.0,100.0,121.0,93.0,99.0,117.0,99.0,108.0,,,,0.135,0.32,,0.375,0.026000000000000002,,-1.41,,2.73,-0.17,8.55,,96.3,,95.9,89.4,84.9,0.286,0.32,0.167,,0.0,0.4,,,,,,,,98.0,99.0,106.0,0.14400000000000002,-4.26,87.5,0.231
58,2023-08-04,717134,Walk,walk,False,681297,657585,Colton Cowser,Reed Garrett,0,0,0,234f7d25-22dc-4f45-ab86-95962d7dc939,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,6.41,4.51,19.2,100.0,113.0,105.0,0.73,7.32,3.2,10.07,1.37,1.47,0.23800000000000002,0.381,0.222,0.33299999999999996,0.41200000000000003,,,,,121.0,103.0,127.0,112.0,98.0,100.0,121.0,93.0,99.0,117.0,99.0,108.0,,,,0.135,0.32,,0.375,0.026000000000000002,,-1.41,,2.73,-0.17,8.55,,96.3,,95.9,89.4,84.9,0.286,0.32,0.167,,0.0,0.4,,,,,,,,98.0,99.0,106.0,0.14400000000000002,-4.26,87.5,0.231
59,2023-08-04,717134,Single,single,False,602104,641627,Ramón Urías,Trevor Gott,0,0,1,c9c7e85b-0bb1-41f4-9021-d2df60a44379,641627.0,trevorgott,Gott,Right,Trevor Gott,4.19,3.48,58.0,103.0,96.0,98.0,0.7909999999999999,9.62,2.95,9.78,0.62,1.08,0.358,0.267,0.205,0.273,0.41600000000000004,87.0,66.0,91.0,88.0,90.0,90.0,91.0,86.0,107.0,101.0,102.0,101.0,94.0,,,,102.0,105.0,100.0,0.278,0.21899999999999997,0.391,,0.071,0.040999999999999995,-0.31,0.78,1.32,,-2.62,-6.25,93.3,89.2,93.8,,80.7,0.265,0.247,0.268,0.444,0.286,,,,,,,,,,,,,,,
60,2023-08-04,717134,Single,single,False,543510,641627,James McCann,Trevor Gott,0,0,1,1df88007-5ed1-4409-9066-d7ee8d93727c,641627.0,trevorgott,Gott,Right,Trevor Gott,4.19,3.48,58.0,103.0,96.0,98.0,0.7909999999999999,9.62,2.95,9.78,0.62,1.08,0.358,0.267,0.205,0.273,0.41600000000000004,87.0,66.0,91.0,88.0,90.0,90.0,91.0,86.0,107.0,101.0,102.0,101.0,94.0,,,,102.0,105.0,100.0,0.278,0.21899999999999997,0.391,,0.071,0.040999999999999995,-0.31,0.78,1.32,,-2.62,-6.25,93.3,89.2,93.8,,80.7,0.265,0.247,0.268,0.444,0.286,,,,,,,,,,,,,,,
61,2023-08-04,717134,Strikeout,strikeout,True,663630,641627,Ryan McKenna,Trevor Gott,0,0,0,b26a0254-136f-46be-9258-c732ebd2307e,641627.0,trevorgott,Gott,Right,Trevor Gott,4.19,3.48,58.0,103.0,96.0,98.0,0.7909999999999999,9.62,2.95,9.78,0.62,1.08,0.358,0.267,0.205,0.273,0.41600000000000004,87.0,66.0,91.0,88.0,90.0,90.0,91.0,86.0,107.0,101.0,102.0,101.0,94.0,,,,102.0,105.0,100.0,0.278,0.21899999999999997,0.391,,0.071,0.040999999999999995,-0.31,0.78,1.32,,-2.62,-6.25,93.3,89.2,93.8,,80.7,0.265,0.247,0.268,0.444,0.286,,,,,,,,,,,,,,,
62,2023-08-04,717134,Pop Out,field_out,True,668939,641627,Adley Rutschman,Trevor Gott,0,0,0,f4589dfb-c3e9-40a8-8659-936309bfcdac,641627.0,trevorgott,Gott,Right,Trevor Gott,4.19,3.48,58.0,103.0,96.0,98.0,0.7909999999999999,9.62,2.95,9.78,0.62,1.08,0.358,0.267,0.205,0.273,0.41600000000000004,87.0,66.0,91.0,88.0,90.0,90.0,91.0,86.0,107.0,101.0,102.0,101.0,94.0,,,,102.0,105.0,100.0,0.278,0.21899999999999997,0.391,,0.071,0.040999999999999995,-0.31,0.78,1.32,,-2.62,-6.25,93.3,89.2,93.8,,80.7,0.265,0.247,0.268,0.444,0.286,,,,,,,,,,,,,,,
63,2023-08-04,717134,Strikeout,strikeout,True,663624,641627,Ryan Mountcastle,Trevor Gott,0,0,0,213b8d1b-24a7-4aaf-9173-79e5412a49b7,641627.0,trevorgott,Gott,Right,Trevor Gott,4.19,3.48,58.0,103.0,96.0,98.0,0.7909999999999999,9.62,2.95,9.78,0.62,1.08,0.358,0.267,0.205,0.273,0.41600000000000004,87.0,66.0,91.0,88.0,90.0,90.0,91.0,86.0,107.0,101.0,102.0,101.0,94.0,,,,102.0,105.0,100.0,0.278,0.21899999999999997,0.391,,0.071,0.040999999999999995,-0.31,0.78,1.32,,-2.62,-6.25,93.3,89.2,93.8,,80.7,0.265,0.247,0.268,0.444,0.286,,,,,,,,,,,,,,,
64,2023-08-04,717134,Strikeout,strikeout,True,668901,608344,Mark Vientos,Cole Irvin,0,0,0,066ee491-1130-4340-b38a-ef7d5b672931,608344.0,coleirvin,"Irvin, C",Left,Cole Irvin,4.42,5.59,77.1,104.0,80.0,97.0,0.8109999999999999,7.91,2.44,9.08,1.28,1.11,0.267,0.379,0.163,0.321,0.447,84.2,75.0,106.0,101.0,92.0,94.0,91.0,68.0,110.0,99.0,75.0,103.0,97.0,,,,99.0,99.0,94.0,0.207,0.28,0.159,,0.14300000000000002,0.21100000000000002,0.22,2.29,0.95,,-0.89,-2.77,92.2,85.5,91.9,,77.2,0.247,0.18,0.28,0.324,0.229,,,,,,,,,,,,,,,
65,2023-08-04,717134,Double,double,False,542364,608344,Rafael Ortega,Cole Irvin,0,0,1,06133297-b27a-48ef-a2a3-3c502a315dfd,608344.0,coleirvin,"Irvin, C",Left,Cole Irvin,4.42,5.59,77.1,104.0,80.0,97.0,0.8109999999999999,7.91,2.44,9.08,1.28,1.11,0.267,0.379,0.163,0.321,0.447,84.2,75.0,106.0,101.0,92.0,94.0,91.0,68.0,110.0,99.0,75.0,103.0,97.0,,,,99.0,99.0,94.0,0.207,0.28,0.159,,0.14300000000000002,0.21100000000000002,0.22,2.29,0.95,,-0.89,-2.77,92.2,85.5,91.9,,77.2,0.247,0.18,0.28,0.324,0.229,,,,,,,,,,,,,,,
