,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FC_ba,FF_ba,SL_ba,CH_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,ST_ba
10,2023-04-02,718740,Hit By Pitch,hit_by_pitch,False,683734,677651,Andrew Vaughn,Luis Garcia,0,0,0,a7d8435a-ba69-462e-8778-5c0abf293ff9,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
11,2023-04-02,718740,Single,single,False,518735,677651,Yasmani Grandal,Luis Garcia,0,0,1,9542df46-e025-4200-9730-658366dbfdfd,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
12,2023-04-02,718740,Strikeout,strikeout,True,693049,677651,Oscar Colás,Luis Garcia,0,0,0,45e1ff35-1403-4346-a040-754d51ad26bf,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
13,2023-04-02,718740,Strikeout,strikeout,True,462101,677651,Elvis Andrus,Luis Garcia,0,0,0,c87a9cb0-0c01-414d-ba4c-5ebc116b20c4,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
14,2023-04-02,718740,Groundout,field_out,True,641313,677651,Tim Anderson,Luis Garcia,0,0,0,78c550a3-43a6-4af7-ac5a-e61b4b638ec5,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
15,2023-04-02,718740,Hit By Pitch,hit_by_pitch,False,676801,605182,Chas McCormick,Mike Clevinger,1,1,0,1b72f83d-11f4-472e-93f8-4943ba21281b,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
16,2023-04-02,718740,Strikeout,strikeout,True,667452,605182,Corey Julks,Mike Clevinger,0,0,1,587de9d7-9427-4127-8de0-62ec6253c124,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
17,2023-04-02,718740,Bunt Groundout,field_out,True,643289,605182,Mauricio Dubón,Mike Clevinger,0,0,1,7b66fec3-8881-459a-b834-9e710817966d,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
18,2023-04-02,718740,Walk,walk,False,455117,605182,Martín Maldonado,Mike Clevinger,1,0,0,3f106c66-60a8-491c-b0c8-000f2dc86c09,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
19,2023-04-02,718740,Groundout,field_out,True,665161,605182,Jeremy Peña,Mike Clevinger,1,0,0,bb550383-5e79-41ac-b288-c0fa4f6f030c,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
