,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vSI,vSL,FF_ba,SI_ba,SL_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,CU_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
10,2023-08-27,716820,Home Run,home_run,False,606192,679525,Teoscar Hernández,Alec Marsh,0,0,0,bab36266-9000-4ca6-ba73-63834fea1b4a,679525.0,alecmarsh,Marsh,Right,Alec Marsh,5.69,5.92,74.1,94.0,97.0,94.0,0.728,10.29,4.72,9.32,1.94,0.82,0.17800000000000002,0.428,0.096,0.35600000000000004,0.386,87.0,78.0,99.0,92.0,96.0,91.0,88.0,98.0,98.0,96.0,106.0,91.0,99.0,0.07200000000000001,0.373,0.258,0.149,-0.89,1.98,-1.26,-3.65,94.2,94.1,86.1,0.256,0.29,0.233,0.346,100.0,97.0,101.0,0.149,-0.87,81.1,0.208,0.263,,,,,,,
11,2023-08-27,716820,Hit By Pitch,hit_by_pitch,False,664034,679525,Ty France,Alec Marsh,0,0,0,5c2f72ff-2ddd-4fd5-bd3d-54f6d3b9c66b,679525.0,alecmarsh,Marsh,Right,Alec Marsh,5.69,5.92,74.1,94.0,97.0,94.0,0.728,10.29,4.72,9.32,1.94,0.82,0.17800000000000002,0.428,0.096,0.35600000000000004,0.386,87.0,78.0,99.0,92.0,96.0,91.0,88.0,98.0,98.0,96.0,106.0,91.0,99.0,0.07200000000000001,0.373,0.258,0.149,-0.89,1.98,-1.26,-3.65,94.2,94.1,86.1,0.256,0.29,0.233,0.346,100.0,97.0,101.0,0.149,-0.87,81.1,0.208,0.263,,,,,,,
12,2023-08-27,716820,Flyout,field_out,True,686527,679525,Dominic Canzone,Alec Marsh,1,0,0,264719fb-37fc-446c-b207-cbc35a446f73,679525.0,alecmarsh,Marsh,Right,Alec Marsh,5.69,5.92,74.1,94.0,97.0,94.0,0.728,10.29,4.72,9.32,1.94,0.82,0.17800000000000002,0.428,0.096,0.35600000000000004,0.386,87.0,78.0,99.0,92.0,96.0,91.0,88.0,98.0,98.0,96.0,106.0,91.0,99.0,0.07200000000000001,0.373,0.258,0.149,-0.89,1.98,-1.26,-3.65,94.2,94.1,86.1,0.256,0.29,0.233,0.346,100.0,97.0,101.0,0.149,-0.87,81.1,0.208,0.263,,,,,,,
13,2023-08-27,716820,Strikeout,strikeout,True,687799,679525,Cade Marlowe,Alec Marsh,0,0,0,64ca28db-974e-4013-9093-9bd6f5ecfcc0,679525.0,alecmarsh,Marsh,Right,Alec Marsh,5.69,5.92,74.1,94.0,97.0,94.0,0.728,10.29,4.72,9.32,1.94,0.82,0.17800000000000002,0.428,0.096,0.35600000000000004,0.386,87.0,78.0,99.0,92.0,96.0,91.0,88.0,98.0,98.0,96.0,106.0,91.0,99.0,0.07200000000000001,0.373,0.258,0.149,-0.89,1.98,-1.26,-3.65,94.2,94.1,86.1,0.256,0.29,0.233,0.346,100.0,97.0,101.0,0.149,-0.87,81.1,0.208,0.263,,,,,,,
14,2023-08-27,716820,Strikeout,strikeout,True,668942,679525,Josh Rojas,Alec Marsh,0,0,0,092d42b2-3488-4393-b70c-1ece08d02ef5,679525.0,alecmarsh,Marsh,Right,Alec Marsh,5.69,5.92,74.1,94.0,97.0,94.0,0.728,10.29,4.72,9.32,1.94,0.82,0.17800000000000002,0.428,0.096,0.35600000000000004,0.386,87.0,78.0,99.0,92.0,96.0,91.0,88.0,98.0,98.0,96.0,106.0,91.0,99.0,0.07200000000000001,0.373,0.258,0.149,-0.89,1.98,-1.26,-3.65,94.2,94.1,86.1,0.256,0.29,0.233,0.346,100.0,97.0,101.0,0.149,-0.87,81.1,0.208,0.263,,,,,,,
15,2023-08-27,716820,Strikeout,strikeout,True,676369,622491,Nelson Velázquez,Luis Castillo,0,0,0,e7a12ed3-4277-4abc-bfc4-3fd54d795983,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,
16,2023-08-27,716820,Walk,walk,False,607461,622491,Matt Beaty,Luis Castillo,0,0,0,27ac0102-2c2e-48b8-b37b-eca322c33fa9,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,
17,2023-08-27,716820,Strikeout,strikeout,True,664728,622491,Kyle Isbel,Luis Castillo,0,0,0,cbc45e18-377b-47a5-9584-43745f40ae16,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,
18,2023-08-27,716820,Single,single,False,672580,622491,Maikel Garcia,Luis Castillo,1,0,1,c5e57ec1-3867-4612-a2c4-5c4c74e77619,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,
19,2023-08-27,716820,Forceout,force_out,True,677951,622491,Bobby Witt Jr.,Luis Castillo,0,0,1,61ba97a4-002a-4293-bc90-c9984fef577b,622491.0,luiscastillo,"Castillo, L",Right,Luis Castillo,3.34,3.82,197.0,103.0,96.0,102.0,0.7170000000000001,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.33299999999999996,0.42200000000000004,88.3,83.0,108.0,105.0,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,95.9,85.7,0.165,0.239,0.234,0.28,,,,,,,,,,,,,,,
