,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,SI_ba,ST_ba,FF_ba,CU_ba,FC_ba,CH_ba,SL_ba,KC%,wKC/C,vKC,FS%,wFS/C,vFS,FS_ba
23,2023-04-19,718512,Single,single,False,606466,663765,Ketel Marte,Jake Woodford,0,0,0,cae39797-3847-4914-b60f-e6e73f2f47d9,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
24,2023-04-19,718512,Double,double,False,682998,663765,Corbin Carroll,Jake Woodford,0,0,1,64519627-3695-4e25-9073-57250d7de501,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
25,2023-04-19,718512,Sac Fly,sac_fly,True,572233,663765,Christian Walker,Jake Woodford,0,0,1,fdfa1c65-6fac-479b-8f3c-d5af5d496855,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
26,2023-04-19,718512,Groundout,field_out,True,666971,663765,Lourdes Gurriel Jr.,Jake Woodford,1,0,0,a11b117c-340c-4da6-944d-73e206c5eb3d,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
27,2023-04-19,718512,Walk,walk,False,575929,518516,Willson Contreras,Madison Bumgarner,0,0,0,1f5d6c55-3e64-4b65-a7fa-cd517072f512,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
28,2023-04-19,718512,Double,double,False,641933,518516,Tyler O'Neill,Madison Bumgarner,1,1,1,20086cc3-6562-4f2c-9773-4be155de3644,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
29,2023-04-19,718512,Single,single,False,691023,518516,Jordan Walker,Madison Bumgarner,0,0,1,f9d9354f-4d3d-49da-b2a1-ff7f9e0794d7,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
30,2023-04-19,718512,Strikeout,strikeout,True,600301,518516,Taylor Motter,Madison Bumgarner,0,0,0,93f02731-ab2b-47bd-b935-93a3d4a2bf86,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
31,2023-04-19,718512,Pop Out,field_out,True,668800,518516,Andrew Knizner,Madison Bumgarner,1,0,0,64d33568-855d-4045-949e-ab94b5ad6980,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
32,2023-04-19,718512,Home Run,home_run,False,669242,518516,Tommy Edman,Madison Bumgarner,0,0,1,2ccefcac-34b6-448a-8549-23f446c47696,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
