,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,SI_ba,CU_ba,FC_ba,FF_ba,ST_ba,CH_ba,SL_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
47,2023-07-26,717252,Groundout,field_out,True,664040,645261,Brandon Lowe,Sandy Alcantara,0,0,0,06376e9a-691e-4a08-97a3-5ed53454f4d0,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.022000000000000002,0.273,-0.27,,1.72,0.72,-0.52,-0.43,98.0,,97.6,89.9,86.1,0.237,0.308,,0.253,,0.282,0.227,,,,,,,
48,2023-07-26,717252,Strikeout,strikeout,True,677551,645261,Wander Franco,Sandy Alcantara,0,0,0,b0ecdcb0-48e7-43c2-9003-331d43060003,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.022000000000000002,0.273,-0.27,,1.72,0.72,-0.52,-0.43,98.0,,97.6,89.9,86.1,0.237,0.308,,0.253,,0.282,0.227,,,,,,,
49,2023-07-26,717252,Strikeout,strikeout,True,650559,542888,Bryan De La Cruz,Shawn Armstrong,0,0,0,4fdea64b-7b76-494d-8d4e-e8ac742a1d6b,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,1.38,2.65,52.0,108.0,105.0,108.0,0.7659999999999999,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.43700000000000006,,,,,,,,107.0,122.0,119.0,107.0,103.0,102.0,109.0,123.0,132.0,101.0,103.0,103.0,0.341,0.20800000000000002,0.376,0.07400000000000001,,,2.69,2.25,2.2,-2.41,,,94.5,91.4,94.7,85.2,,0.213,,0.191,0.089,,,0.353,,,,,,,
50,2023-07-26,717252,Triple,triple,False,641658,542888,Garrett Hampson,Shawn Armstrong,0,0,0,931a195e-4499-471f-954d-afff2a88dc3a,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,1.38,2.65,52.0,108.0,105.0,108.0,0.7659999999999999,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.43700000000000006,,,,,,,,107.0,122.0,119.0,107.0,103.0,102.0,109.0,123.0,132.0,101.0,103.0,103.0,0.341,0.20800000000000002,0.376,0.07400000000000001,,,2.69,2.25,2.2,-2.41,,,94.5,91.4,94.7,85.2,,0.213,,0.191,0.089,,,0.353,,,,,,,
51,2023-07-26,717252,Pop Out,field_out,True,493329,542888,Yuli Gurriel,Shawn Armstrong,1,0,0,56af35a9-6b24-4980-8b55-39d8b4ba437b,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,1.38,2.65,52.0,108.0,105.0,108.0,0.7659999999999999,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.43700000000000006,,,,,,,,107.0,122.0,119.0,107.0,103.0,102.0,109.0,123.0,132.0,101.0,103.0,103.0,0.341,0.20800000000000002,0.376,0.07400000000000001,,,2.69,2.25,2.2,-2.41,,,94.5,91.4,94.7,85.2,,0.213,,0.191,0.089,,,0.353,,,,,,,
52,2023-07-26,717252,Flyout,field_out,True,621563,542888,Joey Wendle,Shawn Armstrong,0,0,0,33d50728-612f-4d3e-b2bd-76ac5ca19526,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,1.38,2.65,52.0,108.0,105.0,108.0,0.7659999999999999,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.43700000000000006,,,,,,,,107.0,122.0,119.0,107.0,103.0,102.0,109.0,123.0,132.0,101.0,103.0,103.0,0.341,0.20800000000000002,0.376,0.07400000000000001,,,2.69,2.25,2.2,-2.41,,,94.5,91.4,94.7,85.2,,0.213,,0.191,0.089,,,0.353,,,,,,,
53,2023-07-26,717252,Strikeout,strikeout,True,668227,645261,Randy Arozarena,Sandy Alcantara,0,0,0,728f99ce-32ff-43ee-80c0-29a78dc99639,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.022000000000000002,0.273,-0.27,,1.72,0.72,-0.52,-0.43,98.0,,97.6,89.9,86.1,0.237,0.308,,0.253,,0.282,0.227,,,,,,,
54,2023-07-26,717252,Walk,walk,False,670042,645261,Luke Raley,Sandy Alcantara,1,0,0,0f6f7821-4176-4b94-9b89-805c7a1e0971,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.022000000000000002,0.273,-0.27,,1.72,0.72,-0.52,-0.43,98.0,,97.6,89.9,86.1,0.237,0.308,,0.253,,0.282,0.227,,,,,,,
55,2023-07-26,717252,Groundout,field_out,True,670623,645261,Isaac Paredes,Sandy Alcantara,0,0,1,bdf9642e-ae01-4682-984b-1ef05007ffbb,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.022000000000000002,0.273,-0.27,,1.72,0.72,-0.52,-0.43,98.0,,97.6,89.9,86.1,0.237,0.308,,0.253,,0.282,0.227,,,,,,,
56,2023-07-26,717252,Pop Out,field_out,True,623912,645261,Harold Ramírez,Sandy Alcantara,1,0,0,de6300d3-1c86-45e5-a340-5cfa0b6cee1d,645261.0,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,4.14,4.33,184.2,105.0,113.0,108.0,0.7709999999999999,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.34299999999999997,0.452,91.1,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.022000000000000002,0.273,-0.27,,1.72,0.72,-0.52,-0.43,98.0,,97.6,89.9,86.1,0.237,0.308,,0.253,,0.282,0.227,,,,,,,
