,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,SI_ba,SL_ba,FC_ba,FF_ba,CU_ba,CH_ba,KC%,wKC/C,vKC,ST_ba,Stf+ KC,Loc+ KC,Pit+ KC
50,2023-06-27,717595,Caught Stealing 2B,caught_stealing_2b,True,624431,668674,Jose Trevino,Lucas Erceg,0,0,0,c8aee591-3325-493d-ad42-02f5088f525c,668674.0,lucaserceg,Erceg,Right,Lucas Erceg,4.75,3.69,55.0,97.0,108.0,99.0,0.7440000000000001,11.13,5.89,8.35,0.16,1.33,0.255,0.433,0.20600000000000002,0.22699999999999998,0.395,90.3,91.0,98.0,102.0,,,,98.0,104.0,99.0,130.0,92.0,100.0,103.0,97.0,100.0,89.0,82.0,77.0,0.303,0.284,0.045,0.147,,0.221,0.49,-5.09,0.56,-1.58,,0.65,98.0,90.7,98.0,86.2,,0.28,0.318,0.5,0.19,,0.19,,,,,,,
51,2023-06-27,717595,Strikeout,strikeout,True,607054,592454,Jace Peterson,Tommy Kahnle,0,0,0,37afe93a-bd37-460f-927b-ccde95ce4d2b,592454.0,tommykahnle,Kahnle,Right,Tommy Kahnle,2.66,2.86,40.2,97.0,98.0,96.0,0.664,10.62,4.2,5.75,1.11,1.34,0.14400000000000002,0.515,0.165,0.258,0.38,88.8,99.0,98.0,98.0,,,,94.0,95.0,92.0,94.0,90.0,86.0,110.0,80.0,89.0,,,,0.053,0.166,,0.023,,0.758,0.58,,4.5,-1.84,,1.06,95.3,,94.3,85.0,,0.0,,,0.176,,0.2,,,,,,,
52,2023-06-27,717595,Strikeout,strikeout,True,669127,592454,Shea Langeliers,Tommy Kahnle,0,0,0,d2c903a2-3c63-4156-9cfd-b7f307c19b2f,592454.0,tommykahnle,Kahnle,Right,Tommy Kahnle,2.66,2.86,40.2,97.0,98.0,96.0,0.664,10.62,4.2,5.75,1.11,1.34,0.14400000000000002,0.515,0.165,0.258,0.38,88.8,99.0,98.0,98.0,,,,94.0,95.0,92.0,94.0,90.0,86.0,110.0,80.0,89.0,,,,0.053,0.166,,0.023,,0.758,0.58,,4.5,-1.84,,1.06,95.3,,94.3,85.0,,0.0,,,0.176,,0.2,,,,,,,
53,2023-06-27,717595,Groundout,field_out,True,642180,592454,Tyler Wade,Tommy Kahnle,1,0,0,b03b20be-6b15-4e9f-9afa-077f7bd592b8,592454.0,tommykahnle,Kahnle,Right,Tommy Kahnle,2.66,2.86,40.2,97.0,98.0,96.0,0.664,10.62,4.2,5.75,1.11,1.34,0.14400000000000002,0.515,0.165,0.258,0.38,88.8,99.0,98.0,98.0,,,,94.0,95.0,92.0,94.0,90.0,86.0,110.0,80.0,89.0,,,,0.053,0.166,,0.023,,0.758,0.58,,4.5,-1.84,,1.06,95.3,,94.3,85.0,,0.0,,,0.176,,0.2,,,,,,,
54,2023-06-27,717595,Strikeout,strikeout,True,665828,543507,Oswaldo Cabrera,Trevor May,0,0,0,5c56d3f2-fdec-433e-b3a9-0be8c9c0e0c8,543507.0,trevormay,May,Right,Trevor May,3.28,4.58,46.2,98.0,95.0,98.0,0.767,7.71,5.59,6.75,0.77,0.68,0.226,0.444,0.21100000000000002,0.308,0.41100000000000003,87.8,76.0,100.0,100.0,,,,94.0,92.0,92.0,,,,109.0,105.0,107.0,,,,,0.425,,0.353,,0.223,0.0,,,0.74,,1.72,94.7,,,83.6,,,0.283,,0.175,,0.2,,,,0.16,,,
55,2023-06-27,717595,Walk,walk,False,518934,543507,DJ LeMahieu,Trevor May,0,0,0,e3e7ce95-a8fa-4bab-b679-878b20af60af,543507.0,trevormay,May,Right,Trevor May,3.28,4.58,46.2,98.0,95.0,98.0,0.767,7.71,5.59,6.75,0.77,0.68,0.226,0.444,0.21100000000000002,0.308,0.41100000000000003,87.8,76.0,100.0,100.0,,,,94.0,92.0,92.0,,,,109.0,105.0,107.0,,,,,0.425,,0.353,,0.223,0.0,,,0.74,,1.72,94.7,,,83.6,,,0.283,,0.175,,0.2,,,,0.16,,,
56,2023-06-27,717595,Flyout,field_out,True,664056,543507,Harrison Bader,Trevor May,0,0,0,ca4cc25e-f6bb-4b9b-baba-8e7030dcf6cb,543507.0,trevormay,May,Right,Trevor May,3.28,4.58,46.2,98.0,95.0,98.0,0.767,7.71,5.59,6.75,0.77,0.68,0.226,0.444,0.21100000000000002,0.308,0.41100000000000003,87.8,76.0,100.0,100.0,,,,94.0,92.0,92.0,,,,109.0,105.0,107.0,,,,,0.425,,0.353,,0.223,0.0,,,0.74,,1.72,94.7,,,83.6,,,0.283,,0.175,,0.2,,,,0.16,,,
57,2023-06-27,717595,Walk,walk,False,519203,543507,Anthony Rizzo,Trevor May,0,0,1,a06d26f0-aff6-463e-b7eb-56a2c33ff242,543507.0,trevormay,May,Right,Trevor May,3.28,4.58,46.2,98.0,95.0,98.0,0.767,7.71,5.59,6.75,0.77,0.68,0.226,0.444,0.21100000000000002,0.308,0.41100000000000003,87.8,76.0,100.0,100.0,,,,94.0,92.0,92.0,,,,109.0,105.0,107.0,,,,,0.425,,0.353,,0.223,0.0,,,0.74,,1.72,94.7,,,83.6,,,0.283,,0.175,,0.2,,,,0.16,,,
58,2023-06-27,717595,Groundout,field_out,True,519317,543507,Giancarlo Stanton,Trevor May,1,1,0,dd64cbcf-d0e0-4c66-b021-ec38d7c3cbc0,543507.0,trevormay,May,Right,Trevor May,3.28,4.58,46.2,98.0,95.0,98.0,0.767,7.71,5.59,6.75,0.77,0.68,0.226,0.444,0.21100000000000002,0.308,0.41100000000000003,87.8,76.0,100.0,100.0,,,,94.0,92.0,92.0,,,,109.0,105.0,107.0,,,,,0.425,,0.353,,0.223,0.0,,,0.74,,1.72,94.7,,,83.6,,,0.283,,0.175,,0.2,,,,0.16,,,
59,2023-06-27,717595,Single,single,False,665923,592454,Esteury Ruiz,Tommy Kahnle,1,0,0,e1ab2c02-8f11-433d-b25c-b1079b381e9c,592454.0,tommykahnle,Kahnle,Right,Tommy Kahnle,2.66,2.86,40.2,97.0,98.0,96.0,0.664,10.62,4.2,5.75,1.11,1.34,0.14400000000000002,0.515,0.165,0.258,0.38,88.8,99.0,98.0,98.0,,,,94.0,95.0,92.0,94.0,90.0,86.0,110.0,80.0,89.0,,,,0.053,0.166,,0.023,,0.758,0.58,,4.5,-1.84,,1.06,95.3,,94.3,85.0,,0.0,,,0.176,,0.2,,,,,,,
