,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,FC_ba,CH_ba,SI_ba,FF_ba,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,FS_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,SL_ba
20,2023-08-21,716912,Groundout,field_out,True,669242,641672,Tommy Edman,Thomas Hatch,0,0,0,3b19df5a-e03e-4444-9863-3b7788ef9088,641672.0,thomashatch,Hatch,Right,Thomas Hatch,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.39299999999999996,0.373,85.5,52.0,90.0,78.0,112.0,102.0,92.0,98.0,100.0,92.0,109.0,98.0,96.0,0.243,0.133,0.35,0.002,0.272,-4.69,2.36,0.69,-3.64,-2.77,94.7,87.9,94.8,83.8,0.216,0.351,0.28,0.385,,,,,,,,,,,,,,,,,,,
21,2023-08-21,716912,Groundout,field_out,True,641933,641672,Tyler O'Neill,Thomas Hatch,0,0,0,9452a5ad-1b73-48e2-b861-837b6299dd66,641672.0,thomashatch,Hatch,Right,Thomas Hatch,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.39299999999999996,0.373,85.5,52.0,90.0,78.0,112.0,102.0,92.0,98.0,100.0,92.0,109.0,98.0,96.0,0.243,0.133,0.35,0.002,0.272,-4.69,2.36,0.69,-3.64,-2.77,94.7,87.9,94.8,83.8,0.216,0.351,0.28,0.385,,,,,,,,,,,,,,,,,,,
22,2023-08-21,716912,Lineout,field_out,True,502671,641672,Paul Goldschmidt,Thomas Hatch,1,0,0,109a0739-4e1f-4614-b4f4-3b0900e5145f,641672.0,thomashatch,Hatch,Right,Thomas Hatch,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.39299999999999996,0.373,85.5,52.0,90.0,78.0,112.0,102.0,92.0,98.0,100.0,92.0,109.0,98.0,96.0,0.243,0.133,0.35,0.002,0.272,-4.69,2.36,0.69,-3.64,-2.77,94.7,87.9,94.8,83.8,0.216,0.351,0.28,0.385,,,,,,,,,,,,,,,,,,,
23,2023-08-21,716912,Single,single,False,457705,680723,Andrew McCutchen,Drew Rom,1,0,0,25d2285a-4fd3-4313-b69f-ad3b25d76bb5,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
24,2023-08-21,716912,Walk,walk,False,656582,680723,Connor Joe,Drew Rom,0,0,1,302c0299-3f05-4e00-93d6-fe974564311b,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
25,2023-08-21,716912,Single,single,False,682848,680723,Endy Rodríguez,Drew Rom,0,0,1,04bcfaac-b810-46b2-b546-45b471cf2c4d,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
26,2023-08-21,716912,Strikeout,strikeout,True,641943,680723,Joshua Palacios,Drew Rom,0,0,0,b4d12c67-c8c7-45dd-814c-1703a9f0a332,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
27,2023-08-21,716912,Single,single,False,678894,680723,Liover Peguero,Drew Rom,0,0,1,c5706308-672d-498a-a145-c828e56f086c,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
28,2023-08-21,716912,Strikeout,strikeout,True,669261,680723,Jack Suwinski,Drew Rom,0,0,1,d24ca407-cab4-4c3f-9bbb-bdacb27806a2,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
29,2023-08-21,716912,Flyout,field_out,True,675961,680723,Alika Williams,Drew Rom,1,0,0,a815d3f4-be3c-4d2d-8a8b-f806ca961f06,680723.0,drewrom,Rom,Left,Drew Rom,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.46399999999999997,,,,,81.0,105.0,98.0,64.0,98.0,87.0,,,,0.24100000000000002,0.44299999999999995,,0.237,,-2.41,,-2.11,-2.48,,90.6,,87.4,79.4,,,0.351,0.333,97.0,88.0,89.0,85.0,83.0,71.0,0.079,-5.66,83.6,0.289,0.467,,,,,,,,
