,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,ST_ba,FF_ba,SI_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,CU%,wCU/C,vCU,CU_ba,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SL_ba,FS_ba
14,2023-07-25,717261,Single,single,False,592696,601713,Eddie Rosario,Nick Pivetta,1,0,0,d35c595c-7ee7-4299-b8bc-77a14d1ab4dd,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,,,,,125.0,101.0,109.0,,,,124.0,107.0,112.0,,0.506,0.078,0.165,,0.57,0.67,,1.59,,94.6,88.4,,85.8,0.114,0.214,,,117.0,102.0,106.0,78.0,104.0,98.0,0.247,-0.09,79.4,0.215,0.267,49.0,109.0,69.0,0.005,-13.1,84.8,0.189,0.25
15,2023-07-25,717261,Single,single,False,606115,601713,Orlando Arcia,Nick Pivetta,0,0,1,fa130d9e-903b-4cb7-a436-4c1243b085e0,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,,,,,125.0,101.0,109.0,,,,124.0,107.0,112.0,,0.506,0.078,0.165,,0.57,0.67,,1.59,,94.6,88.4,,85.8,0.114,0.214,,,117.0,102.0,106.0,78.0,104.0,98.0,0.247,-0.09,79.4,0.215,0.267,49.0,109.0,69.0,0.005,-13.1,84.8,0.189,0.25
16,2023-07-25,717261,Strikeout,strikeout,True,671739,601713,Michael Harris II,Nick Pivetta,0,0,0,a3b7f80f-f7b7-427b-b4a3-704fb41ee428,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,,,,,125.0,101.0,109.0,,,,124.0,107.0,112.0,,0.506,0.078,0.165,,0.57,0.67,,1.59,,94.6,88.4,,85.8,0.114,0.214,,,117.0,102.0,106.0,78.0,104.0,98.0,0.247,-0.09,79.4,0.215,0.267,49.0,109.0,69.0,0.005,-13.1,84.8,0.189,0.25
17,2023-07-25,717261,Forceout,force_out,True,660670,601713,Ronald Acuña Jr.,Nick Pivetta,1,0,1,08082458-c685-43b9-82c8-1a2bf3ef8e08,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,,,,,125.0,101.0,109.0,,,,124.0,107.0,112.0,,0.506,0.078,0.165,,0.57,0.67,,1.59,,94.6,88.4,,85.8,0.114,0.214,,,117.0,102.0,106.0,78.0,104.0,98.0,0.247,-0.09,79.4,0.215,0.267,49.0,109.0,69.0,0.005,-13.1,84.8,0.189,0.25
18,2023-07-25,717261,Pop Out,field_out,True,645277,601713,Ozzie Albies,Nick Pivetta,1,0,1,d28e1c84-e508-4ff5-967c-8fdfbde06e74,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,,,,,125.0,101.0,109.0,,,,124.0,107.0,112.0,,0.506,0.078,0.165,,0.57,0.67,,1.59,,94.6,88.4,,85.8,0.114,0.214,,,117.0,102.0,106.0,78.0,104.0,98.0,0.247,-0.09,79.4,0.215,0.267,49.0,109.0,69.0,0.005,-13.1,84.8,0.189,0.25
19,2023-07-25,717261,Flyout,field_out,True,644374,450203,Yu Chang,Charlie Morton,0,0,0,44f9be21-ae0e-4406-ba26-f08bc51f4c36,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
20,2023-07-25,717261,Hit By Pitch,hit_by_pitch,False,680776,450203,Jarren Duran,Charlie Morton,1,0,0,aff3ee25-574c-475b-8758-83f4c8674f01,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
21,2023-07-25,717261,Flyout,field_out,True,457759,450203,Justin Turner,Charlie Morton,0,0,1,a49c82bd-75f4-44b9-bad5-9190e593da69,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
22,2023-07-25,717261,Groundout,field_out,True,646240,450203,Rafael Devers,Charlie Morton,0,0,0,40247976-5073-4ce9-93bb-8323fd1dbca2,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,0.08,,0.10300000000000001,-1.26,0.25,-4.03,,0.86,94.9,89.1,94.2,,,0.292,0.474,0.25,139.0,100.0,111.0,89.0,92.0,87.0,0.43200000000000005,1.79,82.3,0.177,0.296,,,,,,,,
23,2023-07-25,717261,Strikeout,strikeout,True,663586,601713,Austin Riley,Nick Pivetta,0,0,0,a5c4808e-d0bd-4356-87e6-2b0b3afe039d,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.43799999999999994,0.124,0.354,0.42100000000000004,,,,,125.0,101.0,109.0,,,,124.0,107.0,112.0,,0.506,0.078,0.165,,0.57,0.67,,1.59,,94.6,88.4,,85.8,0.114,0.214,,,117.0,102.0,106.0,78.0,104.0,98.0,0.247,-0.09,79.4,0.215,0.267,49.0,109.0,69.0,0.005,-13.1,84.8,0.189,0.25
