date,time,series,result,opponent,team,location,weather,temp,opposingPitcherId,oppRuns,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,hits,atBats,stolenBases,rbi,leftOnBase,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,oppStarterIP,oppStarterH,oppStarterR,oppStarterER,oppStarterBB,oppStarterK,oppStarterHR,oppStarterP,oppStarterS,oppStarterERA,teamPitcherId,teamPitcherName,teamStarterIP,teamStarterER,teamStarterK,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,wFS/C,wSL/C,vFS,vSL,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,KC%,wFO/C,wKC/C,vFO,vKC,vKN (sc),KN%,wKN/C
2024/04/17,6:51 PM.,6,L,LAA,TB,home,Dome.,72,672282,5,4,1,0,1,8,1,11,34,1,4,13,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,89.0,100.0,103.0,86.0,96.0,92.0,,,,,,,,0.468,,0.146,0.142,-0.56,,,-3.5,-1.18,93.8,,84.7,,75.0,,,,,,,0.351,0.544,0.319,0.278,0.508,0.253,,,,5.1,7,2,1,1,4,0,90,60,1.19,641793,Zack Littell,5.2,3,7,117.0,106.0,114.0,,,,,0.244,,-0.44,,86.2,0.37,0.804,0.216,,,,,,,0.22,0.39,0.368,,,,,,,,,,,,
2024/04/18,1:10 PM.,6,W,LAA,TB,home,Dome.,72,656288,1,2,0,1,0,7,1,5,27,0,2,10,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,75.0,96.0,96.0,73.0,94.0,86.0,76.0,89.0,78.0,,,,0.01,0.376,,0.107,0.267,-0.85,,-6.83,-0.86,0.48,93.4,,88.6,93.0,80.6,0.429,0.857,0.0,,,,0.259,0.387,0.288,0.251,0.529,0.147,,,,5.1,4,2,2,1,4,0,84,55,8.05,686752,Ryan Pepiot,6.0,1,7,107.0,100.0,110.0,,,,,0.24,,-0.91,,87.7,0.271,0.438,0.241,,,,,,,0.284,0.444,0.331,,,,,,,,,,,,
2024/04/19,7:09 PM.,7,L,NYY,TB,away,Overcast.,51,657376,5,3,1,0,1,8,1,14,37,3,3,25,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.85,3.78,85.1,98.0,116.0,100.0,0.724,9.81,3.16,7.49,0.84,1.01,0.271,0.407,0.208,0.281,0.401,36.0,89.0,96.0,,,,,,,83.0,94.0,85.0,106.0,102.0,100.0,0.21,,0.35,,0.006,,0.53,-0.75,,-13.05,,92.4,87.1,94.3,,0.267,0.483,0.203,,,,0.667,1.0,0.0,,,,0.256,0.38,0.322,5.1,7,1,1,0,7,1,102,69,3.15,641302,Tyler Alexander,5.1,0,4,136.0,94.0,102.0,,,,,0.252,,1.21,,85.2,0.143,0.19,0.33,0.21,0.323,0.297,,,,,,,150.0,102.0,113.0,,0.182,,0.89,,83.8,,,
2024/04/20,1:08 PM.,7,W,NYY,TB,away,Partly Cloudy.,60,641482,0,2,1,0,0,14,0,9,37,2,2,13,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,,,,99.0,103.0,100.0,86.0,116.0,113.0,109.0,100.0,102.0,0.014,0.442,0.28,,0.097,0.25,1.32,1.37,,-0.89,92.1,87.5,83.6,90.3,,0.143,0.143,0.316,,,,0.226,0.369,0.326,0.235,0.443,0.215,0.249,0.378,0.251,7.0,6,0,0,0,9,0,102,69,3.41,621107,Zach Eflin,6.0,0,6,99.0,98.0,101.0,,,,,0.168,,-1.27,,78.2,,,,0.284,0.511,0.25,,,,0.364,0.727,0.167,,,,,,,,,,,,
2024/04/21,1:39 PM.,7,L,NYY,TB,away,Overcast.,49,661563,5,4,2,0,0,12,5,5,33,2,3,14,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,,,,,,,,0.488,,,0.253,0.06,,,,0.37,96.6,,91.6,,,,,,,,,0.179,0.282,0.269,0.205,0.395,0.285,,,,5.2,2,1,0,3,9,0,97,64,2.75,650644,Aaron Civale,4.2,5,5,108.0,94.0,105.0,,,,,0.259,,1.37,,87.5,,,,,,,,,,0.171,0.312,0.315,,,,,,,,,,,,
2024/04/22,6:50 PM.,8,L,DET,TB,home,Dome.,72,669373,7,1,1,0,1,12,1,6,32,0,1,10,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,,,,0.205,0.332,,,0.271,1.84,,1.25,,1.13,96.8,,86.3,96.6,,0.207,0.305,0.16,,,,0.216,0.322,0.461,0.197,0.286,0.277,,,,6.0,3,0,0,0,9,0,86,58,1.82,641793,Zack Littell,6.0,5,7,111.0,99.0,103.0,,,,,0.149,,0.78,,88.7,0.158,0.316,0.175,,,,,,,0.169,0.364,0.346,95.0,91.0,101.0,,0.042,,1.26,,78.5,,,
2024/04/23,6:50 PM.,8,L,DET,TB,home,Dome.,72,628317,4,2,0,0,1,8,1,7,34,2,2,15,628317,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.09,4.43,112.1,101.0,93.0,100.0,0.776,7.69,2.48,9.93,1.76,0.83,0.19,0.466,0.185,0.27,0.388,,,,80.0,75.0,78.0,67.0,99.0,91.0,59.0,104.0,93.0,65.0,94.0,79.0,0.072,0.225,0.016,0.016,,-2.6,1.08,-0.02,-4.36,,90.8,84.8,,90.4,76.4,0.294,0.324,0.133,,,,,,,0.359,0.667,0.13,0.333,0.333,0.391,5.0,3,0,0,0,5,0,88,59,5.96,686752,Ryan Pepiot,6.0,1,4,101.0,95.0,98.0,110.0,105.0,110.0,0.312,0.359,-0.22,-0.34,83.9,81.4,0.5,0.75,0.0,0.241,0.379,0.207,0.217,0.42,0.303,0.31,0.569,0.268,,,,,,,,,,,,
2024/04/24,6:50 PM.,8,W,DET,TB,home,Dome.,72,656427,5,7,2,0,2,11,0,11,34,1,7,12,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,75.0,85.0,72.0,,,,0.023,0.441,,,0.027,0.5,,-5.05,,-0.55,93.3,,85.7,90.6,,0.6,1.2,0.4,,,,0.111,0.333,0.111,0.245,0.401,0.238,,,,5.0,7,4,4,0,6,1,97,65,4.91,542888,Shawn Armstrong,1.0,1,2,95.0,102.0,102.0,,,,,0.29,,0.02,,84.7,0.164,0.219,0.436,,,,,,,0.222,0.455,0.363,101.0,103.0,107.0,,0.218,,2.19,,77.4,,,
2024/04/26,6:41 PM.,9,L,CWS,TB,away,Cloudy.,53,623167,9,4,2,0,0,7,7,9,35,0,4,25,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,83.0,98.0,101.0,2.0,93.0,82.0,74.0,108.0,87.0,47.0,101.0,90.0,0.002,0.37,0.261,0.122,0.157,-0.64,-0.75,2.01,0.43,-1.32,91.3,87.4,81.3,91.4,72.0,,,,,,,0.257,0.436,0.379,0.261,0.473,0.132,0.319,0.536,0.218,5.0,2,0,0,3,2,0,72,45,5.11,621107,Zach Eflin,6.0,4,4,148.0,102.0,103.0,,,,,0.087,,-2.65,,80.0,0.246,0.393,0.308,,,,,,,0.361,0.475,0.271,,,,,,,,,,,,
2024/04/27,6:10 PM.,9,L,CWS,TB,away,Partly Cloudy.,77,686563,8,7,3,0,2,9,7,11,39,3,6,29,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,,,,73.0,104.0,97.0,86.0,100.0,93.0,79.0,101.0,93.0,0.28,0.123,0.192,,0.187,-1.13,0.39,0.44,,-0.22,94.3,90.2,85.7,93.3,,0.287,0.449,0.132,,,,0.248,0.394,0.269,0.25,0.411,0.252,0.263,0.45,0.191,5.0,8,4,4,2,5,2,102,65,7.24,650644,Aaron Civale,4.1,6,3,117.0,100.0,107.0,,,,,0.218,,-1.39,,81.9,,,,0.255,0.489,0.282,,,,,,,,,,,,,,,,,,
2024/04/28,1:10 PM.,9,L,CWS,TB,away,Cloudy.,69,607200,4,2,2,0,1,9,0,7,34,0,2,9,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,,,,17.0,112.0,76.0,76.0,105.0,93.0,78.0,104.0,97.0,0.308,0.003,0.323,,0.164,-6.18,0.43,0.59,,-0.54,92.9,89.9,87.7,93.0,,0.25,0.358,0.202,,,,0.228,0.351,0.165,0.5,0.5,0.0,0.262,0.47,0.232,8.1,7,2,2,0,9,1,108,72,2.60,641793,Zack Littell,6.0,2,6,126.0,101.0,106.0,,,,,0.202,,1.28,,83.5,,,,0.165,0.309,0.251,,,,,,,,,,,,,,,,,,
