date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C
2024-04-08,745761,Sac Bunt,sac_bunt,True,542932,666200,Jon Berti,Jesús Luzardo,1,5c17880b-ca38-463a-9beb-dfd953d52b52,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,88.0,97.0,95.0,31.0,40.0,52.0,98.0,100.0,95.0,87.0,90.0,88.0,97.0,98.0,108.0,,,,0.083,0.394,,0.292,0.002,0.229,-0.65,,-0.81,0.13,-3.42,1.56,95.2,,86.3,94.6,83.5,81.6,0.28,0.484,0.111,,,,0.207,0.328,0.407,,,,0.2,0.347,0.474,,,,,,,0.381,0.571,0.125,,,,,,,,,,,,,,,,,,
2024-04-08,745761,Strikeout,strikeout,True,542932,572143,Jon Berti,Burch Smith,0,275f9f4e-1063-4c84-aa58-cacb7f9452db,572143.0,burchsmith,"Smith, B",Right,Burch Smith,- - -,3.94,4.48,32.0,99.0,102.0,99.0,0.828,7.31,2.53,10.97,0.28,1.43,0.245,0.425,0.132,0.368,0.479,124.0,69.0,80.0,99.0,92.0,100.0,104.0,101.0,100.0,97.0,54.0,53.0,,,,98.0,99.0,93.0,0.004,0.519,0.208,0.017,0.239,0.013,1.25,-3.25,14.67,-8.01,0.52,1.34,94.4,87.4,85.3,92.8,81.1,79.8,0.239,0.328,0.242,0.519,0.593,0.211,,,,0.25,0.286,0.111,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-08,745761,Flyout,field_out,True,542932,542882,Jon Berti,Matt Andriese,0,5df211a2-aea5-428b-aa85-edc091130454,542882.0,mattandriese,Andriese,Right,Matt Andriese,MIA,6.0,4.27,6.0,103.0,81.0,104.0,0.86,10.5,1.5,10.5,3.0,1.13,0.389,0.389,0.167,0.389,0.511,4.0,88.0,203.0,104.0,95.0,98.0,81.0,106.0,105.0,68.0,116.0,108.0,,,,78.0,96.0,98.0,0.159,0.409,0.273,,0.148,0.011,0.23,4.04,-11.98,,-7.16,-2.0,91.2,86.1,86.3,89.8,,80.3,0.182,0.545,0.19,0.143,0.143,0.231,,,,0.4,0.8,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-09,745762,Pop Out,field_out,True,542932,640462,Jon Berti,A.J. Puk,0,a1c0f0c5-84bc-4683-9ad8-75cdeb0accf0,640462.0,ajpuk,Puk,Left,A.J. Puk,MIA,4.61,3.64,41.0,100.0,109.0,101.0,0.753,8.78,5.05,7.68,0.66,0.98,0.222,0.385,0.214,0.282,0.432,118.0,111.0,110.0,,,,111.0,99.0,98.0,108.0,96.0,97.0,99.0,105.0,108.0,,,,0.191,0.377,,0.366,,0.024,1.89,,-1.99,-0.37,,-2.0,94.9,,90.3,94.4,82.7,,0.152,0.197,0.286,,,,0.4,0.4,0.4,,,,0.071,0.071,0.488,,,,,,,0.37,0.593,0.056,,,,115.0,103.0,113.0,0.042,-4.04,84.4,0.444,0.667,0.111,,,,,,
2024-04-09,745762,Walk,walk,False,542932,640462,Jon Berti,A.J. Puk,1,f2d5f9c3-f4ed-491b-a3f5-95af6ba610ea,640462.0,ajpuk,Puk,Left,A.J. Puk,MIA,4.61,3.64,41.0,100.0,109.0,101.0,0.753,8.78,5.05,7.68,0.66,0.98,0.222,0.385,0.214,0.282,0.432,118.0,111.0,110.0,,,,111.0,99.0,98.0,108.0,96.0,97.0,99.0,105.0,108.0,,,,0.191,0.377,,0.366,,0.024,1.89,,-1.99,-0.37,,-2.0,94.9,,90.3,94.4,82.7,,0.152,0.197,0.286,,,,0.4,0.4,0.4,,,,0.071,0.071,0.488,,,,,,,0.37,0.593,0.056,,,,115.0,103.0,113.0,0.042,-4.04,84.4,0.444,0.667,0.111,,,,,,
2024-04-09,745762,Single,single,False,542932,664350,Jon Berti,Sixto Sánchez,0,ac32844c-8ff1-47c8-930d-85bc5b0112d0,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,94.0,100.0,100.0,,,,77.0,98.0,88.0,84.0,110.0,106.0,,,,58.0,108.0,100.0,0.048,0.298,0.34,,,0.314,-1.21,-1.59,-4.74,,,1.59,93.8,83.6,85.4,92.7,,,0.267,0.433,0.104,0.375,0.518,0.114,0.22,0.22,0.17,,,,,,,,,,,,,0.5,1.333,0.167,,,,,,,,,,,,,,,,,,
2024-04-09,745762,Lineout,field_out,True,542932,677053,Jon Berti,Andrew Nardi,0,557ff5ed-7126-45b5-aac2-dafd1f572e22,677053.0,andrewnardi,Nardi,Left,Andrew Nardi,MIA,5.45,3.12,36.1,103.0,106.0,104.0,0.733,11.15,2.72,8.92,1.24,0.7,0.255,0.408,0.173,0.276,0.402,57.0,130.0,124.0,,,,98.0,101.0,102.0,,,,118.0,105.0,107.0,,,,,0.577,,0.414,,0.009,0.41,,,-0.68,,-6.5,94.0,,91.5,,82.7,,0.247,0.4,0.277,,,,,,,,,,0.264,0.547,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,745763,Lineout,field_out,True,542932,677960,Jon Berti,Ryan Weathers,0,b2b6650c-b3b6-4c24-a1fc-450414f21702,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.55,3.99,71.0,96.0,94.0,98.0,0.755,8.49,2.54,7.73,1.01,1.63,0.261,0.429,0.172,0.32,0.416,81.0,103.0,103.0,,,,97.0,99.0,99.0,83.0,97.0,92.0,125.0,88.0,100.0,,,,0.122,0.402,,0.219,,0.258,0.13,,0.21,0.13,,0.93,95.9,,86.2,94.5,82.7,,0.289,0.389,0.142,,,,0.193,0.398,0.394,,,,0.25,0.5,0.5,,,,,,,0.279,0.442,0.066,,,,,,,,,,,,,,,,,,
2024-04-10,745763,Groundout,field_out,True,542932,677960,Jon Berti,Ryan Weathers,0,8b9a9c1a-3f0b-494a-9d74-9110b1730f1b,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.55,3.99,71.0,96.0,94.0,98.0,0.755,8.49,2.54,7.73,1.01,1.63,0.261,0.429,0.172,0.32,0.416,81.0,103.0,103.0,,,,97.0,99.0,99.0,83.0,97.0,92.0,125.0,88.0,100.0,,,,0.122,0.402,,0.219,,0.258,0.13,,0.21,0.13,,0.93,95.9,,86.2,94.5,82.7,,0.289,0.389,0.142,,,,0.193,0.398,0.394,,,,0.25,0.5,0.5,,,,,,,0.279,0.442,0.066,,,,,,,,,,,,,,,,,,
2024-04-10,745763,Groundout,field_out,True,542932,677053,Jon Berti,Andrew Nardi,0,b2ce887a-f2da-484e-ad7c-5316f18ab3e4,677053.0,andrewnardi,Nardi,Left,Andrew Nardi,MIA,5.45,3.12,36.1,103.0,106.0,104.0,0.733,11.15,2.72,8.92,1.24,0.7,0.255,0.408,0.173,0.276,0.402,57.0,130.0,124.0,,,,98.0,101.0,102.0,,,,118.0,105.0,107.0,,,,,0.577,,0.414,,0.009,0.41,,,-0.68,,-6.5,94.0,,91.5,,82.7,,0.247,0.4,0.277,,,,,,,,,,0.264,0.547,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,745763,Single,single,False,542932,656945,Jon Berti,Tanner Scott,0,59d01b38-37f5-4f3d-a5e2-7ce963eccbb5,656945.0,tannerscott,"Scott, Tan",Left,Tanner Scott,MIA,1.3,3.1,41.2,97.0,144.0,107.0,0.692,9.94,5.4,3.89,0.43,1.42,0.333,0.313,0.25,0.229,0.441,,,,,,,151.0,95.0,105.0,,,,134.0,98.0,109.0,,,,,0.596,,0.403,,0.001,2.0,,,1.59,,-2.0,96.8,,92.0,,88.2,,0.093,0.107,0.269,,,,,,,,,,0.175,0.286,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-05,745751,Single,single,False,542932,669373,Jon Berti,Tarik Skubal,1,f97e90d4-4f6d-48a8-ab5c-266e0a7d4f6a,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,,,,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,,,,0.21,0.317,,0.154,,0.272,1.19,,1.96,1.72,,0.42,96.8,,86.0,96.7,88.7,,0.195,0.333,0.264,,,,0.217,0.37,0.468,0.143,0.143,0.214,0.16,0.26,0.386,99.0,90.0,100.0,0.047,2.55,78.6,0.17,0.27,0.171,,,,,,,,,,,,,,,,,,
2024-05-05,745751,Strikeout,strikeout,True,542932,669373,Jon Berti,Tarik Skubal,0,59bfeec2-4c81-41b7-951e-58b54317fd0a,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,,,,112.0,103.0,103.0,97.0,107.0,106.0,110.0,102.0,105.0,,,,0.21,0.317,,0.154,,0.272,1.19,,1.96,1.72,,0.42,96.8,,86.0,96.7,88.7,,0.195,0.333,0.264,,,,0.217,0.37,0.468,0.143,0.143,0.214,0.16,0.26,0.386,99.0,90.0,100.0,0.047,2.55,78.6,0.17,0.27,0.171,,,,,,,,,,,,,,,,,,
2024-05-05,745751,Walk,walk,False,542932,571946,Jon Berti,Shelby Miller,0,2a28bceb-1fa8-426e-9206-c100777f1c39,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,,,,,,,109.0,97.0,97.0,,,,87.0,102.0,96.0,,,,,0.607,,0.177,,,1.32,,,-1.7,,,93.2,,,,88.3,,0.156,0.344,0.257,,,,,,,,,,0.25,0.583,0.238,,,,,,,,,,,,,100.0,99.0,107.0,0.216,-0.28,86.6,0.233,0.4,0.236,,,,,,
2024-05-07,745752,Lineout,field_out,True,542932,434378,Jon Berti,Justin Verlander,0,606590dc-d1bd-4ea0-9c66-0ef482eb8a55,434378.0,justinverlander,Verlander,Right,Justin Verlander,HOU,3.95,3.85,57.0,102.0,120.0,104.0,0.806,8.05,2.68,8.21,1.74,0.44,0.299,0.335,0.222,0.275,0.455,112.0,93.0,96.0,112.0,104.0,100.0,122.0,100.0,104.0,,,,130.0,108.0,114.0,,,,,0.495,,0.19,0.225,0.09,0.16,,,-0.8,-0.77,1.19,93.5,,84.2,,86.5,77.7,0.243,0.47,0.211,,,,0.15,0.15,0.302,0.294,0.412,0.206,0.239,0.457,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-07,745752,Flyout,field_out,True,542932,434378,Jon Berti,Justin Verlander,0,a35ae610-aa71-469e-bce0-b91c8cdf9af8,434378.0,justinverlander,Verlander,Right,Justin Verlander,HOU,3.95,3.85,57.0,102.0,120.0,104.0,0.806,8.05,2.68,8.21,1.74,0.44,0.299,0.335,0.222,0.275,0.455,112.0,93.0,96.0,112.0,104.0,100.0,122.0,100.0,104.0,,,,130.0,108.0,114.0,,,,,0.495,,0.19,0.225,0.09,0.16,,,-0.8,-0.77,1.19,93.5,,84.2,,86.5,77.7,0.243,0.47,0.211,,,,0.15,0.15,0.302,0.294,0.412,0.206,0.239,0.457,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-07,745752,Single,single,False,542932,605463,Jon Berti,Tayler Scott,0,9119cdab-c02f-437f-b2b0-ff9eed8f8f10,605463.0,taylerscott,"Scott, Tay",Right,Tayler Scott,HOU,1.36,2.99,46.1,99.0,98.0,99.0,0.745,8.35,4.27,4.86,0.39,1.67,0.231,0.41,0.214,0.231,0.372,60.0,103.0,101.0,,,,121.0,98.0,97.0,105.0,93.0,86.0,89.0,97.0,106.0,,,,0.073,0.433,,0.262,,0.232,2.65,,-0.27,0.86,,0.69,92.7,,85.5,92.6,84.0,,0.089,0.107,0.287,,,,0.143,0.214,0.329,,,,0.212,0.288,0.276,,,,,,,0.375,0.375,0.211,,,,,,,,,,,,,,,,,,
2024-05-07,745752,Single,single,False,542932,656232,Jon Berti,Brandon Bielak,1,5e940b1c-90bc-4405-a382-f6706058d3d9,656232.0,brandonbielak,Bielak,Right,Brandon Bielak,- - -,5.09,5.99,23.0,94.0,80.0,90.0,0.878,4.7,3.13,12.13,1.57,0.89,0.195,0.448,0.092,0.287,0.387,107.0,98.0,101.0,67.0,86.0,86.0,75.0,84.0,74.0,67.0,98.0,86.0,68.0,94.0,101.0,,,,0.251,0.18,,0.132,0.122,0.316,-0.56,,-2.84,0.85,-4.11,-0.86,92.3,,87.4,92.3,83.1,80.8,0.333,0.444,0.069,,,,0.294,0.471,0.2,0.429,0.857,0.118,0.111,0.222,0.313,,,,,,,0.355,0.645,0.151,,,,,,,,,,,,,,,,,,
2024-05-09,745748,Groundout,field_out,True,542932,623352,Jon Berti,Josh Hader,1,f90108f6-09b9-4280-a208-88beeafd848c,623352.0,joshhader,Hader,Left,Josh Hader,HOU,3.77,2.68,43.0,98.0,126.0,111.0,0.641,14.23,2.51,6.28,1.67,0.67,0.191,0.371,0.135,0.326,0.404,110.0,70.0,51.0,,,,,,,133.0,99.0,115.0,112.0,97.0,107.0,,,,0.721,,,0.264,,0.015,,,0.94,1.55,,-10.92,,,89.3,96.0,86.2,,,,,,,,,,,,,,0.149,0.277,0.549,,,,,,,0.206,0.383,0.328,,,,,,,,,,,,,,,,,,
2024-05-10,745094,Strikeout,strikeout,True,542932,671737,Jon Berti,Taj Bradley,0,8914e5ee-b875-4aa8-a33a-2ec65d98b139,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,,,,99.0,86.0,90.0,125.0,96.0,101.0,,,,,,,90.0,99.0,96.0,,0.424,0.206,,0.09,,-0.12,1.83,,,-0.92,,96.3,90.8,,,,78.8,0.275,0.486,0.223,0.163,0.302,0.315,,,,0.182,0.455,0.333,,,,,,,,,,,,,,,,124.0,100.0,116.0,0.28,2.2,90.5,0.149,0.207,0.348,,,,,,
2024-05-10,745094,Flyout,field_out,True,542932,671737,Jon Berti,Taj Bradley,0,c5d9293b-47c1-4850-b653-aba616f821a5,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,,,,99.0,86.0,90.0,125.0,96.0,101.0,,,,,,,90.0,99.0,96.0,,0.424,0.206,,0.09,,-0.12,1.83,,,-0.92,,96.3,90.8,,,,78.8,0.275,0.486,0.223,0.163,0.302,0.315,,,,0.182,0.455,0.333,,,,,,,,,,,,,,,,124.0,100.0,116.0,0.28,2.2,90.5,0.149,0.207,0.348,,,,,,
2024-05-10,745094,Single,single,False,542932,687330,Jon Berti,Kevin Kelly,1,19ac89ac-5775-4b85-b506-b35e2f34d1cd,687330.0,kevinkelly,Kelly,Right,Kevin Kelly,TBR,3.83,3.31,40.0,103.0,116.0,102.0,0.81,8.78,1.13,8.55,1.35,1.94,0.241,0.371,0.207,0.276,0.473,,,,,,,103.0,117.0,121.0,117.0,107.0,103.0,121.0,95.0,100.0,91.0,102.0,102.0,0.621,0.003,0.098,0.278,,,-70.48,1.24,0.02,0.41,,,90.7,87.7,,90.7,77.3,,,,,0.154,0.154,0.185,,,,,,,0.158,0.316,0.347,,,,,,,0.293,0.455,0.123,,,,,,,,,,,,,,,,,,
2024-05-10,745094,Single,single,False,542932,542888,Jon Berti,Shawn Armstrong,0,4aca313c-e0a2-46dd-a858-6d1265d31587,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,,,,,,,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,,,0.53,-0.4,-2.52,-4.27,,,93.2,90.1,,93.6,83.3,,0.21,0.387,0.336,0.25,0.5,0.212,,,,,,,0.286,0.571,0.25,,,,,,,0.424,0.492,0.09,,,,,,,,,,,,,,,,,,
2024-05-11,745096,Strikeout,strikeout,True,542932,641793,Jon Berti,Zack Littell,0,4723061f-fbaf-4cf5-bc2a-3a999e69c767,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,4.26,4.24,101.1,104.0,82.0,99.0,0.792,8.35,1.69,10.66,1.24,0.79,0.237,0.374,0.146,0.29,0.462,,,,,,,56.0,111.0,91.0,73.0,103.0,91.0,101.0,104.0,102.0,,,,0.154,0.207,,0.413,,,-0.92,,-1.56,1.08,,,92.6,,,91.9,85.7,,0.313,0.484,0.209,,,,,,,,,,0.375,0.5,0.085,,,,,,,0.309,0.485,0.147,,,,99.0,106.0,112.0,0.226,-1.86,83.0,0.283,0.485,0.346,,,,,,
2024-05-11,745096,Lineout,field_out,True,542932,641793,Jon Berti,Zack Littell,0,317da3e9-29a5-4963-8183-b356dcbd114e,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,4.26,4.24,101.1,104.0,82.0,99.0,0.792,8.35,1.69,10.66,1.24,0.79,0.237,0.374,0.146,0.29,0.462,,,,,,,56.0,111.0,91.0,73.0,103.0,91.0,101.0,104.0,102.0,,,,0.154,0.207,,0.413,,,-0.92,,-1.56,1.08,,,92.6,,,91.9,85.7,,0.313,0.484,0.209,,,,,,,,,,0.375,0.5,0.085,,,,,,,0.309,0.485,0.147,,,,99.0,106.0,112.0,0.226,-1.86,83.0,0.283,0.485,0.346,,,,,,
