date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO
2024-09-17,745772,Home Run,home_run,False,682668,686747,Luisangel Acuña,Joe La Sorsa,0,47a22dc6-8c8a-4755-8216-0b72b5095d97,686747.0,joelasorsa,La Sorsa,Left,Joe La Sorsa,WSN,5.79,4.85,14.0,106.0,81.0,98.0,0.904,9.0,2.57,10.29,2.57,1.07,0.238,0.5,0.238,0.19,0.535,48.0,115.0,93.0,,,,72.0,120.0,125.0,90.0,103.0,96.0,,,,0.575,0.018,,,0.208,5.78,,-2.06,,3.08,90.3,,82.6,87.8,,0.125,0.313,0.08,,,,,,,,,,0.393,0.607,0.143,93.0,105.0,111.0,0.199,-3.38,74.8,,,,0.333,0.667,0.125,,,,,,,,,,,,,,,,,,,,,
2024-09-18,745771,Strikeout,strikeout,True,682668,687792,Luisangel Acuña,DJ Herz,0,c23ed625-4a55-4215-bf22-7765a18a0b41,687792.0,djherz,Herz,Left,DJ Herz,WSN,4.3,3.32,83.2,97.0,100.0,97.0,0.731,11.08,3.55,7.85,1.18,0.88,0.249,0.448,0.14,0.344,0.428,114.0,98.0,99.0,,,,93.0,98.0,96.0,,,,,,,,0.541,,,0.247,0.95,,,,-0.36,93.6,,83.6,,,0.232,0.4,0.261,0.222,0.323,0.312,,,,0.25,0.25,0.571,,,,107.0,94.0,99.0,0.179,-1.31,86.2,,,,0.231,0.446,0.278,,,,,,,,,,,,,95.0,82.0,87.0,0.033,0.97,81.2,,,
2024-09-18,745771,Single,single,False,682668,687792,Luisangel Acuña,DJ Herz,1,1a59f7a2-da5a-4f3e-b7a8-50befa0950a4,687792.0,djherz,Herz,Left,DJ Herz,WSN,4.3,3.32,83.2,97.0,100.0,97.0,0.731,11.08,3.55,7.85,1.18,0.88,0.249,0.448,0.14,0.344,0.428,114.0,98.0,99.0,,,,93.0,98.0,96.0,,,,,,,,0.541,,,0.247,0.95,,,,-0.36,93.6,,83.6,,,0.232,0.4,0.261,0.222,0.323,0.312,,,,0.25,0.25,0.571,,,,107.0,94.0,99.0,0.179,-1.31,86.2,,,,0.231,0.446,0.278,,,,,,,,,,,,,95.0,82.0,87.0,0.033,0.97,81.2,,,
2024-09-18,745771,Grounded Into DP,grounded_into_double_play,True,682668,606930,Luisangel Acuña,Jacob Barnes,1,0364f34c-f8b4-4f8b-8c64-ca8adb6a7b56,606930.0,jacobbarnes,"Barnes, J",Right,Jacob Barnes,WSN,4.45,4.91,64.2,101.0,95.0,100.0,0.776,7.65,2.78,9.19,1.39,0.95,0.263,0.359,0.136,0.288,0.398,,,,,,,102.0,103.0,106.0,,,,89.0,100.0,95.0,,0.473,0.492,,,-0.7,0.63,,,,95.4,89.8,,,,,,,0.272,0.509,0.197,0.271,0.411,0.297,,,,,,,90.0,86.0,89.0,0.035,3.1,83.7,,,,0.0,0.0,0.538,,,,,,,,,,,,,,,,,,,,,
2024-09-18,745771,Home Run,home_run,False,682668,694350,Luisangel Acuña,Zach Brzykcy,0,4f6850bc-ce52-4520-8b45-b21f7bafec3f,694350.0,zachbrzykcy,Brzykcy,Right,Zach Brzykcy,WSN,14.29,7.74,5.2,97.0,94.0,95.0,0.783,6.35,4.76,14.29,3.18,0.55,0.19,0.524,0.095,0.429,0.404,86.0,81.0,81.0,107.0,111.0,102.0,91.0,98.0,96.0,,,,,,,,0.558,,0.231,0.212,-4.07,,,3.99,-5.89,94.0,,87.0,,82.8,0.429,0.857,0.4,0.417,0.75,0.16,,,,0.167,0.167,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19,745769,Groundout,field_out,True,682668,592836,Luisangel Acuña,Taijuan Walker,0,a0df7399-581d-44fc-88a8-8316b5f56f6e,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,6.91,7.0,82.0,98.0,88.0,95.0,0.848,6.26,3.73,11.3,2.63,0.95,0.185,0.44,0.131,0.396,0.429,,,,87.0,95.0,97.0,61.0,93.0,85.0,78.0,99.0,92.0,95.0,91.0,87.0,0.282,0.119,0.096,0.107,,-2.33,-5.11,-2.83,1.85,,91.5,87.3,,91.1,74.7,,,,0.32,0.56,0.229,0.435,1.087,0.096,0.185,0.333,0.129,0.375,0.688,0.084,55.0,109.0,104.0,0.181,2.18,85.0,0.149,0.299,0.281,,,,107.0,101.0,105.0,0.216,-4.12,86.7,0.374,0.648,0.164,,,,,,,,,,,,
2024-09-19,745769,Strikeout,strikeout,True,682668,592836,Luisangel Acuña,Taijuan Walker,0,cd7bf906-1bb6-4552-bd4c-3087c3478bcc,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,6.91,7.0,82.0,98.0,88.0,95.0,0.848,6.26,3.73,11.3,2.63,0.95,0.185,0.44,0.131,0.396,0.429,,,,87.0,95.0,97.0,61.0,93.0,85.0,78.0,99.0,92.0,95.0,91.0,87.0,0.282,0.119,0.096,0.107,,-2.33,-5.11,-2.83,1.85,,91.5,87.3,,91.1,74.7,,,,0.32,0.56,0.229,0.435,1.087,0.096,0.185,0.333,0.129,0.375,0.688,0.084,55.0,109.0,104.0,0.181,2.18,85.0,0.149,0.299,0.281,,,,107.0,101.0,105.0,0.216,-4.12,86.7,0.374,0.648,0.164,,,,,,,,,,,,
2024-09-19,745769,Forceout,force_out,True,682668,663465,Luisangel Acuña,Kolby Allard,1,7304219e-c838-4dee-b015-12cfd56f4b2d,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,4.3,4.59,23.0,102.0,67.0,99.0,0.823,7.04,2.74,11.35,1.96,1.21,0.162,0.378,0.162,0.405,0.466,76.0,108.0,102.0,91.0,95.0,102.0,56.0,101.0,95.0,29.0,109.0,96.0,70.0,100.0,99.0,0.049,0.386,0.181,0.123,0.26,-2.38,-2.29,-12.88,1.37,2.99,90.1,84.5,82.0,90.2,71.7,0.242,0.273,0.196,0.37,0.667,0.143,0.357,0.643,0.324,0.214,0.5,0.182,0.75,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19,745769,Triple,triple,False,682668,621237,Luisangel Acuña,José Alvarado,1,7fb28156-5234-4521-a3e0-6ee5b9efa7b3,621237.0,josealvarado,Alvarado,Left,José Alvarado,PHI,4.22,3.95,59.2,95.0,85.0,94.0,0.733,9.35,4.22,7.24,0.91,1.41,0.273,0.398,0.174,0.323,0.408,,,,,,,,,,96.0,94.0,95.0,67.0,97.0,93.0,0.596,,0.401,0.003,,,0.37,0.72,6.32,,,92.5,,97.8,85.4,,,,,,,0.161,0.253,0.457,,,,0.254,0.418,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,745770,Flyout,field_out,True,682668,650911,Luisangel Acuña,Cristopher Sánchez,0,fee4173c-1272-4e62-84d7-5287e8dfe874,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.25,3.52,177.0,103.0,97.0,106.0,0.778,7.58,2.19,9.0,0.51,2.73,0.213,0.413,0.178,0.287,0.424,97.0,106.0,116.0,,,,,,,95.0,101.0,98.0,86.0,52.0,74.0,0.472,,0.001,,0.359,,2.59,-0.43,,1.47,,86.5,85.1,94.5,,0.181,0.225,0.351,,,,,,,,,,0.344,0.475,0.128,101.0,102.0,103.0,0.168,0.67,84.4,,,,0.218,0.373,0.312,,,,,,,,,,,,,,,,,,,,,
2024-09-20,745770,Groundout,field_out,True,682668,650911,Luisangel Acuña,Cristopher Sánchez,0,c08f585d-35bb-4b29-885f-7aca607d45d3,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.25,3.52,177.0,103.0,97.0,106.0,0.778,7.58,2.19,9.0,0.51,2.73,0.213,0.413,0.178,0.287,0.424,97.0,106.0,116.0,,,,,,,95.0,101.0,98.0,86.0,52.0,74.0,0.472,,0.001,,0.359,,2.59,-0.43,,1.47,,86.5,85.1,94.5,,0.181,0.225,0.351,,,,,,,,,,0.344,0.475,0.128,101.0,102.0,103.0,0.168,0.67,84.4,,,,0.218,0.373,0.312,,,,,,,,,,,,,,,,,,,,,
2024-09-20,745770,Strikeout,strikeout,True,682668,621381,Luisangel Acuña,Matt Strahm,0,c6d9ddbc-7068-4921-941d-dde2ffe81451,621381.0,mattstrahm,Strahm,Left,Matt Strahm,PHI,1.93,2.44,60.2,106.0,104.0,109.0,0.76,11.27,1.63,5.19,0.59,0.63,0.255,0.401,0.168,0.292,0.491,,,,,,,105.0,110.0,115.0,97.0,104.0,102.0,90.0,98.0,94.0,0.14,0.55,0.118,,,2.4,2.26,1.26,,,93.4,88.4,,93.4,,,,,0.16,0.288,0.268,0.15,0.25,0.294,,,,0.258,0.29,0.176,116.0,103.0,108.0,0.192,0.43,81.5,,,,0.121,0.273,0.333,,,,,,,,,,,,,,,,,,,,,
2024-09-20,745770,Groundout,field_out,True,682668,656546,Luisangel Acuña,Jeff Hoffman,0,3622e99c-0463-4fc2-9b12-aeda140ba686,656546.0,jeffhoffman,Hoffman,Right,Jeff Hoffman,PHI,1.68,2.82,64.1,100.0,116.0,104.0,0.672,11.89,2.24,6.16,0.7,0.92,0.205,0.47,0.179,0.298,0.438,,,,,,,118.0,104.0,104.0,113.0,102.0,108.0,,,,0.083,0.391,,,,1.48,,3.38,,,96.7,,,96.7,,,,,0.196,0.34,0.307,,,,,,,0.158,0.158,0.132,117.0,96.0,104.0,0.411,1.38,86.8,,,,0.19,0.304,0.458,104.0,103.0,107.0,0.116,0.23,90.5,0.179,0.256,0.308,,,,,,,,,,,,
2024-09-21,745768,Home Run,home_run,False,682668,624133,Luisangel Acuña,Ranger Suárez,0,1f68162f-0b15-4035-abc5-c3873fdc7710,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.15,3.47,148.2,103.0,82.0,100.0,0.798,8.66,2.36,8.05,0.79,1.96,0.191,0.463,0.156,0.274,0.398,73.0,100.0,98.0,84.0,106.0,108.0,68.0,102.0,92.0,88.0,106.0,104.0,101.0,98.0,94.0,0.315,0.194,0.122,0.205,0.163,0.66,-1.69,1.01,1.37,-0.31,91.9,86.5,80.0,90.8,74.5,0.215,0.301,0.349,0.227,0.33,0.184,0.302,0.642,0.163,0.178,0.308,0.341,0.261,0.374,0.098,22.0,85.0,77.0,0.001,-4.68,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21,745768,Flyout,field_out,True,682668,624133,Luisangel Acuña,Ranger Suárez,0,6d80af83-db73-4ca9-97a4-3a3b6494d364,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.15,3.47,148.2,103.0,82.0,100.0,0.798,8.66,2.36,8.05,0.79,1.96,0.191,0.463,0.156,0.274,0.398,73.0,100.0,98.0,84.0,106.0,108.0,68.0,102.0,92.0,88.0,106.0,104.0,101.0,98.0,94.0,0.315,0.194,0.122,0.205,0.163,0.66,-1.69,1.01,1.37,-0.31,91.9,86.5,80.0,90.8,74.5,0.215,0.301,0.349,0.227,0.33,0.184,0.302,0.642,0.163,0.178,0.308,0.341,0.261,0.374,0.098,22.0,85.0,77.0,0.001,-4.68,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21,745768,Double,double,False,682668,614179,Luisangel Acuña,José Ruiz,1,15445004-953a-4cda-b7ac-eb23514f822c,614179.0,joseruiz,"Ruiz, J",Right,José Ruiz,PHI,3.59,4.09,47.2,102.0,104.0,103.0,0.749,9.25,3.02,8.5,1.32,1.28,0.252,0.407,0.111,0.356,0.423,104.0,91.0,94.0,119.0,105.0,108.0,104.0,102.0,104.0,77.0,99.0,94.0,,,,0.248,0.267,,0.412,0.031,0.13,,1.34,-0.41,-1.74,96.4,,90.0,95.8,86.3,0.2,0.4,0.333,0.244,0.467,0.318,,,,0.259,0.407,0.347,0.234,0.34,0.102,136.0,67.0,76.0,0.043,-0.97,92.3,,,,0.333,0.333,0.4,,,,,,,,,,,,,,,,,,,,,
2024-09-21,745768,Walk,walk,False,682668,621383,Luisangel Acuña,Tanner Banks,0,0222a20a-260a-4098-a29b-4aa58ed53e4f,621383.0,tannerbanks,Banks,Left,Tanner Banks,- - -,3.78,3.27,69.0,102.0,96.0,100.0,0.758,9.78,3.13,8.35,0.78,1.48,0.281,0.328,0.146,0.266,0.434,85.0,99.0,100.0,116.0,111.0,109.0,84.0,106.0,104.0,75.0,104.0,92.0,,,,0.083,0.304,,0.147,0.135,0.39,,1.05,1.37,-1.86,93.5,,86.3,92.1,82.1,0.279,0.512,0.159,0.205,0.308,0.276,,,,0.19,0.262,0.293,0.273,0.273,0.342,108.0,95.0,93.0,0.331,0.11,87.9,,,,0.289,0.408,0.264,,,,,,,,,,,,,,,,,,,,,
2024-09-22,745767,Single,single,False,682668,554430,Luisangel Acuña,Zack Wheeler,1,d2cd9bd2-b9de-491a-b948-6437ec6752c8,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.56,2.84,193.2,104.0,106.0,108.0,0.75,9.9,2.32,6.32,0.88,1.09,0.245,0.347,0.213,0.29,0.42,,,,111.0,102.0,108.0,101.0,106.0,109.0,112.0,103.0,108.0,93.0,98.0,95.0,0.192,0.414,0.097,0.101,,0.83,0.16,3.14,-0.86,,95.3,91.1,,94.6,81.8,,,,0.215,0.409,0.294,0.238,0.381,0.18,0.211,0.408,0.377,0.179,0.234,0.14,128.0,106.0,115.0,0.125,0.93,84.9,0.149,0.277,0.328,,,,94.0,108.0,108.0,0.071,0.97,86.1,0.149,0.213,0.423,,,,,,,,,,,,
2024-09-22,745767,Forceout,force_out,True,682668,554430,Luisangel Acuña,Zack Wheeler,1,7100bd80-11ad-4580-abca-d69c5bb10d76,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.56,2.84,193.2,104.0,106.0,108.0,0.75,9.9,2.32,6.32,0.88,1.09,0.245,0.347,0.213,0.29,0.42,,,,111.0,102.0,108.0,101.0,106.0,109.0,112.0,103.0,108.0,93.0,98.0,95.0,0.192,0.414,0.097,0.101,,0.83,0.16,3.14,-0.86,,95.3,91.1,,94.6,81.8,,,,0.215,0.409,0.294,0.238,0.381,0.18,0.211,0.408,0.377,0.179,0.234,0.14,128.0,106.0,115.0,0.125,0.93,84.9,0.149,0.277,0.328,,,,94.0,108.0,108.0,0.071,0.97,86.1,0.149,0.213,0.423,,,,,,,,,,,,
2024-09-22,745767,Groundout,field_out,True,682668,554430,Luisangel Acuña,Zack Wheeler,0,6a6aad7b-4a25-460f-b77b-3f9cd6ade863,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.56,2.84,193.2,104.0,106.0,108.0,0.75,9.9,2.32,6.32,0.88,1.09,0.245,0.347,0.213,0.29,0.42,,,,111.0,102.0,108.0,101.0,106.0,109.0,112.0,103.0,108.0,93.0,98.0,95.0,0.192,0.414,0.097,0.101,,0.83,0.16,3.14,-0.86,,95.3,91.1,,94.6,81.8,,,,0.215,0.409,0.294,0.238,0.381,0.18,0.211,0.408,0.377,0.179,0.234,0.14,128.0,106.0,115.0,0.125,0.93,84.9,0.149,0.277,0.328,,,,94.0,108.0,108.0,0.071,0.97,86.1,0.149,0.213,0.423,,,,,,,,,,,,
2024-09-24,747068,Pop Out,field_out,True,682668,680885,Luisangel Acuña,Spencer Schwellenbach,0,5c7e82f6-5bf2-4bfd-a9d3-7bf893260b4e,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.36,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.15,0.247,0.413,0.183,0.297,0.462,,,,101.0,104.0,108.0,110.0,108.0,108.0,93.0,102.0,101.0,94.0,104.0,100.0,0.068,0.291,0.168,0.146,,0.27,0.53,-0.12,0.29,,96.1,92.9,,95.1,80.6,,,,0.24,0.448,0.205,0.27,0.5,0.199,0.236,0.436,0.409,0.231,0.385,0.078,110.0,113.0,119.0,0.199,0.61,87.3,,,,0.225,0.333,0.279,84.0,107.0,109.0,0.128,1.96,84.5,0.147,0.235,0.463,,,,,,,,,,,,
2024-09-24,747068,Lineout,field_out,True,682668,680885,Luisangel Acuña,Spencer Schwellenbach,0,53b000c2-9d26-4279-ae44-5ec15aa9b4a2,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.36,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.15,0.247,0.413,0.183,0.297,0.462,,,,101.0,104.0,108.0,110.0,108.0,108.0,93.0,102.0,101.0,94.0,104.0,100.0,0.068,0.291,0.168,0.146,,0.27,0.53,-0.12,0.29,,96.1,92.9,,95.1,80.6,,,,0.24,0.448,0.205,0.27,0.5,0.199,0.236,0.436,0.409,0.231,0.385,0.078,110.0,113.0,119.0,0.199,0.61,87.3,,,,0.225,0.333,0.279,84.0,107.0,109.0,0.128,1.96,84.5,0.147,0.235,0.463,,,,,,,,,,,,
2024-09-24,747068,Single,single,False,682668,641729,Luisangel Acuña,Joe Jiménez,0,b306995b-4be2-44f6-9b8b-8bf2537a89c4,641729.0,joejimenez,"Jiménez, J",Right,Joe Jiménez,ATL,2.62,2.48,68.2,104.0,100.0,105.0,0.698,10.75,3.01,5.9,0.26,0.99,0.208,0.458,0.138,0.311,0.444,65.0,112.0,111.0,,,,98.0,101.0,104.0,,,,,,,,0.462,,,0.042,1.48,,,,2.63,94.5,,89.0,,,0.176,0.176,0.192,0.216,0.261,0.268,,,,,,,,,,106.0,107.0,106.0,0.496,1.74,84.6,,,,0.15,0.233,0.396,,,,,,,,,,,,,,,,,,,,,
