date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024/09/12,7:16 PM.,BOS,NYY,home,Partly Cloudy.,72,681867,PR,0,1,0,0,0,0,0,0,0,0,0,.273,.322,.327,.649,681867,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.08,4.31,99.1,102.0,100.0,99.0,0.848,6.61,2.81,9.33,0.91,1.51,0.208,0.486,0.153,0.358,0.41,99.0,103.0,102.0,,,,,,,102.0,108.0,100.0,110.0,95.0,99.0,79.0,103.0,93.0,0.297,,0.154,0.288,,0.261,,0.64,0.48,-1.92,,0.55,,86.4,84.4,89.1,77.1,,,,,0.163,0.306,0.294,0.256,0.338,0.171,,,,0.287,0.479,0.207,0.33,0.511,0.073,0.429,0.857,0.154,,,,,,,,,,,,,,,
2024/09/11,7:07 PM.,KC,NYY,home,Clear.,73,666142,PR,0,1,0,0,0,0,0,0,0,0,0,.273,.322,.327,.649,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,114.0,98.0,103.0,,,,105.0,101.0,106.0,,,,132.0,106.0,114.0,88.0,94.0,91.0,,0.418,0.113,0.128,,0.237,0.85,0.26,,-0.34,,1.43,95.4,90.7,84.8,,86.0,,0.213,0.361,0.231,0.348,0.455,0.228,0.183,0.28,0.478,0.14,0.256,0.352,,,,,,,0.21,0.305,0.337,,,,,,,,,,101.0,97.0,101.0,0.104,0.9,80.8
2024/05/24,6:40 PM.,SD,NYY,away,Partly Cloudy.,64,506433,3B,4,0,1,0,0,0,0,1,0,2,2,.273,.322,.327,.649,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,3.31,3.62,81.2,102.0,101.0,102.0,0.755,8.6,2.42,7.16,1.32,0.89,0.171,0.504,0.154,0.325,0.467,,,,85.0,94.0,102.0,97.0,104.0,102.0,88.0,104.0,98.0,118.0,100.0,106.0,80.0,103.0,97.0,0.168,0.19,0.044,0.371,0.086,,-0.19,2.98,-0.28,0.6,0.49,,94.0,90.6,,93.6,84.4,73.8,0.21,0.403,0.151,0.0,0.0,0.346,,,,0.162,0.243,0.364,0.214,0.333,0.261,0.255,0.473,0.176,0.269,0.478,0.286,110.0,99.0,99.0,0.09,0.68,87.9,0.167,0.333,0.328,89.0,114.0,112.0,0.051,2.13,78.7
2024/05/20,7:09 PM.,SEA,NYY,home,Partly Cloudy.,68,669302,3B,4,0,1,0,0,0,1,0,0,0,4,.275,.327,.333,.660,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,124.0,99.0,107.0,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,116.0,104.0,103.0,0.015,0.308,0.106,0.32,0.118,,1.41,0.14,0.32,1.72,0.81,,96.6,92.3,,95.5,88.4,83.2,0.204,0.383,0.193,0.247,0.483,0.272,,,,0.181,0.301,0.354,,,,0.286,0.286,0.05,0.21,0.375,0.368,99.0,96.0,104.0,0.134,1.18,84.5,0.101,0.162,0.506,,,,,,
2024/05/19,1:38 PM.,CWS,NYY,home,Partly Cloudy.,70,623167,3B,3,1,2,0,0,1,3,0,0,1,1,.277,.333,.340,.673,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,83.0,98.0,101.0,2.0,93.0,82.0,74.0,108.0,87.0,148.0,102.0,103.0,47.0,101.0,90.0,0.002,0.37,0.261,0.087,0.122,0.157,-0.64,-0.75,2.01,-2.65,0.43,-1.32,91.3,87.4,81.3,91.4,80.0,72.0,0.261,0.473,0.132,0.319,0.536,0.218,0.257,0.436,0.379,0.246,0.393,0.308,,,,,,,0.361,0.475,0.271,,,,,,,,,,,,,,,
2024/05/18,1:08 PM.,CWS,NYY,home,Partly Cloudy.,67,641745,3B,2,1,0,0,0,0,0,0,2,0,0,.250,.313,.250,.563,641745,bradkeller,"Keller, B",Right,Brad Keller,- - -,5.44,4.74,41.1,102.0,97.0,102.0,0.804,6.97,3.27,10.45,1.96,1.45,0.245,0.42,0.147,0.329,0.423,98.0,102.0,100.0,86.0,87.0,102.0,73.0,100.0,97.0,78.0,92.0,87.0,122.0,106.0,112.0,,,,0.05,0.377,,0.428,0.015,0.131,-1.24,,-7.57,-1.48,-1.25,0.78,93.8,,88.6,92.6,85.6,81.1,0.295,0.423,0.131,,,,0.071,0.071,0.378,0.333,0.667,0.333,0.2,0.3,0.273,0.429,1.286,0.182,0.286,0.603,0.233,,,,,,,,,,,,,,,
2024/05/16,12:11 PM.,MIN,NYY,away,Partly Cloudy.,60,657746,3B,4,0,1,0,0,0,0,1,0,0,0,.262,.295,.262,.557,657746,joeryan,Ryan,Right,Joe Ryan,MIN,3.6,2.87,135.0,107.0,99.0,104.0,0.752,9.8,1.53,7.33,1.27,0.79,0.242,0.427,0.198,0.281,0.481,,,,,,,94.0,110.0,105.0,110.0,108.0,105.0,108.0,103.0,112.0,,,,0.06,0.485,,0.234,,,1.38,,-0.77,-0.09,,,94.0,,,92.9,83.1,,0.194,0.379,0.275,,,,,,,,,,0.207,0.37,0.337,0.345,0.483,0.094,0.343,0.6,0.216,101.0,103.0,94.0,0.221,0.2,88.6,0.202,0.387,0.258,,,,,,
2024/05/12,1:40 PM.,TB,NYY,away,Dome.,72,641302,3B,4,0,0,0,0,0,0,0,0,1,1,.263,.300,.263,.563,641302,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.68,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,102.0,103.0,103.0,,,,85.0,110.0,103.0,61.0,113.0,105.0,114.0,107.0,109.0,98.0,101.0,99.0,0.131,0.223,0.318,0.191,,0.137,-0.2,-0.5,-1.02,1.43,,-2.94,89.6,85.0,81.3,89.7,77.8,,0.232,0.495,0.244,0.265,0.549,0.216,0.339,0.5,0.181,,,,0.227,0.364,0.188,0.288,0.492,0.109,,,,,,,,,,,,,,,,,,
2024/05/11,4:10 PM.,TB,NYY,away,Dome.,72,641793,3B,4,0,1,0,0,0,0,0,0,1,0,.294,.333,.294,.627,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,,,,54.0,110.0,91.0,67.0,103.0,91.0,102.0,99.0,98.0,,,,0.148,0.221,,0.399,,,0.58,,-0.6,0.45,,,92.4,,,91.6,85.7,,0.245,0.358,0.191,,,,,,,,,,0.406,0.594,0.115,0.265,0.439,0.141,0.257,0.427,0.227,104.0,106.0,112.0,0.232,-0.84,83.0,0.258,0.423,0.344,,,,,,
2024/05/10,6:50 PM.,TB,NYY,away,Dome.,72,671737,3B,4,0,2,0,0,0,0,1,0,1,1,.300,.344,.300,.644,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,100.0,91.0,93.0,129.0,97.0,102.0,,,,,,,91.0,100.0,98.0,,0.417,0.225,,0.089,,-0.04,1.02,,,-1.5,,96.4,90.9,,,,79.1,0.269,0.5,0.21,0.205,0.357,0.324,,,,0.241,0.483,0.346,,,,,,,,,,123.0,102.0,114.0,0.269,0.47,90.9,0.213,0.32,0.33,,,,,,
2024/05/09,5:07 PM.,HOU,NYY,home,Overcast.,66,669854,PH,1,0,0,0,0,0,0,0,0,0,1,.269,.321,.269,.590,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,,,,89.0,103.0,101.0,,,,,0.383,,0.302,0.094,0.221,-0.42,,,2.24,2.55,-0.16,93.4,,85.2,,86.4,80.1,0.232,0.497,0.192,,,,0.188,0.356,0.343,0.071,0.071,0.376,,,,,,,0.18,0.284,0.333,,,,,,,,,,,,,,,
2024/05/07,7:07 PM.,HOU,NYY,home,Partly Cloudy.,73,434378,3B,4,1,2,0,0,0,1,1,0,0,1,.280,.333,.280,.613,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,110.0,101.0,97.0,116.0,98.0,102.0,,,,127.0,108.0,112.0,,,,,0.487,,0.193,0.219,0.101,-0.59,,,0.66,-1.46,-0.58,93.5,,84.0,,86.7,77.6,0.299,0.497,0.202,,,,0.235,0.353,0.253,0.34,0.56,0.22,,,,,,,0.195,0.322,0.215,,,,,,,,,,,,,,,
2024/05/05,1:38 PM.,DET,NYY,home,Rain.,51,669373,3B,2,1,1,0,0,0,0,0,1,1,0,.238,.304,.238,.542,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,,,,0.205,0.332,,0.149,,0.271,1.84,,1.25,0.78,,1.13,96.8,,86.3,96.6,88.7,,0.197,0.286,0.277,,,,0.216,0.322,0.461,0.158,0.316,0.175,,,,0.207,0.305,0.16,0.169,0.364,0.346,,,,,,,,,,95.0,91.0,101.0,0.042,1.26,78.5
2024/04/10,7:08 PM.,MIA,NYY,home,Overcast.,57,677960,3B,4,0,1,0,0,0,0,0,0,0,2,.211,.250,.211,.461,677960,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.63,4.2,86.2,96.0,94.0,97.0,0.761,8.31,2.49,8.1,1.14,1.3,0.264,0.413,0.193,0.295,0.41,84.0,102.0,103.0,,,,96.0,97.0,96.0,82.0,98.0,95.0,120.0,87.0,98.0,,,,0.121,0.397,,0.222,,0.26,-0.81,,0.13,0.49,,1.39,95.9,,86.4,94.5,82.9,,0.319,0.451,0.141,,,,0.193,0.367,0.379,,,,0.118,0.176,0.51,0.259,0.5,0.063,0.25,0.5,0.5,,,,,,,,,,,,,,,
2024/04/09,7:08 PM.,MIA,NYY,home,Partly Cloudy.,65,640462,3B,3,1,1,0,0,0,0,0,1,0,1,.200,.250,.200,.450,640462,ajpuk,Puk,Left,A.J. Puk,- - -,3.15,2.72,71.1,103.0,115.0,106.0,0.709,11.1,3.53,6.43,0.63,0.9,0.227,0.381,0.216,0.278,0.462,118.0,111.0,110.0,,,,125.0,105.0,108.0,109.0,95.0,96.0,102.0,103.0,110.0,,,,0.151,0.429,,0.38,,0.014,2.5,,-0.18,0.1,,-1.95,95.6,,90.3,94.7,83.8,,0.145,0.197,0.314,,,,0.4,0.4,0.4,,,,0.235,0.559,0.265,0.286,0.457,0.13,0.161,0.306,0.478,115.0,103.0,113.0,0.026,-4.04,84.4,0.444,0.667,0.111,,,,,,
2024/04/08,6:07 PM.,MIA,NYY,home,Overcast.,60,666200,3B,3,0,0,0,0,0,0,0,0,2,3,.167,.167,.167,.334,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.59,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.12,0.281,0.4,88.0,97.0,95.0,31.0,40.0,52.0,98.0,100.0,95.0,87.0,90.0,88.0,97.0,98.0,108.0,,,,0.083,0.394,,0.292,0.002,0.229,-0.64,,-0.77,0.14,-3.5,1.58,95.2,,86.3,94.6,83.5,81.6,0.28,0.484,0.111,,,,0.207,0.328,0.407,,,,,,,0.381,0.571,0.125,0.2,0.347,0.48,,,,,,,,,,,,,,,
2024/04/05,1:10 PM.,TOR,NYY,home,Partly Cloudy.,46,579328,3B,3,0,1,0,0,0,0,0,0,1,2,.222,.222,.222,.444,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,,,,111.0,100.0,106.0,,,,,0.471,,0.235,0.183,0.111,-0.08,,,1.31,0.02,-0.15,95.5,,86.7,,88.3,82.4,0.274,0.505,0.28,,,,0.194,0.25,0.358,0.264,0.395,0.274,,,,,,,0.21,0.28,0.297,,,,,,,,,,,,,,,
2024/04/03,12:40 PM.,AZ,NYY,away,Sunny.,77,518876,3B,2,1,0,0,0,0,0,0,0,1,0,.167,.167,.167,.334,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,122.0,108.0,106.0,116.0,108.0,107.0,73.0,106.0,97.0,84.0,98.0,90.0,114.0,111.0,111.0,95.0,103.0,98.0,0.147,0.197,0.252,0.118,0.077,0.21,-0.76,0.01,-3.28,-0.18,-1.78,4.47,91.9,90.3,88.4,92.3,85.6,82.2,0.26,0.54,0.204,0.276,0.5,0.109,0.099,0.099,0.315,0.25,0.55,0.205,,,,0.378,0.644,0.086,0.273,0.455,0.394,,,,,,,,,,,,,,,
2024/03/31,1:10 PM.,HOU,NYY,away,Roof Closed.,73,641585,3B,4,0,1,0,0,0,1,0,0,2,3,.250,.250,.250,.500,641585,jpfrance,"France, J",Right,J.P. France,HOU,7.46,5.71,25.1,90.0,84.0,90.0,0.77,7.82,4.26,11.01,1.78,0.57,0.256,0.419,0.186,0.291,0.38,95.0,85.0,90.0,79.0,94.0,88.0,90.0,84.0,84.0,76.0,104.0,103.0,101.0,116.0,109.0,69.0,95.0,95.0,0.017,0.294,0.238,0.03,0.193,0.227,-2.28,-1.85,2.39,-21.4,0.32,0.6,92.2,86.8,82.3,91.2,78.5,74.2,0.375,0.563,0.151,0.346,0.615,0.224,0.095,0.238,0.297,0.2,0.2,0.381,0.5,1.375,0.3,,,,,,,,,,,,,,,,,,,,,
