date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,KC%,wFA/C,wCU/C,wKC/C,vFA,vCU,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2024/08/10,5:11 PM.,AZ,PHI,away,Roof Closed.,79,668678,C,3,0,1,1,0,0,0,0,1,2,0,.191,.289,.237,.526,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,88.0,107.0,98.0,132.0,80.0,80.0,107.0,102.0,102.0,89.0,87.0,79.0,0.001,0.031,0.087,0.14,-0.78,-1.02,-0.56,0.43,90.3,86.6,94.7,87.0,0.25,0.625,0.36,0.31,0.476,0.337,,,,0.27,0.382,0.265,,,,101.0,95.0,96.0,0.463,,0.277,-0.55,,2.29,93.7,,81.0,0.28,0.46,0.133,0.148,0.23,0.392,,,,,,,,,,,,,,,,107.0,108.0,112.0
2024/08/05,7:10 PM.,LAD,PHI,away,Clear.,82,607192,C,4,0,0,0,0,0,0,0,0,2,3,.188,.283,.227,.510,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.65,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.17,0.293,0.469,,,,101.0,106.0,108.0,108.0,104.0,109.0,,,,0.087,,0.277,,,0.75,1.15,,,,96.6,90.0,,,,0.2,0.333,0.404,0.233,0.395,0.171,,,,139.0,97.0,110.0,118.0,101.0,103.0,0.45,0.186,,1.04,1.93,,96.3,83.7,,0.215,0.421,0.213,0.098,0.174,0.475,,,,,,,,,,,,,,,,,,
2024/07/31,12:38 PM.,NYY,PHI,home,Partly Cloudy.,87,641482,C,3,0,0,0,0,0,0,0,0,1,1,.194,.291,.234,.525,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,86.0,116.0,113.0,99.0,98.0,101.0,109.0,100.0,102.0,0.014,0.28,0.168,0.097,1.32,1.37,-1.27,-0.89,87.5,83.6,90.3,78.2,0.249,0.378,0.251,0.364,0.727,0.167,0.143,0.143,0.316,0.226,0.369,0.326,,,,99.0,103.0,100.0,0.442,,,0.25,,,92.1,,,0.235,0.443,0.215,,,,0.284,0.511,0.25,,,,,,,,,,,,,,,
2024/07/29,6:41 PM.,NYY,PHI,home,Partly Cloudy.,86,661563,P,1,0,0,0,0,0,0,0,0,0,1,.198,.292,.240,.532,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,108.0,94.0,105.0,,,,,,0.259,0.253,,,1.37,0.37,,91.6,,87.5,,,,0.171,0.312,0.315,,,,0.179,0.282,0.269,,,,128.0,96.0,102.0,0.488,,,0.06,,,96.6,,,0.205,0.395,0.285,,,,,,,,,,,,,,,,,,,,,
2024/07/28,1:36 PM.,CLE,PHI,home,Partly Cloudy.,87,676282,C,3,1,1,0,0,0,0,0,1,1,1,.200,.294,.242,.536,676282,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.83,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,,,,112.0,104.0,103.0,,,,,,0.084,0.276,,,2.07,0.26,,77.8,,82.6,,,,0.188,0.375,0.424,,,,0.216,0.324,0.437,95.0,109.0,105.0,96.0,91.0,87.0,0.488,0.152,,-1.29,1.01,,92.2,76.2,,0.292,0.585,0.22,0.172,0.276,0.271,,,,,,,,,,,,,,,,,,
2024/07/24,12:11 PM.,MIN,PHI,away,Partly Cloudy.,71,595345,C,3,1,1,0,0,0,0,0,1,2,0,.197,.288,.239,.527,595345,stevenokert,Okert,Left,Steven Okert,MIN,5.09,4.05,35.1,95.0,99.0,98.0,0.781,8.41,4.08,9.42,1.53,0.74,0.287,0.343,0.231,0.213,0.44,58.0,101.0,94.0,78.0,97.0,94.0,116.0,94.0,102.0,,,,0.091,,0.593,0.08,,-3.28,1.27,-5.35,,88.8,92.9,81.0,,,,0.141,0.295,0.31,0.417,0.75,0.05,0.438,0.688,0.25,,,,71.0,97.0,89.0,0.237,,,-3.27,,,93.0,,,0.424,0.636,0.082,,,,,,,,,,,,,,,,,,,,,
2024/07/21,1:37 PM.,PIT,PHI,away,Sunny.,83,594835,C,3,1,2,0,0,0,1,0,1,0,1,.193,.281,.237,.518,594835,marcogonzales,"Gonzales, M",Left,Marco Gonzales,PIT,4.54,6.53,33.2,105.0,74.0,95.0,0.843,6.15,2.94,11.5,1.34,1.02,0.239,0.41,0.154,0.368,0.419,89.0,117.0,108.0,64.0,110.0,92.0,,,,80.0,99.0,93.0,0.092,0.238,,0.255,0.9,-0.44,,-1.32,85.7,80.2,90.0,,0.286,0.429,0.123,,,,0.313,0.5,0.0,0.298,0.447,0.31,74.0,103.0,91.0,64.0,103.0,90.0,0.315,0.101,,-1.03,-2.22,,89.7,79.0,,0.324,0.459,0.136,0.353,0.647,0.176,,,,,,,,,,,,,,,,,,
2024/07/19,6:42 PM.,PIT,PHI,away,Clear.,84,527048,C,3,0,0,0,0,0,0,0,1,1,2,.180,.266,.225,.491,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,78.0,101.0,93.0,70.0,111.0,119.0,70.0,101.0,93.0,0.358,0.221,0.0,0.227,-0.61,0.57,-51.06,-1.27,87.9,83.4,90.7,82.8,0.28,0.57,0.212,,,,0.275,0.383,0.097,0.28,0.448,0.341,74.0,102.0,98.0,56.0,92.0,86.0,0.053,0.141,,-8.23,0.62,,91.3,77.9,,0.458,0.917,0.043,0.246,0.354,0.29,,,,,,,,,,,,,,,,,,
2024/07/14,1:36 PM.,OAK,PHI,home,Partly Cloudy.,94,683155,P,3,0,0,0,0,0,0,0,0,0,0,.185,.261,.231,.492,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,61.0,93.0,83.0,114.0,113.0,117.0,111.0,89.0,91.0,0.034,0.007,0.332,0.111,-13.81,-1.55,-0.2,-2.46,86.4,84.8,90.8,79.6,,,,0.261,0.435,0.223,0.263,0.579,0.147,0.357,0.738,0.204,,,,80.0,106.0,99.0,0.517,,,0.08,,,92.4,,,0.257,0.469,0.175,,,,0.217,0.367,0.216,,,,,,,,,,,,,,,
2024/07/13,4:06 PM.,OAK,PHI,home,Partly Cloudy.,88,687765,C,2,2,0,0,0,0,0,0,1,0,0,.190,.267,.238,.505,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,40.0,97.0,84.0,121.0,105.0,109.0,99.0,100.0,96.0,0.146,0.396,0.326,0.011,-0.41,-1.41,0.01,-7.88,90.7,88.4,91.9,84.3,0.278,0.472,0.176,0.278,0.493,0.276,0.338,0.403,0.16,0.571,0.857,0.0,118.0,117.0,117.0,,,,,0.121,,,-0.82,,,80.4,,,,,0.196,0.351,0.31,,,,,,,,,,,,,,,,,,
2024/07/11,6:06 PM.,LAD,PHI,home,Partly Cloudy.,89,607455,C,3,0,0,0,0,0,0,0,0,1,0,.194,.259,.243,.502,607455,anthonybanda,Banda,Left,Anthony Banda,LAD,3.08,3.26,49.2,101.0,94.0,100.0,0.716,9.06,3.26,7.97,0.91,1.2,0.281,0.367,0.187,0.331,0.435,71.0,104.0,102.0,89.0,102.0,100.0,109.0,98.0,102.0,57.0,104.0,92.0,0.24,0.001,0.281,0.123,-2.1,1.52,1.51,-1.58,83.2,90.0,96.0,85.7,,,,0.154,0.25,0.513,0.283,0.304,0.124,0.364,0.5,0.392,,,,91.0,101.0,97.0,0.349,0.006,,0.24,1.46,,96.1,82.2,,0.231,0.415,0.212,,,,,,,,,,,,,,,,,,,,,
2024/07/10,7:08 PM.,LAD,PHI,home,Partly Cloudy.,88,694813,C,3,0,0,0,0,0,0,0,0,1,2,.200,.266,.250,.516,694813,gavinstone,Stone,Right,Gavin Stone,LAD,3.53,3.94,140.1,103.0,99.0,101.0,0.768,7.44,2.37,8.53,1.15,1.21,0.247,0.409,0.169,0.292,0.409,81.0,102.0,98.0,97.0,103.0,98.0,136.0,111.0,117.0,80.0,101.0,94.0,0.226,0.053,0.165,0.266,0.49,-0.69,0.96,0.82,92.3,87.5,95.3,88.7,0.32,0.48,0.183,0.239,0.326,0.355,0.314,0.504,0.136,0.178,0.356,0.372,93.0,102.0,102.0,101.0,100.0,97.0,0.247,0.042,,0.1,1.45,,94.9,83.3,,0.246,0.41,0.162,0.267,0.333,0.167,0.182,0.182,0.133,,,,,,,,,,,,,,,
2024/07/07,1:37 PM.,ATL,PHI,away,Partly Cloudy.,88,625643,C,3,0,0,0,0,0,0,0,0,1,3,.206,.274,.258,.532,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,75.0,110.0,105.0,,,,113.0,100.0,105.0,,,,,,0.294,0.038,,,1.45,-3.58,,86.1,,85.0,,,,0.168,0.257,0.443,,,,0.263,0.737,0.349,84.0,99.0,104.0,91.0,103.0,99.0,0.552,0.116,,1.19,1.61,,95.5,77.0,,0.266,0.369,0.165,0.151,0.264,0.364,,,,,,,,,,,,,,,,,,
2024/07/04,1:20 PM.,CHC,PHI,away,Cloudy.,80,592791,C,2,0,0,0,0,0,0,0,1,1,0,.213,.282,.266,.548,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,74.0,104.0,92.0,104.0,116.0,120.0,92.0,103.0,98.0,0.109,0.251,0.155,0.043,2.12,1.47,0.65,-2.45,86.5,86.0,92.5,80.4,0.252,0.31,0.191,,,,0.219,0.297,0.085,0.273,0.576,0.148,104.0,111.0,113.0,66.0,106.0,96.0,0.296,0.147,,-0.27,-1.04,,92.3,79.5,,0.287,0.497,0.147,0.232,0.424,0.23,0.183,0.296,0.317,,,,,,,,,,,,,,,
2024/07/02,7:08 PM.,CHC,PHI,away,Partly Cloudy.,83,669713,C,4,0,1,1,0,0,2,0,0,1,1,.217,.280,.272,.552,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.86,4.17,67.2,101.0,92.0,99.0,0.76,8.91,2.79,7.45,1.6,1.12,0.28,0.399,0.212,0.264,0.404,92.0,102.0,104.0,91.0,100.0,96.0,134.0,101.0,112.0,76.0,98.0,98.0,0.112,0.088,0.406,0.03,3.38,-0.56,0.59,1.66,88.1,87.2,93.5,82.4,0.167,0.167,0.213,,,,0.273,0.545,0.121,0.125,0.125,0.25,,,,51.0,101.0,86.0,0.365,,,-0.68,,,94.6,,,0.254,0.465,0.143,,,,0.174,0.348,0.433,,,,,,,,,,,,,,,
2024/06/29,4:05 PM.,MIA,PHI,home,Cloudy.,86,682610,C,2,1,1,0,0,1,1,0,0,0,2,.216,.281,.261,.542,682610,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,6.53,6.83,82.2,96.0,92.0,93.0,0.788,7.62,4.57,9.69,2.83,0.75,0.233,0.397,0.134,0.397,0.4,57.0,96.0,89.0,93.0,94.0,91.0,103.0,94.0,100.0,89.0,96.0,90.0,0.228,0.212,0.198,0.093,-0.08,-0.99,-2.57,-2.82,89.8,89.3,94.9,85.7,0.229,0.471,0.313,0.261,0.536,0.328,0.27,0.554,0.109,0.27,0.595,0.306,,,,96.0,97.0,94.0,0.269,,,-3.28,,,95.4,,,0.325,0.714,0.175,,,,,,,,,,,,,,,,,,,,,
2024/06/28,6:21 PM.,MIA,PHI,home,Partly Cloudy.,79,667725,C,2,0,1,0,0,0,0,0,1,0,1,.209,.277,.221,.498,667725,kyletyler,Tyler,Right,Kyle Tyler,MIA,5.4,6.21,31.2,95.0,101.0,95.0,0.76,7.11,5.12,10.52,1.14,1.75,0.235,0.408,0.153,0.327,0.379,47.0,78.0,66.0,,,,117.0,87.0,90.0,108.0,102.0,100.0,,0.448,0.112,0.012,-0.34,,0.12,-4.32,90.3,86.4,,82.2,0.328,0.448,0.17,0.231,0.308,0.379,,,,,,,97.0,89.0,93.0,81.0,91.0,88.0,0.143,0.284,,0.03,-1.62,,90.6,77.0,,0.238,0.429,0.159,0.323,0.419,0.431,,,,,,,,,,,,,,,,,,
2024/06/26,1:10 PM.,DET,PHI,away,Cloudy.,80,663947,C,4,0,1,0,0,0,0,0,0,1,2,.202,.264,.214,.478,663947,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,59.0,104.0,101.0,77.0,105.0,97.0,113.0,97.0,105.0,85.0,105.0,101.0,0.216,0.273,0.155,0.189,1.85,2.61,1.73,0.4,87.6,83.6,91.5,80.6,0.194,0.292,0.253,,,,0.156,0.338,0.094,0.25,0.382,0.289,109.0,94.0,100.0,79.0,100.0,91.0,0.152,0.015,,4.5,1.83,,92.1,79.2,,0.105,0.14,0.257,,,,0.13,0.174,0.379,,,,,,,,,,,,,,,
2024/06/24,6:40 PM.,DET,PHI,away,Partly Cloudy.,81,663554,C,5,0,2,0,0,0,0,0,0,3,2,.200,.264,.213,.477,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,92.0,108.0,105.0,107.0,101.0,102.0,,,,0.08,,0.277,,,1.3,-0.46,,,,95.5,85.7,,,,0.271,0.5,0.218,0.293,0.341,0.08,,,,,,,106.0,105.0,102.0,0.386,,0.075,-0.47,,-2.21,95.5,,79.6,0.306,0.428,0.205,0.261,0.522,0.216,,,,112.0,99.0,102.0,0.181,-1.06,86.2,0.286,0.405,0.322,,,,102.0,90.0,94.0
2024/06/23,11:36 AM.,AZ,PHI,home,Partly Cloudy.,91,677944,C,4,0,1,0,0,0,0,0,0,0,3,.187,.256,.200,.456,677944,sladececconi,Cecconi,Right,Slade Cecconi,ARI,6.66,4.52,77.0,105.0,102.0,105.0,0.816,7.48,1.99,10.75,1.87,0.69,0.3,0.356,0.162,0.332,0.485,103.0,98.0,100.0,,,,117.0,100.0,105.0,,,,,0.001,0.24,0.121,3.94,,-1.24,-0.57,90.4,81.8,,85.1,,,,0.278,0.494,0.207,,,,0.227,0.432,0.269,103.0,101.0,106.0,95.0,109.0,106.0,0.548,0.09,,-1.46,-1.42,,94.4,75.4,,0.329,0.582,0.164,0.2,0.4,0.289,,,,,,,,,,,,,,,,,,
2024/06/18,6:42 PM.,SD,PHI,home,Partly Cloudy.,89,650633,C,3,0,0,0,0,0,0,0,0,3,5,.183,.256,.197,.453,650633,michaelking,"King, M",Right,Michael King,SDP,2.95,3.59,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,88.0,105.0,98.0,115.0,97.0,102.0,,,,0.279,,0.234,0.246,,0.68,-0.19,1.61,,86.7,92.9,82.9,,,,0.281,0.5,0.284,0.2,0.376,0.189,0.207,0.286,0.362,,,,86.0,103.0,101.0,0.241,,,-0.15,,,93.7,,,0.265,0.402,0.261,,,,0.206,0.304,0.345,,,,,,,,,,,,,,,
2024/06/16,1:36 PM.,BAL,PHI,away,Cloudy.,83,669203,C,4,1,1,0,0,0,0,0,0,1,3,.191,.267,.206,.473,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,104.0,95.0,89.0,133.0,105.0,120.0,125.0,105.0,108.0,0.078,0.45,0.146,0.11,1.37,-0.5,0.7,0.2,95.3,89.2,97.0,87.2,0.251,0.362,0.19,0.196,0.268,0.463,0.235,0.412,0.157,0.194,0.339,0.377,109.0,101.0,106.0,,,,,0.215,,,0.44,,,80.3,,,,,0.2,0.326,0.378,0.125,0.5,0.457,,,,,,,,,,,,,,,
2024/06/15,4:06 PM.,BAL,PHI,away,Sunny.,84,680570,C,4,0,1,0,0,0,0,1,0,2,2,.188,.268,.203,.471,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,140.0,101.0,108.0,133.0,102.0,111.0,118.0,101.0,108.0,,,,0.012,,0.158,0.21,,5.3,-0.96,1.63,,83.1,96.1,86.5,,,,0.25,0.563,0.361,0.167,0.333,0.294,0.161,0.306,0.348,114.0,103.0,107.0,113.0,102.0,106.0,0.465,0.155,,-0.38,0.29,,96.1,81.3,,0.291,0.413,0.269,0.26,0.38,0.241,,,,,,,,,,,,,,,,,,
