date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff
2024/09/24,7:25 PM.,WSH,KC,away,Overcast.,66,680730,DH,3,0,0,0,0,0,0,0,1,1,3,.275,.367,.325,.692,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,97.0,96.0,96.0,78.0,101.0,96.0,106.0,107.0,110.0,0.486,0.098,0.225,,0.07,-0.73,0.47,,92.5,,84.5,80.5,0.238,0.429,0.364,0.276,0.425,0.12,,,,0.252,0.36,0.263,,,,,,,,,,,,,,,,,,,,,,,,,89.0,94.0,94.0,0.191,,-0.6,,85.6,,0.233,0.4,0.372
2024/09/22,1:11 PM.,SF,KC,home,Drizzle.,64,605483,1B,4,0,0,0,0,0,0,0,0,2,2,.297,.378,.351,.729,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,106.0,87.0,91.0,0.464,0.101,0.26,0.176,1.16,0.11,2.25,0.95,95.9,85.5,88.7,81.1,0.167,0.267,0.446,0.2,0.303,0.244,0.236,0.319,0.476,0.111,0.183,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/21,4:10 PM.,SF,KC,home,Partly Cloudy.,87,694738,DH,4,0,0,0,0,0,0,0,0,2,3,.333,.415,.394,.809,694738,landenroupp,Roupp,Right,Landen Roupp,SFG,3.58,4.05,50.1,98.0,125.0,106.0,0.763,8.4,4.65,7.69,0.36,1.6,0.231,0.427,0.196,0.252,0.397,97.0,92.0,93.0,155.0,103.0,121.0,66.0,70.0,66.0,115.0,84.0,93.0,0.019,0.042,0.441,0.094,-2.8,0.91,0.4,1.41,93.4,88.2,83.9,77.4,0.25,0.25,0.6,,,,0.111,0.111,0.357,0.224,0.357,0.335,,,,,,,,,,102.0,96.0,95.0,0.405,0.31,94.4,0.257,0.343,0.055,,,,,,,,,,,,,,,,,,
2024/09/20,7:11 PM.,SF,KC,home,Clear.,93,696131,1B,3,1,1,0,0,0,0,0,1,0,1,.379,.459,.448,.907,696131,masonblack,Black,Right,Mason Black,SFG,6.44,6.13,36.1,101.0,99.0,99.0,0.858,7.68,3.72,11.39,1.73,0.69,0.225,0.392,0.167,0.367,0.431,92.0,88.0,77.0,,,,86.0,103.0,98.0,109.0,97.0,101.0,0.321,0.371,,0.023,-2.69,-0.68,,-13.48,92.4,87.6,83.3,,0.0,0.0,0.179,0.333,0.548,0.236,0.667,0.833,0.0,,,,,,,,,,,,,101.0,100.0,97.0,0.285,-1.0,92.6,0.326,0.535,0.08,0.318,0.591,0.16,,,,,,,,,,,,,,,
2024/09/18,6:40 PM.,DET,KC,home,Clear.,86,669373,1B,3,0,2,0,0,0,1,0,1,0,0,.385,.455,.462,.917,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,111.0,99.0,103.0,0.332,0.149,,0.271,1.84,0.78,,1.13,96.8,86.3,88.7,,0.169,0.364,0.346,0.197,0.286,0.277,0.216,0.322,0.461,0.158,0.316,0.175,,,,,,,,,,95.0,105.0,104.0,0.205,1.25,96.6,0.207,0.305,0.16,,,,95.0,91.0,101.0,,,,,0.042,,1.26,,78.5,,,
2024/09/17,6:40 PM.,DET,KC,home,Clear.,86,663554,DH,3,0,1,0,0,0,0,0,1,0,1,.348,.414,.435,.849,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,,,,106.0,105.0,102.0,107.0,101.0,102.0,0.386,0.277,,,-0.47,-0.46,,,95.5,,85.7,,0.271,0.5,0.218,0.306,0.428,0.205,,,,0.261,0.522,0.216,,,,,,,,,,92.0,108.0,105.0,0.08,1.3,95.5,0.293,0.341,0.08,,,,102.0,90.0,94.0,112.0,99.0,102.0,0.181,0.075,-1.06,-2.21,86.2,79.6,0.286,0.405,0.322
2024/09/16,6:40 PM.,DET,KC,home,Partly Cloudy.,86,681857,1B,3,1,2,0,0,0,0,0,0,1,1,.350,.400,.450,.850,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,111.0,97.0,103.0,0.234,0.278,0.06,0.223,-0.39,2.08,-3.32,-0.05,94.2,86.5,84.8,79.0,0.143,0.194,0.455,0.277,0.386,0.101,0.222,0.344,0.429,0.304,0.652,0.295,,,,,,,,,,75.0,103.0,95.0,0.205,1.85,94.2,0.284,0.385,0.076,,,,,,,,,,,,,,,,,,
2024/09/15,1:36 PM.,PIT,KC,away,Sunny.,83,683003,1B,2,2,1,1,0,0,1,0,1,0,1,.294,.364,.412,.776,683003,jaredjones,Jones,Right,Jared Jones,PIT,4.14,4.05,121.2,102.0,127.0,108.0,0.726,9.76,2.88,7.84,1.33,0.93,0.238,0.39,0.149,0.335,0.458,113.0,99.0,106.0,95.0,96.0,98.0,132.0,102.0,109.0,130.0,103.0,111.0,0.493,0.348,0.093,0.066,0.15,1.12,-2.53,-2.91,97.3,89.9,88.8,81.5,0.208,0.354,0.373,0.224,0.425,0.257,0.317,0.561,0.229,0.348,0.87,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/13,6:41 PM.,PIT,KC,away,Clear.,81,682847,1B,3,1,1,0,0,0,1,0,1,1,0,.267,.333,.333,.666,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.31,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.286,0.443,66.0,87.0,88.0,,,,97.0,104.0,97.0,121.0,102.0,109.0,0.268,0.268,,0.009,1.02,-0.41,,0.21,95.9,90.6,85.8,,0.203,0.392,0.31,0.187,0.331,0.208,,,,,,,90.0,100.0,94.0,0.197,0.71,91.0,0.273,0.416,0.168,105.0,97.0,95.0,0.258,1.13,94.9,0.237,0.374,0.129,,,,,,,,,,,,,,,,,,
2024/09/09,7:09 PM.,NYY,KC,away,Clear.,74,607074,1B,3,0,0,0,0,0,0,0,0,1,2,.250,.286,.333,.619,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,103.0,86.0,93.0,114.0,98.0,101.0,144.0,104.0,113.0,0.494,0.26,0.083,0.129,0.05,-0.4,-1.32,1.44,95.4,85.5,86.8,81.0,0.199,0.361,0.393,0.262,0.514,0.214,0.188,0.247,0.495,0.281,0.531,0.276,100.0,83.0,82.0,0.035,-3.11,91.8,0.353,0.647,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/06,7:10 PM.,MIN,KC,home,Clear.,76,805673,1B,3,0,1,0,0,0,1,0,0,1,3,.333,.364,.444,.808,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,88.0,87.0,93.0,107.0,117.0,117.0,95.0,99.0,97.0,114.0,100.0,105.0,0.428,0.259,0.071,0.079,-1.19,-1.68,-5.76,-3.13,94.9,85.8,87.2,81.7,0.308,0.462,0.376,0.288,0.627,0.178,0.222,0.333,0.313,0.4,0.667,0.174,96.0,101.0,95.0,0.162,-1.3,90.9,0.345,0.655,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/04,6:40 PM.,CLE,KC,home,Clear.,82,594902,PH,1,0,0,0,0,0,0,0,0,1,1,.333,.429,.500,.929,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,43.0,106.0,93.0,57.0,94.0,83.0,105.0,102.0,101.0,0.314,0.218,0.088,0.091,-0.21,-0.01,-0.11,-0.79,89.9,83.9,79.4,76.9,0.238,0.476,0.419,0.268,0.504,0.166,0.279,0.382,0.185,0.206,0.365,0.18,,,,,,,,,,57.0,108.0,94.0,0.29,0.56,90.4,0.227,0.392,0.133,0.231,0.413,0.241,,,,,,,,,,,,,,,
2024/09/02,3:11 PM.,CLE,KC,home,Sunny.,78,668909,1B,2,1,1,1,0,0,0,0,1,0,0,.400,.500,.600,1.100,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,66.0,96.0,101.0,121.0,101.0,105.0,97.0,102.0,102.0,95.0,80.0,96.0,0.515,0.113,0.198,0.054,0.08,-0.16,-0.01,-3.82,96.6,89.2,88.6,79.5,0.258,0.387,0.242,0.286,0.421,0.22,0.417,0.833,0.148,0.155,0.31,0.304,98.0,99.0,94.0,0.12,0.56,91.6,0.205,0.333,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/01,1:10 PM.,HOU,KC,away,Roof Closed.,73,669854,DH,3,0,1,0,0,0,1,0,0,1,1,.333,.333,.333,.666,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,75.0,96.0,100.0,85.0,95.0,90.0,89.0,103.0,101.0,0.383,0.302,0.094,0.221,-0.42,2.24,2.55,-0.16,93.4,85.2,86.4,80.1,0.18,0.284,0.333,0.232,0.497,0.192,0.188,0.356,0.343,0.071,0.071,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
