date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,KC%,wFO/C,wKC/C,vFO,vKC,vKN (sc),KN%,wKN/C
2024/07/03,7:08 PM.,TOR,HOU,away,Cloudy.,79,579328,1B,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,105.0,105.0,114.0,103.0,107.0,,,,111.0,100.0,106.0,,,,,0.471,,0.235,0.183,-0.08,,,1.31,0.02,95.5,,,88.3,82.4,0.274,0.505,0.28,,,,0.264,0.395,0.274,0.21,0.28,0.297,,,,99.0,93.0,91.0,,,,,0.111,,-0.15,,86.7,,,,,,,0.194,0.25,0.358,,,,,,,,,,,,,,,
2024/05/16,7:11 PM.,OAK,HOU,home,Roof Closed.,73,683155,SS,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,,,,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,,,,0.034,0.517,,0.332,,0.08,,-1.55,-0.2,,92.4,,90.8,79.6,,0.257,0.469,0.175,,,,,,,0.261,0.435,0.223,0.263,0.579,0.147,78.0,93.0,94.0,111.0,89.0,91.0,0.007,0.111,-13.81,-2.46,86.4,84.8,,,,0.217,0.367,0.216,0.357,0.738,0.204,,,,,,,,,,,,,,,
2024/05/13,7:10 PM.,OAK,HOU,home,Roof Closed.,73,548389,SS,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,548389,rossstripling,Stripling,Right,Ross Stripling,OAK,6.01,4.74,85.1,105.0,86.0,98.0,0.849,5.17,2.32,11.5,0.74,1.11,0.304,0.359,0.175,0.301,0.443,,,,62.0,100.0,87.0,90.0,102.0,90.0,121.0,108.0,112.0,,,,0.142,0.303,,0.134,,-0.05,,-0.67,-1.89,,91.7,,90.2,84.7,,0.244,0.422,0.175,,,,0.364,0.455,0.179,0.328,0.5,0.157,0.39,0.441,0.078,90.0,111.0,105.0,80.0,107.0,92.0,0.159,0.176,0.67,-1.87,87.5,82.7,0.245,0.367,0.156,,,,0.333,0.52,0.241,,,,89.0,105.0,106.0,,0.086,,-1.1,,76.3,,,
2024/05/12,1:41 PM.,DET,HOU,away,Sunny.,66,656427,3B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,,,,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,,,,0.023,0.441,,0.29,,0.5,,-5.05,0.02,,93.3,,90.6,84.7,,0.245,0.401,0.238,,,,0.164,0.219,0.436,0.222,0.455,0.363,0.6,1.2,0.4,87.0,83.0,81.0,,,,,0.027,,-0.55,,85.7,,,,,,,0.111,0.333,0.111,,,,101.0,103.0,107.0,,0.218,,2.19,,77.4,,,
2024/05/11,6:10 PM.,DET,HOU,away,Overcast.,57,669373,PH,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,,,,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,,,,0.205,0.332,,0.149,,1.84,,1.25,0.78,,96.8,,96.6,88.7,,0.197,0.286,0.277,,,,0.158,0.316,0.175,0.169,0.364,0.346,0.207,0.305,0.16,97.0,104.0,114.0,,,,,0.271,,1.13,,86.3,,,,,,,0.216,0.322,0.461,,,,95.0,91.0,101.0,,0.042,,1.26,,78.5,,,
2024/04/27,4:08 PM.,COL,HOU,away,Cloudy.,79,615698,2B,1,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,98.0,101.0,104.0,,,,79.0,95.0,89.0,,,,109.0,94.0,97.0,0.402,,0.32,,0.126,,0.4,-2.0,,-0.77,,86.5,93.8,,79.6,,,,0.206,0.314,0.234,0.25,0.531,0.282,,,,0.35,0.596,0.184,88.0,97.0,103.0,76.0,96.0,93.0,0.135,0.018,-0.41,1.81,87.8,84.9,0.296,0.507,0.203,,,,0.222,0.222,0.167,,,,,,,,,,,,,,,
2024/04/13,3:05 PM.,TEX,HOU,home,Roof Closed.,73,571760,3B,1,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,126.0,105.0,103.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,,,,0.014,0.501,,0.278,0.036,0.15,,-4.52,-0.26,-3.31,91.5,,92.2,82.5,75.6,0.23,0.412,0.213,,,,0.5,1.1,0.188,0.26,0.385,0.365,0.455,0.455,0.125,83.0,102.0,94.0,20.0,51.0,51.0,0.001,0.17,-19.13,0.46,86.6,83.7,,,,,,,0.239,0.384,0.243,,,,,,,,,,,,,,,
2024/04/12,7:10 PM.,TEX,HOU,home,Roof Closed.,73,641540,3B,4,0,0,0,0,0,0,0,0,2,5,.000,.000,.000,.000,641540,danedunning,Dunning,Right,Dane Dunning,TEX,5.31,5.28,95.0,98.0,82.0,94.0,0.785,8.62,3.79,9.19,1.71,1.15,0.158,0.5,0.127,0.345,0.425,,,,40.0,103.0,91.0,79.0,102.0,97.0,102.0,100.0,97.0,,,,0.377,0.028,,0.234,,-2.6,,0.0,-1.44,,89.2,,89.7,80.6,,0.25,0.583,0.259,,,,0.0,0.0,0.429,0.274,0.512,0.304,0.276,0.442,0.133,83.0,94.0,86.0,74.0,99.0,94.0,0.188,0.125,-0.73,-1.22,88.1,85.0,0.254,0.46,0.242,,,,0.233,0.488,0.327,,,,58.0,89.0,98.0,0.001,0.047,-6.34,0.09,76.4,75.6,,,
2024/04/10,6:40 PM.,KC,HOU,away,Cloudy.,63,607625,2B,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,126.0,100.0,110.0,75.0,103.0,95.0,68.0,101.0,92.0,125.0,97.0,105.0,93.0,107.0,106.0,0.185,0.24,0.026,0.135,0.262,0.7,0.07,0.65,-0.67,1.44,92.2,85.7,92.1,85.2,79.4,0.234,0.392,0.176,0.105,0.421,0.351,0.178,0.271,0.339,0.213,0.387,0.2,0.274,0.381,0.129,93.0,100.0,98.0,97.0,103.0,103.0,0.082,0.069,2.86,0.08,90.1,87.4,0.228,0.228,0.23,0.375,0.75,0.109,0.208,0.333,0.291,0.215,0.28,0.285,,,,,,,,,,,,
2024/04/05,7:07 PM.,TEX,HOU,away,Cloudy.,83,674003,3B,1,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,674003,codybradford,Bradford,Left,Cody Bradford,TEX,3.54,3.54,76.1,105.0,94.0,100.0,0.793,8.25,1.53,7.55,1.18,0.82,0.263,0.357,0.138,0.304,0.427,96.0,103.0,104.0,94.0,105.0,93.0,,,,49.0,114.0,107.0,,,,,0.523,,0.07,0.128,1.75,,,-0.79,-2.32,89.8,,,82.7,74.9,0.185,0.344,0.213,,,,0.306,0.556,0.129,0.32,0.48,0.182,,,,105.0,104.0,109.0,70.0,112.0,85.0,0.007,0.273,-3.68,0.86,86.4,80.9,,,,,,,0.21,0.333,0.338,,,,,,,,,,,,,,,
2024/04/03,7:12 PM.,TOR,HOU,home,Roof Closed.,73,605135,3B,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,101.0,91.0,102.0,64.0,103.0,94.0,96.0,101.0,97.0,120.0,96.0,106.0,87.0,90.0,86.0,0.407,0.045,0.043,0.118,0.137,-1.6,-2.64,-0.08,-0.88,-0.09,92.6,84.1,92.5,77.2,71.0,0.242,0.394,0.25,0.303,0.364,0.167,0.221,0.351,0.292,0.375,0.781,0.096,0.327,0.423,0.128,75.0,87.0,84.0,79.0,101.0,91.0,0.197,0.053,0.44,-2.29,89.6,84.5,0.188,0.316,0.268,0.154,0.231,0.458,0.321,0.607,0.158,,,,,,,,,,,,,,,
2024/04/01,7:11 PM.,TOR,HOU,home,Roof Closed.,73,670102,DH,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,670102,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.39,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,109.0,105.0,110.0,0.029,0.513,0.184,0.092,0.182,2.21,1.44,1.45,-1.47,-1.71,92.9,83.8,90.3,81.7,73.5,0.174,0.371,0.185,0.169,0.169,0.225,0.308,0.558,0.243,0.25,0.583,0.436,0.182,0.455,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
