date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024/06/30,1:40 PM.,TB,WSH,away,Dome.,72,671737,C,3,0,0,0,0,0,0,0,0,2,0,.167,.219,.300,.519,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,129.0,97.0,102.0,,,,,,,123.0,102.0,114.0,,0.417,0.269,,-0.04,0.47,,,96.4,90.9,,,,,,0.213,0.32,0.33,,,,0.269,0.5,0.21,,,,100.0,91.0,93.0,0.089,,-1.5,,,79.1,,,,91.0,100.0,98.0,0.225,1.02,90.9,0.205,0.357,0.324,,,,0.241,0.483,0.346,,,,,,,,,
2024/06/26,1:11 PM.,SD,WSH,away,Partly Cloudy.,75,656302,C,3,0,0,0,0,0,0,0,0,1,1,.185,.241,.333,.574,656302,dylancease,Cease,Right,Dylan Cease,SDP,3.47,3.31,189.1,100.0,121.0,107.0,0.693,10.65,3.09,6.51,0.86,0.94,0.203,0.433,0.147,0.307,0.389,123.0,95.0,102.0,,,,112.0,100.0,105.0,,,,,0.435,,0.471,0.22,,,1.98,96.9,,,87.2,,,,,,,0.2,0.267,0.385,0.235,0.39,0.203,54.0,72.0,68.0,,,,,0.009,,-4.13,69.7,,0.25,1.0,0.2,113.0,89.0,90.0,0.006,-5.11,91.8,0.25,1.0,0.0,0.159,0.257,0.447,0.28,0.44,0.286,105.0,95.0,102.0,0.079,-0.95,82.3,,,
2024/06/22,7:10 PM.,COL,WSH,away,Cloudy.,83,615698,C,1,1,0,0,0,0,0,0,0,0,0,.208,.269,.375,.644,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,,,,79.0,95.0,89.0,,,,109.0,94.0,97.0,0.402,,0.32,,,0.4,-2.0,,,86.5,93.8,,0.35,0.596,0.184,0.206,0.314,0.234,,,,,,,88.0,97.0,103.0,98.0,101.0,104.0,0.126,0.018,-0.77,1.81,84.9,79.6,0.222,0.222,0.167,76.0,96.0,93.0,0.135,-0.41,87.8,0.296,0.507,0.203,,,,0.25,0.531,0.282,,,,,,,,,
2024/06/21,6:40 PM.,COL,WSH,away,Partly Cloudy.,84,641712,C,4,1,3,1,0,1,1,0,1,0,0,.217,.280,.391,.671,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,6.17,6.01,89.0,95.0,84.0,91.0,0.832,4.96,5.06,10.01,1.11,1.77,0.213,0.423,0.147,0.367,0.416,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,0.327,0.153,,0.244,-2.2,,-0.07,-0.31,89.9,,90.4,84.1,0.306,0.448,0.076,,,,,,,0.302,0.509,0.079,84.0,94.0,93.0,103.0,97.0,100.0,0.172,0.1,0.48,-4.94,83.5,80.3,0.379,0.69,0.146,,,,0.005,-18.69,86.9,,,,0.289,0.361,0.318,0.13,0.217,0.33,,,,,,,,,
2024/06/15,4:05 PM.,MIA,WSH,home,Partly Cloudy.,81,669432,C,3,0,1,0,0,0,0,1,0,0,0,.105,.150,.105,.255,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,,,,0.24,0.317,,0.206,-0.26,,-0.36,-1.99,91.9,,91.5,82.4,0.292,0.492,0.1,,,,,,,0.252,0.467,0.234,111.0,108.0,115.0,,,,,0.238,,-1.32,85.6,,0.295,0.396,0.238,,,,,,,,,,0.312,0.506,0.259,,,,,,,,,,,,
2024/06/13,1:09 PM.,DET,WSH,away,Sunny.,85,663554,C,3,0,0,0,0,0,0,0,0,1,0,.063,.118,.063,.181,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,106.0,105.0,102.0,92.0,108.0,105.0,107.0,101.0,102.0,112.0,99.0,102.0,0.08,0.386,0.181,0.277,-0.47,-1.06,1.3,-0.46,95.5,86.2,95.5,85.7,0.293,0.341,0.08,0.286,0.405,0.322,,,,0.306,0.428,0.205,,,,,,,,,,,,,,,,,,,,,,,,,0.271,0.5,0.218,0.261,0.522,0.216,102.0,90.0,94.0,0.075,-2.21,79.6,,,
2024/06/07,6:45 PM.,ATL,WSH,home,Partly Cloudy.,82,519242,C,3,0,0,0,0,0,0,0,0,2,2,.077,.143,.077,.220,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,96.0,105.0,101.0,113.0,100.0,96.0,105.0,100.0,104.0,,,,0.072,0.378,,0.403,-0.12,,-1.99,2.16,94.8,,94.2,78.6,0.327,0.551,0.133,,,,,,,0.281,0.443,0.241,64.0,107.0,98.0,,,,,0.147,,2.97,87.1,,0.159,0.195,0.236,,,,,,,,,,0.171,0.236,0.427,,,,,,,,,,,,
2024/06/03,6:45 PM.,NYM,WSH,home,Partly Cloudy.,84,656731,C,4,0,0,0,0,0,0,0,1,1,2,.100,.182,.100,.282,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.04,4.2,78.0,97.0,108.0,100.0,0.734,10.5,3.69,8.08,0.92,1.04,0.263,0.368,0.191,0.33,0.421,112.0,99.0,101.0,108.0,104.0,110.0,103.0,103.0,106.0,105.0,93.0,107.0,0.098,0.467,0.073,0.132,0.29,-1.25,3.24,-0.85,95.7,84.7,94.6,85.1,0.206,0.206,0.184,0.143,0.393,0.429,0.25,1.0,0.167,0.228,0.35,0.292,130.0,94.0,112.0,91.0,77.0,82.0,0.078,0.015,-0.37,-4.39,87.2,78.0,0.5,0.5,0.111,101.0,96.0,93.0,0.136,-1.19,90.1,0.326,0.565,0.27,0.233,0.302,0.291,0.188,0.313,0.333,,,,,,,,,
2024/04/16,7:10 PM.,LAD,WSH,away,Clear.,68,669165,C,3,0,0,0,0,0,0,0,0,1,0,.167,.167,.167,.334,669165,kylehurt,Hurt,Right,Kyle Hurt,LAD,1.35,5.78,6.2,97.0,87.0,92.0,0.759,4.05,1.35,10.8,0.0,1.33,0.217,0.435,0.087,0.304,0.494,60.0,103.0,91.0,52.0,105.0,79.0,67.0,75.0,27.0,,,,0.046,0.379,,0.011,3.13,,-3.96,5.8,94.8,,96.5,87.7,0.333,0.333,0.0,,,,,,,0.143,0.143,0.222,109.0,94.0,96.0,80.0,80.0,70.0,0.023,0.54,-28.52,0.01,85.8,80.9,0.333,0.467,0.313,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/10,12:46 PM.,SF,WSH,away,Partly Cloudy.,65,663855,C,3,0,1,0,0,0,0,1,0,0,1,.333,.333,.333,.666,663855,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,4.1,4.91,109.2,94.0,107.0,97.0,0.765,7.88,3.86,9.19,0.98,1.64,0.219,0.422,0.125,0.337,0.403,79.0,85.0,79.0,95.0,95.0,94.0,125.0,93.0,101.0,121.0,92.0,106.0,0.515,0.054,0.191,0.241,-3.85,-0.41,-0.02,-0.1,95.4,84.3,94.5,81.1,0.341,0.498,0.111,0.181,0.287,0.408,0.152,0.329,0.376,0.238,0.381,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
