date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,KN%,wFS/C,wKC/C,wKN/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/06/12,7:11 PM.,CIN,CLE,away,Clear.,81,666157,DH,4,0,1,0,0,0,0,0,0,1,1,.214,.248,.333,.581,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,4.76,3.72,115.1,99.0,106.0,96.0,0.742,9.52,2.89,7.88,1.01,1.25,0.247,0.421,0.142,0.285,0.428,96.0,99.0,92.0,119.0,103.0,97.0,111.0,97.0,93.0,,,,0.133,0.43,,0.164,0.11,0.99,,-0.21,94.1,88.1,94.1,,0.241,0.407,0.23,,,,0.232,0.39,0.259,0.234,0.453,0.183,,,,90.0,94.0,100.0,,,,,0.273,,-0.75,,81.7,,,,0.217,0.302,0.429,,,,,,,,,,,,,,,,,,,,,
2024/06/11,7:11 PM.,CIN,CLE,away,Partly Cloudy.,76,608718,DH,1,0,0,0,0,0,0,0,0,1,1,.213,.248,.336,.584,608718,brentsuter,Suter,Left,Brent Suter,CIN,3.15,4.2,65.2,99.0,103.0,103.0,0.814,6.85,1.64,8.63,1.37,1.02,0.298,0.361,0.185,0.259,0.419,106.0,99.0,114.0,117.0,100.0,107.0,85.0,93.0,82.0,85.0,105.0,108.0,0.211,0.428,0.163,0.197,0.68,0.21,-1.2,0.56,85.8,75.5,87.4,78.4,0.273,0.4,0.171,,,,0.196,0.314,0.266,0.239,0.478,0.168,0.261,0.522,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/09,1:40 PM.,MIA,CLE,away,Roof Closed.,72,669432,DH,3,1,1,0,0,1,1,0,0,1,2,.215,.250,.339,.589,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,0.24,0.317,0.206,0.238,-0.26,-0.36,-1.99,-1.32,91.9,85.6,91.5,82.4,0.252,0.467,0.234,,,,0.295,0.396,0.238,0.292,0.492,0.1,0.312,0.506,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/08,7:42 PM.,MIA,CLE,away,Roof Closed.,72,682610,3B,0,0,0,0,0,0,0,0,0,0,0,.212,.248,.314,.562,682610,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,6.53,6.83,82.2,96.0,92.0,93.0,0.788,7.62,4.57,9.69,2.83,0.75,0.233,0.397,0.134,0.397,0.4,57.0,96.0,89.0,96.0,97.0,94.0,93.0,94.0,91.0,103.0,94.0,100.0,0.228,0.269,0.198,0.093,-3.28,-0.99,-2.57,-2.82,95.4,89.3,94.9,85.7,0.325,0.714,0.175,,,,0.27,0.595,0.306,0.27,0.554,0.109,0.261,0.536,0.328,,,,89.0,96.0,90.0,0.212,,-0.08,,89.8,,0.229,0.471,0.313,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/07,7:10 PM.,MIA,CLE,away,Roof Closed.,72,677960,3B,3,0,1,0,0,0,0,0,0,2,1,.212,.248,.314,.562,677960,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.63,4.2,86.2,96.0,94.0,97.0,0.761,8.31,2.49,8.1,1.14,1.3,0.264,0.413,0.193,0.295,0.41,84.0,102.0,103.0,96.0,97.0,96.0,82.0,98.0,95.0,120.0,87.0,98.0,0.121,0.397,0.222,0.26,-0.81,0.13,0.49,1.39,95.9,86.4,94.5,82.9,0.319,0.451,0.141,0.118,0.176,0.51,0.193,0.367,0.379,0.259,0.5,0.063,0.25,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/02,1:41 PM.,WSH,CLE,home,Overcast.,68,663623,3B,3,1,1,1,0,0,0,0,0,1,1,.209,.246,.313,.559,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.41,4.31,187.2,103.0,94.0,101.0,0.803,7.48,2.49,8.3,1.39,1.2,0.241,0.424,0.181,0.334,0.462,99.0,91.0,93.0,82.0,104.0,97.0,97.0,102.0,102.0,110.0,115.0,117.0,0.205,0.379,0.003,0.035,0.44,-0.64,-14.34,1.34,93.9,88.4,93.3,85.9,0.204,0.381,0.235,,,,0.125,0.125,0.349,0.325,0.497,0.149,,,,110.0,104.0,106.0,78.0,102.0,93.0,0.065,0.313,0.06,0.24,89.9,81.1,0.283,0.522,0.204,0.226,0.42,0.251,,,,,,,,,,,,,,,,,,,,,
2024/06/01,4:10 PM.,WSH,CLE,home,Partly Cloudy.,80,680730,2B,2,0,0,0,0,0,0,0,2,0,2,.205,.244,.304,.548,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,78.0,101.0,96.0,,,,106.0,107.0,110.0,,0.486,0.098,,0.07,,-0.73,,92.5,,,84.5,0.276,0.425,0.12,,,,,,,,,,0.238,0.429,0.364,97.0,96.0,96.0,,,,,0.225,,0.47,,80.5,,,,0.252,0.36,0.263,,,,,89.0,94.0,94.0,0.191,,,-0.6,,,85.6,,0.233,0.4,0.372,,,
2024/05/31,7:11 PM.,WSH,CLE,home,Clear.,69,571578,RF,3,0,0,0,0,0,0,0,0,2,3,.209,.235,.309,.544,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,55.0,97.0,84.0,71.0,103.0,92.0,88.0,97.0,97.0,0.338,0.076,0.343,0.034,-1.46,-1.9,0.41,-5.53,91.3,81.0,91.5,80.0,0.311,0.578,0.133,,,,0.409,0.773,0.279,0.339,0.567,0.091,0.216,0.335,0.354,73.0,100.0,97.0,76.0,107.0,98.0,0.192,0.016,-0.37,-2.3,85.7,70.0,0.301,0.434,0.223,0.5,1.25,0.526,,,,,,,,,0.001,,,4.71,,,63.2,,,,,,
2024/05/29,6:40 PM.,COL,CLE,away,Clear.,78,621389,3B,2,0,0,0,0,0,0,0,1,2,1,.215,.241,.318,.559,621389,tyblach,Blach,Left,Ty Blach,COL,6.94,7.32,71.1,101.0,71.0,88.0,0.875,4.54,2.27,13.0,2.14,1.17,0.248,0.374,0.104,0.356,0.463,71.0,99.0,87.0,92.0,82.0,73.0,58.0,109.0,91.0,,,,0.162,0.345,0.001,0.245,-1.64,-5.1,-3.5,-2.05,89.1,80.0,89.3,85.0,0.371,0.571,0.072,,,,0.342,0.507,0.208,0.426,0.936,0.124,,,,38.0,90.0,88.0,77.0,107.0,88.0,0.137,0.109,-0.5,-1.07,82.9,79.2,0.275,0.51,0.209,0.2,0.36,0.176,,,,,,,,,,,,,,,,,,,,,
2024/05/28,6:41 PM.,COL,CLE,away,Cloudy.,74,663372,SS,3,0,0,0,0,0,1,0,0,0,1,.219,.239,.324,.563,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.147,0.63,-0.45,-0.87,-1.02,94.6,85.2,94.2,87.4,0.24,0.376,0.177,0.156,0.375,0.35,0.299,0.485,0.394,0.299,0.403,0.159,0.355,0.523,0.226,108.0,107.0,113.0,,,,,0.101,,1.28,,79.2,,,,0.164,0.26,0.248,,,,,,,,,,,,,,,,,,,,,
2024/05/26,1:08 PM.,LAA,CLE,away,Partly Cloudy.,71,672282,3B,4,0,1,0,0,0,0,0,0,1,3,.225,.248,.333,.581,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,0.468,0.244,0.142,-0.56,,-0.44,-1.18,93.8,84.7,,86.2,0.278,0.508,0.253,,,,0.351,0.544,0.319,,,,0.22,0.39,0.368,89.0,100.0,103.0,,,,,0.146,,-3.5,,75.0,,,,0.37,0.804,0.216,,,,,,,,,,,,,,,,,,,,,
2024/05/24,6:38 PM.,LAA,CLE,away,Partly Cloudy.,66,663776,LF,5,1,2,1,0,0,1,1,0,0,2,.224,.248,.337,.585,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.25,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.132,0.312,0.421,95.0,101.0,104.0,56.0,95.0,83.0,63.0,96.0,88.0,150.0,98.0,105.0,0.174,0.16,0.293,0.283,-2.18,-1.81,0.27,0.73,93.7,82.9,93.7,86.8,0.381,0.524,0.16,0.235,0.471,0.281,0.208,0.292,0.39,0.413,0.565,0.142,0.265,0.434,0.243,96.0,94.0,100.0,,,,,0.09,,2.03,,76.3,,,,0.118,0.118,0.279,,,,,,,,,,,,,,,,,,,,,
2024/05/22,1:10 PM.,NYM,CLE,home,Overcast.,76,500779,3B,2,0,0,0,0,0,0,0,0,1,2,.215,.240,.323,.563,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,0.304,0.225,,0.193,-0.32,0.82,,0.5,90.7,85.7,90.8,,0.227,0.427,0.169,,,,0.203,0.26,0.367,0.249,0.431,0.131,,,,110.0,100.0,99.0,,,,,0.278,,-0.04,,77.7,,,,0.265,0.444,0.264,,,,,,,,,,,,,,,,,,,0.195,0.366,0.284
2024/05/19,1:42 PM.,MIN,CLE,home,Sunny.,77,663978,3B,3,0,1,1,0,0,0,0,0,1,0,.220,.245,.330,.575,663978,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.84,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,79.0,111.0,103.0,,,,71.0,97.0,96.0,,0.429,0.177,0.259,0.63,,-0.21,-1.51,93.3,82.9,,85.9,0.277,0.4,0.243,,,,0.283,0.519,0.248,,,,0.264,0.434,0.254,106.0,102.0,103.0,,,,,0.136,,-1.69,,78.2,,,,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,,,,
2024/05/18,6:10 PM.,MIN,CLE,home,Clear.,66,641927,2B,0,0,0,0,0,0,0,0,0,0,0,.216,.242,.318,.560,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,,0.381,0.118,0.294,-0.01,,2.03,1.98,91.7,83.4,,80.3,0.258,0.506,0.222,,,,0.154,0.285,0.395,,,,0.095,0.162,0.307,94.0,99.0,103.0,84.0,104.0,100.0,0.195,0.011,-0.86,4.57,86.2,76.0,0.279,0.504,0.229,0.0,0.0,0.375,,,,,,,,,,,,,,,,,,,,,
2024/05/17,7:11 PM.,MIN,CLE,home,Cloudy.,66,680573,SS,3,0,0,0,0,0,0,0,0,1,0,.216,.242,.318,.560,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,71.0,100.0,88.0,,,,92.0,108.0,106.0,,0.403,0.312,0.193,0.82,,0.76,-3.33,93.1,82.8,,86.4,0.258,0.356,0.219,,,,0.311,0.622,0.205,,,,0.214,0.313,0.239,106.0,103.0,102.0,,,,,0.093,,1.68,,76.1,,,,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,
2024/05/15,7:08 PM.,TEX,CLE,away,Roof Closed.,74,592351,SS,4,0,0,0,0,0,0,0,0,2,2,.224,.250,.329,.579,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.47,4.65,102.2,103.0,85.0,98.0,0.777,7.54,2.45,9.38,0.96,0.98,0.228,0.412,0.145,0.366,0.457,72.0,100.0,94.0,73.0,103.0,91.0,,,,97.0,105.0,105.0,,0.444,0.439,0.071,-0.71,,0.77,-1.39,94.9,88.7,,88.6,0.311,0.443,0.15,,,,0.257,0.543,0.19,,,,0.213,0.344,0.334,97.0,97.0,102.0,,,,,0.046,,-0.7,,78.9,,,,0.333,0.333,0.267,,,,,,,,,,,,,,,,,,,,,
2024/05/12,1:10 PM.,CWS,CLE,away,Sunny.,78,647336,3B,3,0,0,0,0,0,0,0,1,1,1,.235,.262,.346,.608,647336,michaelsoroka,Soroka,Right,Michael Soroka,CHW,4.74,4.59,79.2,95.0,96.0,94.0,0.775,9.49,4.97,7.46,1.47,0.94,0.269,0.472,0.176,0.292,0.4,113.0,85.0,92.0,96.0,98.0,95.0,77.0,92.0,88.0,103.0,98.0,96.0,0.212,0.325,0.366,0.097,0.28,-1.33,0.39,-3.52,93.5,82.1,92.3,81.9,0.195,0.354,0.21,,,,0.321,0.643,0.13,0.289,0.518,0.087,0.168,0.317,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/11,6:10 PM.,CWS,CLE,away,Clear.,58,605182,SS,3,0,1,0,0,0,0,0,0,1,1,.244,.263,.359,.622,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,6.75,7.18,16.0,99.0,87.0,99.0,0.754,8.44,5.06,12.38,2.25,0.72,0.204,0.519,0.111,0.444,0.432,75.0,99.0,98.0,91.0,101.0,100.0,102.0,120.0,120.0,111.0,87.0,99.0,0.056,0.399,0.191,0.211,1.8,-8.62,-6.55,0.0,93.3,86.0,93.3,78.6,0.2,0.35,0.271,,,,0.238,0.381,0.25,0.5,2.0,0.1,0.636,0.818,0.227,69.0,98.0,88.0,48.0,101.0,95.0,0.116,0.026,-8.49,1.2,84.0,76.2,0.333,0.75,0.4,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/10,6:40 PM.,CWS,CLE,away,Partly Cloudy.,67,676979,2B,2,0,1,0,0,0,0,0,0,1,1,.240,.260,.360,.620,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,0.021,0.537,0.098,0.059,1.66,4.04,-2.29,-0.36,97.2,91.0,97.9,84.3,0.198,0.295,0.314,0.228,0.561,0.422,0.184,0.289,0.339,0.154,0.154,0.321,,,,,,,94.0,105.0,103.0,0.284,,-0.14,,91.6,,0.268,0.458,0.334,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/08,1:11 PM.,DET,CLE,home,Sunny.,72,681857,3B,2,0,0,0,0,0,0,0,0,1,3,.233,.253,.356,.609,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,0.205,0.234,0.278,0.223,-0.39,1.85,2.08,-0.05,94.2,86.5,94.2,84.8,0.277,0.386,0.101,,,,0.222,0.344,0.429,0.284,0.385,0.076,0.143,0.194,0.455,92.0,91.0,90.0,,,,,0.06,,-3.32,,79.0,,,,0.304,0.652,0.295,,,,,,,,,,,,,,,,,,,,,
2024/05/05,1:41 PM.,LAA,CLE,home,Cloudy.,66,656288,SS,3,0,0,0,0,0,0,0,0,3,2,.239,.260,.366,.626,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,73.0,94.0,86.0,76.0,89.0,78.0,107.0,100.0,110.0,0.01,0.376,0.24,0.267,-0.85,-6.83,-0.91,0.48,93.4,88.6,93.0,87.7,0.251,0.529,0.147,,,,0.259,0.387,0.288,0.429,0.857,0.0,0.284,0.444,0.331,75.0,96.0,96.0,,,,,0.107,,-0.86,,80.6,,,,0.271,0.438,0.241,,,,,,,,,,,,,,,,,,,,,
