date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS
2024/09/09,7:07 PM.,TOR,NYM,away,Roof Closed.,68,621114,C,0,0,0,0,0,0,0,0,0,0,0,.257,.313,.419,.732,621114,ryanburr,Burr,Right,Ryan Burr,TOR,4.13,3.56,32.2,99.0,98.0,102.0,0.694,12.95,3.31,7.99,1.1,0.72,0.225,0.45,0.138,0.4,0.375,,,,,,,79.0,94.0,91.0,,,,111.0,102.0,108.0,,0.395,,0.605,,,-0.36,,,0.6,,,94.1,,,,85.4,,0.256,0.465,0.224,,,,,,,,,,,,,,,,0.214,0.369,0.368,,,,,,,,,,,,,,,,,,
2024/09/08,1:41 PM.,CIN,NYM,home,Sunny.,68,687924,C,3,0,0,0,0,0,0,0,0,1,2,.257,.313,.419,.732,687924,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.25,4.94,31.2,97.0,86.0,97.0,0.836,5.4,3.41,8.53,2.27,0.79,0.24,0.413,0.183,0.231,0.449,97.0,84.0,89.0,93.0,87.0,96.0,,,,79.0,102.0,98.0,94.0,99.0,105.0,0.54,,,0.179,0.092,0.189,,,-0.41,0.21,-2.92,-1.59,,,84.0,94.3,80.3,78.0,,,,,,,0.282,0.563,0.151,0.2,0.36,0.25,0.2,0.5,0.158,,,,0.176,0.353,0.25,,,,,,,,,,,,,,,,,,
2024/09/06,7:10 PM.,CIN,NYM,home,Clear.,74,518585,C,0,0,0,0,0,0,0,0,0,0,0,.265,.321,.431,.752,518585,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,4.86,4.05,66.2,95.0,116.0,100.0,0.633,14.72,4.73,7.29,1.22,0.98,0.196,0.462,0.182,0.357,0.379,,,,,,,90.0,99.0,92.0,,,,,,,,0.327,0.418,,,0.001,-0.02,1.83,,,,-4.83,94.6,81.5,83.8,,,,0.295,0.513,0.142,,,,,,,,,,,,,0.116,0.149,0.593,,,,,,,,,,82.0,93.0,94.0,0.255,-2.06,88.6,0.333,0.765,0.267,157.0,92.0,111.0
2024/09/02,7:10 PM.,BOS,NYM,home,Clear.,75,678394,C,3,1,2,2,0,0,0,0,0,0,0,.265,.321,.431,.752,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,,,,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,0.403,0.048,,0.28,,0.269,0.25,,-0.24,-0.58,,0.15,95.6,,87.6,95.7,86.8,,0.12,0.16,0.218,,,,0.309,0.44,0.111,0.177,0.354,0.369,,,,,,,0.268,0.401,0.343,,,,,,,,,,,,,,,,,,
2024/09/01,1:10 PM.,CWS,NYM,away,Sunny.,73,676979,C,3,0,1,0,0,0,0,0,0,1,1,.253,.312,.404,.716,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,,,,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,0.021,0.537,,0.098,,0.059,1.66,,4.04,-2.29,,-0.36,97.2,,91.0,97.9,84.3,,0.198,0.295,0.314,0.228,0.561,0.422,0.154,0.154,0.321,0.184,0.289,0.339,,,,,,,,,,,,,,,,94.0,105.0,103.0,0.284,-0.14,91.6,0.268,0.458,0.334,,,
2024/08/29,12:40 PM.,AZ,NYM,away,Roof Closed.,78,669194,C,3,0,0,0,0,0,0,0,0,1,3,.250,.311,.406,.717,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,108.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,,,,111.0,112.0,110.0,,0.557,,0.103,0.057,0.099,0.64,,,-0.66,1.81,-2.35,95.2,,83.0,,83.8,77.8,0.249,0.418,0.195,0.4,0.733,0.167,,,,0.302,0.587,0.203,0.138,0.207,0.148,,,,0.226,0.34,0.156,,,,,,,78.0,107.0,96.0,0.184,-0.85,91.2,0.317,0.508,0.154,,,
2024/08/25,1:11 PM.,SD,NYM,away,Sunny.,79,527048,C,2,0,0,0,0,0,0,0,1,1,1,.258,.320,.419,.739,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,74.0,102.0,98.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,0.358,0.053,,0.0,0.141,0.227,-8.23,,0.57,-51.06,0.62,-1.27,91.3,,83.4,90.7,82.8,77.9,0.458,0.917,0.043,,,,0.275,0.383,0.097,0.28,0.448,0.341,0.246,0.354,0.29,,,,,,,,,,,,,70.0,101.0,93.0,0.221,-0.61,87.9,0.28,0.57,0.212,,,
2024/08/21,1:10 PM.,BAL,NYM,home,Sunny.,71,608344,C,2,0,0,0,0,0,0,0,1,0,2,.264,.320,.429,.749,608344,coleirvin,"Irvin, C",Left,Cole Irvin,- - -,5.11,5.78,111.0,101.0,79.0,94.0,0.849,6.32,2.35,10.7,1.46,0.96,0.251,0.414,0.121,0.34,0.478,65.0,108.0,100.0,102.0,98.0,102.0,62.0,99.0,85.0,75.0,101.0,89.0,85.0,121.0,119.0,0.2,0.264,,0.041,0.252,0.134,-1.16,,-0.49,-3.18,-0.38,-1.52,91.9,,84.9,91.5,78.1,77.3,0.296,0.592,0.163,,,,0.307,0.485,0.088,0.282,0.474,0.243,0.283,0.424,0.189,,,,0.25,0.438,0.196,,,,,,,86.0,102.0,91.0,0.109,-0.64,85.9,0.327,0.551,0.181,,,
2024/08/18,12:06 PM.,MIA,NYM,home,Cloudy.,76,678368,C,2,0,0,0,0,0,0,0,0,1,2,.270,.320,.438,.758,678368,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.67,5.14,68.2,99.0,73.0,91.0,0.818,5.77,2.75,9.04,1.97,0.58,0.281,0.404,0.184,0.368,0.427,99.0,95.0,96.0,93.0,94.0,94.0,54.0,102.0,84.0,,,,100.0,105.0,104.0,,0.374,,0.103,0.125,0.144,-0.41,,,0.03,-3.5,-3.12,89.2,,81.1,,77.7,73.7,0.247,0.454,0.133,0.233,0.433,0.286,,,,0.326,0.488,0.296,0.333,0.741,0.283,,,,,,,,,,,,,67.0,98.0,91.0,0.253,1.23,82.8,0.205,0.438,0.163,,,
2024/08/15,1:11 PM.,OAK,NYM,home,Sunny.,85,687765,C,4,0,1,0,0,0,2,0,0,0,4,.276,.326,.448,.774,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,118.0,117.0,117.0,,,,40.0,97.0,84.0,121.0,105.0,109.0,0.146,,,0.326,0.121,0.011,,,-1.41,0.01,-0.82,-7.88,,,88.4,91.9,84.3,80.4,,,,,,,0.338,0.403,0.16,0.571,0.857,0.0,0.196,0.351,0.31,,,,0.278,0.493,0.276,,,,,,,99.0,100.0,96.0,0.396,-0.41,90.7,0.278,0.472,0.176,,,
2024/08/11,4:11 PM.,SEA,NYM,away,Partly Cloudy.,69,622491,C,4,0,1,0,0,0,0,0,0,2,2,.277,.330,.458,.788,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,,,,120.0,105.0,103.0,100.0,102.0,98.0,72.0,106.0,108.0,0.179,0.454,,0.224,,0.143,0.97,,-0.41,0.65,,-1.63,95.6,,88.1,95.6,85.7,,0.203,0.365,0.273,,,,0.298,0.457,0.105,0.287,0.545,0.265,,,,,,,0.207,0.357,0.358,,,,,,,,,,,,,,,,,,
2024/08/08,1:10 PM.,COL,NYM,away,Cloudy.,67,596295,C,4,0,1,0,0,0,0,0,1,0,0,.278,.333,.468,.801,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,82.0,103.0,99.0,,,,71.0,98.0,91.0,51.0,110.0,96.0,91.0,103.0,102.0,0.001,0.404,,0.167,,0.205,-1.23,,-42.96,-0.17,,-0.15,90.4,,81.1,90.1,83.8,,0.305,0.6,0.096,,,,,,,0.28,0.409,0.273,0.22,0.368,0.269,,,,0.274,0.513,0.22,93.0,109.0,107.0,0.224,-0.08,77.6,,,,,,,,,,,,
2024/08/07,6:41 PM.,COL,NYM,away,Partly Cloudy.,73,663372,C,0,0,0,0,0,0,0,0,0,0,0,.280,.329,.480,.809,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,,0.254,0.101,0.147,0.63,,-0.45,-0.87,1.28,-1.02,94.6,,85.2,94.2,87.4,79.2,0.24,0.376,0.177,0.156,0.375,0.35,0.299,0.403,0.159,0.299,0.485,0.394,0.164,0.26,0.248,,,,0.355,0.523,0.226,,,,,,,,,,,,,,,,,,
2024/08/06,6:41 PM.,COL,NYM,away,Partly Cloudy.,87,607536,C,2,0,0,0,0,0,0,0,0,0,2,.280,.329,.480,.809,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.24,5.11,113.1,103.0,81.0,99.0,0.841,6.75,2.06,10.64,1.75,1.01,0.225,0.421,0.156,0.347,0.435,61.0,100.0,89.0,,,,69.0,104.0,95.0,83.0,106.0,99.0,65.0,103.0,101.0,0.245,0.202,,0.227,,0.137,-1.51,,-1.33,-1.11,,-1.64,91.6,,86.1,91.4,86.9,,0.322,0.522,0.067,,,,0.31,0.556,0.074,0.333,0.647,0.161,0.194,0.276,0.42,,,,0.316,0.589,0.162,128.0,102.0,107.0,0.188,0.07,83.5,,,,,,,,,,,,
2024/08/03,6:38 PM.,LAA,NYM,away,Clear.,88,667755,C,4,0,0,0,0,0,0,0,0,2,3,.288,.338,.493,.831,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,95.0,95.0,96.0,117.0,92.0,99.0,0.464,0.146,0.081,0.055,,,-2.05,0.8,2.22,0.02,,,98.8,92.7,,97.7,91.5,,0.356,0.622,0.103,,,,0.214,0.26,0.167,,,,0.226,0.376,0.402,0.15,0.3,0.329,0.143,0.214,0.463,98.0,96.0,108.0,0.254,-0.42,86.4,,,,,,,,,,120.0,100.0,112.0
2024/07/31,1:10 PM.,MIN,NYM,home,Partly Cloudy.,83,641154,PH,1,1,1,0,0,0,0,0,0,0,0,.304,.355,.522,.877,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,97.0,107.0,107.0,106.0,103.0,110.0,0.073,0.407,,0.219,0.1,0.201,1.65,,-2.77,-0.84,-1.28,-0.14,95.0,,88.5,94.5,84.5,82.4,0.208,0.352,0.259,0.239,0.436,0.331,0.426,0.639,0.142,0.281,0.359,0.249,0.23,0.446,0.341,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/30,7:10 PM.,MIN,NYM,home,Clear.,80,701581,C,3,0,0,0,0,0,0,0,0,1,1,.294,.347,.515,.862,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,,,,107.0,96.0,99.0,,,,118.0,103.0,105.0,,0.402,,0.318,,0.28,-0.79,,,1.48,,-1.14,94.7,,88.4,,86.1,,0.304,0.544,0.194,,,,,,,0.237,0.463,0.394,,,,,,,0.207,0.315,0.291,,,,,,,,,,,,,,,,,,
2024/07/29,7:11 PM.,MIN,NYM,home,Partly Cloudy.,80,680573,C,4,1,3,1,0,0,3,0,1,0,1,.308,.361,.538,.899,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,,,,92.0,108.0,106.0,,0.403,,0.312,0.093,0.193,0.82,,,0.76,1.68,-3.33,93.1,,82.8,,86.4,76.1,0.258,0.356,0.219,,,,,,,0.311,0.622,0.205,0.186,0.326,0.221,,,,0.214,0.313,0.239,,,,,,,,,,,,,,,,,,
2024/07/27,4:13 PM.,ATL,NYM,home,Partly Cloudy.,85,680885,C,3,0,1,0,0,0,0,0,0,2,0,.279,.328,.508,.836,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,,,,101.0,104.0,108.0,110.0,108.0,108.0,93.0,102.0,101.0,110.0,113.0,119.0,0.068,0.291,0.128,0.199,0.146,,0.27,1.96,-0.12,0.61,0.29,,96.1,84.5,,95.1,87.3,80.6,0.24,0.448,0.205,,,,0.231,0.385,0.078,,,,0.236,0.436,0.409,0.147,0.235,0.463,0.225,0.333,0.279,,,,,,,94.0,104.0,100.0,0.168,0.53,92.9,0.27,0.5,0.199,84.0,107.0,109.0
2024/07/23,7:09 PM.,NYY,NYM,away,Cloudy.,76,661563,C,3,0,1,0,0,0,0,0,1,1,3,.276,.328,.517,.845,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,,,,108.0,94.0,105.0,,0.488,,0.259,,0.253,0.06,,,1.37,,0.37,96.6,,91.6,,87.5,,0.205,0.395,0.285,,,,,,,0.179,0.282,0.269,,,,,,,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,
2024/07/21,1:40 PM.,MIA,NYM,away,Roof Closed.,72,669432,C,2,0,0,0,0,0,1,0,0,2,1,.273,.317,.527,.844,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,,,,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,0.24,0.317,,0.206,,0.238,-0.26,,-0.36,-1.99,,-1.32,91.9,,85.6,91.5,82.4,,0.252,0.467,0.234,,,,0.292,0.492,0.1,0.295,0.396,0.238,,,,,,,0.312,0.506,0.259,,,,,,,,,,,,,,,,,,
2024/07/13,4:10 PM.,COL,NYM,home,Sunny.,85,663372,C,3,2,1,1,0,0,1,0,0,0,1,.283,.333,.547,.880,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,,0.254,0.101,0.147,0.63,,-0.45,-0.87,1.28,-1.02,94.6,,85.2,94.2,87.4,79.2,0.24,0.376,0.177,0.156,0.375,0.35,0.299,0.403,0.159,0.299,0.485,0.394,0.164,0.26,0.248,,,,0.355,0.523,0.226,,,,,,,,,,,,,,,,,,
2024/07/11,1:10 PM.,WSH,NYM,home,Sunny.,87,669022,C,4,1,1,1,0,0,0,0,0,0,2,.280,.321,.540,.861,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,3.9,4.2,166.1,98.0,110.0,101.0,0.752,9.79,3.52,9.25,0.81,1.11,0.26,0.376,0.156,0.3,0.433,92.0,91.0,94.0,104.0,104.0,102.0,124.0,98.0,103.0,,,,89.0,92.0,92.0,,0.553,,0.158,0.196,0.093,-0.02,,,-0.77,0.62,-1.35,96.0,,85.9,,90.6,82.8,0.281,0.418,0.226,0.333,0.5,0.417,,,,0.28,0.48,0.512,0.218,0.296,0.34,,,,0.255,0.422,0.323,,,,,,,,,,,,,,,,,,
2024/07/08,12:37 PM.,PIT,NYM,away,Sunny.,88,656605,C,4,0,0,0,0,0,0,0,0,1,2,.283,.327,.543,.870,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,88.0,103.0,102.0,111.0,96.0,104.0,86.0,103.0,96.0,82.0,102.0,94.0,129.0,100.0,109.0,0.22,0.304,,0.25,0.096,0.008,0.3,,-0.26,-1.04,-0.11,-12.5,94.4,,89.8,93.4,84.7,78.4,0.257,0.4,0.24,0.204,0.331,0.25,0.266,0.405,0.125,0.667,1.333,0.0,0.233,0.442,0.293,,,,0.338,0.636,0.248,,,,,,,96.0,99.0,98.0,0.122,-1.0,90.4,0.272,0.593,0.195,,,
