date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,vKN (sc),KN%,wKN/C
2024/08/24,6:10 PM.,DET,CWS,home,Cloudy.,86,669373,LF,5,1,3,0,0,0,1,0,0,1,0,.235,.307,.353,.660,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,0.205,0.332,0.149,0.271,1.84,1.25,0.78,1.13,96.8,86.3,96.6,88.7,0.169,0.364,0.346,0.197,0.286,0.277,0.216,0.322,0.461,0.207,0.305,0.16,,,,,,,,,,,,,,,,,,,0.158,0.316,0.175,,,,,,,,,,,,,0.042,1.26,78.5,95.0,91.0,101.0,,,
2024/08/21,12:45 PM.,SF,CWS,away,Sunny.,66,657277,DH,0,1,0,0,0,0,0,0,0,0,0,.221,.297,.344,.641,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,57.0,106.0,88.0,95.0,104.0,102.0,126.0,104.0,114.0,0.399,0.053,0.212,0.309,0.2,1.32,0.16,-0.13,92.6,87.4,92.6,83.8,,,,0.179,0.231,0.329,0.275,0.411,0.216,0.268,0.338,0.144,52.0,95.0,88.0,0.026,4.3,91.0,0.077,0.077,0.265,0.239,0.331,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/19,6:45 PM.,SF,CWS,away,Clear.,68,690986,LF,2,0,0,0,0,0,0,0,1,2,0,.221,.297,.344,.641,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,98.0,100.0,92.0,,,,93.0,107.0,97.0,,0.577,0.003,0.197,0.2,,-11.71,-1.64,92.5,84.8,,88.2,0.333,0.667,0.5,0.249,0.425,0.23,0.287,0.435,0.215,,,,,,,,,,,,,,,,84.0,95.0,95.0,0.223,-0.22,80.6,,,,0.274,0.452,0.277,,,,,,,,,,,,,,,,,,
2024/08/18,1:12 PM.,HOU,CWS,away,Roof Closed.,73,664285,LF,2,0,0,0,0,0,0,0,0,1,0,.225,.296,.349,.645,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,130.0,96.0,104.0,60.0,102.0,94.0,98.0,99.0,97.0,107.0,102.0,110.0,0.458,0.012,0.043,0.175,-4.64,1.46,-0.2,0.62,94.5,89.9,94.1,85.1,0.233,0.467,0.383,0.4,1.0,0.273,0.226,0.278,0.354,0.276,0.399,0.116,,,,,,,,,,,,,129.0,96.0,108.0,0.313,1.59,79.7,0.121,0.187,0.398,,,,,,,,,,,,,,,,,,,,,
2024/08/13,7:10 PM.,NYY,CWS,home,Clear.,80,641482,RF,2,1,0,0,0,0,0,0,1,1,1,.228,.300,.354,.654,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,99.0,103.0,100.0,86.0,116.0,113.0,99.0,98.0,101.0,0.014,0.442,0.168,0.097,0.25,1.37,-1.27,-0.89,92.1,83.6,90.3,78.2,0.364,0.727,0.167,0.235,0.443,0.215,0.226,0.369,0.326,0.143,0.143,0.316,109.0,100.0,102.0,0.28,1.32,87.5,0.249,0.378,0.251,0.284,0.511,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/12,7:10 PM.,NYY,CWS,home,Cloudy.,77,661563,RF,4,1,1,0,0,0,1,0,0,1,3,.232,.299,.360,.659,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,,,,108.0,94.0,105.0,,0.488,0.259,0.253,0.06,,1.37,0.37,96.6,91.6,,87.5,0.171,0.312,0.315,0.205,0.395,0.285,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/10,6:15 PM.,CHC,CWS,home,Partly Cloudy.,76,657006,RF,4,0,1,0,0,0,0,1,0,1,5,.231,.301,.364,.665,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,89.0,102.0,100.0,64.0,104.0,95.0,130.0,105.0,109.0,0.053,0.595,0.297,0.033,0.38,0.43,1.81,0.32,91.6,86.2,91.6,83.3,0.16,0.243,0.282,0.253,0.396,0.223,0.222,0.222,0.172,0.292,0.458,0.182,,,,,,,,,,,,,92.0,120.0,108.0,0.022,2.76,79.9,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
2024/08/09,7:10 PM.,CHC,CWS,home,Overcast.,69,592791,PR,0,0,0,0,0,0,0,0,0,0,0,.231,.302,.368,.670,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,0.109,0.296,0.155,0.043,-0.27,1.47,0.65,-2.45,92.3,86.0,92.5,80.4,,,,0.287,0.497,0.147,0.273,0.576,0.148,0.219,0.297,0.085,92.0,103.0,98.0,0.251,2.12,86.5,0.252,0.31,0.191,0.183,0.296,0.317,104.0,111.0,113.0,0.147,-1.04,79.5,0.232,0.424,0.23,,,,,,,,,,,,,,,,,,,,,
2024/08/05,6:40 PM.,OAK,CWS,away,Partly Cloudy.,66,676664,RF,2,0,1,0,0,0,0,1,0,1,0,.231,.302,.368,.670,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.363,0.339,0.192,-0.8,1.37,-0.1,-0.21,91.9,84.0,90.0,78.9,0.23,0.525,0.259,0.23,0.476,0.256,0.297,0.428,0.188,0.276,0.395,0.104,,,,,,,,,,0.239,0.381,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/03,6:21 PM.,MIN,CWS,away,Partly Cloudy.,87,641927,LF,3,0,0,0,0,0,0,0,0,1,1,.226,.299,.365,.664,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,,0.381,0.118,0.294,-0.01,,2.03,1.98,91.7,83.4,,80.3,0.095,0.162,0.307,0.258,0.506,0.222,0.154,0.285,0.395,,,,84.0,104.0,100.0,0.195,-0.86,86.2,0.279,0.504,0.229,,,,94.0,99.0,103.0,0.011,4.57,76.0,0.0,0.0,0.375,,,,,,,,,,,,,,,,,,,,,
2024/07/30,7:10 PM.,KC,CWS,home,Partly Cloudy.,84,608379,RF,0,0,0,0,0,0,0,0,0,0,0,.232,.306,.375,.681,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,0.153,0.238,0.092,0.322,0.39,0.29,-2.39,2.26,93.6,81.2,93.6,84.1,0.371,0.6,0.373,0.279,0.449,0.169,0.169,0.312,0.341,0.252,0.301,0.099,78.0,100.0,92.0,0.114,-0.94,88.8,0.319,0.458,0.148,,,,72.0,89.0,92.0,0.081,-1.64,75.2,0.357,0.643,0.174,,,,,,,,,,,,,,,,,,,,,
2024/07/29,7:11 PM.,KC,CWS,home,Cloudy.,79,679525,PH,1,0,0,0,0,0,0,0,0,0,0,.232,.306,.375,.681,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.53,4.97,129.0,99.0,100.0,99.0,0.789,8.58,2.72,8.58,1.33,0.92,0.249,0.42,0.182,0.329,0.429,88.0,95.0,94.0,93.0,98.0,95.0,98.0,99.0,97.0,117.0,99.0,107.0,0.138,0.37,0.228,0.1,0.34,-1.16,-0.57,0.84,94.2,86.3,93.6,86.5,0.29,0.462,0.294,0.208,0.383,0.223,0.204,0.296,0.177,0.317,0.524,0.099,,,,,,,,,,0.2,0.433,0.464,103.0,105.0,103.0,0.164,-1.2,82.8,0.263,0.5,0.274,,,,,,,,,,,,,,,,,,,,,
2024/07/26,7:10 PM.,SEA,CWS,home,Clear.,76,669923,CF,1,0,0,0,0,0,0,0,0,0,0,.234,.309,.378,.687,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.339,0.237,,0.46,1.5,1.28,,96.0,,96.0,87.2,0.226,0.316,0.271,0.221,0.458,0.291,,,,0.263,0.354,0.105,97.0,99.0,93.0,0.004,0.79,92.3,,,,,,,,,,,,,0.333,0.439,0.286,,,,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,0.082,-1.95,83.4,114.0,110.0,113.0,73.9,0.0,-3.5
2024/07/25,1:37 PM.,TEX,CWS,away,Roof Closed.,74,453286,RF,1,0,0,0,0,0,0,0,0,1,0,.236,.311,.382,.693,453286,maxscherzer,Scherzer,Right,Max Scherzer,TEX,3.95,3.86,43.1,106.0,84.0,103.0,0.732,8.31,2.08,8.31,1.45,0.7,0.278,0.437,0.175,0.286,0.422,59.0,110.0,106.0,78.0,105.0,100.0,,,,100.0,106.0,105.0,,0.439,0.221,0.139,0.05,,1.2,-1.96,92.5,82.8,,85.0,0.214,0.333,0.438,0.262,0.492,0.222,0.192,0.462,0.255,,,,121.0,119.0,105.0,0.061,2.89,86.6,0.222,0.278,0.143,,,,84.0,101.0,103.0,0.139,-2.13,74.7,0.333,0.611,0.4,,,,,,,,,,,,,,,,,,,,,
2024/07/20,6:10 PM.,KC,CWS,away,Partly Cloudy.,76,663903,PH,0,0,0,0,0,0,0,0,1,0,0,.239,.314,.385,.699,663903,bradysinger,Singer,Right,Brady Singer,KCR,3.71,4.65,179.2,99.0,84.0,94.0,0.769,8.52,2.71,8.77,1.1,1.62,0.191,0.419,0.159,0.326,0.414,80.0,77.0,69.0,63.0,96.0,86.0,70.0,101.0,91.0,106.0,99.0,102.0,0.413,0.113,0.455,0.019,-2.09,0.77,0.0,-5.71,91.6,88.1,92.2,82.9,0.207,0.361,0.354,0.326,0.609,0.197,0.429,0.5,0.111,0.267,0.389,0.127,,,,,,,,,,0.327,0.571,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/13,1:11 PM.,PIT,CWS,home,Partly Cloudy.,85,682847,LF,1,0,0,0,0,0,0,0,0,0,0,.239,.308,.385,.693,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.31,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.286,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,0.258,0.268,0.268,0.009,1.02,1.13,-0.41,0.21,95.9,90.6,94.9,85.8,0.203,0.392,0.31,0.187,0.331,0.208,,,,0.237,0.374,0.129,90.0,100.0,94.0,0.197,0.71,91.0,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/12,7:10 PM.,PIT,CWS,home,Clear.,78,594835,LF,2,0,1,0,0,0,0,0,0,0,1,.241,.311,.389,.700,594835,marcogonzales,"Gonzales, M",Left,Marco Gonzales,PIT,4.54,6.53,33.2,105.0,74.0,95.0,0.843,6.15,2.94,11.5,1.34,1.02,0.239,0.41,0.154,0.368,0.419,89.0,117.0,108.0,64.0,103.0,90.0,64.0,110.0,92.0,,,,0.092,0.315,,0.255,-1.03,-0.44,,-1.32,89.7,80.2,90.0,,,,,0.324,0.459,0.136,0.298,0.447,0.31,0.313,0.5,0.0,80.0,99.0,93.0,0.238,0.9,85.7,0.286,0.429,0.123,,,,74.0,103.0,91.0,0.101,-2.22,79.0,0.353,0.647,0.176,,,,,,,,,,,,,,,,,,,,,
2024/07/10,1:10 PM.,MIN,CWS,home,Sunny.,76,641927,RF,0,0,0,0,0,0,0,0,0,0,0,.236,.308,.387,.695,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,,0.381,0.118,0.294,-0.01,,2.03,1.98,91.7,83.4,,80.3,0.095,0.162,0.307,0.258,0.506,0.222,0.154,0.285,0.395,,,,84.0,104.0,100.0,0.195,-0.86,86.2,0.279,0.504,0.229,,,,94.0,99.0,103.0,0.011,4.57,76.0,0.0,0.0,0.375,,,,,,,,,,,,,,,,,,,,,
2024/07/08,7:11 PM.,MIN,CWS,home,Partly Cloudy.,84,663978,RF,5,0,1,1,0,0,1,0,0,1,4,.236,.308,.387,.695,663978,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.84,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,79.0,111.0,103.0,,,,71.0,97.0,96.0,,0.429,0.177,0.259,0.63,,-0.21,-1.51,93.3,82.9,,85.9,0.264,0.434,0.254,0.277,0.4,0.243,0.283,0.519,0.248,,,,,,,,,,,,,,,,106.0,102.0,103.0,0.136,-1.69,78.2,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,,,,
2024/07/07,1:40 PM.,MIA,CWS,away,Roof Closed.,72,665795,RF,0,0,0,0,0,0,0,0,0,0,0,.238,.313,.386,.699,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,96.0,98.0,103.0,97.0,91.0,87.0,110.0,94.0,95.0,114.0,102.0,105.0,0.091,0.274,0.085,0.332,-1.63,0.07,1.65,0.15,96.3,93.0,96.7,89.2,0.129,0.226,0.313,0.304,0.543,0.164,0.206,0.321,0.338,0.231,0.333,0.151,,,,,,,,,,,,,106.0,101.0,104.0,0.217,-0.03,84.8,0.206,0.426,0.394,,,,,,,,,,,,,,,,,,,,,
2024/07/06,4:10 PM.,MIA,CWS,away,Roof Closed.,72,630023,LF,1,0,0,0,0,0,0,0,0,0,0,.238,.313,.386,.699,630023,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,MIA,6.3,4.71,30.0,97.0,115.0,98.0,0.801,7.5,3.9,12.9,2.1,0.77,0.272,0.379,0.214,0.301,0.443,,,,69.0,97.0,84.0,100.0,97.0,97.0,154.0,97.0,106.0,0.297,0.165,0.39,,-6.18,-6.8,0.86,,93.0,,92.7,85.2,0.2,0.286,0.244,0.333,0.833,0.289,,,,0.522,0.826,0.127,,,,,,,,,,,,,,,,,,,,,,,,,98.0,99.0,92.0,0.148,0.1,85.7,0.182,0.318,0.205,,,,,,,,,
2024/07/02,6:40 PM.,CLE,CWS,away,Partly Cloudy.,83,471911,DH,0,0,0,0,0,0,0,0,0,0,0,.240,.315,.390,.705,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.64,4.71,103.2,100.0,88.0,97.0,0.79,7.73,2.86,9.72,1.65,1.32,0.184,0.431,0.141,0.322,0.392,101.0,108.0,105.0,62.0,95.0,86.0,90.0,95.0,89.0,96.0,104.0,108.0,0.165,0.26,0.278,0.23,-0.84,-1.96,-0.96,-1.09,91.6,86.8,91.1,83.5,0.284,0.52,0.288,0.337,0.554,0.146,0.241,0.472,0.282,0.304,0.609,0.13,,,,,,,,,,0.25,0.313,0.357,103.0,103.0,105.0,0.067,1.49,80.4,0.053,0.158,0.213,,,,,,,,,,,,,,,,,,,,,
