date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2024/08/29,5:12 PM.,CIN,OAK,away,Partly Cloudy.,92,687924,C,5,0,1,0,0,0,0,0,0,3,2,.254,.338,.390,.728,687924,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.25,4.94,31.2,97.0,86.0,97.0,0.836,5.4,3.41,8.53,2.27,0.79,0.24,0.413,0.183,0.231,0.449,97.0,84.0,89.0,93.0,87.0,96.0,,,,79.0,102.0,98.0,94.0,99.0,105.0,0.54,,0.179,0.092,0.189,,-0.41,0.21,-2.92,-1.59,,84.0,94.3,80.3,78.0,,,,,,,0.2,0.36,0.25,0.176,0.353,0.25,0.2,0.5,0.158,,,,,,,,,,,,,,,,0.282,0.563,0.151,,,,,,,,,,,,,,,
2024/08/21,6:40 PM.,TB,OAK,home,Clear.,68,686752,C,4,0,0,0,0,0,0,0,0,2,2,.257,.344,.398,.742,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,140.0,75.0,84.0,115.0,98.0,102.0,,,,119.0,95.0,106.0,,0.506,0.173,0.027,0.235,1.07,,0.51,-1.47,-0.47,94.9,85.8,,89.0,80.6,0.181,0.33,0.316,0.276,0.586,0.141,0.216,0.353,0.286,0.267,0.407,0.317,0.167,0.167,0.5,100.0,103.0,100.0,,,,0.06,,-0.88,,91.6,,,,,,,,,,,,,,,,,,,,,,
2024/08/14,7:11 PM.,NYM,OAK,away,Clear.,82,656849,C,0,0,0,0,0,0,0,0,0,0,0,.266,.355,.413,.768,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.9,4.59,121.0,98.0,94.0,96.0,0.77,7.51,3.42,8.18,0.6,1.72,0.247,0.362,0.138,0.306,0.412,97.0,90.0,93.0,83.0,102.0,100.0,70.0,103.0,94.0,102.0,98.0,95.0,115.0,99.0,104.0,0.31,0.265,0.184,0.076,0.164,0.39,1.83,-1.81,0.11,0.03,93.1,84.7,91.9,85.1,79.1,0.22,0.266,0.287,,,,0.211,0.324,0.271,0.287,0.447,0.339,0.207,0.345,0.259,,,,,,,,,,,,,,,,0.253,0.36,0.16,,,,,,,,,,,,,,,
2024/08/11,1:40 PM.,TOR,OAK,away,Roof Closed.,68,605135,C,4,0,0,0,0,0,0,0,0,2,2,.266,.355,.413,.768,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,75.0,87.0,84.0,101.0,91.0,102.0,64.0,103.0,94.0,96.0,101.0,97.0,120.0,96.0,106.0,0.407,0.045,0.118,0.137,0.053,-1.6,-0.08,-0.88,-0.09,-2.29,92.6,84.5,92.5,77.2,71.0,0.242,0.394,0.25,0.188,0.316,0.268,0.321,0.607,0.158,0.375,0.781,0.096,0.221,0.351,0.292,79.0,101.0,91.0,87.0,90.0,86.0,0.197,0.043,0.44,-2.64,89.6,84.1,0.154,0.231,0.458,0.327,0.423,0.128,0.303,0.364,0.167,,,,,,,,,,,,
2024/08/07,12:37 PM.,CWS,OAK,home,Sunny.,75,663436,C,3,0,0,0,0,0,0,0,1,2,2,.276,.367,.429,.796,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,95.0,91.0,93.0,92.0,95.0,91.0,,,,114.0,108.0,111.0,,0.285,0.268,0.076,0.196,-2.03,,1.22,-2.54,-0.16,93.6,89.3,,83.6,78.4,0.389,0.472,0.202,0.206,0.294,0.231,0.34,0.4,0.204,0.121,0.293,0.378,0.357,0.429,0.348,76.0,93.0,84.0,,,,0.175,,1.59,,89.0,,,,,,,,,,,,,,,,,,,,,,
2024/07/28,1:08 PM.,LAA,OAK,away,Sunny.,80,667755,C,4,0,1,1,0,0,1,0,0,1,1,.284,.371,.441,.812,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,95.0,95.0,96.0,117.0,92.0,99.0,0.464,0.146,0.055,,,-2.05,2.22,0.02,,,98.8,,97.7,91.5,,0.356,0.622,0.103,,,,,,,0.143,0.214,0.463,0.226,0.376,0.402,,,,120.0,100.0,112.0,,0.081,,0.8,,92.7,,,,0.214,0.26,0.167,0.15,0.3,0.329,98.0,96.0,108.0,0.254,-0.42,86.4,,,,,,
2024/07/24,12:37 PM.,HOU,OAK,home,Partly Cloudy.,80,686613,C,4,0,0,0,0,0,0,0,0,3,4,.286,.375,.439,.814,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,,,,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,0.182,0.347,0.051,,0.126,0.16,0.92,1.7,,0.95,96.0,88.4,95.6,89.1,,0.244,0.413,0.288,0.23,0.363,0.216,0.221,0.26,0.296,0.2,0.2,0.236,0.237,0.421,0.305,90.0,103.0,101.0,,,,0.17,,0.14,,92.4,,,,,0.275,0.321,0.161,,,,127.0,100.0,106.0,0.125,-0.79,82.9,,,,,,
2024/07/20,1:07 PM.,LAA,OAK,home,Sunny.,75,686799,C,2,1,1,0,0,0,0,0,0,1,0,.298,.389,.457,.846,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,0.724,0.062,,0.184,0.03,-1.87,0.89,,-1.06,-3.35,96.3,88.3,95.8,,85.0,0.167,0.5,0.364,,,,0.333,0.444,0.067,,,,0.235,0.412,0.25,,,,,,,,,,,,,,,,0.286,0.411,0.121,,,,,,,,,,,,,,,
2024/07/14,1:36 PM.,PHI,OAK,away,Partly Cloudy.,94,689147,DH,1,1,1,0,0,0,0,0,0,0,0,.293,.387,.457,.844,689147,orionkerkering,Kerkering,Right,Orion Kerkering,PHI,2.29,3.19,63.0,102.0,128.0,111.0,0.747,10.57,2.43,7.29,0.29,2.13,0.241,0.418,0.133,0.253,0.45,,,,,,,114.0,102.0,104.0,99.0,97.0,100.0,143.0,102.0,118.0,0.152,0.292,0.557,,,0.66,1.52,0.75,,,97.6,,96.4,86.2,,0.224,0.328,0.278,,,,,,,,,,,,,,,,,,,,,,,,,0.226,0.306,0.311,0.213,0.255,0.16,,,,,,,,,,,,,,,
2024/07/11,7:10 PM.,BOS,OAK,away,Clear.,85,656557,C,4,0,1,0,0,0,0,0,0,3,2,.286,.381,.451,.832,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,,,,,,,93.0,102.0,97.0,116.0,98.0,108.0,0.324,,0.414,,,,0.67,0.54,,,,,93.5,83.2,,,,,0.2,0.4,0.235,,,,,,,,,,95.0,93.0,93.0,116.0,103.0,109.0,0.015,0.248,-0.95,1.74,87.1,88.4,0.23,0.357,0.302,0.27,0.325,0.142,0.195,0.265,0.208,,,,,,,,,,,,
2024/07/07,1:07 PM.,BAL,OAK,home,Sunny.,76,680570,PH,1,0,0,0,0,0,0,0,0,1,0,.287,.386,.460,.846,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,140.0,101.0,108.0,114.0,103.0,107.0,113.0,102.0,106.0,133.0,102.0,111.0,118.0,101.0,108.0,0.012,0.465,0.158,0.155,0.21,-0.38,5.3,-0.96,0.29,1.63,96.1,83.1,96.1,86.5,81.3,0.291,0.413,0.269,,,,0.161,0.306,0.348,0.25,0.563,0.361,0.26,0.38,0.241,,,,,,,,,,,,,,,,0.167,0.333,0.294,,,,,,,,,,,,,,,
2024/07/06,1:07 PM.,BAL,OAK,home,Sunny.,82,700249,DH,1,1,1,0,0,1,2,0,0,0,0,.291,.390,.465,.855,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,93.0,101.0,104.0,81.0,97.0,93.0,80.0,98.0,90.0,113.0,107.0,108.0,0.084,0.407,0.13,0.196,0.109,0.56,0.86,-0.43,-2.26,-2.05,92.4,86.1,91.5,82.6,76.3,0.223,0.379,0.185,0.333,0.81,0.288,0.25,0.542,0.235,,,,0.333,0.517,0.269,97.0,94.0,94.0,,,,0.075,,-3.12,,88.3,,0.232,0.411,0.276,0.2,0.24,0.103,,,,,,,,,,,,,,,
2024/07/04,1:07 PM.,LAA,OAK,home,Sunny.,81,672710,C,2,0,0,0,0,0,0,0,2,0,1,.282,.384,.424,.808,672710,roansycontreras,Contreras,Right,Roansy Contreras,- - -,4.35,4.94,68.1,98.0,100.0,98.0,0.807,7.38,4.08,8.3,1.45,1.1,0.232,0.42,0.164,0.353,0.452,78.0,92.0,93.0,88.0,97.0,101.0,93.0,100.0,96.0,95.0,93.0,81.0,118.0,102.0,107.0,0.101,0.376,0.324,0.094,0.105,1.22,-1.42,-1.41,1.14,-1.83,94.7,89.0,94.5,84.5,77.9,0.231,0.346,0.16,,,,0.235,0.441,0.231,0.274,0.645,0.258,0.167,0.25,0.393,,,,,,,,,,,,,0.1,0.25,0.302,0.37,0.407,0.08,,,,,,,,,,,,,,,
2024/06/30,1:10 PM.,AZ,OAK,away,Roof Closed.,78,694297,C,4,0,2,0,0,0,0,0,0,2,1,.289,.379,.434,.813,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,106.0,102.0,104.0,95.0,106.0,103.0,89.0,106.0,104.0,143.0,109.0,119.0,0.222,0.334,0.273,0.053,0.112,0.37,-0.09,-0.12,-1.37,0.84,93.8,87.5,93.7,84.8,80.8,0.265,0.466,0.224,,,,0.25,0.289,0.312,,,,0.429,0.571,0.295,,,,,,,,0.006,,0.45,,89.6,0.215,0.455,0.362,0.286,0.365,0.119,0.2,0.8,0.0,,,,,,,,,,,,
2024/06/26,1:06 PM.,LAA,OAK,away,Sunny.,80,672710,C,2,0,1,0,0,0,0,0,2,0,0,.278,.374,.430,.804,672710,roansycontreras,Contreras,Right,Roansy Contreras,- - -,4.35,4.94,68.1,98.0,100.0,98.0,0.807,7.38,4.08,8.3,1.45,1.1,0.232,0.42,0.164,0.353,0.452,78.0,92.0,93.0,88.0,97.0,101.0,93.0,100.0,96.0,95.0,93.0,81.0,118.0,102.0,107.0,0.101,0.376,0.324,0.094,0.105,1.22,-1.42,-1.41,1.14,-1.83,94.7,89.0,94.5,84.5,77.9,0.231,0.346,0.16,,,,0.235,0.441,0.231,0.274,0.645,0.258,0.167,0.25,0.393,,,,,,,,,,,,,0.1,0.25,0.302,0.37,0.407,0.08,,,,,,,,,,,,,,,
2024/06/22,1:07 PM.,MIN,OAK,home,Sunny.,76,641927,C,3,0,1,0,0,0,0,0,0,2,0,.273,.356,.429,.785,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,,0.381,0.118,0.011,0.294,-0.01,,2.03,4.57,1.98,91.7,83.4,,80.3,76.0,0.258,0.506,0.222,0.279,0.504,0.229,0.154,0.285,0.395,0.095,0.162,0.307,0.0,0.0,0.375,84.0,104.0,100.0,,,,0.195,,-0.86,,86.2,,,,,,,,,,,,,,,,,,,,,,
2024/06/20,12:37 PM.,KC,OAK,home,Partly Cloudy.,63,607625,C,2,0,0,0,0,0,0,0,1,1,1,.270,.357,.432,.789,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,126.0,100.0,110.0,75.0,103.0,95.0,68.0,101.0,92.0,125.0,97.0,105.0,0.185,0.24,0.135,0.262,0.069,0.7,0.65,-0.67,1.44,0.08,92.2,87.4,92.1,85.2,79.4,0.234,0.392,0.176,0.228,0.228,0.23,0.208,0.333,0.291,0.213,0.387,0.2,0.178,0.271,0.339,97.0,103.0,103.0,93.0,107.0,106.0,0.082,0.026,2.86,0.07,90.1,85.7,0.375,0.75,0.109,0.274,0.381,0.129,0.105,0.421,0.351,,,,,,,0.215,0.28,0.285,,,
2024/06/16,1:10 PM.,MIN,OAK,away,Cloudy.,82,641927,C,4,0,1,0,0,0,1,0,0,2,0,.278,.358,.444,.802,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,,0.381,0.118,0.011,0.294,-0.01,,2.03,4.57,1.98,91.7,83.4,,80.3,76.0,0.258,0.506,0.222,0.279,0.504,0.229,0.154,0.285,0.395,0.095,0.162,0.307,0.0,0.0,0.375,84.0,104.0,100.0,,,,0.195,,-0.86,,86.2,,,,,,,,,,,,,,,,,,,,,,
2024/06/11,6:40 PM.,SD,OAK,away,Overcast.,65,681190,C,2,0,0,0,0,0,0,0,0,1,4,.279,.364,.456,.820,681190,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.87,5.94,98.0,101.0,106.0,100.0,0.837,5.69,2.66,10.93,1.19,1.02,0.21,0.378,0.177,0.333,0.434,96.0,99.0,96.0,124.0,101.0,106.0,92.0,103.0,100.0,103.0,103.0,98.0,132.0,101.0,109.0,0.157,0.285,0.1,0.197,0.124,-0.56,-1.91,-0.16,-0.45,-3.49,94.3,88.6,94.2,82.4,82.2,0.301,0.462,0.222,0.228,0.351,0.169,0.365,0.615,0.122,,,,0.234,0.422,0.239,107.0,99.0,97.0,,,,0.137,,2.22,,90.2,,0.229,0.396,0.247,0.429,0.571,0.106,,,,,,,,,,,,,,,
2024/06/06,12:37 PM.,SEA,OAK,home,Sunny.,69,693433,C,3,0,0,0,0,0,0,0,0,1,1,.288,.373,.470,.843,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,,,,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,0.23,0.489,0.187,,0.094,1.44,1.85,1.23,,0.0,94.8,89.6,94.7,84.2,,0.218,0.355,0.273,,,,0.186,0.373,0.207,0.265,0.529,0.241,,,,,,,,,,,,,,,,0.1,0.1,0.417,0.234,0.315,0.097,,,,,,,,,,,,,,,
2024/06/02,1:35 PM.,ATL,OAK,away,Cloudy.,77,450203,C,4,0,0,0,0,0,0,0,0,1,0,.302,.389,.492,.881,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,122.0,98.0,108.0,72.0,99.0,90.0,79.0,96.0,88.0,,,,0.099,0.289,,0.424,0.11,-1.4,0.39,,0.78,-1.38,94.1,85.0,93.5,,81.5,0.281,0.517,0.193,0.286,0.571,0.149,0.292,0.6,0.333,,,,0.2,0.309,0.342,73.0,92.0,86.0,,,,0.078,,-0.75,,88.5,,,,,0.333,0.433,0.07,,,,,,,,,,,,,,,
2024/05/31,7:20 PM.,ATL,OAK,away,Partly Cloudy.,78,625643,C,4,0,1,0,0,0,0,0,0,2,3,.322,.412,.525,.937,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,75.0,110.0,105.0,84.0,99.0,104.0,91.0,103.0,99.0,,,,113.0,100.0,105.0,,0.552,0.294,0.116,0.038,1.19,,1.45,1.61,-3.58,95.5,86.1,,85.0,77.0,0.266,0.369,0.165,,,,0.263,0.737,0.349,0.168,0.257,0.443,0.151,0.264,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
