date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C
2024/08/30,7:11 PM.,HOU,KC,away,Roof Closed.,73,664285,C,3,0,0,0,0,0,0,0,1,1,1,.293,.341,.406,.747,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,130.0,96.0,104.0,129.0,96.0,108.0,60.0,102.0,94.0,107.0,102.0,110.0,,,,0.012,,0.043,0.313,0.175,-4.64,,-0.2,1.59,0.62,94.5,,89.9,85.1,79.7,0.4,1.0,0.273,0.226,0.278,0.354,,,,0.233,0.467,0.383,0.121,0.187,0.398,98.0,99.0,97.0,0.458,1.46,94.1,0.276,0.399,0.116,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/29,7:10 PM.,HOU,KC,away,Roof Closed.,73,686613,C,0,0,0,0,0,0,0,0,0,0,0,.296,.342,.411,.753,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,,,,110.0,101.0,102.0,110.0,103.0,107.0,90.0,103.0,101.0,0.347,0.17,0.051,,0.126,0.16,0.14,1.7,,0.95,96.0,92.4,88.4,89.1,,0.244,0.413,0.288,0.221,0.26,0.296,0.23,0.363,0.216,0.2,0.2,0.236,0.237,0.421,0.305,93.0,102.0,98.0,0.182,0.92,95.6,0.275,0.321,0.161,,,,127.0,100.0,106.0,0.125,-0.79,82.9,,,,,,,,,,,,,,,
2024/08/28,1:11 PM.,CLE,KC,away,Cloudy.,83,676440,C,4,0,1,0,0,0,0,0,0,1,2,.296,.342,.411,.753,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,113.0,102.0,109.0,,,,0.434,,0.278,0.105,0.18,-0.69,,1.74,-0.9,0.13,94.6,,82.5,86.2,81.3,0.282,0.476,0.213,0.238,0.431,0.291,0.141,0.225,0.368,0.196,0.411,0.299,0.208,0.458,0.184,89.0,64.0,93.0,0.003,-1.41,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/27,6:41 PM.,CLE,KC,away,Clear.,89,668909,DH,1,0,1,0,0,0,1,0,0,0,0,.297,.343,.413,.756,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,66.0,96.0,101.0,121.0,101.0,105.0,97.0,102.0,102.0,95.0,80.0,96.0,98.0,99.0,94.0,0.515,0.12,0.113,0.198,0.054,0.08,0.56,-0.16,-0.01,-3.82,96.6,91.6,89.2,88.6,79.5,0.286,0.421,0.22,0.417,0.833,0.148,0.205,0.333,0.341,0.258,0.387,0.242,0.155,0.31,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/26,1:10 PM.,CLE,KC,away,Sunny.,84,680704,DH,4,0,0,0,0,0,0,0,0,1,2,.296,.344,.415,.759,680704,nicksandlin,Sandlin,Right,Nick Sandlin,CLE,3.75,4.49,57.2,94.0,95.0,93.0,0.677,10.61,4.21,7.18,1.87,0.8,0.186,0.455,0.159,0.366,0.366,,,,,,,87.0,96.0,91.0,110.0,90.0,99.0,,,,0.295,,0.348,,,-1.58,,-0.34,,,92.6,,,79.4,,0.294,0.608,0.178,,,,,,,0.243,0.457,0.413,,,,94.0,84.0,81.0,0.092,-3.06,92.6,0.308,0.577,0.047,,,,,,,,,,,,,83.0,99.0,90.0,0.265,2.95,84.8,0.1,0.2,0.483,,,
2024/08/26,6:40 PM.,CLE,KC,away,Clear.,85,671106,C,5,0,1,0,0,0,0,0,0,0,3,.295,.341,.411,.752,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.73,5.9,97.1,96.0,77.0,91.0,0.803,7.3,3.79,10.45,2.03,1.13,0.234,0.396,0.136,0.328,0.405,99.0,92.0,94.0,,,,60.0,98.0,88.0,89.0,98.0,86.0,91.0,97.0,96.0,0.484,0.146,0.187,,0.183,-1.54,-0.03,-2.55,,-0.92,91.2,85.3,81.7,78.6,,0.342,0.609,0.147,0.237,0.438,0.269,0.245,0.491,0.202,,,,,,,,,,,,,,,,0.273,0.576,0.333,,,,,,,,,,,,,,,,,,,,,
2024/08/25,1:11 PM.,PHI,KC,home,Sunny.,93,663465,C,4,0,0,0,0,0,0,0,0,2,5,.301,.348,.421,.769,663465,kolbyallard,Allard,Left,Kolby Allard,PHI,5.0,4.34,27.0,102.0,65.0,98.0,0.801,7.67,2.67,11.33,1.67,1.11,0.198,0.36,0.174,0.372,0.47,74.0,108.0,102.0,85.0,96.0,101.0,56.0,100.0,93.0,,,,69.0,102.0,100.0,0.401,0.174,,0.122,0.243,-1.8,-2.26,,1.27,1.97,90.0,84.4,82.0,,71.7,0.333,0.611,0.162,0.263,0.316,0.234,0.375,0.625,0.341,,,,0.2,0.467,0.217,38.0,115.0,101.0,0.06,-8.18,90.3,0.75,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/24,6:10 PM.,PHI,KC,home,Partly Cloudy.,91,624133,DH,2,0,1,0,0,0,2,0,0,1,0,.305,.353,.427,.780,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,73.0,100.0,98.0,84.0,107.0,108.0,68.0,101.0,91.0,22.0,85.0,77.0,101.0,98.0,93.0,0.195,0.121,0.001,0.205,0.163,0.67,-1.68,-4.62,1.02,-0.63,91.8,86.5,80.0,81.3,74.4,0.224,0.327,0.18,0.229,0.323,0.35,0.302,0.642,0.162,,,,0.189,0.342,0.339,87.0,106.0,104.0,0.315,0.84,90.8,0.27,0.381,0.101,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/23,7:10 PM.,PHI,KC,home,Cloudy.,80,592836,DH,1,0,1,1,0,0,0,0,0,0,0,.304,.353,.427,.780,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,7.1,7.09,83.2,98.0,88.0,95.0,0.847,6.24,3.98,11.51,2.58,0.93,0.184,0.442,0.131,0.389,0.429,,,,87.0,96.0,97.0,61.0,93.0,83.0,56.0,108.0,104.0,95.0,91.0,87.0,0.126,0.094,0.178,0.108,,-2.65,-4.99,2.03,1.99,,91.5,87.3,,85.1,74.7,0.346,0.615,0.232,,,,0.435,1.087,0.093,,,,0.172,0.31,0.149,78.0,98.0,91.0,0.275,-2.96,91.1,0.378,0.684,0.082,0.157,0.314,0.28,,,,,,,,,,108.0,101.0,106.0,0.219,-4.16,86.7,0.38,0.652,0.163,,,
2024/08/20,7:10 PM.,LAA,KC,home,Clear.,74,542881,C,4,0,2,1,0,0,0,0,0,0,0,.301,.351,.421,.772,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,,,,89.0,99.0,96.0,80.0,141.0,142.0,99.0,100.0,96.0,0.396,0.185,0.013,0.001,0.371,-0.73,-0.41,-0.06,-3.14,1.32,89.4,84.3,78.9,81.3,71.6,0.272,0.494,0.183,0.185,0.259,0.396,0.264,0.455,0.247,0.0,0.0,0.357,,,,66.0,95.0,83.0,0.033,-3.87,88.1,0.261,0.696,0.152,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/19,7:10 PM.,LAA,KC,home,Clear.,84,608334,DH,4,0,0,0,0,0,0,0,0,2,5,.298,.349,.416,.765,608334,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.74,86.2,101.0,94.0,98.0,0.772,8.41,4.15,8.41,1.14,1.04,0.214,0.429,0.115,0.361,0.393,90.0,104.0,102.0,109.0,102.0,103.0,85.0,105.0,103.0,114.0,96.0,98.0,,,,0.234,,0.204,0.056,0.27,0.19,,1.22,-7.73,-0.64,93.1,,87.8,87.0,82.4,0.224,0.447,0.195,0.228,0.347,0.367,,,,0.157,0.294,0.284,0.471,1.118,0.393,88.0,100.0,94.0,0.237,0.39,92.6,0.299,0.39,0.118,0.286,0.714,0.458,,,,,,,,,,,,,,,,,,,,,
2024/08/18,1:41 PM.,CIN,KC,away,Partly Cloudy.,79,671096,C,4,1,1,0,0,0,0,0,0,1,1,.303,.354,.422,.776,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.02,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.16,0.287,0.428,96.0,94.0,97.0,101.0,98.0,99.0,78.0,96.0,89.0,125.0,106.0,112.0,,,,0.535,,0.186,0.116,0.163,-0.26,,0.49,-1.56,0.23,92.8,,84.8,82.9,80.8,0.254,0.451,0.194,0.214,0.429,0.273,,,,,,,0.327,0.653,0.179,,,,,,,,,,0.189,0.307,0.287,,,,,,,,,,,,,,,,,,,,,
2024/08/17,6:42 PM.,CIN,KC,away,Overcast.,84,666157,C,4,3,1,1,0,0,1,0,2,0,4,.304,.356,.425,.781,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,4.76,3.72,115.1,99.0,106.0,96.0,0.742,9.52,2.89,7.88,1.01,1.25,0.247,0.421,0.142,0.285,0.428,96.0,99.0,92.0,90.0,94.0,100.0,119.0,103.0,97.0,,,,,,,0.43,,,0.273,0.164,0.11,,,-0.75,-0.21,94.1,,88.1,,81.7,0.241,0.407,0.23,0.232,0.39,0.259,,,,,,,0.217,0.302,0.429,111.0,97.0,93.0,0.133,0.99,94.1,0.234,0.453,0.183,,,,,,,,,,,,,,,,,,,,,,,,
