date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FO%,wFO/C,vFO
2024/09/01,1:08 PM.,LAA,SEA,away,Sunny.,83,702674,SS,2,0,0,0,0,0,0,0,1,1,2,.262,.342,.308,.650,702674,cadendana,Dana,Right,Caden Dana,LAA,9.58,7.27,10.1,89.0,90.0,86.0,0.753,6.97,6.1,12.19,4.35,1.54,0.222,0.556,0.056,0.528,0.422,106.0,95.0,97.0,99.0,68.0,81.0,83.0,91.0,84.0,,,,99.0,87.0,89.0,,0.524,,0.267,0.073,0.092,-7.53,,,2.73,-4.76,0.38,93.7,,85.0,,85.4,74.9,0.462,1.038,0.167,,,,,,,,,,,,,,,,76.0,95.0,79.0,0.044,0.23,86.3,0.077,0.308,0.375,,,,,,,,,,,,,,,,,,
2024/08/31,6:38 PM.,LAA,SEA,away,Clear.,77,542881,DH,0,0,0,0,0,0,0,0,0,0,0,.270,.343,.317,.660,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,,,,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,0.033,0.396,,0.013,0.001,0.371,-0.73,,-3.87,-0.06,-3.14,1.32,89.4,,78.9,88.1,81.3,71.6,0.272,0.494,0.183,,,,0.261,0.696,0.152,0.185,0.259,0.396,,,,,,,99.0,100.0,96.0,0.185,-0.41,84.3,0.0,0.0,0.357,0.264,0.455,0.247,,,,,,,,,,,,,,,
2024/08/30,6:39 PM.,LAA,SEA,away,Clear.,73,691951,2B,0,0,0,0,0,0,0,0,0,0,0,.270,.343,.317,.660,691951,samuelaldegheri,Aldegheri,Left,Sam Aldegheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313,0.531,0.194,,,,,,,0.222,0.222,0.214,,,,,,,,,,,,,0.273,0.455,0.385,,,,,,,,,,,,,,,,,,
2024/08/27,6:40 PM.,TB,SEA,home,Partly Cloudy.,65,605488,SS,2,1,0,0,0,0,0,0,1,2,1,.270,.343,.317,.660,605488,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,3.27,3.7,33.0,99.0,87.0,96.0,0.733,10.09,3.0,9.27,1.36,0.9,0.226,0.441,0.151,0.344,0.351,107.0,102.0,100.0,,,,77.0,98.0,93.0,47.0,55.0,53.0,92.0,106.0,107.0,0.002,0.423,,0.235,,0.317,-0.7,,-3.5,2.84,,-1.59,89.8,,79.6,89.8,82.3,,0.216,0.49,0.17,0.0,0.0,0.571,,,,0.333,0.439,0.442,,,,,,,18.0,84.0,80.0,0.023,-1.54,85.3,0.222,0.222,0.236,,,,,,,,,,,,,,,,,,
2024/08/26,6:43 PM.,TB,SEA,home,Partly Cloudy.,71,686752,SS,3,0,1,0,0,0,1,0,0,0,1,.279,.343,.328,.671,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,140.0,75.0,84.0,115.0,98.0,102.0,,,,119.0,95.0,106.0,,0.506,,0.173,0.027,0.235,1.07,,,0.51,-1.47,-0.47,94.9,,85.8,,89.0,80.6,0.181,0.33,0.316,,,,,,,0.216,0.353,0.286,0.167,0.167,0.5,,,,100.0,103.0,100.0,0.06,-0.88,91.6,0.267,0.407,0.317,0.276,0.586,0.141,,,,,,,,,,,,,,,
2024/08/25,1:11 PM.,SF,SEA,home,Partly Cloudy.,63,592662,SS,2,0,0,0,0,0,0,0,0,1,2,.276,.344,.328,.672,592662,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.72,30.2,95.0,102.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,,,,,,,96.0,98.0,96.0,,,,99.0,91.0,91.0,,0.528,,0.322,,,0.46,,,0.18,,,94.1,,,,88.4,,0.167,0.367,0.264,,,,,,,,,,0.316,0.684,0.489,,,,,,,,,,0.148,0.222,0.458,,,,133.0,96.0,100.0,0.15,-2.65,83.5,,,,,,,,,
2024/08/24,1:12 PM.,SF,SEA,home,Roof Closed.,59,605483,SS,4,0,1,0,0,0,0,0,0,3,3,.286,.355,.339,.694,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,106.0,87.0,91.0,,0.464,,0.101,0.26,0.176,1.16,,,0.11,2.25,0.95,95.9,,85.5,,88.7,81.1,0.2,0.303,0.244,,,,,,,0.236,0.319,0.476,0.111,0.183,0.498,,,,,,,,,,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,
2024/08/23,7:10 PM.,SF,SEA,home,Roof Closed.,57,806185,SS,4,0,2,0,0,0,2,0,1,2,2,.288,.362,.346,.708,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,111.0,102.0,104.0,90.0,89.0,85.0,,,,119.0,90.0,100.0,,0.446,,0.184,0.187,0.184,-0.02,,,-0.26,0.82,-0.87,95.8,,88.1,,86.4,80.5,0.216,0.44,0.182,,,,,,,0.269,0.365,0.349,0.145,0.218,0.327,,,,,,,,,,0.244,0.512,0.487,,,,,,,,,,,,,,,,,,
2024/08/21,7:11 PM.,LAD,SEA,away,Clear.,79,656427,SS,4,0,2,0,0,0,0,0,0,1,5,.271,.340,.333,.673,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,0.023,0.441,,0.29,,0.027,0.5,,-5.05,0.02,,-0.55,93.3,,85.7,90.6,84.7,,0.245,0.401,0.238,,,,0.6,1.2,0.4,0.111,0.333,0.111,0.164,0.219,0.436,,,,,,,,,,0.222,0.455,0.363,,,,101.0,103.0,107.0,0.218,2.19,77.4,,,,,,,,,
2024/08/20,7:10 PM.,LAD,SEA,away,Clear.,82,621111,SS,4,0,2,1,0,0,0,0,0,1,0,.250,.327,.318,.645,621111,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.38,4.78,75.1,101.0,93.0,100.0,0.819,7.65,3.35,10.63,1.91,1.29,0.208,0.429,0.143,0.335,0.435,70.0,100.0,89.0,,,,85.0,102.0,99.0,82.0,99.0,92.0,119.0,99.0,108.0,0.163,0.29,,0.095,,0.052,-2.43,,-0.74,-0.87,,-5.9,95.0,,90.0,94.8,82.9,,0.342,0.696,0.169,0.121,0.303,0.294,0.291,0.327,0.115,0.455,0.773,0.088,0.278,0.481,0.267,,,,103.0,103.0,100.0,0.208,1.62,91.2,1.0,2.5,0.25,0.238,0.397,0.215,100.0,98.0,105.0,0.192,-1.56,78.0,,,,,,,,,
2024/08/19,7:10 PM.,LAD,SEA,away,Clear.,80,694813,SS,0,0,0,0,0,0,0,0,0,0,0,.225,.311,.275,.586,694813,gavinstone,Stone,Right,Gavin Stone,LAD,3.53,3.94,140.1,103.0,99.0,101.0,0.768,7.44,2.37,8.53,1.15,1.21,0.247,0.409,0.169,0.292,0.409,81.0,102.0,98.0,93.0,102.0,102.0,101.0,100.0,97.0,97.0,103.0,98.0,136.0,111.0,117.0,0.226,0.247,,0.165,0.042,0.266,0.1,,-0.69,0.96,1.45,0.82,94.9,,87.5,95.3,88.7,83.3,0.246,0.41,0.162,0.182,0.182,0.133,0.314,0.504,0.136,0.178,0.356,0.372,0.267,0.333,0.167,,,,80.0,101.0,94.0,0.053,0.49,92.3,0.239,0.326,0.355,0.32,0.48,0.183,,,,,,,,,,,,,,,
2024/08/18,1:37 PM.,PIT,SEA,away,Partly Cloudy.,78,663765,SS,4,2,2,0,0,0,1,0,1,0,0,.225,.311,.275,.586,663765,jakewoodford,Woodford,Right,Jake Woodford,- - -,7.97,5.67,35.0,99.0,90.0,95.0,0.874,6.69,2.31,12.34,1.54,0.94,0.233,0.45,0.132,0.333,0.424,58.0,104.0,95.0,,,,66.0,106.0,93.0,92.0,99.0,91.0,99.0,102.0,106.0,0.448,0.029,,0.282,,0.05,-0.64,,-2.26,-2.09,,-0.65,91.3,,85.6,91.5,80.7,,,,,0.26,0.5,0.272,0.366,0.592,0.046,0.2,0.2,0.091,,,,,,,85.0,92.0,88.0,0.191,-0.82,88.6,,,,0.308,0.5,0.13,,,,,,,,,,,,,,,
2024/08/17,1:07 PM.,PIT,SEA,away,Cloudy.,83,663559,SS,3,0,1,0,0,0,0,0,0,0,1,.194,.275,.250,.525,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,0.142,0.484,0.006,0.216,0.152,,0.38,-7.04,1.23,0.27,-1.24,,91.8,86.9,,92.0,86.1,77.7,0.255,0.41,0.166,,,,0.26,0.448,0.157,,,,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,0.245,0.304,0.287,,,,,,,,,,,,,43.0,95.0,70.0,,,
2024/08/16,6:43 PM.,PIT,SEA,away,Partly Cloudy.,79,694973,SS,2,0,0,0,0,0,0,0,1,0,0,.182,.250,.242,.492,694973,paulskenes,Skenes,Right,Paul Skenes,PIT,1.96,2.53,133.0,103.0,102.0,103.0,0.736,11.5,2.17,6.36,0.68,1.66,0.216,0.464,0.193,0.235,0.427,82.0,108.0,107.0,105.0,100.0,104.0,98.0,107.0,103.0,80.0,95.0,86.0,131.0,101.0,113.0,0.284,0.392,,0.162,0.108,0.054,0.64,,3.52,0.8,-0.18,2.34,98.8,,87.3,94.0,85.4,83.0,0.23,0.351,0.242,0.104,0.188,0.226,0.184,0.234,0.293,0.088,0.118,0.548,0.25,0.375,0.337,,,,,,,,,,0.286,0.571,0.328,,,,,,,,,,,,,,,,,,
2024/08/13,6:40 PM.,DET,SEA,away,Clear.,81,669373,P,3,0,0,0,0,0,0,0,0,2,2,.194,.242,.258,.500,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,0.205,0.332,,0.149,,0.271,1.84,,1.25,0.78,,1.13,96.8,,86.3,96.6,88.7,,0.197,0.286,0.277,,,,0.207,0.305,0.16,0.216,0.322,0.461,0.158,0.316,0.175,,,,,,,,,,0.169,0.364,0.346,,,,95.0,91.0,101.0,0.042,1.26,78.5,,,,,,,,,
2024/08/11,4:11 PM.,NYM,SEA,home,Partly Cloudy.,69,622663,SS,2,1,1,0,0,0,1,0,1,0,1,.214,.267,.286,.553,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,,,,101.0,104.0,102.0,90.0,98.0,94.0,143.0,100.0,111.0,0.248,0.355,,0.242,,0.075,0.15,,1.24,0.26,,-3.63,96.2,,86.1,95.6,85.6,,0.243,0.392,0.218,0.139,0.238,0.386,0.278,0.414,0.122,0.358,0.66,0.186,,,,,,,92.0,91.0,89.0,0.081,1.05,92.6,0.263,0.342,0.284,0.2,0.3,0.26,,,,,,,,,,,,,,,
2024/08/10,6:40 PM.,NYM,SEA,home,Clear.,75,640455,SS,3,0,0,0,0,0,0,0,1,2,4,.192,.222,.269,.491,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,,,,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,0.447,0.113,,0.251,,0.118,1.13,,1.36,0.37,,-1.19,92.3,,85.3,92.3,79.5,,0.167,0.295,0.311,0.193,0.311,0.388,0.201,0.333,0.21,0.25,0.438,0.254,,,,,,,84.0,88.0,85.0,0.071,0.97,88.4,0.174,0.435,0.32,0.222,0.25,0.179,,,,,,,,,,,,,,,
2024/08/09,7:12 PM.,NYM,SEA,home,Clear.,73,500779,SS,3,1,1,0,0,0,2,2,0,0,0,.217,.217,.304,.521,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,0.304,0.225,,,0.278,0.193,-0.32,,0.82,,-0.04,0.5,90.7,,85.7,90.8,,77.7,0.227,0.427,0.169,,,,0.249,0.431,0.131,0.203,0.26,0.367,0.265,0.444,0.264,,,,,,,,,,,,,,,,,,,,,,0.195,0.366,0.284,,,,,,
2024/08/08,6:41 PM.,DET,SEA,home,Partly Cloudy.,80,669724,SS,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.300,.500,669724,brenanhanifee,Hanifee,Right,Brenan Hanifee,DET,1.84,3.07,29.1,104.0,91.0,100.0,0.863,7.06,1.84,8.28,0.61,1.88,0.242,0.473,0.242,0.319,0.445,88.0,95.0,97.0,,,,84.0,111.0,102.0,80.0,103.0,98.0,120.0,105.0,107.0,0.539,0.141,,0.224,,0.096,-0.24,,2.09,0.13,,-3.75,95.6,,88.6,94.8,87.4,,0.222,0.5,0.359,,,,0.231,0.246,0.088,0.333,0.778,0.391,,,,,,,,,,,,,0.227,0.409,0.133,,,,,,,,,,,,,,,,,,
2024/08/07,6:42 PM.,DET,SEA,home,Clear.,73,669373,SS,2,0,0,0,0,0,0,0,0,1,1,.200,.200,.300,.500,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,0.205,0.332,,0.149,,0.271,1.84,,1.25,0.78,,1.13,96.8,,86.3,96.6,88.7,,0.197,0.286,0.277,,,,0.207,0.305,0.16,0.216,0.322,0.461,0.158,0.316,0.175,,,,,,,,,,0.169,0.364,0.346,,,,95.0,91.0,101.0,0.042,1.26,78.5,,,,,,,,,
2024/08/03,6:42 PM.,PHI,SEA,home,Partly Cloudy.,72,689147,2B,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.333,.555,689147,orionkerkering,Kerkering,Right,Orion Kerkering,PHI,2.29,3.19,63.0,102.0,128.0,111.0,0.747,10.57,2.43,7.29,0.29,2.13,0.241,0.418,0.133,0.253,0.45,,,,,,,114.0,102.0,104.0,99.0,97.0,100.0,143.0,102.0,118.0,0.152,0.292,,0.557,,,0.66,,1.52,0.75,,,97.6,,,96.4,86.2,,0.224,0.328,0.278,0.226,0.306,0.311,0.213,0.255,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/02,6:41 PM.,PHI,SEA,home,Clear.,77,663969,2B,4,0,0,0,0,0,0,0,0,1,0,.222,.222,.333,.555,663969,tylerphillips,Phillips,Right,Tyler Phillips,PHI,6.87,5.97,36.2,100.0,94.0,99.0,0.799,6.87,1.72,11.05,2.21,1.13,0.122,0.496,0.171,0.358,0.419,82.0,110.0,104.0,107.0,112.0,116.0,68.0,92.0,90.0,80.0,101.0,91.0,121.0,95.0,102.0,0.311,0.187,,0.292,0.144,0.066,3.13,,-1.15,-2.49,-0.37,-9.69,92.7,,85.7,93.7,82.5,81.0,0.219,0.313,0.214,0.311,0.511,0.329,0.35,0.7,0.118,0.6,1.1,0.182,0.174,0.304,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/31,4:11 PM.,BOS,SEA,away,Cloudy.,80,678394,2B,1,0,0,0,0,0,0,0,0,0,1,.286,.286,.429,.715,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,,,,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,0.403,0.048,,0.28,,0.269,0.25,,-0.24,-0.58,,0.15,95.6,,87.6,95.7,86.8,,0.12,0.16,0.218,,,,0.309,0.44,0.111,0.177,0.354,0.369,,,,,,,,,,,,,0.268,0.401,0.343,,,,,,,,,,,,,,,,,,
