date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,FO%,KC%,wFC/C,wFO/C,wKC/C,vFC,vFO,vKC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024/07/22,1:10 PM.,NYY,TB,away,Cloudy.,82,607074,3B,4,0,0,0,0,0,0,0,0,0,1,.229,.275,.292,.567,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,103.0,86.0,93.0,114.0,98.0,101.0,144.0,104.0,113.0,0.494,0.26,0.083,0.129,0.05,-0.4,-1.32,1.44,95.4,85.5,86.8,81.0,0.262,0.514,0.214,0.199,0.361,0.393,0.281,0.531,0.276,0.188,0.247,0.495,,,,,,,,,,,,,,,,,,,,,,100.0,83.0,82.0,0.035,,,-3.11,,,91.8,,,0.353,0.647,0.255,,,,,,
2024/07/20,1:08 PM.,NYY,TB,away,Cloudy.,82,641482,DH,5,1,3,1,0,0,1,0,0,1,1,.239,.286,.304,.590,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,,,,99.0,103.0,100.0,99.0,98.0,101.0,0.442,0.168,,0.097,0.25,-1.27,,-0.89,92.1,83.6,78.2,,0.235,0.443,0.215,0.364,0.727,0.167,,,,0.226,0.369,0.326,86.0,116.0,113.0,,,,0.014,,,1.37,,90.3,,,,0.143,0.143,0.316,,,,109.0,100.0,102.0,0.28,,,1.32,,,87.5,,,0.249,0.378,0.251,0.284,0.511,0.25,,,
2024/05/03,6:50 PM.,NYM,TB,home,Dome.,72,500779,3B,4,1,1,1,0,0,1,0,0,2,1,.218,.269,.276,.545,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,,,,0.225,,0.278,0.193,-0.32,,-0.04,0.5,90.7,85.7,,77.7,0.227,0.427,0.169,,,,0.265,0.444,0.264,0.203,0.26,0.367,76.0,97.0,91.0,,,,0.304,,,0.82,,90.8,,,,0.249,0.431,0.131,,,,,,,,,,,,,,,,,,,,,,0.195,0.366,0.284
2024/05/01,12:10 PM.,MIL,TB,away,Sunny.,68,607067,3B,4,0,0,0,0,0,0,0,0,2,2,.217,.270,.265,.535,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,109.0,106.0,108.0,0.193,0.172,0.042,,0.49,1.41,-3.64,,92.9,,82.0,78.7,0.207,0.314,0.248,,,,0.394,0.636,0.18,,,,82.0,103.0,96.0,78.0,98.0,96.0,0.311,0.088,-2.02,-0.28,86.5,92.3,0.286,0.492,0.277,0.298,0.482,0.115,,,,76.0,94.0,88.0,0.194,,,-1.34,,,87.6,,,0.287,0.656,0.168,0.159,0.234,0.227,,,
2024/04/28,1:10 PM.,CWS,TB,away,Cloudy.,69,607200,2B,4,0,0,0,0,0,0,0,0,1,2,.228,.282,.278,.560,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,,,,17.0,112.0,76.0,126.0,101.0,106.0,0.003,0.202,,0.164,-6.18,1.28,,-0.54,92.9,87.7,83.5,,0.5,0.5,0.0,,,,,,,0.228,0.351,0.165,76.0,105.0,93.0,,,,0.308,,,0.59,,93.0,,,,0.25,0.358,0.202,,,,78.0,104.0,97.0,0.323,,,0.43,,,89.9,,,0.262,0.47,0.232,0.165,0.309,0.251,,,
2024/04/27,6:10 PM.,CWS,TB,away,Partly Cloudy.,77,686563,3B,5,2,1,1,0,0,0,0,0,2,2,.240,.296,.293,.589,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,,,,73.0,104.0,97.0,117.0,100.0,107.0,0.123,0.218,,0.187,-1.13,-1.39,,-0.22,94.3,85.7,81.9,,0.25,0.411,0.252,,,,,,,0.248,0.394,0.269,86.0,100.0,93.0,,,,0.28,,,0.44,,93.3,,,,0.287,0.449,0.132,,,,79.0,101.0,93.0,0.192,,,0.39,,,90.2,,,0.263,0.45,0.191,0.255,0.489,0.282,,,
2024/04/26,6:41 PM.,CWS,TB,away,Cloudy.,53,623167,2B,5,0,2,0,0,0,1,0,0,1,1,.243,.303,.286,.589,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,83.0,98.0,101.0,2.0,93.0,82.0,148.0,102.0,103.0,0.37,0.087,0.122,0.157,-0.64,-2.65,0.43,-1.32,91.3,81.3,80.0,72.0,0.261,0.473,0.132,0.361,0.475,0.271,0.246,0.393,0.308,0.257,0.436,0.379,74.0,108.0,87.0,,,,0.002,,,2.01,,91.4,,,,,,,,,,47.0,101.0,90.0,0.261,,,-0.75,,,87.4,,,0.319,0.536,0.218,,,,,,
2024/04/24,6:50 PM.,DET,TB,home,Dome.,72,656427,2B,3,1,1,0,0,1,2,0,0,1,2,.231,.296,.277,.573,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,95.0,102.0,102.0,0.441,0.29,,0.027,0.5,0.02,,-0.55,93.3,85.7,84.7,,0.245,0.401,0.238,0.222,0.455,0.363,0.164,0.219,0.436,0.111,0.333,0.111,75.0,85.0,72.0,,,,0.023,,,-5.05,,90.6,,,,0.6,1.2,0.4,101.0,103.0,107.0,,,,,,0.218,,,2.19,,,77.4,,,,,,,,,
2024/04/23,6:50 PM.,DET,TB,home,Dome.,72,628317,2B,3,0,0,0,0,0,0,0,0,1,2,.226,.294,.226,.520,628317,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.09,4.43,112.1,101.0,93.0,100.0,0.776,7.69,2.48,9.93,1.76,0.83,0.19,0.466,0.185,0.27,0.388,,,,80.0,75.0,78.0,67.0,99.0,91.0,101.0,95.0,98.0,0.225,0.359,0.016,,-2.6,-0.34,-4.36,,90.8,,81.4,76.4,0.359,0.667,0.13,0.31,0.569,0.268,0.5,0.75,0.0,,,,59.0,104.0,93.0,110.0,105.0,110.0,0.072,0.312,-0.22,-0.02,83.9,90.4,0.217,0.42,0.303,0.294,0.324,0.133,,,,65.0,94.0,79.0,0.016,,,1.08,,,84.8,,,0.333,0.333,0.391,0.241,0.379,0.207,,,
2024/04/22,6:50 PM.,DET,TB,home,Dome.,72,669373,2B,3,0,1,0,0,0,0,0,0,1,0,.237,.308,.237,.545,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,111.0,99.0,103.0,0.332,0.149,,0.271,1.84,0.78,,1.13,96.8,86.3,88.7,,0.197,0.286,0.277,0.169,0.364,0.346,0.158,0.316,0.175,0.216,0.322,0.461,95.0,105.0,104.0,,,,0.205,,,1.25,,96.6,,,,0.207,0.305,0.16,95.0,91.0,101.0,,,,,,0.042,,,1.26,,,78.5,,,,,,,,,
2024/04/21,1:39 PM.,NYY,TB,away,Overcast.,49,661563,2B,3,0,1,0,0,0,1,2,0,1,4,.232,.295,.232,.527,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,108.0,94.0,105.0,0.488,0.259,,0.253,0.06,1.37,,0.37,96.6,91.6,87.5,,0.205,0.395,0.285,0.171,0.312,0.315,,,,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/20,1:08 PM.,NYY,TB,away,Partly Cloudy.,60,641482,2B,4,0,1,0,0,0,0,0,0,1,1,.226,.293,.226,.519,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,,,,99.0,103.0,100.0,99.0,98.0,101.0,0.442,0.168,,0.097,0.25,-1.27,,-0.89,92.1,83.6,78.2,,0.235,0.443,0.215,0.364,0.727,0.167,,,,0.226,0.369,0.326,86.0,116.0,113.0,,,,0.014,,,1.37,,90.3,,,,0.143,0.143,0.316,,,,109.0,100.0,102.0,0.28,,,1.32,,,87.5,,,0.249,0.378,0.251,0.284,0.511,0.25,,,
2024/04/19,7:09 PM.,NYY,TB,away,Overcast.,51,657376,2B,4,0,1,0,0,0,0,0,0,2,4,.224,.296,.224,.520,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.85,3.78,85.1,98.0,116.0,100.0,0.724,9.81,3.16,7.49,0.84,1.01,0.271,0.407,0.208,0.281,0.401,36.0,89.0,96.0,,,,,,,136.0,94.0,102.0,,0.252,,0.006,,1.21,,-13.05,,87.1,85.2,,,,,,,,0.143,0.19,0.33,0.667,1.0,0.0,83.0,94.0,85.0,,,,0.21,,,-0.75,,94.3,,,,0.267,0.483,0.203,150.0,102.0,113.0,106.0,102.0,100.0,0.35,,0.182,0.53,,0.89,92.4,,83.8,0.256,0.38,0.322,0.21,0.323,0.297,,,
2024/04/18,1:10 PM.,LAA,TB,home,Dome.,72,656288,3B,3,0,0,0,0,0,0,0,0,1,1,.222,.300,.222,.522,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,75.0,96.0,96.0,73.0,94.0,86.0,107.0,100.0,110.0,0.376,0.24,0.107,0.267,-0.85,-0.91,-0.86,0.48,93.4,88.6,87.7,80.6,0.251,0.529,0.147,0.284,0.444,0.331,0.271,0.438,0.241,0.259,0.387,0.288,76.0,89.0,78.0,,,,0.01,,,-6.83,,93.0,,,,0.429,0.857,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/17,6:51 PM.,LAA,TB,home,Dome.,72,672282,2B,4,0,1,0,0,0,0,0,0,0,1,.238,.319,.238,.557,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,89.0,100.0,103.0,86.0,96.0,92.0,117.0,106.0,114.0,0.468,0.244,0.146,0.142,-0.56,-0.44,-3.5,-1.18,93.8,84.7,86.2,75.0,0.278,0.508,0.253,0.22,0.39,0.368,0.37,0.804,0.216,0.351,0.544,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/16,6:50 PM.,LAA,TB,home,Dome.,72,667755,PH,1,0,0,0,0,0,0,0,0,0,0,.237,.326,.237,.563,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,117.0,92.0,99.0,0.146,0.055,,,-2.05,0.02,,,98.8,,91.5,,0.356,0.622,0.103,0.143,0.214,0.463,0.226,0.376,0.402,,,,95.0,95.0,96.0,120.0,100.0,112.0,0.464,0.081,0.8,2.22,92.7,97.7,0.15,0.3,0.329,0.214,0.26,0.167,98.0,96.0,108.0,,,,,,0.254,,,-0.42,,,86.4,,,,,,,,,
2024/04/15,6:50 PM.,LAA,TB,home,Dome.,72,663776,2B,3,0,1,0,0,0,0,0,0,0,1,.243,.333,.243,.576,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.25,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.132,0.312,0.421,95.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,150.0,98.0,105.0,0.16,0.293,0.09,0.283,-2.18,0.27,2.03,0.73,93.7,82.9,86.8,76.3,0.381,0.524,0.16,0.265,0.434,0.243,0.118,0.118,0.279,0.208,0.292,0.39,63.0,96.0,88.0,,,,0.174,,,-1.81,,93.7,,,,0.413,0.565,0.142,,,,,,,,,,,,,,,,,,,0.235,0.471,0.281,,,
2024/04/14,2:05 PM.,SF,TB,home,Dome.,72,605483,2B,3,1,0,0,0,0,0,0,1,2,2,.235,.333,.235,.568,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,106.0,87.0,91.0,0.464,0.101,0.26,0.176,1.16,0.11,2.25,0.95,95.9,85.5,88.7,81.1,0.2,0.303,0.244,0.167,0.267,0.446,0.111,0.183,0.498,0.236,0.319,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/13,4:10 PM.,SF,TB,home,Dome.,72,657277,2B,3,0,1,0,0,0,0,0,0,0,3,.258,.343,.258,.601,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,,,,57.0,106.0,88.0,126.0,104.0,114.0,0.053,0.212,,0.309,0.2,0.16,,-0.13,92.6,87.4,83.8,,0.179,0.231,0.329,,,,,,,0.275,0.411,0.216,95.0,104.0,102.0,,,,0.399,,,1.32,,92.6,,,,0.268,0.338,0.144,,,,52.0,95.0,88.0,0.026,,,4.3,,,91.0,,,0.077,0.077,0.265,0.239,0.331,0.268,,,
2024/04/10,1:08 PM.,LAA,TB,away,Sunny.,80,667755,2B,4,0,0,0,0,0,0,0,0,1,0,.250,.323,.250,.573,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,117.0,92.0,99.0,0.146,0.055,,,-2.05,0.02,,,98.8,,91.5,,0.356,0.622,0.103,0.143,0.214,0.463,0.226,0.376,0.402,,,,95.0,95.0,96.0,120.0,100.0,112.0,0.464,0.081,0.8,2.22,92.7,97.7,0.15,0.3,0.329,0.214,0.26,0.167,98.0,96.0,108.0,,,,,,0.254,,,-0.42,,,86.4,,,,,,,,,
2024/04/09,6:38 PM.,LAA,TB,away,Clear.,77,663776,2B,4,1,1,0,0,0,0,0,1,2,1,.292,.370,.292,.662,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.25,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.132,0.312,0.421,95.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,150.0,98.0,105.0,0.16,0.293,0.09,0.283,-2.18,0.27,2.03,0.73,93.7,82.9,86.8,76.3,0.381,0.524,0.16,0.265,0.434,0.243,0.118,0.118,0.279,0.208,0.292,0.39,63.0,96.0,88.0,,,,0.174,,,-1.81,,93.7,,,,0.413,0.565,0.142,,,,,,,,,,,,,,,,,,,0.235,0.471,0.281,,,
2024/04/08,6:38 PM.,LAA,TB,away,Clear.,70,542881,2B,4,0,1,0,0,0,0,0,0,0,3,.300,.364,.300,.664,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,,,,89.0,99.0,96.0,80.0,141.0,142.0,0.396,0.013,0.001,0.371,-0.73,-0.06,-3.14,1.32,89.4,78.9,81.3,71.6,0.272,0.494,0.183,0.0,0.0,0.357,,,,0.185,0.259,0.396,66.0,95.0,83.0,,,,0.033,,,-3.87,,88.1,,,,0.261,0.696,0.152,,,,99.0,100.0,96.0,0.185,,,-0.41,,,84.3,,,0.264,0.455,0.247,,,,,,
