date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,wFS/C,wSL/C,vFS,vSL,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/07/27,8:19 PM.,STL,WSH,away,Overcast.,76,502043,DH,3,2,3,1,0,0,3,0,0,0,0,.275,.291,.338,.629,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,102.0,103.0,104.0,80.0,88.0,83.0,84.0,101.0,96.0,96.0,95.0,91.0,0.264,0.132,0.211,0.086,0.099,-1.39,0.21,0.22,-2.21,1.2,91.4,88.6,84.9,90.7,78.3,0.267,0.422,0.092,,,,0.19,0.254,0.39,0.268,0.563,0.065,0.299,0.479,0.181,104.0,102.0,105.0,,,,,0.207,,0.92,,80.7,0.325,0.675,0.462,0.2,0.312,0.412,,,,,,,,,,,,,,,,,,
2024/07/21,1:35 PM.,CIN,WSH,home,Partly Cloudy.,88,671096,DH,3,0,1,0,0,0,1,0,0,1,1,.265,.281,.324,.605,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.02,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.16,0.287,0.428,96.0,94.0,97.0,101.0,98.0,99.0,78.0,96.0,89.0,,,,,,,,0.535,,0.116,0.163,-0.26,,,-1.56,0.23,92.8,,84.8,,80.8,,,,,,,0.214,0.429,0.273,0.254,0.451,0.194,,,,125.0,106.0,112.0,,,,,0.186,,0.49,,82.9,0.327,0.653,0.179,0.189,0.307,0.287,,,,,,,,,,,,,,,,,,
2024/07/20,6:45 PM.,CIN,WSH,home,Cloudy.,78,666157,DH,3,1,1,0,0,1,2,0,0,2,1,.264,.280,.323,.603,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,4.76,3.72,115.1,99.0,106.0,96.0,0.742,9.52,2.89,7.88,1.01,1.25,0.247,0.421,0.142,0.285,0.428,96.0,99.0,92.0,90.0,94.0,100.0,119.0,103.0,97.0,111.0,97.0,93.0,,,,0.133,0.43,,0.273,0.164,0.11,,0.99,-0.75,-0.21,94.1,,88.1,94.1,81.7,0.234,0.453,0.183,,,,0.232,0.39,0.259,0.241,0.407,0.23,,,,,,,,,,,,,,,,0.217,0.302,0.429,,,,,,,,,,,,,,,,,,,,,
2024/07/14,1:10 PM.,MIL,WSH,away,Partly Cloudy.,82,642239,DH,1,0,0,0,0,0,0,0,0,0,0,.263,.276,.308,.584,642239,robzastryzny,Zastryzny,Left,Rob Zastryzny,MIL,1.17,1.72,7.2,103.0,92.0,97.0,0.761,5.87,1.17,4.7,0.0,0.64,0.333,0.238,0.333,0.238,0.454,93.0,127.0,100.0,,,,78.0,106.0,96.0,,,,100.0,97.0,92.0,,0.403,0.487,,0.042,4.77,0.66,,,-11.88,91.5,86.7,82.2,,,,,,,,,,,,0.0,0.0,0.29,0.273,0.364,0.294,111.0,117.0,120.0,,,,,0.067,,3.09,,80.9,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/13,3:11 PM.,MIL,WSH,away,Partly Cloudy.,86,572971,DH,3,1,1,0,0,0,1,0,0,0,2,.264,.277,.310,.587,572971,dallaskeuchel,Keuchel,Left,Dallas Keuchel,MIL,5.4,5.11,16.2,94.0,79.0,92.0,0.814,5.94,4.32,12.42,1.62,1.82,0.186,0.424,0.153,0.254,0.331,90.0,93.0,89.0,,,,,,,71.0,97.0,96.0,89.0,88.0,86.0,0.568,,0.146,,0.276,,-4.71,-2.99,,2.23,,84.6,81.1,88.1,,0.422,0.667,0.152,,,,0.059,0.059,0.353,,,,0.375,0.875,0.083,116.0,91.0,97.0,,,,,0.01,,1.97,,78.6,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/09,7:11 PM.,NYM,WSH,away,Cloudy.,83,500779,DH,3,0,0,0,0,0,0,0,0,2,0,.263,.276,.309,.585,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,0.304,0.225,,0.278,0.193,-0.32,,0.82,-0.04,0.5,90.7,,85.7,90.8,77.7,0.249,0.431,0.131,0.195,0.366,0.284,0.203,0.26,0.367,0.227,0.427,0.169,,,,,,,,,,,,,,,,0.265,0.444,0.264,,,,,,,,,,,,,,,,,,,,,
2024/07/08,4:05 PM.,STL,WSH,home,Partly Cloudy.,96,571945,PH,1,0,1,0,0,0,0,0,0,0,0,.267,.281,.314,.595,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,94.0,109.0,106.0,65.0,107.0,98.0,80.0,111.0,99.0,,,,0.231,0.279,,0.116,0.085,0.23,,1.42,-1.97,-4.2,93.2,,85.6,92.4,76.6,0.237,0.382,0.108,,,,0.394,0.742,0.159,0.287,0.446,0.178,,,,116.0,112.0,114.0,,,,,0.283,,-1.19,,85.7,0.267,0.52,0.231,0.273,0.545,0.275,,,,0.301,0.506,0.164,,,,0.005,4.24,69.6,,,,,,
2024/07/04,11:05 AM.,NYM,WSH,home,Partly Cloudy.,87,500779,DH,3,0,0,0,0,0,0,0,0,0,2,.263,.277,.311,.588,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,0.304,0.225,,0.278,0.193,-0.32,,0.82,-0.04,0.5,90.7,,85.7,90.8,77.7,0.249,0.431,0.131,0.195,0.366,0.284,0.203,0.26,0.367,0.227,0.427,0.169,,,,,,,,,,,,,,,,0.265,0.444,0.264,,,,,,,,,,,,,,,,,,,,,
2024/07/02,6:45 PM.,NYM,WSH,home,Clear.,83,640455,DH,3,0,0,0,0,0,1,0,0,0,4,.267,.281,.316,.597,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,,,,88.0,103.0,99.0,95.0,100.0,97.0,84.0,88.0,85.0,0.447,0.113,0.071,,0.118,1.13,0.97,1.36,,-1.19,92.3,88.4,85.3,92.3,,0.201,0.333,0.21,,,,0.25,0.438,0.254,0.167,0.295,0.311,0.222,0.25,0.179,88.0,88.0,93.0,,,,,0.251,,0.37,,79.5,,,,0.193,0.311,0.388,,,,0.174,0.435,0.32,,,,,,,,,,,,
2024/07/01,6:45 PM.,NYM,WSH,home,Partly Cloudy.,80,656849,DH,3,0,1,0,0,0,1,0,0,0,1,.272,.286,.321,.607,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.9,4.59,121.0,98.0,94.0,96.0,0.77,7.51,3.42,8.18,0.6,1.72,0.247,0.362,0.138,0.306,0.412,97.0,90.0,93.0,83.0,102.0,100.0,70.0,103.0,94.0,102.0,98.0,95.0,,,,0.31,0.265,,0.076,0.164,0.39,,1.83,0.11,0.03,93.1,,84.7,91.9,79.1,0.253,0.36,0.16,,,,0.211,0.324,0.271,0.22,0.266,0.287,,,,115.0,99.0,104.0,,,,,0.184,,-1.81,,85.1,0.207,0.345,0.259,,,,,,,0.287,0.447,0.339,,,,,,,,,,,,
2024/06/30,1:40 PM.,TB,WSH,away,Dome.,72,671737,DH,4,0,1,0,0,0,0,0,0,2,3,.271,.285,.320,.605,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,100.0,91.0,93.0,129.0,97.0,102.0,,,,91.0,100.0,98.0,,0.417,0.225,0.089,,-0.04,1.02,,-1.5,,96.4,90.9,,,79.1,,,,,,,,,,0.269,0.5,0.21,0.205,0.357,0.324,,,,123.0,102.0,114.0,0.269,,0.47,,90.9,,0.241,0.483,0.346,,,,0.213,0.32,0.33,,,,,,,,,,,,,,,
2024/06/29,4:10 PM.,TB,WSH,away,Dome.,72,650644,DH,5,1,2,0,1,0,2,0,0,1,3,.271,.286,.322,.608,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,71.0,93.0,83.0,91.0,100.0,101.0,0.24,0.099,0.322,0.156,,-1.7,1.08,0.06,-1.36,,92.0,88.1,,92.6,77.1,0.241,0.421,0.158,,,,,,,0.294,0.49,0.095,0.232,0.394,0.233,152.0,101.0,112.0,57.0,96.0,102.0,0.02,0.163,-4.86,-1.03,85.6,80.5,0.25,0.479,0.275,0.267,0.467,0.272,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,
2024/06/26,1:11 PM.,SD,WSH,away,Partly Cloudy.,75,656302,DH,4,0,1,0,0,0,1,0,0,1,0,.267,.282,.308,.590,656302,dylancease,Cease,Right,Dylan Cease,SDP,3.47,3.31,189.1,100.0,121.0,107.0,0.693,10.65,3.09,6.51,0.86,0.94,0.203,0.433,0.147,0.307,0.389,54.0,72.0,68.0,,,,123.0,95.0,102.0,,,,113.0,89.0,90.0,,0.435,0.006,,0.009,0.22,-5.11,,,-4.13,96.9,91.8,69.7,,,,,,,,,0.25,1.0,0.2,0.235,0.39,0.203,0.25,1.0,0.0,112.0,100.0,105.0,,,,,0.471,,1.98,,87.2,0.28,0.44,0.286,0.2,0.267,0.385,,,,0.159,0.257,0.447,105.0,95.0,102.0,0.079,-0.95,82.3,,,,,,
2024/06/25,6:39 PM.,SD,WSH,away,Partly Cloudy.,72,800049,DH,2,0,1,1,0,0,1,0,0,0,0,.268,.283,.310,.593,800049,adammazur,Mazur,Right,Adam Mazur,SDP,7.49,5.64,33.2,95.0,98.0,96.0,0.839,5.88,5.61,10.69,1.6,0.75,0.23,0.398,0.133,0.345,0.416,79.0,84.0,84.0,112.0,103.0,109.0,78.0,95.0,88.0,90.0,83.0,77.0,,,,0.041,0.392,,0.127,0.103,-3.03,,-4.79,-2.5,-2.61,94.6,,89.9,93.9,80.7,0.429,0.429,0.083,,,,0.429,0.571,0.35,0.333,0.667,0.134,,,,123.0,98.0,108.0,,,,,0.337,,1.16,,86.8,0.364,0.818,0.083,,,,,,,0.216,0.333,0.25,,,,,,,,,,,,
2024/06/24,6:40 PM.,SD,WSH,away,Clear.,77,663362,DH,2,0,0,0,0,0,0,0,0,0,3,.265,.281,.301,.582,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.91,4.11,146.2,104.0,83.0,98.0,0.806,8.16,2.45,8.9,1.29,0.91,0.207,0.402,0.164,0.302,0.441,,,,,,,57.0,108.0,91.0,73.0,108.0,102.0,83.0,98.0,90.0,0.144,0.19,0.086,,,-0.77,1.88,0.64,,,90.6,87.0,,90.0,,0.303,0.404,0.067,,,,,,,0.265,0.513,0.224,0.231,0.385,0.144,115.0,101.0,107.0,,,,,0.198,,0.5,,79.3,,,,0.227,0.454,0.201,,,,,,,,,,,,,77.6,0.382,-1.09,0.246,0.394,0.275
2024/06/05,6:41 PM.,MIA,TB,away,Roof Closed.,72,666129,RF,3,0,0,0,0,0,0,0,0,1,2,.268,.284,.305,.589,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,5.35,4.43,37.0,100.0,88.0,96.0,0.802,8.27,0.97,9.73,1.22,1.71,0.186,0.508,0.178,0.373,0.42,59.0,101.0,97.0,74.0,106.0,101.0,57.0,103.0,94.0,85.0,101.0,93.0,98.0,105.0,95.0,0.333,0.141,0.092,0.044,0.124,0.36,1.99,0.95,-1.66,-6.31,90.7,86.4,83.1,90.0,77.4,0.226,0.34,0.136,,,,0.4,0.75,0.304,0.263,0.316,0.219,0.313,0.438,0.161,121.0,95.0,100.0,,,,,0.265,,-0.3,,82.8,0.4,1.0,0.154,,,,,,,0.211,0.316,0.286,,,,,,,,,,,,
2024/06/04,6:40 PM.,MIA,TB,away,Roof Closed.,72,666200,DH,5,2,1,0,0,0,0,0,0,1,5,.273,.289,.311,.600,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.59,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.12,0.281,0.4,88.0,97.0,95.0,31.0,40.0,52.0,98.0,100.0,95.0,87.0,90.0,88.0,,,,0.083,0.394,,0.002,0.229,-0.64,,-0.77,-3.5,1.58,95.2,,86.3,94.6,81.6,0.381,0.571,0.125,,,,0.207,0.328,0.407,0.28,0.484,0.111,,,,97.0,98.0,108.0,,,,,0.292,,0.14,,83.5,,,,,,,,,,0.2,0.347,0.48,,,,,,,,,,,,
2024/06/02,1:36 PM.,BAL,TB,away,Partly Cloudy.,81,608344,DH,3,0,2,0,0,0,0,0,0,0,2,.276,.292,.314,.606,608344,coleirvin,"Irvin, C",Left,Cole Irvin,- - -,5.11,5.78,111.0,101.0,79.0,94.0,0.849,6.32,2.35,10.7,1.46,0.96,0.251,0.414,0.121,0.34,0.478,65.0,108.0,100.0,102.0,98.0,102.0,62.0,99.0,85.0,75.0,101.0,89.0,86.0,102.0,91.0,0.2,0.264,0.109,0.252,0.134,-1.16,-0.64,-0.49,-0.38,-1.52,91.9,85.9,84.9,91.5,77.3,0.307,0.485,0.088,,,,0.282,0.474,0.243,0.296,0.592,0.163,0.327,0.551,0.181,85.0,121.0,119.0,,,,,0.041,,-3.18,,78.1,0.283,0.424,0.189,,,,,,,0.25,0.438,0.196,,,,,,,,,,,,
2024/06/01,4:06 PM.,BAL,TB,away,Partly Cloudy.,83,680694,PH,1,0,0,0,0,0,0,0,0,0,2,.268,.285,.307,.592,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.75,2.72,39.1,101.0,113.0,105.0,0.745,12.13,3.43,6.18,0.46,1.79,0.297,0.396,0.297,0.209,0.432,,,,124.0,104.0,110.0,99.0,96.0,94.0,83.0,102.0,100.0,,,,0.399,0.131,,0.172,,-1.17,,1.65,-0.48,,94.5,,,95.3,84.1,0.157,0.229,0.196,,,,,,,0.364,0.545,0.273,,,,157.0,100.0,115.0,,,,,0.298,,1.35,,88.2,0.227,0.5,0.283,,,,,,,0.171,0.244,0.337,,,,,,,,,,,,
2024/05/30,1:10 PM.,OAK,TB,home,Dome.,72,663687,DH,3,0,1,0,0,0,0,0,0,1,1,.270,.287,.309,.596,663687,hoganharris,"Harris, H",Left,Hogan Harris,OAK,2.86,5.04,72.1,98.0,85.0,95.0,0.813,7.59,4.11,8.09,0.87,0.93,0.226,0.38,0.125,0.317,0.468,118.0,95.0,101.0,59.0,102.0,106.0,81.0,97.0,89.0,,,,,,,,0.563,,0.157,0.165,0.33,,,-0.41,1.22,92.9,,81.1,,72.4,,,,,,,0.15,0.175,0.247,0.261,0.408,0.169,,,,87.0,100.0,102.0,,,,,0.115,,-3.23,,78.8,0.244,0.311,0.338,,,,,,,0.282,0.641,0.211,,,,,,,,,,,,
2024/05/29,6:50 PM.,OAK,TB,home,Dome.,72,683155,DH,2,0,0,0,0,0,0,0,0,0,1,.268,.286,.309,.595,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,,,,80.0,106.0,99.0,61.0,93.0,83.0,111.0,89.0,91.0,0.034,0.517,0.007,,0.111,0.08,-13.81,-1.55,,-2.46,92.4,86.4,84.8,90.8,,0.263,0.579,0.147,,,,0.357,0.738,0.204,0.257,0.469,0.175,,,,114.0,113.0,117.0,,,,,0.332,,-0.2,,79.6,,,,0.217,0.367,0.216,,,,0.261,0.435,0.223,,,,,,,,,,,,
2024/05/26,1:40 PM.,KC,TB,home,Dome.,72,608379,DH,4,0,2,0,0,0,0,0,0,1,0,.272,.289,.313,.602,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,72.0,89.0,92.0,83.0,103.0,99.0,78.0,103.0,89.0,78.0,100.0,92.0,0.153,0.238,0.114,0.081,0.322,0.39,-0.94,0.29,-1.64,2.26,93.6,88.8,81.2,93.6,75.2,0.252,0.301,0.099,,,,0.169,0.312,0.341,0.279,0.449,0.169,0.319,0.458,0.148,97.0,89.0,90.0,,,,,0.092,,-2.39,,84.1,0.357,0.643,0.174,,,,,,,0.371,0.6,0.373,,,,,,,,,,,,
