date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2024/05/30,7:22 PM.,DET,BOS,home,Partly Cloudy.,62,656427,2B,2,0,0,0,0,0,0,0,0,0,0,.145,.207,.158,.365,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,95.0,102.0,102.0,0.441,0.29,,0.027,0.5,0.02,,-0.55,93.3,85.7,84.7,,0.245,0.401,0.238,0.111,0.333,0.111,0.222,0.455,0.363,0.164,0.219,0.436,75.0,85.0,72.0,,,,0.023,,,-5.05,,90.6,,,,,,,0.6,1.2,0.4,,,,,0.218,,2.19,,77.4,,,,101.0,103.0,107.0
2024/05/29,6:36 PM.,BAL,BOS,away,Overcast.,67,669203,2B,3,0,1,0,0,0,0,0,1,0,1,.149,.213,.162,.375,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,109.0,101.0,106.0,,,,133.0,105.0,120.0,,0.146,0.215,0.11,,0.7,0.44,0.2,,89.2,87.2,80.3,,,,0.194,0.339,0.377,0.196,0.268,0.463,0.2,0.326,0.378,104.0,95.0,89.0,,,,0.078,,,-0.5,,97.0,,,,0.125,0.5,0.457,0.235,0.412,0.157,125.0,105.0,108.0,0.45,,1.37,,95.3,,0.251,0.362,0.19,,,
2024/05/28,6:37 PM.,BAL,BOS,away,Partly Cloudy.,77,680570,2B,4,0,0,0,0,0,0,0,0,1,2,.141,.197,.155,.352,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,140.0,101.0,108.0,114.0,103.0,107.0,113.0,102.0,106.0,118.0,101.0,108.0,0.465,0.158,0.155,0.21,-0.38,-0.96,0.29,1.63,96.1,83.1,86.5,81.3,0.291,0.413,0.269,0.161,0.306,0.348,0.25,0.563,0.361,0.26,0.38,0.241,133.0,102.0,111.0,,,,0.012,,,5.3,,96.1,,,,,,,0.167,0.333,0.294,,,,,,,,,,,,,,,
2024/05/27,1:05 PM.,BAL,BOS,away,Overcast.,82,608344,2B,2,0,1,0,0,0,0,0,2,1,0,.149,.208,.164,.372,608344,coleirvin,"Irvin, C",Left,Cole Irvin,- - -,5.11,5.78,111.0,101.0,79.0,94.0,0.849,6.32,2.35,10.7,1.46,0.96,0.251,0.414,0.121,0.34,0.478,65.0,108.0,100.0,102.0,98.0,102.0,62.0,99.0,85.0,85.0,121.0,119.0,0.264,0.041,0.252,0.134,-1.16,-3.18,-0.38,-1.52,91.9,84.9,78.1,77.3,0.296,0.592,0.163,0.282,0.474,0.243,0.25,0.438,0.196,0.283,0.424,0.189,75.0,101.0,89.0,,,,0.2,,,-0.49,,91.5,,,,,,,0.307,0.485,0.088,86.0,102.0,91.0,0.109,,-0.64,,85.9,,0.327,0.551,0.181,,,
2024/05/26,1:37 PM.,MIL,BOS,home,Sunny.,81,668964,2B,3,0,1,0,0,0,0,0,0,1,0,.138,.176,.154,.330,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,92.0,106.0,103.0,0.401,0.21,0.041,0.114,0.58,1.43,-3.19,1.18,92.9,81.1,85.5,77.8,0.239,0.436,0.194,0.083,0.083,0.444,0.198,0.255,0.248,0.421,0.579,0.194,71.0,92.0,74.0,,,,0.005,,,11.28,,91.5,,,,,,,0.0,0.0,0.0,96.0,100.0,91.0,0.23,,-0.75,,89.2,,0.336,0.518,0.123,,,
2024/05/24,7:13 PM.,MIL,BOS,home,Clear.,82,657649,2B,3,0,0,0,0,0,0,0,1,0,0,.129,.169,.145,.314,657649,jaredkoenig,Koenig,Left,Jared Koenig,MIL,2.47,3.49,62.0,103.0,90.0,100.0,0.789,9.15,3.34,7.84,0.58,1.27,0.23,0.408,0.218,0.282,0.484,70.0,98.0,95.0,96.0,112.0,108.0,83.0,92.0,94.0,,,,0.006,,0.131,0.039,1.53,,0.27,1.61,96.8,85.5,,81.1,,,,0.143,0.143,0.524,,,,0.2,0.2,0.442,92.0,101.0,98.0,,,,0.572,,,1.13,,95.0,,,,,,,0.231,0.299,0.175,88.0,102.0,98.0,0.252,,-0.39,,90.3,,0.254,0.424,0.186,,,
2024/05/22,6:50 PM.,TB,BOS,away,Dome.,72,686752,2B,3,1,0,0,0,0,0,0,0,1,2,.136,.164,.153,.317,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,140.0,75.0,84.0,115.0,98.0,102.0,119.0,95.0,106.0,0.506,0.173,0.027,0.235,1.07,0.51,-1.47,-0.47,94.9,85.8,89.0,80.6,0.181,0.33,0.316,0.216,0.353,0.286,0.267,0.407,0.317,0.167,0.167,0.5,,,,,,,,,,,,,,,,,,,,,,100.0,103.0,100.0,0.06,,-0.88,,91.6,,0.276,0.586,0.141,,,
2024/05/21,6:50 PM.,TB,BOS,away,Dome.,72,641793,2B,4,0,1,0,0,0,1,0,0,2,1,.143,.158,.161,.319,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,,,,54.0,110.0,91.0,102.0,99.0,98.0,0.221,0.399,,,0.58,0.45,,,92.4,,85.7,,0.245,0.358,0.191,,,,0.257,0.427,0.227,,,,67.0,103.0,91.0,104.0,106.0,112.0,0.148,0.232,-0.84,-0.6,83.0,91.6,0.258,0.423,0.344,0.406,0.594,0.115,0.265,0.439,0.141,,,,,,,,,,,,,,,
2024/05/19,12:07 PM.,STL,BOS,away,Sunny.,85,669461,2B,5,0,0,0,0,0,0,0,0,0,5,.135,.151,.154,.305,669461,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.4,4.2,86.0,101.0,98.0,100.0,0.777,7.95,2.93,8.48,1.15,1.05,0.238,0.361,0.147,0.294,0.469,49.0,89.0,90.0,134.0,100.0,107.0,73.0,99.0,91.0,137.0,101.0,108.0,0.283,0.276,0.065,0.044,-0.28,1.9,-0.33,2.53,94.7,87.8,87.4,78.2,0.262,0.615,0.195,0.0,0.0,0.2,0.185,0.25,0.384,0.174,0.174,0.273,79.0,108.0,103.0,,,,0.204,,,-0.76,,95.4,,,,,,,0.284,0.481,0.142,98.0,105.0,103.0,0.128,,-1.81,,91.4,,0.432,0.622,0.228,,,
2024/05/18,6:17 PM.,STL,BOS,away,Clear.,82,571945,2B,3,0,0,0,0,0,0,0,0,1,0,.149,.167,.170,.337,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,94.0,109.0,106.0,65.0,107.0,98.0,116.0,112.0,114.0,0.279,0.283,0.116,0.085,0.23,-1.19,-1.97,-4.2,93.2,85.6,85.7,76.6,0.287,0.446,0.178,0.394,0.742,0.159,0.301,0.506,0.164,0.267,0.52,0.231,80.0,111.0,99.0,,,,0.231,,,1.42,,92.4,,,,0.273,0.545,0.275,0.237,0.382,0.108,,,,,0.005,,4.24,,69.6,,,,,,
2024/05/17,7:15 PM.,STL,BOS,away,Partly Cloudy.,73,502043,2B,3,1,1,0,0,0,0,0,1,2,2,.159,.178,.182,.360,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,102.0,103.0,104.0,80.0,88.0,83.0,104.0,102.0,105.0,0.132,0.207,0.086,0.099,-1.39,0.92,-2.21,1.2,91.4,84.9,80.7,78.3,0.268,0.563,0.065,0.19,0.254,0.39,,,,0.325,0.675,0.462,84.0,101.0,96.0,,,,0.264,,,0.22,,90.7,,,,0.2,0.312,0.412,0.267,0.422,0.092,96.0,95.0,91.0,0.211,,0.21,,88.6,,0.299,0.479,0.181,,,
2024/05/16,7:10 PM.,TB,BOS,home,Partly Cloudy.,60,641793,2B,4,0,1,0,0,0,0,0,0,1,2,.146,.146,.171,.317,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,,,,54.0,110.0,91.0,102.0,99.0,98.0,0.221,0.399,,,0.58,0.45,,,92.4,,85.7,,0.245,0.358,0.191,,,,0.257,0.427,0.227,,,,67.0,103.0,91.0,104.0,106.0,112.0,0.148,0.232,-0.84,-0.6,83.0,91.6,0.258,0.423,0.344,0.406,0.594,0.115,0.265,0.439,0.141,,,,,,,,,,,,,,,
2024/05/14,7:11 PM.,TB,BOS,home,Clear.,69,650644,2B,4,0,0,0,0,0,0,0,0,1,4,.135,.135,.162,.297,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,152.0,101.0,112.0,0.099,0.163,0.156,,-1.7,-1.03,-1.36,,92.0,,80.5,77.1,0.294,0.49,0.095,,,,0.25,0.375,0.438,0.25,0.479,0.275,71.0,93.0,83.0,57.0,96.0,102.0,0.24,0.02,-4.86,0.06,85.6,92.6,0.375,0.625,0.261,0.267,0.467,0.272,0.241,0.421,0.158,91.0,100.0,101.0,0.322,,1.08,,88.1,,0.232,0.394,0.233,,,
2024/05/13,7:12 PM.,TB,BOS,home,Partly Cloudy.,64,621107,2B,4,0,1,0,0,0,0,0,0,1,1,.152,.152,.182,.334,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,108.0,112.0,108.0,61.0,105.0,94.0,122.0,107.0,113.0,0.09,0.097,0.188,0.061,-0.64,0.46,-1.27,0.21,92.4,85.6,79.7,78.8,0.236,0.418,0.248,0.188,0.354,0.105,,,,0.291,0.472,0.333,91.0,109.0,105.0,,,,0.282,,,0.0,,91.7,,,,0.236,0.473,0.203,0.293,0.404,0.133,85.0,105.0,98.0,0.282,,1.54,,88.2,,0.214,0.345,0.223,,,
2024/05/12,1:37 PM.,WSH,BOS,home,Partly Cloudy.,61,669022,2B,4,1,1,0,0,0,0,0,0,1,5,.138,.138,.172,.310,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,3.9,4.2,166.1,98.0,110.0,101.0,0.752,9.79,3.52,9.25,0.81,1.11,0.26,0.376,0.156,0.3,0.433,92.0,91.0,94.0,104.0,104.0,102.0,124.0,98.0,103.0,89.0,92.0,92.0,0.553,0.158,0.196,0.093,-0.02,-0.77,0.62,-1.35,96.0,85.9,90.6,82.8,0.281,0.418,0.226,0.28,0.48,0.512,0.255,0.422,0.323,0.218,0.296,0.34,,,,,,,,,,,,,,,,0.333,0.5,0.417,,,,,,,,,,,,,,,,,,
2024/05/11,4:10 PM.,WSH,BOS,home,Sunny.,54,663623,DH,4,0,0,0,0,0,0,0,0,1,3,.120,.120,.160,.280,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.41,4.31,187.2,103.0,94.0,101.0,0.803,7.48,2.49,8.3,1.39,1.2,0.241,0.424,0.181,0.334,0.462,99.0,91.0,93.0,110.0,104.0,106.0,82.0,104.0,97.0,110.0,115.0,117.0,0.379,0.003,0.313,0.035,0.44,-14.34,0.24,1.34,93.9,88.4,85.9,81.1,0.204,0.381,0.235,0.125,0.125,0.349,,,,0.226,0.42,0.251,97.0,102.0,102.0,,,,0.205,,,-0.64,,93.3,,,,,,,0.325,0.497,0.149,78.0,102.0,93.0,0.065,,0.06,,89.9,,0.283,0.522,0.204,,,
2024/05/10,7:12 PM.,WSH,BOS,home,Clear.,51,571578,2B,4,0,1,0,0,0,0,0,0,1,1,.143,.143,.190,.333,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,73.0,100.0,97.0,55.0,97.0,84.0,88.0,97.0,97.0,0.076,0.343,0.016,0.034,-1.46,0.41,-2.3,-5.53,91.3,81.0,80.0,70.0,0.311,0.578,0.133,0.409,0.773,0.279,0.216,0.335,0.354,0.5,1.25,0.526,71.0,103.0,92.0,,,,0.338,,,-1.9,,91.5,,,,,,,0.339,0.567,0.091,76.0,107.0,98.0,0.192,0.001,-0.37,4.71,85.7,63.2,0.301,0.434,0.223,,,
2024/05/08,7:22 PM.,ATL,BOS,away,Partly Cloudy.,84,519242,2B,4,0,0,0,0,0,0,0,0,2,3,.118,.118,.176,.294,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,64.0,107.0,98.0,,,,96.0,105.0,101.0,105.0,100.0,104.0,0.378,0.403,,0.147,-0.12,2.16,,2.97,94.8,87.1,78.6,,0.281,0.443,0.241,0.159,0.195,0.236,0.171,0.236,0.427,,,,113.0,100.0,96.0,,,,0.072,,,-1.99,,94.2,,,,,,,0.327,0.551,0.133,,,,,,,,,,,,,,,
2024/05/07,7:21 PM.,ATL,BOS,away,Partly Cloudy.,81,625643,2B,5,1,1,0,0,0,0,0,0,0,4,.154,.154,.231,.385,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,75.0,110.0,105.0,84.0,99.0,104.0,91.0,103.0,99.0,113.0,100.0,105.0,0.552,0.294,0.116,0.038,1.19,1.45,1.61,-3.58,95.5,86.1,85.0,77.0,0.266,0.369,0.165,0.263,0.737,0.349,0.168,0.257,0.443,0.151,0.264,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/05,1:11 PM.,MIN,BOS,away,Partly Cloudy.,68,657746,2B,5,1,1,1,0,0,2,0,0,0,3,.125,.125,.250,.375,657746,joeryan,Ryan,Right,Joe Ryan,MIN,3.6,2.87,135.0,107.0,99.0,104.0,0.752,9.8,1.53,7.33,1.27,0.79,0.242,0.427,0.198,0.281,0.481,,,,,,,94.0,110.0,105.0,108.0,103.0,112.0,0.485,0.234,,,1.38,-0.09,,,94.0,,83.1,,0.194,0.379,0.275,,,,0.343,0.6,0.216,,,,110.0,108.0,105.0,101.0,103.0,94.0,0.06,0.221,0.2,-0.77,88.6,92.9,0.202,0.387,0.258,0.207,0.37,0.337,0.345,0.483,0.094,,,,,,,,,,,,,,,
2024/05/03,7:11 PM.,MIN,BOS,away,Cloudy.,69,663978,2B,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,663978,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.84,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.63,-0.21,-1.69,-1.51,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
