date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,FO%,wFO/C,vFO
2024/09/17,6:41 PM.,NYY,SEA,home,Cloudy.,62,661563,1B,2,0,1,1,0,0,0,0,1,1,0,.255,.351,.376,.727,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,,,,108.0,94.0,105.0,,,,,0.488,,0.259,,0.253,0.06,,,1.37,,0.37,96.6,,91.6,,87.5,,,,,,,,,,,0.205,0.395,0.285,,,,0.179,0.282,0.269,,,,,,,,,,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,
2024/09/15,1:12 PM.,TEX,SEA,home,Cloudy.,58,571760,1B,4,1,1,0,0,0,1,0,0,1,0,.254,.349,.373,.722,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,126.0,105.0,103.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,20.0,51.0,51.0,0.014,0.501,0.001,0.278,0.036,0.17,0.15,-19.13,-4.52,-0.26,-3.31,0.46,91.5,86.6,83.7,92.2,82.5,75.6,0.455,0.455,0.125,,,,0.5,1.1,0.188,0.23,0.412,0.213,,,,0.239,0.384,0.243,,,,,,,,,,0.26,0.385,0.365,,,,,,,,,,,,,,,,,,
2024/09/14,6:40 PM.,TEX,SEA,home,Roof Closed.,57,453286,1B,4,1,2,1,0,0,0,0,0,1,1,.254,.350,.374,.724,453286,maxscherzer,Scherzer,Right,Max Scherzer,TEX,3.95,3.86,43.1,106.0,84.0,103.0,0.732,8.31,2.08,8.31,1.45,0.7,0.278,0.437,0.175,0.286,0.422,59.0,110.0,106.0,84.0,101.0,103.0,78.0,105.0,100.0,,,,100.0,106.0,105.0,121.0,119.0,105.0,,0.439,0.061,0.221,0.139,0.139,0.05,2.89,,1.2,-2.13,-1.96,92.5,86.6,82.8,,85.0,74.7,,,,0.222,0.278,0.143,0.333,0.611,0.4,0.262,0.492,0.222,,,,0.192,0.462,0.255,,,,,,,,,,0.214,0.333,0.438,,,,,,,,,,,,,,,,,,
2024/09/13,7:11 PM.,TEX,SEA,home,Roof Closed.,61,594798,DH,4,0,1,0,0,0,0,0,0,1,4,.251,.349,.371,.720,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.69,2.51,10.2,110.0,143.0,122.0,0.711,11.81,0.84,9.28,0.84,0.83,0.25,0.321,0.321,0.393,0.459,111.0,109.0,106.0,125.0,117.0,108.0,138.0,116.0,127.0,,,,154.0,105.0,119.0,,,,,0.459,,0.453,0.029,0.058,-0.57,,,0.51,0.17,8.34,97.3,,90.5,,90.0,81.1,,,,,,,,,,0.278,0.556,0.256,,,,0.0,0.0,0.667,,,,,,,,,,0.3,0.35,0.342,,,,,,,,,,,,,,,,,,
2024/09/12,6:42 PM.,TEX,SEA,home,Partly Cloudy.,69,677958,DH,4,1,1,0,0,1,1,0,0,1,1,.251,.350,.372,.722,677958,kumarrocker,Rocker,Right,Kumar Rocker,TEX,3.86,3.17,11.2,100.0,90.0,102.0,0.726,10.8,4.63,9.26,0.77,1.7,0.176,0.382,0.088,0.294,0.422,135.0,79.0,74.0,48.0,58.0,92.0,72.0,105.0,95.0,105.0,100.0,103.0,104.0,98.0,109.0,,,,0.17,0.422,,0.385,0.009,0.014,-1.27,,0.81,0.1,0.09,-0.85,96.0,,90.4,95.1,84.1,74.9,0.2,0.2,0.2,,,,,,,0.35,0.5,0.146,,,,,,,,,,,,,,,,0.2,0.2,0.5,,,,,,,,,,,,,,,,,,
2024/09/11,6:42 PM.,SD,SEA,home,Partly Cloudy.,62,650633,DH,3,1,0,0,0,0,0,0,1,1,3,.251,.351,.366,.717,650633,michaelking,"King, M",Right,Michael King,SDP,2.95,3.59,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,,,,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,,,,0.279,0.241,,0.234,,0.246,-0.15,,0.68,-0.19,,1.61,93.7,,86.7,92.9,82.9,,0.2,0.376,0.189,,,,,,,0.265,0.402,0.261,0.206,0.304,0.345,0.207,0.286,0.362,,,,,,,,,,0.281,0.5,0.284,,,,,,,,,,,,,,,,,,
2024/09/10,6:41 PM.,SD,SEA,home,Cloudy.,67,506433,DH,2,1,1,0,0,0,0,0,2,0,0,.253,.352,.369,.721,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,3.31,3.62,81.2,102.0,101.0,102.0,0.755,8.6,2.42,7.16,1.32,0.89,0.171,0.504,0.154,0.325,0.467,,,,85.0,94.0,102.0,97.0,104.0,102.0,88.0,104.0,98.0,118.0,100.0,106.0,80.0,103.0,97.0,0.168,0.19,0.044,0.371,0.086,,-0.19,2.98,-0.28,0.6,0.49,,94.0,90.6,,93.6,84.4,73.8,0.255,0.473,0.176,0.0,0.0,0.346,0.162,0.243,0.364,0.21,0.403,0.151,0.214,0.333,0.261,,,,110.0,99.0,99.0,0.09,0.68,87.9,0.167,0.333,0.328,0.269,0.478,0.286,89.0,114.0,112.0,0.051,2.13,78.7,,,,,,,,,,,,
2024/09/08,1:16 PM.,STL,SEA,away,Sunny.,72,571945,1B,3,2,2,1,0,0,0,0,1,0,1,.252,.348,.368,.716,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,94.0,109.0,106.0,65.0,107.0,98.0,80.0,111.0,99.0,116.0,112.0,114.0,,,,0.231,0.279,,0.283,0.116,0.085,0.23,,1.42,-1.19,-1.97,-4.2,93.2,,85.6,92.4,85.7,76.6,0.237,0.382,0.108,,,,0.267,0.52,0.231,0.287,0.446,0.178,0.273,0.545,0.275,0.394,0.742,0.159,,,,,,,,,,0.301,0.506,0.164,,,,0.005,4.24,69.6,,,,,,,,,,,,
2024/09/07,6:17 PM.,STL,SEA,away,Clear.,73,502043,DH,3,0,0,0,0,0,0,0,1,1,3,.249,.345,.363,.708,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,102.0,103.0,104.0,80.0,88.0,83.0,84.0,101.0,96.0,104.0,102.0,105.0,96.0,95.0,91.0,0.264,0.132,0.211,0.207,0.086,0.099,-1.39,0.21,0.22,0.92,-2.21,1.2,91.4,88.6,84.9,90.7,80.7,78.3,0.267,0.422,0.092,0.299,0.479,0.181,0.325,0.675,0.462,0.268,0.563,0.065,0.2,0.312,0.412,0.19,0.254,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/06,7:15 PM.,STL,SEA,away,Partly Cloudy.,76,607200,DH,5,0,2,1,0,0,0,0,0,0,1,.251,.346,.366,.712,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,,,,17.0,112.0,76.0,76.0,105.0,93.0,126.0,101.0,106.0,78.0,104.0,97.0,0.308,0.003,0.323,0.202,,0.164,-6.18,0.43,0.59,1.28,,-0.54,92.9,89.9,87.7,93.0,83.5,,0.25,0.358,0.202,0.262,0.47,0.232,,,,0.5,0.5,0.0,0.165,0.309,0.251,0.228,0.351,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/05,12:37 PM.,OAK,SEA,away,Sunny.,76,683155,DH,4,0,0,0,0,0,0,0,1,0,2,.249,.345,.363,.708,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,,,,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,111.0,89.0,91.0,0.034,0.517,0.007,0.332,,0.111,0.08,-13.81,-1.55,-0.2,,-2.46,92.4,86.4,84.8,90.8,79.6,,0.263,0.579,0.147,,,,,,,0.257,0.469,0.175,0.217,0.367,0.216,0.357,0.738,0.204,,,,,,,,,,0.261,0.435,0.223,,,,,,,,,,,,,,,,,,
2024/09/04,6:40 PM.,OAK,SEA,away,Clear.,72,676664,1B,4,2,1,0,0,0,0,0,1,0,1,.251,.347,.367,.714,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,,,,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,,,,0.106,0.363,,0.339,,0.192,-0.8,,1.37,-0.1,,-0.21,91.9,,84.0,90.0,78.9,,0.276,0.395,0.104,,,,,,,0.23,0.476,0.256,0.239,0.381,0.213,0.297,0.428,0.188,,,,,,,,,,0.23,0.525,0.259,,,,,,,,,,,,,,,,,,
2024/09/03,6:40 PM.,OAK,SEA,away,Clear.,80,669372,1B,1,0,0,0,0,0,0,0,0,1,1,.251,.346,.368,.714,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,,,,72.0,76.0,78.0,100.0,102.0,99.0,107.0,102.0,103.0,,,,0.511,0.035,,0.309,,0.146,1.23,,-0.98,2.3,,-0.36,92.2,,87.0,92.9,85.3,,0.319,0.472,0.205,,,,,,,0.0,0.0,0.333,,,,0.389,0.556,0.375,,,,,,,,,,0.158,0.237,0.355,,,,,,,,,,,,,,,,,,
2024/09/02,4:07 PM.,OAK,SEA,away,Sunny.,73,674370,1B,3,0,1,0,0,0,1,0,1,0,0,.252,.347,.369,.716,674370,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.41,2.72,63.1,97.0,103.0,97.0,0.761,8.95,3.69,6.11,0.43,0.61,0.245,0.405,0.252,0.258,0.425,78.0,103.0,102.0,,,,102.0,95.0,92.0,102.0,89.0,87.0,131.0,103.0,111.0,93.0,99.0,96.0,0.099,0.394,0.143,0.211,,0.152,0.18,2.25,-0.7,1.83,,1.82,94.8,86.9,88.9,94.9,85.8,,0.304,0.478,0.146,0.152,0.212,0.197,,,,0.203,0.297,0.287,,,,0.121,0.152,0.343,,,,,,,,,,0.197,0.311,0.27,,,,,,,,,,,,,,,,,,
2024/08/31,6:38 PM.,LAA,SEA,away,Clear.,77,542881,1B,5,2,3,0,0,2,2,0,0,1,1,.251,.345,.369,.714,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,,,,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,99.0,100.0,96.0,0.033,0.396,0.185,0.013,0.001,0.371,-0.73,-0.41,-3.87,-0.06,-3.14,1.32,89.4,84.3,78.9,88.1,81.3,71.6,0.261,0.696,0.152,0.264,0.455,0.247,,,,0.272,0.494,0.183,,,,0.185,0.259,0.396,,,,,,,,,,0.0,0.0,0.357,,,,,,,,,,,,,,,,,,
2024/08/30,6:39 PM.,LAA,SEA,away,Clear.,73,691951,1B,3,1,1,0,0,0,1,0,0,1,1,.247,.342,.350,.692,691951,samuelaldegheri,Aldegheri,Left,Sam Aldegheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313,0.531,0.194,,,,0.222,0.222,0.214,,,,,,,,,,0.273,0.455,0.385,,,,,,,,,,,,,,,,,,
2024/08/27,6:40 PM.,TB,SEA,home,Partly Cloudy.,65,605488,1B,3,0,0,0,0,0,0,0,1,1,0,.246,.342,.350,.692,605488,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,3.27,3.7,33.0,99.0,87.0,96.0,0.733,10.09,3.0,9.27,1.36,0.9,0.226,0.441,0.151,0.344,0.351,107.0,102.0,100.0,,,,77.0,98.0,93.0,47.0,55.0,53.0,92.0,106.0,107.0,18.0,84.0,80.0,0.002,0.423,0.023,0.235,,0.317,-0.7,-1.54,-3.5,2.84,,-1.59,89.8,85.3,79.6,89.8,82.3,,,,,,,,,,,0.216,0.49,0.17,0.0,0.0,0.571,0.333,0.439,0.442,,,,,,,,,,0.222,0.222,0.236,,,,,,,,,,,,,,,,,,
2024/08/26,6:43 PM.,TB,SEA,home,Partly Cloudy.,71,686752,DH,4,0,0,0,0,0,0,0,0,0,1,.248,.343,.353,.696,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,140.0,75.0,84.0,115.0,98.0,102.0,,,,119.0,95.0,106.0,100.0,103.0,100.0,,0.506,0.06,0.173,0.027,0.235,1.07,-0.88,,0.51,-1.47,-0.47,94.9,91.6,85.8,,89.0,80.6,,,,0.276,0.586,0.141,0.167,0.167,0.5,0.181,0.33,0.316,,,,0.216,0.353,0.286,,,,,,,,,,0.267,0.407,0.317,,,,,,,,,,,,,,,,,,
2024/08/25,1:11 PM.,SF,SEA,home,Partly Cloudy.,63,592662,1B,4,1,2,0,0,0,0,0,0,0,3,.251,.346,.357,.703,592662,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.72,30.2,95.0,102.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,,,,,,,96.0,98.0,96.0,,,,99.0,91.0,91.0,,,,,0.528,,0.322,,,0.46,,,0.18,,,94.1,,,,88.4,,,,,,,,0.316,0.684,0.489,0.167,0.367,0.264,,,,,,,,,,,,,,,,0.148,0.222,0.458,133.0,96.0,100.0,0.15,-2.65,83.5,,,,,,,,,,,,
2024/08/24,1:12 PM.,SF,SEA,home,Roof Closed.,59,605483,1B,4,0,1,0,0,0,0,0,1,2,4,.249,.345,.356,.701,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,106.0,87.0,91.0,,,,,0.464,,0.101,0.26,0.176,1.16,,,0.11,2.25,0.95,95.9,,85.5,,88.7,81.1,,,,,,,0.111,0.183,0.498,0.2,0.303,0.244,,,,0.236,0.319,0.476,,,,,,,,,,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,
2024/08/23,7:10 PM.,SF,SEA,home,Roof Closed.,57,806185,1B,2,1,1,0,0,0,1,0,1,1,0,.248,.344,.357,.701,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,111.0,102.0,104.0,90.0,89.0,85.0,,,,119.0,90.0,100.0,,,,,0.446,,0.184,0.187,0.184,-0.02,,,-0.26,0.82,-0.87,95.8,,88.1,,86.4,80.5,,,,,,,0.145,0.218,0.327,0.216,0.44,0.182,,,,0.269,0.365,0.349,,,,,,,,,,0.244,0.512,0.487,,,,,,,,,,,,,,,,,,
2024/08/21,7:11 PM.,LAD,SEA,away,Clear.,79,656427,1B,4,0,1,0,0,0,0,0,0,0,4,.247,.342,.357,.699,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,,,,0.023,0.441,,0.29,,0.027,0.5,,-5.05,0.02,,-0.55,93.3,,85.7,90.6,84.7,,0.6,1.2,0.4,,,,0.164,0.219,0.436,0.245,0.401,0.238,,,,0.111,0.333,0.111,,,,,,,,,,0.222,0.455,0.363,101.0,103.0,107.0,0.218,2.19,77.4,,,,,,,,,,,,
