date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff
2024/09/15,1:36 PM.,WSH,MIA,away,Sunny.,79,669022,SS,3,0,0,0,0,0,0,1,1,2,1,.324,.395,.398,.793,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,3.9,4.2,166.1,98.0,110.0,101.0,0.752,9.79,3.52,9.25,0.81,1.11,0.26,0.376,0.156,0.3,0.433,92.0,91.0,94.0,124.0,98.0,103.0,89.0,92.0,92.0,,,,0.553,,0.158,0.093,-0.02,,-0.77,-1.35,96.0,,85.9,90.6,0.281,0.418,0.226,0.28,0.48,0.512,0.333,0.5,0.417,,,,104.0,104.0,102.0,,,,,0.196,,0.62,,82.8,,,,0.218,0.296,0.34,0.255,0.422,0.323,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/14,4:05 PM.,WSH,MIA,away,Sunny.,81,571578,SS,4,0,0,0,0,0,0,0,0,1,1,.329,.398,.404,.802,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,55.0,97.0,84.0,88.0,97.0,97.0,76.0,107.0,98.0,0.076,0.192,0.343,0.034,-1.46,-0.37,0.41,-5.53,91.3,85.7,81.0,80.0,0.311,0.578,0.133,0.409,0.773,0.279,,,,0.301,0.434,0.223,73.0,100.0,97.0,71.0,103.0,92.0,0.338,0.016,-1.9,-2.3,91.5,70.0,0.339,0.567,0.091,0.5,1.25,0.526,0.216,0.335,0.354,,,,,,,,0.001,,4.71,,63.2,,,,,,,,,,,,
2024/09/13,6:45 PM.,WSH,MIA,away,Partly Cloudy.,79,687792,SS,4,0,2,0,0,0,0,0,0,1,1,.335,.404,.411,.815,687792,djherz,Herz,Left,DJ Herz,WSN,4.16,3.26,88.2,97.0,99.0,97.0,0.734,10.76,3.65,7.71,1.12,0.82,0.254,0.436,0.14,0.326,0.429,113.0,98.0,99.0,93.0,98.0,96.0,105.0,95.0,100.0,,,,0.542,,0.179,0.245,0.86,,-0.96,-0.19,93.5,,83.5,86.1,0.222,0.317,0.305,0.224,0.388,0.26,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.533,0.229,0.429,0.275,102.0,82.0,88.0,,,,,0.033,,1.64,,81.2,,,,,,,,,,,,
2024/09/12,6:46 PM.,WSH,MIA,away,Clear.,79,680730,SS,2,1,2,1,0,0,0,1,0,0,0,.332,.403,.410,.813,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,78.0,101.0,96.0,106.0,107.0,110.0,,,,0.486,,0.098,,0.07,,-0.73,,92.5,,,84.5,0.276,0.425,0.12,,,,,,,,,,97.0,96.0,96.0,,,,,0.225,,0.47,,80.5,,,,0.252,0.36,0.263,0.238,0.429,0.364,,,,89.0,94.0,94.0,0.191,,-0.6,,85.6,,0.233,0.4,0.372,,,,,,,,,
2024/09/11,12:38 PM.,PIT,MIA,away,Sunny.,80,663559,SS,2,0,0,0,0,0,0,0,0,0,4,.325,.397,.399,.796,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,85.0,100.0,97.0,91.0,96.0,96.0,,,,0.484,,0.216,,0.38,,0.27,,91.8,,,86.1,0.255,0.41,0.166,,,,,,,,,,100.0,99.0,98.0,99.0,101.0,99.0,0.142,0.152,1.23,-1.24,92.0,77.7,0.26,0.448,0.157,0.305,0.61,0.207,0.245,0.304,0.287,,,,43.0,95.0,70.0,0.006,,-7.04,,86.9,,0.333,1.333,0.125,,,,,,,,,
2024/09/09,6:42 PM.,PIT,MIA,away,Clear.,75,694973,SS,4,0,2,0,0,0,0,0,0,1,0,.328,.401,.403,.804,694973,paulskenes,Skenes,Right,Paul Skenes,PIT,1.96,2.53,133.0,103.0,102.0,103.0,0.736,11.5,2.17,6.36,0.68,1.66,0.216,0.464,0.193,0.235,0.427,82.0,108.0,107.0,98.0,107.0,103.0,131.0,101.0,113.0,,,,0.392,,0.162,0.054,0.64,,0.8,2.34,98.8,,87.3,85.4,0.23,0.351,0.242,0.088,0.118,0.548,0.104,0.188,0.226,,,,105.0,100.0,104.0,80.0,95.0,86.0,0.284,0.108,3.52,-0.18,94.0,83.0,0.184,0.234,0.293,0.25,0.375,0.337,0.286,0.571,0.328,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/08,1:40 PM.,PHI,MIA,home,Roof Closed.,72,686751,SS,2,1,0,0,0,0,1,1,1,0,1,.325,.399,.401,.800,686751,sethjohnson,"Johnson, S",Right,Seth Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429,0.571,0.182,0.667,0.667,0.167,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.333,0.429,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/07,4:11 PM.,PHI,MIA,home,Roof Closed.,72,605400,SS,5,2,2,0,0,0,0,2,0,1,4,.328,.402,.405,.807,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,78.0,102.0,91.0,90.0,103.0,99.0,,,,69.0,99.0,92.0,0.278,0.092,,0.096,0.81,-2.57,,-1.67,92.5,87.5,85.7,,0.168,0.318,0.224,0.279,0.426,0.135,,,,0.389,0.796,0.178,,,,100.0,109.0,106.0,0.204,,-0.34,,91.5,,0.313,0.475,0.136,0.221,0.381,0.37,,,,135.0,106.0,113.0,,,,,0.329,,0.94,,79.1,,,,,,,,,,,,
2024/09/06,7:10 PM.,PHI,MIA,home,Roof Closed.,72,554430,SS,4,0,0,0,0,0,0,0,0,0,1,.326,.402,.405,.807,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,,,,101.0,106.0,109.0,128.0,106.0,115.0,92.0,97.0,94.0,0.416,0.093,0.125,,0.88,-0.23,1.04,,95.3,91.1,,84.9,0.209,0.395,0.296,,,,0.152,0.273,0.335,0.226,0.371,0.183,110.0,101.0,107.0,111.0,103.0,107.0,0.192,0.1,2.68,-0.98,94.6,81.8,0.189,0.259,0.142,0.205,0.397,0.387,,,,,,,94.0,110.0,110.0,0.074,,1.47,,86.1,,0.137,0.196,0.402,,,,,,,,,
2024/09/05,6:41 PM.,PHI,MIA,home,Roof Closed.,72,624133,SS,4,0,0,0,0,0,0,0,0,1,4,.333,.409,.414,.823,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,73.0,100.0,98.0,68.0,101.0,91.0,22.0,85.0,77.0,101.0,98.0,93.0,0.195,0.121,0.001,0.163,0.67,-1.68,-4.62,-0.63,91.8,86.5,80.0,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,0.302,0.642,0.162,84.0,107.0,108.0,87.0,106.0,104.0,0.315,0.205,0.84,1.02,90.8,74.4,0.27,0.381,0.101,0.189,0.342,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/04,6:40 PM.,WSH,MIA,home,Roof Closed.,72,669022,SS,5,1,2,0,0,0,1,0,0,2,1,.341,.417,.423,.840,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,3.9,4.2,166.1,98.0,110.0,101.0,0.752,9.79,3.52,9.25,0.81,1.11,0.26,0.376,0.156,0.3,0.433,92.0,91.0,94.0,124.0,98.0,103.0,89.0,92.0,92.0,,,,0.553,,0.158,0.093,-0.02,,-0.77,-1.35,96.0,,85.9,90.6,0.281,0.418,0.226,0.28,0.48,0.512,0.333,0.5,0.417,,,,104.0,104.0,102.0,,,,,0.196,,0.62,,82.8,,,,0.218,0.296,0.34,0.255,0.422,0.323,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/03,6:40 PM.,WSH,MIA,home,Roof Closed.,72,571578,SS,5,0,0,0,0,0,0,0,0,2,2,.339,.417,.424,.841,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,55.0,97.0,84.0,88.0,97.0,97.0,76.0,107.0,98.0,0.076,0.192,0.343,0.034,-1.46,-0.37,0.41,-5.53,91.3,85.7,81.0,80.0,0.311,0.578,0.133,0.409,0.773,0.279,,,,0.301,0.434,0.223,73.0,100.0,97.0,71.0,103.0,92.0,0.338,0.016,-1.9,-2.3,91.5,70.0,0.339,0.567,0.091,0.5,1.25,0.526,0.216,0.335,0.354,,,,,,,,0.001,,4.71,,63.2,,,,,,,,,,,,
2024/08/23,7:11 PM.,CHC,MIA,home,Roof Closed.,72,543294,SS,1,0,1,0,0,0,0,1,0,0,0,.349,.428,.436,.864,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,59.0,94.0,86.0,,,,,,,0.127,,,0.387,-1.51,,,-0.72,87.7,,80.9,,0.237,0.553,0.209,0.267,0.409,0.239,,,,,,,87.0,109.0,108.0,97.0,106.0,96.0,0.355,0.131,-0.77,0.52,87.6,74.3,0.333,0.493,0.106,0.22,0.3,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/21,6:40 PM.,AZ,MIA,home,Roof Closed.,72,656756,SS,5,1,2,0,1,0,1,0,0,1,2,.345,.425,.433,.858,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.23,5.18,117.0,99.0,92.0,96.0,0.748,6.38,3.38,11.46,1.08,1.24,0.194,0.428,0.137,0.346,0.37,97.0,100.0,92.0,66.0,98.0,89.0,104.0,95.0,90.0,,,,0.173,,0.018,0.193,-0.02,,3.84,-1.92,92.1,,83.1,84.2,0.284,0.375,0.184,0.321,0.593,0.386,,,,,,,106.0,102.0,107.0,89.0,95.0,93.0,0.308,0.307,-2.11,-0.83,91.8,79.2,0.374,0.577,0.159,0.27,0.453,0.353,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/20,6:40 PM.,AZ,MIA,home,Roof Closed.,72,593958,SS,4,0,1,0,0,0,1,0,0,0,1,.343,.426,.422,.848,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.04,5.53,50.0,104.0,76.0,96.0,0.808,8.46,3.42,10.08,1.44,0.98,0.204,0.439,0.14,0.338,0.405,97.0,103.0,101.0,60.0,101.0,90.0,105.0,109.0,105.0,77.0,105.0,97.0,0.44,0.193,0.066,0.225,-0.04,-1.76,-0.19,-0.27,92.0,88.8,86.7,83.9,0.257,0.486,0.268,0.269,0.385,0.256,,,,0.333,0.595,0.133,,,,84.0,111.0,99.0,0.076,,-3.84,,91.6,,0.318,0.455,0.182,,,,0.167,0.417,0.095,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/19,6:40 PM.,AZ,MIA,home,Roof Closed.,72,694297,SS,5,0,1,1,0,0,2,0,0,1,1,.346,.429,.426,.855,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,95.0,106.0,103.0,143.0,109.0,119.0,,,,0.334,,0.273,0.112,0.37,,-0.12,0.84,93.8,,87.5,84.8,0.265,0.466,0.224,0.25,0.289,0.312,0.215,0.455,0.362,,,,106.0,102.0,104.0,89.0,106.0,104.0,0.222,0.053,-0.09,-1.37,93.7,80.8,0.286,0.365,0.119,0.429,0.571,0.295,,,,,,,,,,0.006,,0.45,,89.6,,0.2,0.8,0.0,,,,,,,,,
2024/08/18,12:06 PM.,NYM,MIA,away,Cloudy.,76,621112,SS,2,0,1,0,0,0,0,1,2,0,0,.350,.435,.427,.862,621112,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.59,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,74.0,96.0,90.0,116.0,106.0,108.0,105.0,106.0,99.0,0.195,0.22,0.167,0.181,-2.3,-0.19,1.35,1.56,91.9,89.1,85.7,81.3,0.286,0.694,0.125,0.164,0.236,0.347,,,,0.299,0.493,0.244,91.0,107.0,106.0,69.0,107.0,93.0,0.136,0.101,-4.04,2.06,91.2,79.4,0.478,0.674,0.095,0.125,0.208,0.25,0.163,0.245,0.284,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/17,4:11 PM.,NYM,MIA,away,Cloudy.,79,622663,SS,4,0,0,0,0,0,0,0,0,0,2,.348,.429,.426,.855,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,101.0,104.0,102.0,143.0,100.0,111.0,92.0,91.0,89.0,0.355,0.081,0.242,0.075,0.15,1.05,0.26,-3.63,96.2,92.6,86.1,85.6,0.243,0.392,0.218,0.358,0.66,0.186,0.139,0.238,0.386,0.2,0.3,0.26,,,,90.0,98.0,94.0,0.248,,1.24,,95.6,,0.278,0.414,0.122,,,,0.263,0.342,0.284,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/16,7:11 PM.,NYM,MIA,away,Clear.,79,640455,SS,3,0,1,1,0,0,0,1,1,0,0,.358,.438,.437,.875,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,88.0,88.0,93.0,84.0,88.0,85.0,0.113,0.071,0.251,0.118,1.13,0.97,0.37,-1.19,92.3,88.4,85.3,79.5,0.167,0.295,0.311,0.25,0.438,0.254,0.193,0.311,0.388,0.222,0.25,0.179,,,,95.0,100.0,97.0,0.447,,1.36,,92.3,,0.201,0.333,0.21,,,,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/14,6:41 PM.,PHI,MIA,away,Partly Cloudy.,84,663969,SS,3,1,1,0,0,0,0,1,2,0,0,.358,.437,.432,.869,663969,tylerphillips,Phillips,Right,Tyler Phillips,PHI,6.87,5.97,36.2,100.0,94.0,99.0,0.799,6.87,1.72,11.05,2.21,1.13,0.122,0.496,0.171,0.358,0.419,82.0,110.0,104.0,68.0,92.0,90.0,121.0,95.0,102.0,,,,0.187,,0.292,0.066,3.13,,-2.49,-9.69,92.7,,85.7,82.5,0.219,0.313,0.214,0.6,1.1,0.182,0.311,0.511,0.329,,,,107.0,112.0,116.0,80.0,101.0,91.0,0.311,0.144,-1.15,-0.37,93.7,81.0,0.35,0.7,0.118,0.174,0.304,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/13,6:40 PM.,PHI,MIA,away,Partly Cloudy.,82,592836,SS,5,1,2,0,0,0,0,2,0,0,1,.359,.432,.434,.866,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,7.1,7.09,83.2,98.0,88.0,95.0,0.847,6.24,3.98,11.51,2.58,0.93,0.184,0.442,0.131,0.389,0.429,,,,61.0,93.0,83.0,56.0,108.0,104.0,95.0,91.0,87.0,0.126,0.094,0.178,,-2.65,-4.99,2.03,,91.5,87.3,,85.1,0.346,0.615,0.232,,,,0.157,0.314,0.28,0.435,1.087,0.093,87.0,96.0,97.0,78.0,98.0,91.0,0.275,0.108,-2.96,1.99,91.1,74.7,0.378,0.684,0.082,0.172,0.31,0.149,,,,,,,108.0,101.0,106.0,0.219,,-4.16,,86.7,,0.38,0.652,0.163,,,,,,,,,
