date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,KC%,KN%,wKC/C,wKN/C,vKC
2024/08/03,6:35 PM.,KC,DET,home,Clear.,90,547179,1B,4,2,3,1,0,1,1,0,0,1,0,.375,.400,.531,.931,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,84.0,95.0,89.0,81.0,102.0,94.0,126.0,98.0,108.0,,,,0.212,0.272,,0.149,1.0,,-0.25,-1.51,93.8,,93.6,83.9,0.155,0.309,0.184,,,,0.368,0.632,0.253,0.291,0.441,0.062,93.0,101.0,99.0,102.0,93.0,96.0,0.079,0.188,0.02,1.94,84.6,81.7,0.217,0.348,0.352,94.0,92.0,91.0,0.1,0.04,90.1,0.235,0.51,0.236,0.122,0.173,0.373,0.19,0.429,0.291,,,,,,,,,,,,
2024/08/01,6:40 PM.,KC,DET,home,Partly Cloudy.,87,607625,1B,2,0,0,0,0,0,1,0,0,1,0,.321,.355,.357,.712,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,75.0,103.0,95.0,68.0,101.0,92.0,125.0,97.0,105.0,93.0,107.0,106.0,0.185,0.24,0.026,0.135,0.7,0.07,0.65,-0.67,92.2,85.7,92.1,85.2,0.234,0.392,0.176,0.105,0.421,0.351,0.213,0.387,0.2,0.274,0.381,0.129,93.0,100.0,98.0,126.0,100.0,110.0,0.262,0.069,1.44,0.08,87.4,79.4,0.178,0.271,0.339,97.0,103.0,103.0,0.082,2.86,90.1,0.228,0.228,0.23,0.208,0.333,0.291,0.375,0.75,0.109,0.215,0.28,0.285,,,,,,,,,
2024/07/30,1:10 PM.,CLE,DET,home,Cloudy.,80,668909,1B,3,0,2,0,0,0,0,0,0,1,0,.346,.393,.385,.778,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,97.0,102.0,102.0,,,,95.0,80.0,96.0,,,,,0.515,,0.113,0.08,,,-0.16,96.6,,,88.6,0.286,0.421,0.22,,,,0.258,0.387,0.242,,,,66.0,96.0,101.0,121.0,101.0,105.0,0.198,0.054,-0.01,-3.82,89.2,79.5,0.155,0.31,0.304,98.0,99.0,94.0,0.12,0.56,91.6,0.205,0.333,0.341,0.417,0.833,0.148,,,,,,,,,,,,,,,
2024/07/29,6:40 PM.,CLE,DET,home,Partly Cloudy.,83,676440,1B,3,1,1,0,0,0,0,0,1,1,0,.304,.360,.348,.708,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,,,,0.003,0.434,,0.278,-0.69,,-1.41,1.74,94.6,,93.9,86.2,0.282,0.476,0.213,,,,0.196,0.411,0.299,,,,82.0,100.0,108.0,119.0,109.0,112.0,0.105,0.18,-0.9,0.13,82.5,81.3,0.208,0.458,0.184,,,,,,,0.141,0.225,0.368,0.238,0.431,0.291,,,,,,,,,,,,,,,
2024/07/28,1:40 PM.,MIN,DET,home,Sunny.,86,641927,1B,3,0,0,0,0,0,0,0,0,1,1,.300,.333,.350,.683,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,81.0,104.0,96.0,,,,74.0,100.0,101.0,,,,,0.381,,0.118,-0.01,,,2.03,91.7,,,80.3,0.258,0.506,0.222,,,,0.095,0.162,0.307,,,,116.0,111.0,111.0,94.0,99.0,103.0,0.011,0.294,4.57,1.98,83.4,76.0,0.0,0.0,0.375,84.0,104.0,100.0,0.195,-0.86,86.2,0.279,0.504,0.229,0.154,0.285,0.395,,,,,,,,,,,,,,,
2024/07/27,6:10 PM.,MIN,DET,home,Clear.,82,657746,1B,3,1,1,0,0,0,0,0,1,0,0,.353,.389,.412,.801,657746,joeryan,Ryan,Right,Joe Ryan,MIN,3.6,2.87,135.0,107.0,99.0,104.0,0.752,9.8,1.53,7.33,1.27,0.79,0.242,0.427,0.198,0.281,0.481,94.0,110.0,105.0,110.0,108.0,105.0,108.0,103.0,112.0,101.0,103.0,94.0,0.06,0.485,0.221,0.234,1.38,0.2,-0.77,-0.09,94.0,88.6,92.9,83.1,0.194,0.379,0.275,0.202,0.387,0.258,0.343,0.6,0.216,0.345,0.483,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,0.37,0.337,,,,,,,,,,,,
2024/07/26,6:40 PM.,MIN,DET,home,Clear.,79,641154,1B,4,0,2,0,0,0,1,0,0,1,1,.357,.357,.429,.786,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,97.0,105.0,101.0,97.0,107.0,107.0,106.0,103.0,110.0,,,,0.073,0.407,,0.219,1.65,,-2.77,-0.84,95.0,,94.5,84.5,0.208,0.352,0.259,,,,,,,0.426,0.639,0.142,95.0,104.0,105.0,92.0,103.0,108.0,0.1,0.201,-1.28,-0.14,88.5,82.4,0.23,0.446,0.341,,,,,,,,,,0.281,0.359,0.249,0.239,0.436,0.331,,,,,,,,,,,,
2024/07/25,1:11 PM.,CLE,DET,away,Cloudy.,75,668909,1B,4,1,3,1,0,0,0,0,0,0,0,.300,.300,.400,.700,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,97.0,102.0,102.0,,,,95.0,80.0,96.0,,,,,0.515,,0.113,0.08,,,-0.16,96.6,,,88.6,0.286,0.421,0.22,,,,0.258,0.387,0.242,,,,66.0,96.0,101.0,121.0,101.0,105.0,0.198,0.054,-0.01,-3.82,89.2,79.5,0.155,0.31,0.304,98.0,99.0,94.0,0.12,0.56,91.6,0.205,0.333,0.341,0.417,0.833,0.148,,,,,,,,,,,,,,,
2024/07/23,6:41 PM.,CLE,DET,away,Partly Cloudy.,78,675540,1B,2,0,0,0,0,0,0,0,0,2,1,.000,.000,.000,.000,675540,xzavioncurry,Curry,Right,Xzavion Curry,- - -,4.64,5.07,42.2,104.0,84.0,101.0,0.837,5.91,1.48,8.02,1.69,0.42,0.263,0.321,0.146,0.401,0.46,73.0,102.0,97.0,,,,101.0,109.0,109.0,57.0,81.0,85.0,,0.495,0.008,0.344,-0.07,4.59,,0.7,92.1,83.8,,84.6,0.262,0.492,0.196,,,,0.236,0.444,0.221,,,,76.0,94.0,90.0,78.0,98.0,100.0,0.139,0.014,-0.65,4.86,87.4,73.9,0.185,0.593,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/21,1:39 PM.,TOR,DET,away,Partly Cloudy.,74,592332,1B,4,0,0,0,0,0,0,0,0,2,3,.000,.000,.000,.000,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.71,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,88.0,108.0,106.0,0.054,0.528,0.334,0.084,0.43,0.51,-3.21,-1.21,93.9,86.0,93.3,82.7,0.277,0.466,0.175,0.169,0.262,0.335,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
