date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,KC%,CH%,wFC/C,wCU/C,wKC/C,wCH/C,vFC,vCH,vCU,vKC,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2024/09/06,7:10 PM.,PHI,MIA,home,Roof Closed.,72,554430,C,3,0,0,0,0,0,0,0,0,0,3,.176,.222,.176,.398,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,94.0,110.0,110.0,0.192,0.416,0.074,0.125,0.88,1.47,2.68,1.04,95.3,86.1,94.6,84.9,0.137,0.196,0.402,0.209,0.395,0.296,0.189,0.259,0.142,,,,,,,110.0,101.0,107.0,92.0,97.0,94.0,0.093,0.1,,,-0.23,-0.98,,,91.1,,81.8,,0.152,0.273,0.335,,,,0.205,0.397,0.387,0.226,0.371,0.183,,,,,,,,,
2024/08/14,6:41 PM.,PHI,MIA,away,Partly Cloudy.,84,663969,C,0,0,0,0,0,0,0,0,0,0,0,.214,.214,.214,.428,663969,tylerphillips,Phillips,Right,Tyler Phillips,PHI,6.87,5.97,36.2,100.0,94.0,99.0,0.799,6.87,1.72,11.05,2.21,1.13,0.122,0.496,0.171,0.358,0.419,68.0,92.0,90.0,80.0,101.0,91.0,121.0,95.0,102.0,,,,0.311,0.187,,0.292,3.13,,-1.15,-2.49,92.7,,93.7,82.5,,,,0.219,0.313,0.214,0.35,0.7,0.118,,,,82.0,110.0,104.0,107.0,112.0,116.0,,,,,0.144,,0.066,,-0.37,,-9.69,,85.7,81.0,,0.311,0.511,0.329,0.6,1.1,0.182,0.174,0.304,0.222,,,,,,,,,,,,
2024/08/10,4:11 PM.,SD,MIA,home,Roof Closed.,72,663362,C,4,0,1,0,0,0,1,0,0,1,0,.214,.214,.214,.428,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.91,4.11,146.2,104.0,83.0,98.0,0.806,8.16,2.45,8.9,1.29,0.91,0.207,0.402,0.164,0.302,0.441,57.0,108.0,91.0,73.0,108.0,102.0,115.0,101.0,107.0,,,,0.144,0.19,,0.198,-0.77,,0.64,0.5,90.6,,90.0,79.3,,,,0.265,0.513,0.224,0.303,0.404,0.067,,,,,,,,,,83.0,98.0,90.0,0.086,,,,1.88,,,,87.0,,,,0.227,0.454,0.201,,,,,,,0.231,0.385,0.144,77.6,0.382,-1.09,0.246,0.394,0.275,,,
2024/08/09,7:10 PM.,SD,MIA,home,Roof Closed.,72,527048,PH,1,0,0,0,0,0,0,0,0,0,2,.200,.200,.200,.400,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,,,,0.358,0.053,,0.0,-8.23,,0.57,-51.06,91.3,,90.7,82.8,,,,0.458,0.917,0.043,0.275,0.383,0.097,,,,71.0,109.0,99.0,74.0,102.0,98.0,70.0,101.0,93.0,0.221,0.141,,0.227,-0.61,0.62,,-1.27,87.9,83.4,77.9,,,,,0.28,0.448,0.341,0.246,0.354,0.29,0.28,0.57,0.212,,,,,,,,,
2024/08/08,6:10 PM.,CIN,MIA,home,Roof Closed.,72,668881,C,4,0,2,0,0,0,1,0,0,2,3,.222,.222,.222,.444,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.75,3.03,150.1,99.0,124.0,104.0,0.741,10.12,3.41,5.75,0.72,0.7,0.284,0.388,0.199,0.265,0.429,123.0,102.0,104.0,,,,125.0,96.0,103.0,120.0,89.0,103.0,,0.552,0.083,0.346,1.56,-0.79,,0.62,97.6,87.0,,86.8,0.243,0.405,0.284,0.184,0.273,0.248,,,,0.161,0.3,0.39,,,,118.0,96.0,101.0,,,,,0.018,,,,-2.87,,,,,80.9,,,,,,,,0.4,1.0,0.2,,,,,,,,,,,,
2024/06/02,1:40 PM.,TEX,MIA,home,Roof Closed.,72,571760,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,,,,0.014,0.501,,0.278,0.15,,-4.52,-0.26,91.5,,92.2,82.5,,,,0.23,0.412,0.213,0.455,0.455,0.125,0.26,0.385,0.365,83.0,102.0,94.0,126.0,105.0,103.0,20.0,51.0,51.0,0.001,0.036,,0.17,-19.13,-3.31,,0.46,86.6,83.7,75.6,,,,,0.239,0.384,0.243,0.5,1.1,0.188,,,,,,,,,,,,
2024/06/01,4:11 PM.,TEX,MIA,home,Roof Closed.,72,547179,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,84.0,95.0,89.0,81.0,102.0,94.0,126.0,98.0,108.0,,,,0.212,0.272,,0.149,1.0,,-0.25,-1.51,93.8,,93.6,83.9,,,,0.155,0.309,0.184,0.291,0.441,0.062,0.368,0.632,0.253,93.0,101.0,99.0,102.0,93.0,96.0,94.0,92.0,91.0,0.1,0.079,,0.188,0.04,0.02,,1.94,90.1,84.6,81.7,,0.19,0.429,0.291,0.122,0.173,0.373,0.217,0.348,0.352,0.235,0.51,0.236,,,,,,,,,
2024/04/20,6:40 PM.,CHC,MIA,away,Overcast.,42,684007,C,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,81.0,106.0,100.0,0.021,0.52,0.306,0.077,0.36,1.39,0.77,0.14,91.7,82.9,88.7,81.6,0.204,0.283,0.431,0.229,0.47,0.176,0.25,0.333,0.37,,,,82.0,105.0,104.0,70.0,96.0,97.0,50.0,107.0,96.0,0.005,0.032,0.0,0.039,-6.3,-0.59,-76.55,0.48,89.8,81.6,72.7,53.9,0.267,0.311,0.347,0.194,0.226,0.333,0.444,0.556,0.0,0.333,1.333,0.143,,,,,,,,,
2024/04/20,1:20 PM.,CHC,MIA,away,Cloudy.,46,665871,C,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,665871,javierassad,Assad,Right,Javier Assad,CHC,3.73,4.97,147.0,99.0,85.0,94.0,0.843,7.59,3.86,8.76,1.22,1.13,0.263,0.373,0.146,0.301,0.422,68.0,102.0,92.0,75.0,101.0,92.0,114.0,94.0,100.0,,,,0.357,0.158,,0.107,-0.91,,0.51,-1.54,91.5,,91.4,80.1,,,,0.319,0.472,0.201,0.236,0.373,0.111,0.364,0.636,0.368,69.0,91.0,88.0,98.0,101.0,97.0,96.0,97.0,92.0,0.216,0.116,,0.046,-0.73,-0.4,,-1.65,87.9,83.7,76.8,,0.174,0.37,0.341,0.296,0.296,0.125,0.178,0.329,0.3,0.315,0.583,0.142,,,,,,,,,
2024/04/17,12:10 PM.,SF,MIA,home,Roof Closed.,72,676775,C,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,676775,keatonwinn,"Winn, K",Right,Keaton Winn,SFG,7.16,5.56,55.1,98.0,112.0,103.0,0.772,7.81,3.25,9.11,1.46,1.67,0.176,0.485,0.079,0.436,0.455,89.0,101.0,95.0,91.0,97.0,93.0,127.0,98.0,106.0,131.0,97.0,113.0,0.192,0.263,0.405,0.139,-0.92,0.24,-2.92,-1.39,95.7,88.9,94.8,87.9,0.215,0.355,0.282,0.214,0.5,0.272,0.41,0.692,0.066,0.321,0.607,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
