date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,CU%,wFS/C,wSI/C,wCU/C,vFS,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C
2024/09/14,6:13 PM.,CIN,MIN,home,Overcast.,76,607259,SS,2,0,1,1,0,0,0,0,0,0,2,.310,.377,.523,.900,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.19,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.23,0.441,118.0,113.0,116.0,91.0,110.0,109.0,105.0,110.0,110.0,,,,96.0,108.0,104.0,0.224,0.203,0.061,,0.216,0.73,1.32,-0.55,,1.79,92.6,89.1,80.1,84.9,,0.219,0.351,0.212,0.186,0.286,0.416,0.233,0.4,0.364,0.281,0.43,0.12,0.342,0.605,0.247,107.0,102.0,105.0,80.0,106.0,97.0,,,,0.176,,0.119,,0.88,-1.69,,92.0,80.8,0.24,0.375,0.09,,,,,,,,,,,,
2024/07/12,7:15 PM.,SF,MIN,away,Partly Cloudy.,64,690986,SS,5,1,1,0,0,0,0,0,0,0,4,.308,.377,.520,.897,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,98.0,100.0,92.0,93.0,107.0,97.0,,,,,,,0.577,,0.003,,0.197,0.2,,-11.71,,-1.64,92.5,,84.8,88.2,,0.249,0.425,0.23,0.287,0.435,0.215,0.333,0.667,0.5,,,,,,,84.0,95.0,95.0,,,,,,,,,0.223,,,-0.22,,,80.6,,,,0.274,0.452,0.277,,,,,,,,,
2024/07/10,4:06 PM.,CWS,MIN,away,Partly Cloudy.,79,689672,SS,3,1,1,0,0,1,1,0,1,0,0,.310,.379,.526,.905,689672,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.71,44.1,99.0,81.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.225,0.239,0.38,89.0,106.0,103.0,63.0,95.0,82.0,99.0,99.0,102.0,,,,83.0,94.0,88.0,0.322,0.139,0.184,,0.355,-1.43,-0.44,-1.97,,1.65,91.0,86.3,81.6,81.2,,0.245,0.566,0.077,0.164,0.311,0.379,0.333,0.5,0.28,0.182,0.409,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.25,,,,,,
2024/07/10,1:10 PM.,CWS,MIN,away,Sunny.,76,607200,SS,4,0,3,0,0,0,0,0,0,1,0,.310,.378,.517,.895,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,17.0,112.0,76.0,126.0,101.0,106.0,,,,78.0,104.0,97.0,0.003,0.323,0.202,,0.164,-6.18,0.43,1.28,,-0.54,92.9,89.9,87.7,83.5,,0.5,0.5,0.0,0.228,0.351,0.165,,,,0.262,0.47,0.232,,,,,,,76.0,105.0,93.0,,,,0.308,,,,0.59,,,93.0,,0.25,0.358,0.202,,,,0.165,0.309,0.251,,,,,,
2024/07/08,7:11 PM.,CWS,MIN,away,Partly Cloudy.,84,623167,SS,5,1,1,0,0,1,1,0,0,1,3,.303,.373,.513,.886,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,2.0,93.0,82.0,148.0,102.0,103.0,,,,47.0,101.0,90.0,0.37,0.261,0.087,,0.157,-0.64,-0.75,-2.65,,-1.32,91.3,87.4,81.3,80.0,,0.261,0.473,0.132,0.257,0.436,0.379,0.361,0.475,0.271,0.319,0.536,0.218,0.246,0.393,0.308,83.0,98.0,101.0,74.0,108.0,87.0,,,,0.002,,0.122,,2.01,0.43,,91.4,72.0,,,,,,,,,,,,,,,
2024/07/07,1:11 PM.,HOU,MIN,home,Partly Cloudy.,77,681293,SS,0,0,0,0,0,0,0,0,0,0,0,.305,.376,.508,.884,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,91.0,100.0,99.0,117.0,93.0,101.0,,,,66.0,98.0,96.0,0.41,0.196,0.108,,0.086,-1.33,0.57,0.99,,-2.52,94.1,88.2,85.5,80.8,,0.303,0.528,0.198,0.395,0.512,0.378,,,,0.248,0.444,0.228,0.171,0.282,0.424,118.0,98.0,104.0,,,,,,,,,0.2,,,0.8,,,78.4,,,,,,,0.113,0.226,0.386,,,,,,
2024/07/06,1:11 PM.,HOU,MIN,home,Partly Cloudy.,78,686613,SS,5,1,1,0,0,0,0,0,0,1,2,.305,.374,.508,.882,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.347,0.17,0.051,0.125,0.126,0.16,0.14,1.7,-0.79,0.95,96.0,92.4,88.4,89.1,82.9,0.244,0.413,0.288,0.221,0.26,0.296,0.2,0.2,0.236,0.23,0.363,0.216,0.237,0.421,0.305,,,,93.0,102.0,98.0,,,,0.182,,,,0.92,,,95.6,,0.275,0.321,0.161,,,,,,,,,,,,
2024/07/05,7:11 PM.,HOU,MIN,home,Clear.,75,681869,SS,6,1,1,0,0,1,4,0,0,1,5,.307,.377,.514,.891,681869,shawndubin,Dubin,Right,Shawn Dubin,HOU,4.17,3.97,45.1,93.0,115.0,94.0,0.765,9.73,5.16,8.93,0.6,1.4,0.208,0.392,0.123,0.346,0.404,124.0,96.0,100.0,104.0,92.0,91.0,156.0,86.0,102.0,,,,121.0,92.0,89.0,0.439,0.158,0.093,,0.152,0.94,-2.02,-1.19,,-1.47,95.0,89.0,88.3,83.1,,0.188,0.217,0.184,0.267,0.533,0.321,,,,0.37,0.63,0.226,0.313,0.375,0.359,110.0,93.0,99.0,,,,,,,,,0.159,,,-1.05,,,81.3,,,,,,,0.222,0.333,0.419,,,,,,
2024/07/04,12:11 PM.,DET,MIN,home,Drizzle.,69,628317,SS,3,2,1,0,0,0,0,0,1,0,2,.311,.381,.510,.891,628317,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.09,4.43,112.1,101.0,93.0,100.0,0.776,7.69,2.48,9.93,1.76,0.83,0.19,0.466,0.185,0.27,0.388,,,,67.0,99.0,91.0,101.0,95.0,98.0,,,,65.0,94.0,79.0,0.225,0.016,0.359,,,-2.6,1.08,-0.34,,,90.8,84.8,,81.4,,0.359,0.667,0.13,,,,0.31,0.569,0.268,0.333,0.333,0.391,0.5,0.75,0.0,80.0,75.0,78.0,59.0,104.0,93.0,110.0,105.0,110.0,0.072,0.312,0.016,-0.22,-0.02,-4.36,83.9,90.4,76.4,0.294,0.324,0.133,,,,0.241,0.379,0.207,0.217,0.42,0.303,,,
2024/07/03,7:11 PM.,DET,MIN,home,Partly Cloudy.,83,672456,SS,3,0,1,1,0,0,0,0,1,0,1,.310,.379,.512,.891,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,92.0,100.0,96.0,110.0,99.0,104.0,95.0,102.0,111.0,,,,0.421,,0.28,0.112,0.109,-0.19,,0.02,-3.94,-2.78,94.8,,86.0,83.5,78.8,0.27,0.486,0.18,0.289,0.474,0.329,0.235,0.391,0.259,,,,0.269,0.615,0.224,,,,90.0,101.0,97.0,,,,0.078,,,,1.09,,,94.1,,0.32,0.32,0.038,,,,,,,,,,,,
2024/07/02,6:41 PM.,DET,MIN,home,Overcast.,72,669373,SS,4,1,1,0,0,1,1,0,0,1,2,.310,.378,.510,.888,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,112.0,104.0,103.0,111.0,99.0,103.0,95.0,91.0,101.0,,,,0.332,,0.149,0.042,0.271,1.84,,0.78,1.26,1.13,96.8,,86.3,88.7,78.5,0.197,0.286,0.277,0.216,0.322,0.461,0.169,0.364,0.346,,,,0.158,0.316,0.175,,,,95.0,105.0,104.0,,,,0.205,,,,1.25,,,96.6,,0.207,0.305,0.16,,,,,,,,,,,,
2024/06/29,7:12 PM.,SEA,MIN,away,Roof Closed.,67,682243,SS,4,1,1,0,0,0,0,0,0,0,2,.311,.380,.502,.882,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,2.94,3.72,180.1,101.0,112.0,105.0,0.774,8.53,2.25,6.54,1.05,0.86,0.249,0.404,0.14,0.318,0.442,,,,124.0,102.0,106.0,122.0,96.0,101.0,92.0,104.0,111.0,93.0,80.0,85.0,0.423,0.023,0.168,0.044,,1.53,0.14,-0.21,-0.4,,95.2,92.1,,84.5,85.0,0.184,0.348,0.266,,,,0.243,0.568,0.261,0.25,0.333,0.207,0.231,0.308,0.378,,,,100.0,102.0,99.0,95.0,107.0,111.0,0.171,0.171,,1.51,1.55,,84.4,94.7,,0.248,0.358,0.092,,,,0.24,0.4,0.188,0.148,0.225,0.29,,,
2024/06/28,6:41 PM.,SEA,MIN,away,Cloudy.,66,669302,SS,4,1,2,0,0,1,2,0,0,1,1,.312,.381,.506,.887,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,106.0,101.0,97.0,146.0,102.0,115.0,,,,116.0,104.0,103.0,0.308,0.106,0.32,,,1.41,0.14,1.72,,,96.6,92.3,,88.4,,0.204,0.383,0.193,,,,0.21,0.375,0.368,0.247,0.483,0.272,0.181,0.301,0.354,124.0,99.0,107.0,91.0,102.0,97.0,99.0,96.0,104.0,0.015,0.134,0.118,1.18,0.32,0.81,84.5,95.5,83.2,0.286,0.286,0.05,,,,,,,0.101,0.162,0.506,,,
2024/06/27,12:40 PM.,AZ,MIN,away,Roof Closed.,78,656756,SS,1,2,1,0,0,0,1,0,2,0,0,.309,.380,.494,.874,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.23,5.18,117.0,99.0,92.0,96.0,0.748,6.38,3.38,11.46,1.08,1.24,0.194,0.428,0.137,0.346,0.37,97.0,100.0,92.0,66.0,98.0,89.0,104.0,95.0,90.0,,,,,,,0.173,,0.018,,0.193,-0.02,,3.84,,-1.92,92.1,,83.1,84.2,,0.284,0.375,0.184,0.321,0.593,0.386,0.0,0.0,0.5,,,,0.27,0.453,0.353,106.0,102.0,107.0,89.0,95.0,93.0,,,,0.308,,0.307,,-2.11,-0.83,,91.8,79.2,0.374,0.577,0.159,,,,,,,,,,,,
2024/06/26,6:40 PM.,AZ,MIN,away,Roof Closed.,74,669194,SS,4,2,3,1,0,0,1,0,1,0,0,.306,.370,.491,.861,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,108.0,99.0,107.0,105.0,107.0,106.0,111.0,112.0,110.0,,,,78.0,107.0,96.0,0.557,0.184,0.103,,0.099,0.64,-0.85,-0.66,,-2.35,95.2,91.2,83.0,83.8,,0.249,0.418,0.195,0.302,0.587,0.203,0.226,0.34,0.156,0.317,0.508,0.154,0.138,0.207,0.148,91.0,94.0,94.0,,,,,,,,,0.057,,,1.81,,,77.8,,,,,,,0.4,0.733,0.167,,,,,,
2024/06/25,6:40 PM.,AZ,MIN,away,Roof Closed.,78,694297,SS,4,0,0,0,0,0,0,0,0,0,1,.298,.362,.482,.844,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,95.0,106.0,103.0,143.0,109.0,119.0,,,,,,,0.334,,0.273,,0.112,0.37,,-0.12,,0.84,93.8,,87.5,84.8,,0.265,0.466,0.224,0.25,0.289,0.312,,,,,,,0.429,0.571,0.295,106.0,102.0,104.0,89.0,106.0,104.0,,,,0.222,0.006,0.053,0.45,-0.09,-1.37,89.6,93.7,80.8,0.286,0.365,0.119,,,,0.215,0.455,0.362,0.2,0.8,0.0,,,
2024/06/23,1:30 PM.,OAK,MIN,away,Sunny.,75,663687,SS,3,0,0,0,0,0,0,0,0,2,0,.304,.368,.491,.859,663687,hoganharris,"Harris, H",Left,Hogan Harris,OAK,2.86,5.04,72.1,98.0,85.0,95.0,0.813,7.59,4.11,8.09,0.87,0.93,0.226,0.38,0.125,0.317,0.468,118.0,95.0,101.0,81.0,97.0,89.0,87.0,100.0,102.0,,,,,,,0.563,,0.115,,0.165,0.33,,-3.23,,1.22,92.9,,81.1,78.8,,0.261,0.408,0.169,0.15,0.175,0.247,0.282,0.641,0.211,,,,0.244,0.311,0.338,59.0,102.0,106.0,,,,,,,,,0.157,,,-0.41,,,72.4,,,,,,,,,,,,,,,
2024/06/22,1:07 PM.,OAK,MIN,away,Sunny.,76,676664,SS,6,1,3,1,0,0,1,0,0,2,1,.308,.369,.498,.867,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,70.0,102.0,92.0,118.0,100.0,105.0,,,,,,,0.363,,0.339,,0.192,-0.8,,-0.1,,-0.21,91.9,,84.0,78.9,,0.23,0.476,0.256,0.297,0.428,0.188,0.23,0.525,0.259,,,,,,,,,,84.0,100.0,87.0,,,,0.106,,,,1.37,,,90.0,,0.276,0.395,0.104,,,,0.239,0.381,0.213,,,,,,
2024/06/21,6:41 PM.,OAK,MIN,away,Clear.,63,683155,SS,4,0,0,0,0,0,0,0,1,0,2,.302,.366,.493,.859,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,80.0,106.0,99.0,114.0,113.0,117.0,,,,111.0,89.0,91.0,0.517,0.007,0.332,,0.111,0.08,-13.81,-0.2,,-2.46,92.4,86.4,84.8,79.6,,0.257,0.469,0.175,0.357,0.738,0.204,0.261,0.435,0.223,,,,,,,,,,61.0,93.0,83.0,,,,0.034,,,,-1.55,,,90.8,,0.263,0.579,0.147,,,,0.217,0.367,0.216,,,,,,
2024/06/20,12:11 PM.,TB,MIN,home,Overcast.,69,641793,PH,1,0,0,0,0,0,0,0,0,0,1,.308,.370,.502,.872,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,54.0,110.0,91.0,102.0,99.0,98.0,,,,,,,0.221,,0.399,,,0.58,,0.45,,,92.4,,,85.7,,0.245,0.358,0.191,,,,0.257,0.427,0.227,,,,,,,,,,67.0,103.0,91.0,104.0,106.0,112.0,0.148,0.232,,-0.84,-0.6,,83.0,91.6,,0.265,0.439,0.141,,,,0.406,0.594,0.115,0.258,0.423,0.344,,,
2024/06/19,6:42 PM.,TB,MIN,home,Partly Cloudy.,72,671737,SS,5,0,0,0,0,0,0,0,0,0,3,.310,.371,.505,.876,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,129.0,97.0,102.0,,,,,,,91.0,100.0,98.0,0.417,0.225,,,,-0.04,1.02,,,,96.4,90.9,,,,0.269,0.5,0.21,,,,,,,0.205,0.357,0.324,0.241,0.483,0.346,100.0,91.0,93.0,,,,123.0,102.0,114.0,,0.269,0.089,0.47,,-1.5,90.9,,79.1,,,,,,,,,,0.213,0.32,0.33,,,
2024/06/18,6:41 PM.,TB,MIN,home,Partly Cloudy.,85,650644,SS,4,2,3,1,0,0,0,0,1,0,0,.317,.379,.517,.896,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,68.0,102.0,96.0,152.0,101.0,112.0,,,,91.0,100.0,101.0,0.099,0.322,0.163,,,-1.7,1.08,-1.03,,,92.0,88.1,,80.5,,0.294,0.49,0.095,,,,0.25,0.375,0.438,0.232,0.394,0.233,0.25,0.479,0.275,104.0,104.0,109.0,71.0,93.0,83.0,57.0,96.0,102.0,0.24,0.02,0.156,-4.86,0.06,-1.36,85.6,92.6,77.1,0.241,0.421,0.158,,,,0.267,0.467,0.272,0.375,0.625,0.261,,,
