date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,vKN (sc),Stf+ FS,Loc+ FS,Pit+ FS,FS%,KN%,wFS/C,wKN/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,KC_ba,KC_slg,KC_whiff
2024/09/11,1:11 PM.,CWS,CLE,away,Partly Cloudy.,81,663436,RF,1,0,0,0,0,0,1,0,1,0,1,.252,.300,.383,.683,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,92.0,95.0,91.0,,,,114.0,108.0,111.0,,,,76.0,93.0,84.0,,0.285,0.175,0.268,,0.196,-2.03,1.59,,1.22,,-0.16,93.6,89.0,89.3,,83.6,,0.389,0.472,0.202,0.34,0.4,0.204,,,,0.121,0.293,0.378,0.206,0.294,0.231,0.357,0.429,0.348,,,,95.0,91.0,93.0,0.076,-2.54,78.4,,,,,,,,,,,,,,,,,,
2024/09/08,1:10 PM.,LAD,CLE,away,Sunny.,103,656427,LF,4,0,1,0,0,0,0,0,0,1,1,.253,.299,.384,.683,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,101.0,103.0,107.0,,,,0.023,0.441,,0.29,0.218,0.027,0.5,,-5.05,0.02,2.19,-0.55,93.3,,85.7,90.6,84.7,77.4,0.245,0.401,0.238,0.111,0.333,0.111,0.6,1.2,0.4,0.222,0.455,0.363,,,,0.164,0.219,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/07,6:09 PM.,LAD,CLE,away,Partly Cloudy.,92,518489,RF,1,0,0,0,0,0,0,0,0,0,0,.253,.299,.386,.685,518489,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,3.54,3.46,28.0,107.0,95.0,106.0,0.806,8.04,1.61,7.07,0.96,1.06,0.225,0.45,0.125,0.35,0.468,,,,93.0,111.0,107.0,96.0,95.0,90.0,102.0,110.0,111.0,,,,78.0,103.0,104.0,0.163,0.294,0.12,0.422,,,4.25,4.05,1.24,-2.39,,,94.5,90.4,,94.5,85.3,,0.115,0.115,0.265,,,,0.214,0.214,0.2,0.28,0.58,0.253,0.182,0.273,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/04,6:40 PM.,KC,CLE,away,Clear.,82,607625,LF,3,0,2,1,0,0,0,0,0,0,1,.253,.300,.387,.687,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,75.0,103.0,95.0,68.0,101.0,92.0,125.0,97.0,105.0,,,,97.0,103.0,103.0,0.185,0.24,0.082,0.135,,0.069,0.7,2.86,0.65,-0.67,,0.08,92.2,90.1,87.4,92.1,85.2,,0.234,0.392,0.176,0.208,0.333,0.291,0.274,0.381,0.129,0.213,0.387,0.2,0.228,0.228,0.23,0.178,0.271,0.339,0.375,0.75,0.109,126.0,100.0,110.0,0.262,1.44,79.4,,93.0,107.0,106.0,0.026,,0.07,,85.7,0.105,0.421,0.351,0.215,0.28,0.285,,,
2024/09/03,6:40 PM.,KC,CLE,away,Clear.,79,663903,RF,5,2,2,0,0,0,0,0,0,2,0,.249,.297,.381,.678,663903,bradysinger,Singer,Right,Brady Singer,KCR,3.71,4.65,179.2,99.0,84.0,94.0,0.769,8.52,2.71,8.77,1.1,1.62,0.191,0.419,0.159,0.326,0.414,80.0,77.0,69.0,63.0,96.0,86.0,70.0,101.0,91.0,106.0,99.0,102.0,,,,,,,0.413,0.113,,0.455,,0.019,-2.09,,0.77,0.0,,-5.71,91.6,,88.1,92.2,82.9,,0.326,0.609,0.197,0.429,0.5,0.111,0.267,0.389,0.127,0.207,0.361,0.354,,,,,,,0.327,0.571,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/31,6:10 PM.,PIT,CLE,home,Cloudy.,76,682847,RF,2,0,0,0,0,0,0,0,0,0,1,.246,.295,.380,.675,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.31,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.286,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,,,,90.0,100.0,94.0,0.258,0.268,0.197,0.268,,0.009,1.02,0.71,1.13,-0.41,,0.21,95.9,91.0,90.6,94.9,85.8,,0.187,0.331,0.208,,,,0.237,0.374,0.129,0.203,0.392,0.31,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/28,1:11 PM.,KC,CLE,home,Cloudy.,83,608379,CF,4,0,1,0,0,0,1,0,0,1,3,.248,.297,.383,.680,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,,,,78.0,100.0,92.0,0.153,0.238,0.114,0.092,,0.322,0.39,-0.94,0.29,-2.39,,2.26,93.6,88.8,81.2,93.6,84.1,,0.279,0.449,0.169,0.169,0.312,0.341,0.252,0.301,0.099,0.371,0.6,0.373,0.319,0.458,0.148,0.357,0.643,0.174,,,,72.0,89.0,92.0,0.081,-1.64,75.2,,,,,,,,,,,,,,,,,,
2024/08/26,1:10 PM.,KC,CLE,home,Sunny.,84,666142,PH,1,0,0,0,0,0,0,0,0,0,0,.250,.300,.388,.688,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,114.0,98.0,103.0,105.0,101.0,106.0,,,,132.0,106.0,114.0,101.0,97.0,101.0,88.0,94.0,91.0,,0.418,0.113,0.128,0.104,0.237,0.85,0.26,,-0.34,0.9,1.43,95.4,90.7,84.8,,86.0,80.8,0.213,0.361,0.231,0.183,0.28,0.478,,,,0.21,0.305,0.337,0.348,0.455,0.228,0.14,0.256,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/26,6:40 PM.,KC,CLE,home,Clear.,85,679525,CF,2,0,0,0,0,0,0,0,0,0,0,.248,.298,.385,.683,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.53,4.97,129.0,99.0,100.0,99.0,0.789,8.58,2.72,8.58,1.33,0.92,0.249,0.42,0.182,0.329,0.429,88.0,95.0,94.0,93.0,98.0,95.0,98.0,99.0,97.0,117.0,99.0,107.0,,,,,,,0.138,0.37,,0.228,,0.1,0.34,,-1.16,-0.57,,0.84,94.2,,86.3,93.6,86.5,,0.208,0.383,0.223,0.204,0.296,0.177,0.317,0.524,0.099,0.29,0.462,0.294,,,,0.263,0.5,0.274,0.2,0.433,0.464,103.0,105.0,103.0,0.164,-1.2,82.8,,,,,,,,,,,,,,,,,,
2024/08/25,1:40 PM.,TEX,CLE,home,Cloudy.,80,674003,PH,1,0,1,0,0,0,0,0,0,0,0,.251,.301,.389,.690,674003,codybradford,Bradford,Left,Cody Bradford,TEX,3.54,3.54,76.1,105.0,94.0,100.0,0.793,8.25,1.53,7.55,1.18,0.82,0.263,0.357,0.138,0.304,0.427,105.0,104.0,109.0,94.0,105.0,93.0,,,,49.0,114.0,107.0,,,,70.0,112.0,85.0,,0.523,0.007,0.07,,0.273,1.75,-3.68,,-0.79,,0.86,89.8,86.4,80.9,,82.7,,0.185,0.344,0.213,0.21,0.333,0.338,,,,0.32,0.48,0.182,,,,0.306,0.556,0.129,,,,96.0,103.0,104.0,0.128,-2.32,74.9,,,,,,,,,,,,,,,,,,
