date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2024/08/30,7:16 PM.,SF,MIA,away,Clear.,63,605483,RF,3,0,1,0,0,0,1,0,0,1,2,.258,.324,.387,.711,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,116.0,96.0,100.0,,,,106.0,87.0,91.0,,,,,0.464,,0.101,0.176,1.16,,,0.11,0.95,95.9,,85.5,,88.7,0.236,0.319,0.476,0.2,0.303,0.244,0.167,0.267,0.446,,,,148.0,99.0,109.0,0.26,2.25,81.1,0.111,0.183,0.498,,,,,,,,,,,,,,,,,,,,,
2024/08/28,6:39 PM.,COL,MIA,away,Partly Cloudy.,92,607536,DH,4,0,0,0,0,0,0,0,0,2,2,.250,.323,.393,.716,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.24,5.11,113.1,103.0,81.0,99.0,0.841,6.75,2.06,10.64,1.75,1.01,0.225,0.421,0.156,0.347,0.435,61.0,100.0,89.0,69.0,104.0,95.0,83.0,106.0,99.0,65.0,103.0,101.0,,,,0.245,0.202,,0.227,0.137,-1.51,,-1.33,-1.11,-1.64,91.6,,86.1,91.4,86.9,0.333,0.647,0.161,0.322,0.522,0.067,0.316,0.589,0.162,,,,,,,,,,0.194,0.276,0.42,0.31,0.556,0.074,,,,,,,,,,,,,0.188,0.07,83.5,128.0,102.0,107.0
2024/08/27,6:40 PM.,COL,MIA,away,Clear.,84,615698,PH,1,1,1,0,0,0,0,0,0,0,0,.292,.370,.458,.828,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,88.0,97.0,103.0,,,,79.0,95.0,89.0,,,,76.0,96.0,93.0,0.402,,0.135,,0.018,,-0.41,-2.0,,1.81,,87.8,84.9,93.8,,0.222,0.222,0.167,,,,,,,,,,98.0,101.0,104.0,0.126,-0.77,79.6,0.25,0.531,0.282,0.35,0.596,0.184,0.296,0.507,0.203,109.0,94.0,97.0,0.32,0.4,86.5,0.206,0.314,0.234,,,,,,
2024/08/24,4:10 PM.,CHC,MIA,home,Roof Closed.,72,684007,3B,4,1,1,0,0,1,1,0,0,0,0,.261,.346,.435,.781,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,50.0,107.0,96.0,0.021,0.52,0.005,0.077,0.039,0.36,-6.3,0.77,0.14,0.48,91.7,89.8,81.6,88.7,81.6,0.194,0.226,0.333,0.229,0.47,0.176,,,,0.267,0.311,0.347,70.0,96.0,97.0,0.032,-0.59,72.7,0.444,0.556,0.0,0.25,0.333,0.37,0.333,1.333,0.143,81.0,106.0,100.0,0.306,1.39,82.9,0.204,0.283,0.431,0.0,-76.55,53.9,,,
2024/08/21,6:40 PM.,AZ,MIA,home,Roof Closed.,72,656756,RF,5,2,3,0,0,0,0,1,0,1,3,.263,.364,.316,.680,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.23,5.18,117.0,99.0,92.0,96.0,0.748,6.38,3.38,11.46,1.08,1.24,0.194,0.428,0.137,0.346,0.37,97.0,100.0,92.0,66.0,98.0,89.0,89.0,95.0,93.0,104.0,95.0,90.0,,,,0.308,0.173,,0.018,0.193,-0.02,,-2.11,3.84,-1.92,92.1,,83.1,91.8,84.2,0.321,0.593,0.386,0.284,0.375,0.184,0.0,0.0,0.5,,,,106.0,102.0,107.0,0.307,-0.83,79.2,0.27,0.453,0.353,0.374,0.577,0.159,,,,,,,,,,,,,,,,,,
2024/08/16,7:11 PM.,NYM,MIA,away,Clear.,79,640455,LF,3,0,0,0,0,0,0,0,0,1,1,.143,.294,.214,.508,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,0.447,0.113,0.071,0.251,0.118,1.13,0.97,1.36,0.37,-1.19,92.3,88.4,85.3,92.3,79.5,0.25,0.438,0.254,0.167,0.295,0.311,0.174,0.435,0.32,0.193,0.311,0.388,,,,,,,,,,0.201,0.333,0.21,0.222,0.25,0.179,,,,,,,,,,,,,,,
2024/08/14,6:41 PM.,PHI,MIA,away,Partly Cloudy.,84,663969,PH,1,0,1,1,0,0,0,0,0,0,0,.182,.357,.273,.630,663969,tylerphillips,Phillips,Right,Tyler Phillips,PHI,6.87,5.97,36.2,100.0,94.0,99.0,0.799,6.87,1.72,11.05,2.21,1.13,0.122,0.496,0.171,0.358,0.419,82.0,110.0,104.0,68.0,92.0,90.0,80.0,101.0,91.0,121.0,95.0,102.0,,,,0.311,0.187,,0.292,0.066,3.13,,-1.15,-2.49,-9.69,92.7,,85.7,93.7,82.5,0.6,1.1,0.182,0.219,0.313,0.214,,,,0.311,0.511,0.329,107.0,112.0,116.0,0.144,-0.37,81.0,0.174,0.304,0.222,0.35,0.7,0.118,,,,,,,,,,,,,,,,,,
2024/08/09,7:10 PM.,SD,MIA,home,Roof Closed.,72,527048,RF,3,0,0,0,0,0,0,0,0,1,0,.100,.308,.100,.408,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,70.0,101.0,93.0,0.358,0.053,0.221,0.0,0.227,-8.23,-0.61,0.57,-51.06,-1.27,91.3,87.9,83.4,90.7,82.8,0.28,0.448,0.341,0.458,0.917,0.043,,,,,,,74.0,102.0,98.0,0.141,0.62,77.9,0.246,0.354,0.29,0.275,0.383,0.097,0.28,0.57,0.212,,,,,,,,,,,,,,,
2024/08/08,6:10 PM.,CIN,MIA,home,Roof Closed.,72,668881,LF,1,0,0,0,0,0,0,0,1,0,1,.143,.400,.143,.543,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.75,3.03,150.1,99.0,124.0,104.0,0.741,10.12,3.41,5.75,0.72,0.7,0.284,0.388,0.199,0.265,0.429,,,,123.0,102.0,104.0,,,,125.0,96.0,103.0,,,,,0.552,,0.346,,1.56,,,0.62,,97.6,,,,86.8,,,,0.184,0.273,0.248,0.161,0.3,0.39,,,,118.0,96.0,101.0,0.018,-2.87,80.9,0.4,1.0,0.2,,,,,,,120.0,89.0,103.0,0.083,-0.79,87.0,0.243,0.405,0.284,,,,,,
2024/08/04,1:35 PM.,ATL,MIA,away,Partly Cloudy.,89,608331,LF,3,1,1,0,0,0,0,0,1,2,3,.167,.375,.167,.542,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,93.0,96.0,94.0,0.158,0.327,0.054,0.115,0.136,0.63,-1.33,1.47,0.5,1.7,93.9,88.5,85.7,93.6,82.1,0.196,0.283,0.251,0.266,0.36,0.182,0.22,0.293,0.297,0.167,0.2,0.358,116.0,103.0,108.0,0.21,1.39,74.6,0.154,0.285,0.371,0.265,0.299,0.137,0.286,0.476,0.286,,,,,,,,,,,,,,,
2024/08/02,7:21 PM.,ATL,MIA,away,Partly Cloudy.,81,680885,RF,1,0,0,0,0,0,0,0,0,0,1,.000,.250,.000,.250,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,,,,110.0,108.0,108.0,93.0,102.0,101.0,110.0,113.0,119.0,94.0,104.0,100.0,0.068,0.291,0.168,0.199,,0.27,0.53,-0.12,0.61,,96.1,92.9,,95.1,87.3,,,,0.24,0.448,0.205,0.225,0.333,0.279,,,,101.0,104.0,108.0,0.146,0.29,80.6,0.236,0.436,0.409,0.231,0.385,0.078,0.27,0.5,0.199,84.0,107.0,109.0,0.128,1.96,84.5,0.147,0.235,0.463,,,,,,
2024/08/01,7:20 PM.,ATL,MIA,away,Partly Cloudy.,89,450203,RF,1,1,0,0,0,0,0,0,1,1,0,.000,.333,.000,.333,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,72.0,99.0,90.0,79.0,96.0,88.0,,,,73.0,92.0,86.0,0.099,0.289,0.078,,0.11,-1.4,-0.75,0.39,,-1.38,94.1,88.5,85.0,93.5,,0.292,0.6,0.333,0.281,0.517,0.193,,,,,,,122.0,98.0,108.0,0.424,0.78,81.5,0.2,0.309,0.342,0.333,0.433,0.07,0.286,0.571,0.149,,,,,,,,,,,,,,,
2024/07/30,6:50 PM.,TB,MIA,away,Dome.,72,605488,RF,1,0,0,0,0,0,0,0,0,1,2,.000,.000,.000,.000,605488,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,3.27,3.7,33.0,99.0,87.0,96.0,0.733,10.09,3.0,9.27,1.36,0.9,0.226,0.441,0.151,0.344,0.351,107.0,102.0,100.0,77.0,98.0,93.0,47.0,55.0,53.0,92.0,106.0,107.0,18.0,84.0,80.0,0.002,0.423,0.023,0.235,0.317,-0.7,-1.54,-3.5,2.84,-1.59,89.8,85.3,79.6,89.8,82.3,0.333,0.439,0.442,0.216,0.49,0.17,0.222,0.222,0.236,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
