date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2023-05-08,6:40 PM.,TEX,SEA,home,Partly Cloudy.,61,592351,DH,3,0,0,0,0,0,0,0,0,2,1,0.176,0.364,0.529,0.893,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,,,,116.0,103.0,109.0,,,,,,,,0.424,,,0.398,0.062,0.116,-1.83,,,,2.33,-1.69,1.71,95.7,,,88.8,,87.2,78.2,,,,,,,0.263,0.737,0.27,0.105,0.211,0.324,0.346,0.551,0.179,0.211,0.268,0.213,,,,,,,,,,,,
2023-05-07,1:11 PM.,HOU,SEA,home,Partly Cloudy.,51,656232,LF,3,0,1,0,0,0,0,0,1,1,2,0.214,0.421,0.643,1.064,656232,brandonbielak,Bielak,Right,Brandon Bielak,HOU,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.394,90.0,100.0,98.0,101.0,90.0,88.0,73.0,97.0,87.0,78.0,99.0,88.0,99.0,93.0,95.0,,,,,,,0.214,0.306,0.004,,0.118,0.111,0.247,-1.15,-0.48,,-0.12,-3.74,-0.81,0.83,92.1,84.4,,87.1,92.1,82.0,79.5,0.338,0.477,0.135,,,,0.217,0.217,0.302,0.333,0.722,0.355,0.273,0.505,0.159,0.227,0.352,0.332,,,,,,,,,,,,
2023-05-06,6:40 PM.,HOU,SEA,home,Cloudy.,58,641585,PH,0,1,0,0,0,0,0,0,1,0,0,0.182,0.4,0.727,1.127,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,,,,109.0,99.0,105.0,116.0,108.0,103.0,,,,,0.431,0.189,,0.091,0.137,0.152,-0.26,0.33,,,-2.09,0.16,2.51,93.0,86.8,,81.8,,80.1,76.0,,,,0.317,0.446,0.22,0.145,0.273,0.422,0.25,0.533,0.298,0.308,0.481,0.106,0.183,0.237,0.308,,,,,,,,,,,,
2023-05-05,7:11 PM.,HOU,SEA,home,Roof Closed.,51,664299,DH,3,1,0,0,0,0,0,0,1,1,1,0.182,0.357,0.727,1.084,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,,,,0.584,,,0.3,,0.041,0.44,,,,-0.09,,-1.29,92.7,,,83.7,,79.5,,,,,,,,0.268,0.366,0.195,0.211,0.367,0.287,0.236,0.455,0.265,0.28,0.36,0.392,,,,91.0,99.0,102.0,0.075,-1.17,76.6,,,
2023-05-04,12:38 PM.,OAK,SEA,away,Cloudy.,59,607968,LF,2,1,1,0,0,1,3,0,1,0,0,0.25,0.4,1.0,1.4,607968,drewrucinski,Rucinski,Right,Drew Rucinski,OAK,9.0,7.35,18.0,93.0,77.0,87.0,0.831,3.0,7.0,13.5,2.5,1.22,0.162,0.446,0.189,0.351,0.397,63.0,88.0,84.0,96.0,117.0,109.0,69.0,87.0,79.0,84.0,90.0,87.0,79.0,97.0,89.0,,,,,,,0.26,0.289,,,0.303,0.071,0.077,-2.27,,,-0.04,-4.74,-14.4,-2.31,89.0,,,83.6,89.1,84.2,78.8,0.259,0.37,0.023,,,,0.667,1.0,0.286,0.375,0.833,0.367,0.294,0.471,0.152,,,,,,,,,,,,,,,
2023-05-03,7:45 PM.,OAK,SEA,away,Overcast.,53,676664,CF,0,0,0,0,0,0,0,0,0,0,0,0.167,0.286,0.667,0.953,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,,,,93.0,102.0,106.0,,,,,,,0.001,0.501,,,0.346,,0.151,-0.84,,,0.63,-0.06,,0.36,93.1,,,84.1,92.1,81.4,,,,,,,,,,,0.21,0.395,0.283,0.256,0.478,0.217,0.277,0.438,0.225,,,,,,,,,,,,
2023-05-02,6:41 PM.,OAK,SEA,away,Cloudy.,54,695243,LF,2,0,0,0,0,0,0,0,0,1,1,0.167,0.286,0.667,0.953,695243,masonmiller,"Miller, M",Right,Mason Miller,OAK,3.78,3.18,33.1,96.0,125.0,103.0,0.762,10.26,4.32,6.48,0.54,0.5,0.39,0.268,0.183,0.268,0.433,83.0,80.0,77.0,,,,136.0,98.0,106.0,,,,113.0,97.0,104.0,117.0,95.0,100.0,,,,,0.555,0.158,,0.238,,0.049,0.94,-1.76,,,1.87,,1.62,98.3,94.1,,90.3,,85.8,,,,,0.375,0.375,0.208,,,,0.118,0.147,0.471,0.219,0.391,0.21,0.0,0.0,0.429,,,,,,,,,,,,
2023-04-30,1:38 PM.,TOR,SEA,away,Roof Closed.,68,605135,LF,4,1,1,0,0,1,4,0,1,2,0,0.25,0.4,1.0,1.4,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,78.0,84.0,84.0,0.393,0.093,0.153,0.033,0.136,0.126,0.065,-3.9,-1.13,-3.07,2.11,-0.72,0.67,1.71,92.4,87.8,82.6,84.1,91.9,75.6,70.7,0.22,0.336,0.144,0.274,0.496,0.253,0.192,0.295,0.318,0.227,0.636,0.191,0.333,0.652,0.206,0.189,0.351,0.1009999999999999,0.375,0.563,0.226,,,,,,,,,
2024-05-03,7:07 PM.,DET,NYY,home,Clear.,57,681857,PR,0,0,0,0,0,0,0,0,0,0,0,0.143,0.25,0.143,0.393,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,,,,,,,0.205,0.234,,,0.278,0.06,0.223,-0.39,,,1.85,2.08,-3.32,-0.05,94.2,,,86.5,94.2,84.8,79.0,0.284,0.385,0.076,,,,0.304,0.652,0.295,0.143,0.194,0.455,0.277,0.386,0.101,0.222,0.344,0.429,,,,,,,,,,,,
2024-04-28,1:10 PM.,MIL,NYY,away,Roof Closed.,65,668964,RF,0,1,0,0,0,0,0,0,1,0,0,0.143,0.25,0.143,0.393,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,96.0,100.0,91.0,,,,0.005,0.401,0.23,,0.21,0.041,0.114,0.58,-0.75,,11.28,1.43,-3.19,1.18,92.9,89.2,,81.1,91.5,85.5,77.8,0.0,0.0,0.0,0.336,0.518,0.123,0.421,0.579,0.194,0.198,0.255,0.248,0.239,0.436,0.194,0.083,0.083,0.444,,,,,,,,,,,,
2024-04-27,6:10 PM.,MIL,NYY,away,Roof Closed.,73,605452,RF,1,1,1,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,605452,joeross,Ross,Right,Joe Ross,MIL,3.77,3.91,74.0,102.0,88.0,98.0,0.752,8.03,3.53,8.76,0.85,0.98,0.29,0.366,0.21,0.321,0.454,81.0,106.0,97.0,110.0,102.0,99.0,84.0,106.0,97.0,85.0,98.0,92.0,94.0,103.0,104.0,,,,,,,0.366,0.16,,,0.373,0.017,0.084,-2.63,,,0.77,0.42,2.4,0.43,94.8,,,90.2,94.8,86.6,83.2,0.248,0.343,0.154,,,,0.0,0.0,0.308,0.237,0.32,0.384,0.288,0.5,0.275,0.286,0.357,0.157,,,,,,,,,,,,
2024-04-26,7:10 PM.,MIL,NYY,away,Roof Closed.,63,607067,LF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,82.0,103.0,96.0,109.0,106.0,108.0,76.0,94.0,88.0,78.0,98.0,96.0,0.311,0.193,0.194,0.088,0.172,0.042,,0.49,-1.34,-2.02,-0.28,1.41,-3.64,,92.9,87.6,86.5,,92.3,82.0,78.7,0.298,0.482,0.115,0.287,0.656,0.168,0.394,0.636,0.18,,,,0.207,0.314,0.248,,,,0.286,0.492,0.277,,,,,,,0.159,0.234,0.227
2024-04-20,1:08 PM.,TB,NYY,home,Partly Cloudy.,60,621107,LF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,108.0,112.0,108.0,61.0,105.0,94.0,91.0,109.0,105.0,122.0,107.0,113.0,85.0,105.0,98.0,,,,0.282,0.09,0.282,,0.097,0.188,0.061,-0.64,1.54,,0.0,0.46,-1.27,0.21,92.4,88.2,,85.6,91.7,79.7,78.8,0.293,0.404,0.133,0.214,0.345,0.223,0.291,0.472,0.333,,,,0.236,0.418,0.248,0.188,0.354,0.105,,,,,,,,,,0.236,0.473,0.203
2024-04-15,7:10 PM.,WSH,LAD,home,Clear.,62,680730,LF,2,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,97.0,96.0,96.0,78.0,101.0,96.0,,,,106.0,107.0,110.0,,,,89.0,94.0,94.0,,0.486,,0.191,0.098,0.225,,0.07,,-0.6,,-0.73,0.47,,92.5,,85.6,,,84.5,80.5,,,,,,,0.252,0.36,0.263,0.238,0.429,0.364,0.276,0.425,0.12,,,,0.233,0.4,0.372,,,,,,,,,
2024-04-10,12:11 PM.,MIN,LAD,away,Sunny.,60,663978,PR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663978,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.84,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,,,,71.0,97.0,96.0,,,,,,,,0.429,,,0.177,0.136,0.259,0.63,,,,-0.21,-1.69,-1.51,93.3,,,82.9,,85.9,78.2,,,,,,,0.326,0.435,0.19,0.264,0.434,0.254,0.277,0.4,0.243,0.283,0.519,0.248,,,,,,,,,,,,
2024-04-08,6:41 PM.,MIN,LAD,away,Partly Cloudy.,49,641927,LF,3,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,84.0,104.0,100.0,,,,,0.381,0.195,,0.118,0.011,0.294,-0.01,-0.86,,,2.03,4.57,1.98,91.7,86.2,,83.4,,80.3,76.0,,,,0.279,0.504,0.229,0.0,0.0,0.375,0.095,0.162,0.307,0.258,0.506,0.222,0.154,0.285,0.395,,,,,,,,,,,,
2024-04-07,1:19 PM.,CHC,LAD,away,Overcast.,47,684007,RF,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,70.0,96.0,97.0,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,50.0,107.0,96.0,81.0,106.0,100.0,0.021,0.52,0.005,0.306,0.077,0.032,0.039,0.36,-6.3,1.39,0.77,0.14,-0.59,0.48,91.7,89.8,82.9,81.6,88.7,81.6,72.7,0.25,0.333,0.37,0.333,1.333,0.143,0.444,0.556,0.0,,,,0.229,0.47,0.176,0.194,0.226,0.333,0.204,0.283,0.431,,,,0.0,-76.55,53.9,0.267,0.311,0.347
2024-04-05,1:20 PM.,CHC,LAD,away,Partly Cloudy.,43,543294,PR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,87.0,109.0,108.0,59.0,94.0,86.0,97.0,106.0,96.0,,,,,,,,,,0.355,0.127,,,,0.131,0.387,-1.51,,,-0.77,,0.52,-0.72,87.7,,,80.9,87.6,,74.3,0.333,0.493,0.106,,,,0.22,0.3,0.244,,,,0.237,0.553,0.209,0.267,0.409,0.239,,,,,,,,,,,,
