date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CU%,CH%,wSI/C,wSL/C,wCU/C,wCH/C,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,KC%,wFA/C,wKC/C,vFA,vKC,FF_ba,FF_slg,FF_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO
2023-07-05,7:10 PM.,LAD,PIT,away,Clear.,69,676272,SS,3,0,1,0,0,0,0,0,0,0,2,0.237,0.286,0.385,0.671,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,107.0,99.0,100.0,153.0,110.0,121.0,0.192,0.174,0.185,0.16,1.75,-1.0,1.25,0.6,88.2,98.8,89.7,80.6,0.258,0.382,0.178,0.133,0.307,0.3989999999999999,0.184,0.303,0.36,0.5,0.75,0.25,130.0,102.0,105.0,0.289,,1.2,,99.0,,0.258,0.367,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04,6:10 PM.,LAD,PIT,away,Clear.,73,686218,SS,0,0,0,0,0,0,0,0,0,0,0,0.235,0.285,0.386,0.671,686218,emmetsheehan,Sheehan,Right,Emmet Sheehan,LAD,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,74.0,99.0,100.0,,,,,,,112.0,98.0,103.0,,0.228,,0.172,,1.57,,0.51,82.9,,85.8,,,,,0.178,0.333,0.476,,,,0.091,0.182,0.412,104.0,96.0,95.0,0.6,,0.04,,95.4,,0.24,0.504,0.2019999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-02,1:36 PM.,MIL,PIT,home,Drizzle.,73,607067,SS,4,0,0,0,0,0,0,0,0,0,1,0.235,0.285,0.386,0.671,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,,,,101.0,105.0,105.0,96.0,105.0,99.0,97.0,109.0,109.0,0.299,0.109,0.079,,0.31,-0.31,-0.94,,,92.6,83.1,78.8,0.253,0.42,0.136,,,,0.242,0.455,0.231,0.226,0.377,0.362,82.0,111.0,99.0,0.193,,2.43,,93.2,,0.135,0.27,0.264,,,,87.0,99.0,95.0,0.265,-0.01,86.7,0.245,0.519,0.293,62.0,96.0,91.0,0.056,-5.76,86.0,0.44,0.84,0.184,,,,,,,,,
2023-07-01,4:46 PM.,MIL,PIT,home,Cloudy.,80,669203,SS,4,1,1,0,1,0,2,0,0,3,0,0.241,0.291,0.395,0.686,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,160.0,104.0,113.0,103.0,97.0,90.0,144.0,110.0,127.0,0.077,0.085,0.171,0.112,-2.42,1.12,1.35,1.07,89.3,95.3,86.0,79.8,0.291,0.564,0.129,0.204,0.258,0.306,0.133,0.211,0.488,0.159,0.275,0.4379999999999999,,,,,,,,,,,,,,,,127.0,101.0,103.0,0.554,1.51,94.4,0.209,0.34,0.2269999999999999,,,,,,,,,,,,,,,,,,
2023-06-30,7:06 PM.,MIL,PIT,home,Partly Cloudy.,83,642547,SS,4,1,1,0,0,0,0,0,0,0,3,0.241,0.292,0.386,0.678,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,85.0,103.0,110.0,,,,115.0,99.0,104.0,,0.218,0.124,0.146,,0.36,0.2,0.15,88.6,,82.4,76.9,,,,0.224,0.388,0.312,0.214,0.381,0.3379999999999999,0.203,0.392,0.46,117.0,104.0,110.0,0.512,,0.89,,94.4,,0.213,0.387,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-27,7:06 PM.,SD,PIT,home,Cloudy.,68,663753,SS,2,0,0,0,0,0,0,0,0,2,1,0.24,0.293,0.39,0.683,663753,reissknehr,Knehr,Right,Reiss Knehr,SDP,15.88,17.38,5.2,91.0,88.0,89.0,0.863,6.35,7.94,15.88,4.76,0.75,0.174,0.609,0.13,0.348,0.423,82.0,82.0,71.0,,,,109.0,69.0,67.0,95.0,101.0,110.0,0.106,0.22,,0.146,-11.72,4.56,,-2.75,88.3,91.9,80.6,,,,,0.333,0.333,0.25,,,,0.0,0.0,0.182,92.0,99.0,99.0,0.276,,-13.72,,93.6,,0.75,1.75,0.067,,,,81.0,90.0,93.0,0.252,-1.07,88.7,0.333,0.5,0.077,,,,,,,,,,,,,,,,,,
2023-06-25,1:40 PM.,MIA,PIT,away,Roof Closed.,72,691587,SS,1,0,1,0,0,0,0,0,1,0,0,0.243,0.297,0.395,0.692,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,86.0,85.0,82.0,91.0,95.0,99.0,,,,101.0,102.0,107.0,,0.308,0.14,0.098,,0.99,1.89,0.99,89.7,,86.4,81.2,,,,0.045,0.045,0.462,0.098,0.171,0.5429999999999999,0.183,0.365,0.477,128.0,100.0,109.0,0.454,,-0.47,,97.5,,0.289,0.585,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-24,4:10 PM.,MIA,PIT,away,Roof Closed.,72,663773,SS,3,0,0,0,0,0,0,0,0,1,1,0.238,0.288,0.391,0.679,663773,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.357,0.121,0.335,0.395,41.0,99.0,76.0,,,,106.0,100.0,99.0,97.0,104.0,108.0,0.526,0.318,,0.026,-0.76,0.98,,-5.28,87.2,94.1,83.2,,0.275,0.55,0.1639999999999999,0.6,0.8,0.231,,,,0.179,0.333,0.3289999999999999,80.0,97.0,87.0,0.089,,-2.17,,93.9,,0.333,0.619,0.095,,,,,,,,,,,,,,,,0.042,-5.4,84.9,0.333,0.733,0.25,,,,,,,,,
2023-06-23,6:42 PM.,MIA,PIT,away,Roof Closed.,72,666200,SS,1,0,1,0,0,0,1,0,0,0,0,0.243,0.294,0.399,0.693,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,,,,82.0,100.0,97.0,111.0,97.0,105.0,0.04,0.289,,0.21,-0.81,-0.26,,-0.09,88.3,96.5,85.1,,0.314,0.686,0.102,0.248,0.429,0.361,,,,0.233,0.389,0.518,106.0,103.0,100.0,0.457,,0.93,,96.7,,0.232,0.384,0.1939999999999999,,,,68.0,87.0,76.0,0.004,0.74,91.4,,,,,,,,,,,,,,,,,,,,,
2023-06-22,6:42 PM.,MIA,PIT,away,Roof Closed.,72,666129,SS,0,0,0,0,0,0,0,0,0,0,0,0.238,0.289,0.395,0.684,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,80.0,97.0,95.0,91.0,102.0,97.0,100.0,102.0,102.0,0.317,0.258,0.084,0.088,1.06,0.45,-4.44,0.73,84.1,90.5,82.8,77.7,0.256,0.377,0.107,0.286,0.327,0.327,0.5,1.059,0.2,0.169,0.302,0.408,79.0,101.0,93.0,0.075,,-1.84,,90.8,,0.325,0.575,0.159,,,,95.0,100.0,97.0,0.177,1.53,87.5,0.243,0.477,0.247,,,,,,,,,,,,,,,,,,
2023-06-21,12:35 PM.,CHC,PIT,home,Sunny.,77,543294,SS,2,0,0,0,0,0,0,0,0,0,1,0.238,0.289,0.395,0.684,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,97.0,79.0,84.0,72.0,110.0,99.0,,,,0.349,,0.035,0.411,0.04,,0.0,1.43,80.7,87.5,,73.3,0.318,0.46,0.08,0.18,0.279,0.324,0.25,0.25,0.4379999999999999,,,,67.0,100.0,93.0,0.205,,-1.61,,87.8,,0.38,0.658,0.1119999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-20,7:05 PM.,CHC,PIT,home,Cloudy.,77,573186,SS,4,0,1,1,0,0,0,0,0,0,0,0.241,0.293,0.4,0.693,573186,marcusstroman,Stroman,Right,Marcus Stroman,CHC,3.95,4.27,136.2,100.0,101.0,99.0,0.793,7.84,3.42,7.9,0.59,2.6,0.207,0.434,0.135,0.302,0.382,,,,139.0,103.0,111.0,102.0,97.0,95.0,78.0,111.0,109.0,0.464,0.051,0.23,,1.08,-0.41,0.34,,,91.4,86.1,84.6,0.245,0.332,0.143,,,,,,,0.184,0.237,0.322,58.0,106.0,91.0,0.082,,0.34,,92.0,,0.154,0.256,0.32,,,,105.0,96.0,98.0,0.096,0.96,89.7,0.26,0.42,0.242,46.0,95.0,91.0,0.077,0.12,86.6,0.205,0.308,0.324,0.24,0.38,0.301,,,,,,
2023-06-19,7:08 PM.,CHC,PIT,home,Partly Cloudy.,85,592767,SS,4,0,0,0,0,0,0,0,0,1,2,0.241,0.294,0.397,0.691,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,,,,,,,77.0,94.0,88.0,,,,0.389,,,,-1.32,,,,,91.9,,,0.314,0.6,0.173,,,,0.229,0.399,0.36,,,,,,,,0.494,,-0.09,,78.6,,,,105.0,102.0,103.0,86.0,94.0,82.0,0.117,-0.51,88.6,0.293,0.463,0.216,,,,,,,,,,,,,,,,,,
2023-06-18,1:11 PM.,MIL,PIT,away,Overcast.,73,642547,SS,3,0,1,0,0,0,0,0,1,0,0,0.248,0.302,0.409,0.711,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,85.0,103.0,110.0,,,,115.0,99.0,104.0,,0.218,0.124,0.146,,0.36,0.2,0.15,88.6,,82.4,76.9,,,,0.224,0.388,0.312,0.214,0.381,0.3379999999999999,0.203,0.392,0.46,117.0,104.0,110.0,0.512,,0.89,,94.4,,0.213,0.387,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-16,7:11 PM.,MIL,PIT,away,Clear.,64,527054,SS,3,0,0,0,0,0,1,0,0,0,0,0.246,0.297,0.41,0.707,527054,julioteheran,Teheran,Right,Julio Teheran,MIL,4.4,4.93,71.2,104.0,85.0,98.0,0.813,6.28,1.63,8.54,1.63,0.97,0.249,0.362,0.118,0.339,0.428,94.0,107.0,89.0,82.0,103.0,103.0,90.0,104.0,100.0,,,,0.387,,0.115,0.118,-0.03,,1.98,-0.54,83.4,90.0,,77.4,0.285,0.472,0.121,0.286,0.514,0.257,0.074,0.185,0.3279999999999999,,,,99.0,109.0,105.0,0.094,,-5.82,,89.2,,0.368,1.105,0.265,,,,79.0,101.0,96.0,0.287,0.93,86.4,0.219,0.359,0.22,,,,,,,,,,,,,,,,,,
2023-06-15,7:05 PM.,CHC,PIT,away,Partly Cloudy.,55,573186,SS,3,0,1,0,0,0,1,0,1,1,2,0.252,0.305,0.42,0.725,573186,marcusstroman,Stroman,Right,Marcus Stroman,CHC,3.95,4.27,136.2,100.0,101.0,99.0,0.793,7.84,3.42,7.9,0.59,2.6,0.207,0.434,0.135,0.302,0.382,,,,139.0,103.0,111.0,102.0,97.0,95.0,78.0,111.0,109.0,0.464,0.051,0.23,,1.08,-0.41,0.34,,,91.4,86.1,84.6,0.245,0.332,0.143,,,,,,,0.184,0.237,0.322,58.0,106.0,91.0,0.082,,0.34,,92.0,,0.154,0.256,0.32,,,,105.0,96.0,98.0,0.096,0.96,89.7,0.26,0.42,0.242,46.0,95.0,91.0,0.077,0.12,86.6,0.205,0.308,0.324,0.24,0.38,0.301,,,,,,
2023-06-14,7:05 PM.,CHC,PIT,away,Clear.,64,592767,SS,1,0,0,0,0,0,0,0,0,0,0,0.25,0.299,0.422,0.721,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,,,,,,,77.0,94.0,88.0,,,,0.389,,,,-1.32,,,,,91.9,,,0.314,0.6,0.173,,,,0.229,0.399,0.36,,,,,,,,0.494,,-0.09,,78.6,,,,105.0,102.0,103.0,86.0,94.0,82.0,0.117,-0.51,88.6,0.293,0.463,0.216,,,,,,,,,,,,,,,,,,
2023-06-13,8:15 PM.,CHC,PIT,away,Overcast.,61,592791,SS,4,0,0,0,0,0,0,0,0,2,1,0.252,0.301,0.425,0.726,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,109.0,111.0,113.0,97.0,107.0,97.0,117.0,113.0,122.0,0.102,0.154,0.149,0.031,0.9,0.75,-0.12,-0.22,86.5,93.9,80.9,80.5,0.296,0.394,0.133,0.28,0.44,0.106,0.198,0.349,0.2,0.233,0.333,0.2739999999999999,87.0,104.0,97.0,0.342,,-0.69,,93.7,,0.261,0.553,0.204,,,,101.0,102.0,99.0,0.222,-0.32,88.6,0.311,0.521,0.2739999999999999,,,,,,,,,,,,,,,,,,
2023-06-11,1:36 PM.,NYM,PIT,home,Partly Cloudy.,81,471911,SS,3,0,1,0,0,0,1,0,0,0,1,0.26,0.311,0.439,0.75,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,108.0,103.0,104.0,88.0,103.0,104.0,91.0,90.0,87.0,104.0,98.0,108.0,0.1,0.184,0.091,0.299,-3.88,-1.99,-1.25,0.12,87.2,91.5,84.1,80.1,0.45,0.725,0.129,0.22,0.314,0.311,0.25,0.594,0.217,0.329,0.575,0.3289999999999999,75.0,95.0,85.0,0.323,,-2.35,,92.7,,0.358,0.651,0.166,,,,86.0,88.0,95.0,0.004,-9.5,89.5,,,,,,,,,,,,,,,,,,,,,
2023-06-10,4:05 PM.,NYM,PIT,home,Partly Cloudy.,81,673540,SS,4,0,0,0,0,0,0,0,0,0,2,0.258,0.31,0.442,0.752,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,91.0,90.0,87.0,,,,100.0,93.0,102.0,,0.116,0.027,,,-0.96,-0.23,,,,82.7,72.8,,,,,,,0.125,0.5,0.444,0.333,0.952,0.245,109.0,97.0,97.0,0.37,,0.17,,95.7,,0.244,0.399,0.173,,,,93.0,95.0,93.0,0.25,2.52,90.8,0.244,0.339,0.182,,,,,,,0.11,0.147,0.595,,,,,,,0.237,0.95,83.2
2023-06-09,7:05 PM.,NYM,PIT,home,Cloudy.,70,656731,SS,5,0,1,1,0,0,0,0,0,0,1,0.267,0.32,0.457,0.777,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,,,,96.0,103.0,106.0,,0.206,0.086,0.149,,-1.04,-0.05,-0.09,87.9,,84.4,77.2,,,,0.264,0.396,0.241,0.167,0.167,0.354,0.264,0.445,0.311,86.0,95.0,89.0,0.557,,-0.4,,94.9,,0.314,0.494,0.184,,,,,,,,,,,,,116.0,83.0,118.0,0.002,5.58,86.1,,,,,,,,,,,,
2023-06-07,12:38 PM.,OAK,PIT,home,Sunny.,69,663687,PH,1,0,1,0,0,0,0,0,0,0,0,0.27,0.325,0.459,0.784,663687,hoganharris,"Harris, H",Left,Hogan Harris,OAK,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.357,0.184,0.316,0.496,75.0,93.0,96.0,69.0,92.0,89.0,,,,,,,,0.078,0.06,0.203,,-2.5,-1.37,0.61,80.1,,77.4,74.9,,,,0.205,0.409,0.368,0.3,0.5,0.2,0.278,0.556,0.188,84.0,98.0,92.0,0.47,,-0.58,,92.6,,0.25,0.442,0.217,,,,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,0.544,0.1669999999999999,,,,,,,,,,,,,,,,,,
