date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023-06-30,6:40 PM.,CWS,OAK,home,Clear.,71,621383,1B,4,1,1,0,0,1,1,0,0,0,2,0.238,0.294,0.393,0.687,621383,tannerbanks,Banks,Left,Tanner Banks,CHW,4.43,4.39,61.0,101.0,88.0,101.0,0.788,7.52,2.36,8.7,1.48,0.86,0.272,0.348,0.103,0.37,0.445,64.0,102.0,96.0,113.0,106.0,109.0,75.0,102.0,99.0,79.0,100.0,95.0,106.0,100.0,102.0,0.028,0.354,0.303,0.151,0.165,-0.84,-1.44,1.17,-3.1,2.23,92.6,86.3,91.4,86.3,80.9,0.162,0.324,0.188,0.225,0.408,0.263,0.291,0.494,0.244,0.5,0.5,0.444,0.31,0.69,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-29,12:37 PM.,NYY,OAK,home,Sunny.,69,657376,C,3,0,1,0,0,0,1,0,0,0,2,0.237,0.295,0.373,0.668,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,31.0,95.0,88.0,,,,,,,68.0,103.0,88.0,109.0,99.0,107.0,0.241,,0.274,,0.015,,-0.2,-0.59,,-7.35,,89.4,93.4,86.0,,0.5,0.5,0.091,0.276,0.559,0.263,,,,0.288,0.447,0.11,0.198,0.314,0.345,146.0,100.0,118.0,96.0,106.0,105.0,0.279,0.191,0.27,-0.46,91.3,83.7,0.28,0.457,0.222,,,,,,,,,,,,,,,,,,
2023-06-28,6:40 PM.,NYY,OAK,home,Partly Cloudy.,59,593334,DH,3,0,0,0,0,0,0,0,0,0,0,0.235,0.297,0.374,0.671,593334,domingogerman,Germán,Right,Domingo Germán,NYY,4.56,4.3,108.2,100.0,92.0,98.0,0.707,9.44,2.82,6.87,1.66,0.97,0.159,0.486,0.166,0.328,0.416,96.0,98.0,95.0,94.0,102.0,104.0,89.0,100.0,97.0,82.0,95.0,87.0,,,,0.105,0.277,,0.409,0.209,-1.75,0.95,,1.5,1.01,92.3,85.8,92.4,,82.9,0.2,0.306,0.322,,,,0.321,0.741,0.19,0.15,0.325,0.13,0.174,0.344,0.3929999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-27,6:40 PM.,NYY,OAK,home,Partly Cloudy.,58,666745,1B,1,0,0,0,0,0,0,0,0,0,1,0.241,0.304,0.384,0.688,666745,jhonybrito,Brito,Right,Jhony Brito,NYY,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.399,0.134,0.347,0.424,87.0,104.0,106.0,,,,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,0.327,0.166,0.113,,0.29,-0.97,1.05,0.17,,0.5,95.8,88.8,96.0,83.0,,0.232,0.392,0.282,0.172,0.31,0.28,0.167,0.5,0.179,0.282,0.436,0.149,0.348,0.696,0.188,,,,,,,,0.104,,-1.87,,80.4,,,,,,,,,,,,,,,,,,,,,
2023-06-25,1:38 PM.,TOR,OAK,away,Sunny.,77,579328,1B,3,0,1,1,0,0,0,0,1,1,0,0.243,0.306,0.387,0.693,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,0.451,0.259,0.193,0.097,0.05,,1.11,0.24,-1.83,95.1,88.7,,88.7,83.1,0.254,0.508,0.193,0.225,0.396,0.302,0.27,0.412,0.268,,,,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-23,7:08 PM.,TOR,OAK,away,Roof Closed.,68,605135,1B,1,0,0,0,0,0,0,0,0,0,1,0.241,0.3,0.38,0.68,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,0.393,0.093,0.136,0.126,0.065,-3.9,2.11,-0.72,0.67,1.71,92.4,84.1,91.9,75.6,70.7,0.189,0.351,0.1009999999999999,0.227,0.636,0.191,0.333,0.652,0.206,0.22,0.336,0.144,0.192,0.295,0.318,,,,95.0,105.0,102.0,0.153,,-1.13,,87.8,,0.274,0.496,0.253,78.0,84.0,84.0,0.033,-3.07,82.6,,,,0.375,0.563,0.226,,,,,,
2023-06-22,1:11 PM.,CLE,OAK,away,Cloudy.,71,671106,C,4,0,0,0,0,0,0,0,0,0,2,0.243,0.303,0.383,0.686,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,,,,82.0,101.0,95.0,,,,108.0,98.0,101.0,,0.451,0.247,,0.213,-0.12,,-0.74,,1.49,91.4,82.7,,79.3,,0.191,0.223,0.33,0.3,0.3,0.368,0.257,0.482,0.177,,,,,,,,,,110.0,97.0,98.0,0.089,,-2.1,,86.3,,0.462,0.692,0.17,,,,,,,,,,,,,,,,,,
2023-06-20,7:01 PM.,CLE,OAK,away,Cloudy.,80,650644,1B,1,0,0,0,0,0,0,0,0,0,0,0.252,0.313,0.398,0.711,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,,,,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,0.185,0.123,0.058,0.244,,-0.65,1.59,0.15,0.77,,91.8,,92.4,82.5,78.1,,,,0.172,0.345,0.2319999999999999,0.359,0.436,0.243,0.202,0.292,0.144,0.188,0.323,0.273,,,,96.0,104.0,103.0,0.372,,1.13,,87.7,,0.261,0.406,0.2339999999999999,58.0,95.0,95.0,0.017,-6.33,85.2,,,,0.5,0.625,0.182,,,,,,
2023-06-18,1:08 PM.,PHI,OAK,home,Sunny.,68,554430,1B,1,0,1,0,0,0,1,0,0,0,0,0.255,0.316,0.402,0.718,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,105.0,105.0,107.0,107.0,101.0,111.0,0.18,0.435,0.123,0.115,0.004,1.69,1.62,0.36,-1.61,-6.22,95.8,90.8,95.2,84.4,81.4,,,,0.198,0.36,0.392,0.199,0.333,0.314,0.252,0.308,0.192,0.264,0.473,0.33,,,,96.0,102.0,102.0,0.144,,-0.63,,90.9,,0.27,0.426,0.228,,,,,,,,,,,,,,,,,,
2023-06-17,1:10 PM.,PHI,OAK,home,Sunny.,66,650911,C,5,1,3,1,0,1,2,0,0,0,1,0.248,0.31,0.396,0.706,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,,,,71.0,104.0,97.0,123.0,100.0,100.0,0.462,,0.211,,0.327,,0.65,0.2,,1.1,,81.8,92.1,82.7,,0.148,0.274,0.43,0.25,0.456,0.297,,,,0.297,0.523,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
