date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2023-03-30,3:10 PM.,TB,DET,away,Dome.,72,663556,3B,3,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,663556,shanemcclanahan,McClanahan,Left,Shane McClanahan,TBR,3.29,4.13,115.0,102.0,112.0,106.0,0.694,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,107.0,102.0,105.0,0.419,0.153,0.17,0.258,-0.34,-0.27,1.12,2.65,96.8,86.9,89.3,83.5,0.269,0.479,0.233,0.153,0.191,0.541,0.261,0.58,0.291,0.197,0.344,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,6:40 PM.,COL,DET,home,Clear.,82,685299,3B,0,0,0,0,0,0,0,0,0,0,0,0.119,0.2,0.169,0.369,685299,tannergordon,Gordon,Right,Tanner Gordon,COL,8.65,5.94,34.1,108.0,86.0,100.0,0.834,6.82,1.57,13.89,2.62,0.94,0.232,0.448,0.12,0.328,0.479,83.0,107.0,103.0,83.0,118.0,93.0,74.0,108.0,100.0,100.0,111.0,102.0,0.488,0.267,0.044,0.191,-1.03,-2.41,-15.33,-4.31,92.0,83.9,85.2,80.4,0.338,0.574,0.119,0.371,0.743,0.234,0.324,0.618,0.284,0.545,1.091,0.2,101.0,114.0,106.0,,,,0.01,,,6.83,,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,6:40 PM.,COL,DET,home,Clear.,77,687134,CF,0,0,0,0,0,0,0,0,0,0,0,0.119,0.2,0.169,0.369,687134,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,5.87,6.58,30.2,95.0,90.0,93.0,0.821,5.87,5.87,10.27,1.17,0.89,0.179,0.387,0.142,0.434,0.426,,,,103.0,110.0,109.0,78.0,91.0,86.0,123.0,100.0,103.0,0.474,0.204,0.115,,-1.33,1.78,-0.99,,93.5,,85.3,79.4,0.321,0.5,0.153,,,,0.156,0.219,0.283,0.188,0.5,0.167,,,,85.0,93.0,94.0,,0.038,-4.12,,88.8,,,,,,,,,,,75.0,84.0,87.0,0.168,,-2.77,,85.2,,0.4,0.7,0.314,,,,,,
2024-09-08,1:08 PM.,OAK,DET,away,Sunny.,76,669372,3B,1,0,0,0,0,0,0,0,0,0,3,0.119,0.2,0.169,0.369,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,,,,72.0,76.0,78.0,107.0,102.0,103.0,0.035,0.309,,0.146,1.23,2.3,,-0.36,92.2,87.0,85.3,,0.0,0.0,0.333,0.389,0.556,0.375,0.158,0.237,0.355,,,,100.0,102.0,99.0,,,,0.511,,,-0.98,,92.9,0.319,0.472,0.205,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-07,1:07 PM.,OAK,DET,away,Sunny.,74,669620,3B,0,0,0,0,0,0,0,2,1,0,0,0.121,0.203,0.172,0.375,669620,bradybasso,Basso,Left,Brady Basso,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,79.0,112.0,110.0,77.0,100.0,95.0,,,,0.469,,0.206,0.123,2.37,,1.0,-3.63,92.2,86.4,,76.4,0.225,0.325,0.165,0.357,0.571,0.227,,,,0.2,0.2,0.385,43.0,110.0,99.0,102.0,107.0,103.0,0.023,0.18,-2.37,-1.21,88.1,92.0,,,,0.385,0.615,0.308,,,,,,,,,,,,,,,,,,,,,
2024-09-06,6:41 PM.,OAK,DET,away,Clear.,73,687765,DH,1,2,0,0,0,0,0,0,0,0,1,0.121,0.19,0.172,0.362,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,118.0,117.0,117.0,,,,121.0,105.0,109.0,,0.326,0.121,0.011,,0.01,-0.82,-7.88,,88.4,84.3,80.4,,,,0.571,0.857,0.0,0.278,0.493,0.276,0.196,0.351,0.31,40.0,97.0,84.0,99.0,100.0,96.0,0.146,0.396,-0.41,-1.41,90.7,91.9,0.338,0.403,0.16,0.278,0.472,0.176,,,,,,,,,,,,,,,,,,,,,
2024-09-05,5:43 PM.,SD,DET,away,Clear.,85,527048,SS,2,0,0,0,0,0,0,0,0,1,1,0.123,0.194,0.175,0.369,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,74.0,102.0,98.0,56.0,92.0,86.0,70.0,111.0,119.0,0.053,0.0,0.141,0.227,-8.23,-51.06,0.62,-1.27,91.3,83.4,82.8,77.9,0.458,0.917,0.043,0.28,0.448,0.341,,,,0.246,0.354,0.29,78.0,101.0,93.0,70.0,101.0,93.0,0.358,0.221,-0.61,0.57,87.9,90.7,0.275,0.383,0.097,0.28,0.57,0.212,,,,,,,,,,,,,,,,,,,,,
2024-09-04,6:42 PM.,SD,DET,away,Clear.,80,506433,3B,0,0,0,0,0,0,0,0,0,0,0,0.127,0.2,0.182,0.382,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,3.31,3.62,81.2,102.0,101.0,102.0,0.755,8.6,2.42,7.16,1.32,0.89,0.171,0.504,0.154,0.325,0.467,,,,85.0,94.0,102.0,97.0,104.0,102.0,118.0,100.0,106.0,0.19,0.371,0.086,,-0.19,0.6,0.49,,94.0,,84.4,73.8,0.21,0.403,0.151,,,,0.269,0.478,0.286,0.162,0.243,0.364,88.0,104.0,98.0,80.0,103.0,97.0,0.168,0.044,2.98,-0.28,90.6,93.6,0.255,0.473,0.176,0.0,0.0,0.346,89.0,114.0,112.0,110.0,99.0,99.0,0.09,0.051,0.68,2.13,87.9,78.7,0.167,0.333,0.328,0.214,0.333,0.261,,,
2024-09-01,1:41 PM.,BOS,DET,home,Partly Cloudy.,80,681867,3B,0,0,0,0,0,0,0,0,0,0,0,0.127,0.2,0.182,0.382,681867,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.08,4.31,99.1,102.0,100.0,99.0,0.848,6.61,2.81,9.33,0.91,1.51,0.208,0.486,0.153,0.358,0.41,99.0,103.0,102.0,,,,,,,110.0,95.0,99.0,,0.288,,0.261,,-1.92,,0.55,,84.4,77.1,,,,,0.256,0.338,0.171,0.429,0.857,0.154,,,,102.0,108.0,100.0,79.0,103.0,93.0,0.297,0.154,0.64,0.48,86.4,89.1,0.33,0.511,0.073,0.163,0.306,0.294,,,,,,,,,,,,,,,,0.287,0.479,0.207,,,
2024-08-31,6:10 PM.,BOS,DET,home,Partly Cloudy.,85,601713,3B,3,0,1,0,0,0,0,0,0,0,1,0.127,0.2,0.182,0.382,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,118.0,104.0,104.0,122.0,105.0,108.0,155.0,103.0,111.0,0.486,0.291,0.163,,0.73,-0.1,0.61,,93.9,,82.6,80.0,0.239,0.399,0.218,,,,0.143,0.393,0.326,0.167,0.4,0.206,,,,104.0,96.0,82.0,,0.059,-4.63,,88.3,,,,,0.394,0.879,0.211,,,,,,,,,,,,,,,,0.224,0.436,0.35,,,
2024-08-30,6:40 PM.,BOS,DET,home,Clear.,91,656557,SS,1,0,0,0,0,0,0,0,0,1,0,0.115,0.193,0.173,0.366,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,,,,,,,116.0,98.0,108.0,,0.414,,,,0.54,,,,,83.2,,,,,,,,,,,,,,93.0,102.0,97.0,95.0,93.0,93.0,0.324,0.015,-0.95,0.67,87.1,93.5,0.27,0.325,0.142,0.2,0.4,0.235,,,,116.0,103.0,109.0,0.248,,1.74,,88.4,,0.195,0.265,0.208,0.23,0.357,0.302,,,
2024-08-28,8:30 PM.,LAA,DET,home,Cloudy.,79,656288,SS,0,0,0,0,0,0,0,0,0,0,0,0.118,0.196,0.176,0.372,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,75.0,96.0,96.0,73.0,94.0,86.0,107.0,100.0,110.0,0.376,0.24,0.107,0.267,-0.85,-0.91,-0.86,0.48,93.4,88.6,87.7,80.6,0.251,0.529,0.147,0.259,0.387,0.288,0.284,0.444,0.331,0.271,0.438,0.241,76.0,89.0,78.0,,,,0.01,,,-6.83,,93.0,0.429,0.857,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-27,9:25 PM.,LAA,DET,home,Clear.,75,456501,3B,3,0,0,0,0,0,0,0,0,1,0,0.118,0.196,0.176,0.372,456501,johnnycueto,Cueto,Right,Johnny Cueto,LAA,7.15,11.85,11.1,96.0,77.0,92.0,0.859,4.76,2.38,11.12,3.18,0.94,0.171,0.317,0.122,0.39,0.419,72.0,97.0,94.0,146.0,62.0,70.0,60.0,101.0,100.0,79.0,88.0,77.0,0.09,0.204,0.006,0.287,-5.59,-2.9,-3.5,-3.63,91.0,81.2,85.6,78.4,0.333,1.333,0.25,0.308,0.846,0.259,0.333,0.833,0.0,,,,87.0,100.0,97.0,48.0,92.0,89.0,0.359,0.054,0.33,-0.93,87.2,91.1,0.273,0.455,0.071,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
2024-08-24,6:10 PM.,CWS,DET,away,Cloudy.,86,681066,LF,4,1,0,0,0,0,0,0,1,1,2,0.125,0.208,0.188,0.396,681066,kybush,Bush,Left,Ky Bush,CHW,5.6,5.35,17.2,91.0,81.0,89.0,0.793,5.6,8.15,10.19,1.02,0.81,0.322,0.39,0.119,0.356,0.388,69.0,91.0,89.0,76.0,101.0,94.0,75.0,92.0,87.0,103.0,83.0,88.0,0.509,0.244,0.149,0.098,-3.27,-0.25,-1.98,4.54,91.7,85.9,82.5,73.4,0.412,0.647,0.188,0.0,0.0,0.308,0.118,0.294,0.257,0.364,0.364,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,7:11 PM.,CWS,DET,away,Clear.,80,623167,SS,0,0,0,0,0,0,0,0,0,0,0,0.136,0.208,0.205,0.413,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,83.0,98.0,101.0,2.0,93.0,82.0,148.0,102.0,103.0,0.37,0.087,0.122,0.157,-0.64,-2.65,0.43,-1.32,91.3,81.3,80.0,72.0,0.261,0.473,0.132,0.257,0.436,0.379,0.361,0.475,0.271,0.246,0.393,0.308,74.0,108.0,87.0,47.0,101.0,90.0,0.002,0.261,-0.75,2.01,87.4,91.4,,,,0.319,0.536,0.218,,,,,,,,,,,,,,,,,,,,,
2024-08-01,6:40 PM.,KC,DET,home,Partly Cloudy.,87,607625,SS,2,0,0,0,0,0,0,0,0,0,1,0.136,0.208,0.205,0.413,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,126.0,100.0,110.0,75.0,103.0,95.0,125.0,97.0,105.0,0.24,0.135,0.262,0.069,0.7,-0.67,1.44,0.08,92.2,87.4,85.2,79.4,0.234,0.392,0.176,0.208,0.333,0.291,0.213,0.387,0.2,0.178,0.271,0.339,68.0,101.0,92.0,97.0,103.0,103.0,0.185,0.082,2.86,0.65,90.1,92.1,0.274,0.381,0.129,0.228,0.228,0.23,,,,93.0,107.0,106.0,0.026,,0.07,,85.7,,0.105,0.421,0.351,0.375,0.75,0.109,0.215,0.28,0.285
2024-07-29,6:40 PM.,CLE,DET,home,Partly Cloudy.,83,676440,SS,2,0,1,0,0,0,0,1,0,0,0,0.143,0.217,0.214,0.431,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,113.0,102.0,109.0,0.434,0.278,0.105,0.18,-0.69,1.74,-0.9,0.13,94.6,82.5,86.2,81.3,0.282,0.476,0.213,0.238,0.431,0.291,0.196,0.411,0.299,0.208,0.458,0.184,89.0,64.0,93.0,,,,0.003,,,-1.41,,93.9,,,,0.141,0.225,0.368,,,,,,,,,,,,,,,,,,,,,
2024-07-07,1:41 PM.,CIN,DET,away,Partly Cloudy.,86,668933,SS,0,0,0,0,0,0,0,0,0,0,0,0.125,0.205,0.2,0.405,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.18,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.285,0.43,87.0,78.0,79.0,,,,,,,119.0,98.0,109.0,,0.319,,0.03,,1.37,,-3.78,,90.5,88.4,,,,,0.333,0.333,0.2,0.145,0.217,0.372,,,,71.0,100.0,83.0,125.0,99.0,92.0,0.172,0.479,-1.57,-2.72,95.6,94.8,0.333,0.5,0.119,0.329,0.52,0.161,,,,,,,,,,,,,,,,,,,,,
2024-07-06,4:11 PM.,CIN,DET,away,Partly Cloudy.,85,668881,SS,2,0,0,0,0,0,0,0,0,0,1,0.125,0.205,0.2,0.405,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.75,3.03,150.1,99.0,124.0,104.0,0.741,10.12,3.41,5.75,0.72,0.7,0.284,0.388,0.199,0.265,0.429,,,,118.0,96.0,101.0,123.0,102.0,104.0,125.0,96.0,103.0,0.552,0.346,0.018,,1.56,0.62,-2.87,,97.6,,86.8,80.9,0.184,0.273,0.248,,,,0.161,0.3,0.39,0.4,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,120.0,89.0,103.0,0.083,,-0.79,,87.0,,0.243,0.405,0.284,,,,,,
2024-07-05,7:17 PM.,CIN,DET,away,Partly Cloudy.,80,686730,SS,4,0,0,0,0,0,0,0,0,3,0,0.132,0.214,0.211,0.425,686730,carsonspiers,Spiers,Right,Carson Spiers,CIN,5.46,4.84,90.2,103.0,89.0,100.0,0.805,7.94,2.68,11.12,1.99,0.79,0.265,0.413,0.195,0.339,0.452,69.0,102.0,90.0,,,,76.0,101.0,95.0,121.0,106.0,113.0,0.299,0.245,,0.121,-1.66,-1.23,,-5.43,92.4,86.7,81.5,,0.256,0.462,0.205,0.396,0.774,0.198,0.0,0.0,0.4,,,,80.0,107.0,99.0,82.0,103.0,98.0,0.175,0.16,-0.84,0.68,87.8,92.1,0.3,0.5,0.122,0.321,0.547,0.195,,,,,,,,,,,,,,,,0.291,0.544,0.319,,,
2024-07-03,7:11 PM.,MIN,DET,away,Partly Cloudy.,83,701581,SS,0,0,0,0,0,0,0,0,0,0,0,0.147,0.237,0.235,0.472,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,,,,107.0,96.0,99.0,118.0,103.0,105.0,0.402,0.318,,0.28,-0.79,1.48,,-1.14,94.7,88.4,86.1,,0.304,0.544,0.194,0.237,0.463,0.394,0.207,0.315,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,6:41 PM.,MIN,DET,away,Overcast.,72,680573,SS,3,1,1,0,0,1,2,0,0,0,0,0.147,0.237,0.235,0.472,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,106.0,103.0,102.0,71.0,100.0,88.0,92.0,108.0,106.0,0.403,0.312,0.093,0.193,0.82,0.76,1.68,-3.33,93.1,82.8,86.4,76.1,0.258,0.356,0.219,0.311,0.622,0.205,0.214,0.313,0.239,0.186,0.326,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
