date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2024-09-16,6:40 PM.,KC,DET,away,Partly Cloudy.,86,607625,3B,1,0,0,0,0,0,0,0,0,1,1,0.217,0.341,0.261,0.602,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,75.0,103.0,95.0,125.0,97.0,105.0,,,,97.0,103.0,103.0,0.185,0.24,0.082,0.135,,0.069,0.7,2.86,0.65,-0.67,,0.08,92.2,90.1,87.4,92.1,85.2,,0.234,0.392,0.176,0.178,0.271,0.339,0.213,0.387,0.2,0.228,0.228,0.23,0.208,0.333,0.291,0.274,0.381,0.129,126.0,100.0,110.0,0.262,1.44,79.4,68.0,101.0,92.0,93.0,107.0,106.0,0.026,0.07,85.7,0.105,0.421,0.351,0.215,0.28,0.285,0.375,0.75,0.109
2024-09-15,12:10 PM.,BAL,DET,home,Sunny.,81,700249,DH,1,0,0,0,0,0,0,0,0,0,0,0.221,0.346,0.265,0.611,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,81.0,97.0,93.0,113.0,107.0,108.0,,,,97.0,94.0,94.0,0.084,0.407,0.075,0.13,,0.109,0.56,-3.12,0.86,-0.43,,-2.05,92.4,88.3,86.1,91.5,82.6,,0.223,0.379,0.185,0.333,0.517,0.269,,,,0.333,0.81,0.288,0.25,0.542,0.235,0.2,0.24,0.103,93.0,101.0,104.0,0.196,-2.26,76.3,80.0,98.0,90.0,,,,,,,,,,,,,0.232,0.411,0.276
2024-09-14,6:10 PM.,BAL,DET,home,Clear.,81,669203,3B,1,0,0,0,0,0,0,0,1,1,0,0.224,0.35,0.269,0.619,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,,,,133.0,105.0,120.0,,,,125.0,105.0,108.0,0.078,,0.45,0.146,,0.11,,1.37,-0.5,0.7,,0.2,,95.3,89.2,97.0,87.2,,,,,0.2,0.326,0.378,0.196,0.268,0.463,0.251,0.362,0.19,0.194,0.339,0.377,0.235,0.412,0.157,109.0,101.0,106.0,0.215,0.44,80.3,104.0,95.0,89.0,,,,,,,,,,,,,0.125,0.5,0.457
2024-09-12,1:10 PM.,COL,DET,home,Sunny.,82,663372,3B,1,1,0,0,0,0,0,0,1,0,0,0.227,0.346,0.273,0.619,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,81.0,102.0,96.0,109.0,99.0,104.0,,,,,,,0.128,0.37,,0.254,,0.147,0.63,,-0.45,-0.87,,-1.02,94.6,,85.2,94.2,87.4,,0.24,0.376,0.177,0.164,0.26,0.248,0.355,0.523,0.226,,,,0.299,0.485,0.394,0.299,0.403,0.159,108.0,107.0,113.0,0.101,1.28,79.2,93.0,93.0,89.0,,,,,,,,,,,,,0.156,0.375,0.35
2024-09-11,6:40 PM.,COL,DET,home,Clear.,82,685299,3B,3,1,1,0,0,0,0,0,0,1,3,0.231,0.342,0.277,0.619,685299,tannergordon,Gordon,Right,Tanner Gordon,COL,8.65,5.94,34.1,108.0,86.0,100.0,0.834,6.82,1.57,13.89,2.62,0.94,0.232,0.448,0.12,0.328,0.479,83.0,107.0,103.0,74.0,108.0,100.0,100.0,111.0,102.0,,,,,,,0.01,0.488,,0.267,,0.191,-1.03,,6.83,-2.41,,-4.31,92.0,,83.9,93.3,85.2,,0.338,0.574,0.119,0.545,1.091,0.2,0.324,0.618,0.284,,,,0.371,0.743,0.234,,,,83.0,118.0,93.0,0.044,-15.33,80.4,101.0,114.0,106.0,,,,,,,,,,,,,,,
2024-09-10,6:40 PM.,COL,DET,home,Clear.,77,687134,3B,2,2,0,0,0,0,0,0,2,1,2,0.226,0.342,0.274,0.616,687134,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,5.87,6.58,30.2,95.0,90.0,93.0,0.821,5.87,5.87,10.27,1.17,0.89,0.179,0.387,0.142,0.434,0.426,,,,78.0,91.0,86.0,123.0,100.0,103.0,,,,85.0,93.0,94.0,,0.474,0.038,0.204,,,-1.33,-4.12,,1.78,,,93.5,88.8,,,85.3,,0.321,0.5,0.153,0.188,0.5,0.167,0.156,0.219,0.283,,,,,,,,,,103.0,110.0,109.0,0.115,-0.99,79.4,,,,75.0,84.0,87.0,0.168,-2.77,85.2,0.4,0.7,0.314,,,,,,
2024-09-08,1:08 PM.,OAK,DET,away,Sunny.,76,669372,3B,3,1,1,1,0,0,0,0,0,1,2,0.233,0.333,0.283,0.616,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,72.0,76.0,78.0,107.0,102.0,103.0,,,,,,,0.511,0.035,,0.309,,0.146,1.23,,-0.98,2.3,,-0.36,92.2,,87.0,92.9,85.3,,0.0,0.0,0.333,,,,0.158,0.237,0.355,,,,0.389,0.556,0.375,0.319,0.472,0.205,,,,,,,100.0,102.0,99.0,,,,,,,,,,,,,,,
2024-09-07,1:07 PM.,OAK,DET,away,Sunny.,74,669620,3B,1,0,0,0,0,0,0,0,0,1,2,0.228,0.333,0.263,0.596,669620,bradybasso,Basso,Left,Brady Basso,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,77.0,100.0,95.0,,,,,,,102.0,107.0,103.0,0.023,0.469,0.18,,,0.123,2.37,-2.37,-1.21,,,-3.63,92.2,88.1,86.4,92.0,,,0.225,0.325,0.165,0.2,0.2,0.385,,,,0.385,0.615,0.308,0.357,0.571,0.227,,,,79.0,112.0,110.0,0.206,1.0,76.4,43.0,110.0,99.0,,,,,,,,,,,,,,,
2024-09-06,6:41 PM.,OAK,DET,away,Clear.,73,687765,DH,3,0,2,0,0,0,0,0,0,1,0,0.232,0.338,0.268,0.606,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,,,,121.0,105.0,109.0,,,,99.0,100.0,96.0,0.146,,0.396,0.326,,0.011,,-0.41,-1.41,0.01,,-7.88,,90.7,88.4,91.9,84.3,,,,,0.196,0.351,0.31,0.278,0.493,0.276,0.278,0.472,0.176,0.571,0.857,0.0,0.338,0.403,0.16,118.0,117.0,117.0,0.121,-0.82,80.4,40.0,97.0,84.0,,,,,,,,,,,,,,,
2024-09-05,5:43 PM.,SD,DET,away,Clear.,85,527048,PH,0,1,0,0,0,0,0,0,1,0,0,0.208,0.323,0.245,0.568,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,56.0,92.0,86.0,70.0,111.0,119.0,,,,70.0,101.0,93.0,0.358,0.053,0.221,0.0,,0.227,-8.23,-0.61,0.57,-51.06,,-1.27,91.3,87.9,83.4,90.7,82.8,,0.458,0.917,0.043,0.246,0.354,0.29,,,,0.28,0.57,0.212,0.28,0.448,0.341,0.275,0.383,0.097,74.0,102.0,98.0,0.141,0.62,77.9,78.0,101.0,93.0,,,,,,,,,,,,,,,
2024-09-04,6:42 PM.,SD,DET,away,Clear.,80,506433,3B,1,1,1,0,0,0,0,0,1,0,0,0.208,0.311,0.245,0.556,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,3.31,3.62,81.2,102.0,101.0,102.0,0.755,8.6,2.42,7.16,1.32,0.89,0.171,0.504,0.154,0.325,0.467,,,,97.0,104.0,102.0,118.0,100.0,106.0,89.0,114.0,112.0,80.0,103.0,97.0,0.168,0.19,0.044,0.371,0.051,,-0.19,2.98,-0.28,0.6,2.13,,94.0,90.6,,93.6,84.4,78.7,0.21,0.403,0.151,0.162,0.243,0.364,0.269,0.478,0.286,0.0,0.0,0.346,,,,0.255,0.473,0.176,85.0,94.0,102.0,0.086,0.49,73.8,88.0,104.0,98.0,110.0,99.0,99.0,0.09,0.68,87.9,0.167,0.333,0.328,,,,0.214,0.333,0.261
2024-09-02,3:42 PM.,SD,DET,away,Sunny.,77,605397,3B,4,0,0,0,0,0,0,0,0,1,1,0.192,0.288,0.231,0.519,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,95.0,100.0,95.0,145.0,98.0,106.0,,,,110.0,108.0,104.0,0.044,0.246,0.204,0.203,,0.078,-0.74,1.35,0.44,1.05,,-3.1,93.0,89.7,87.1,92.6,82.2,,0.253,0.494,0.231,0.203,0.319,0.328,,,,0.298,0.405,0.25,0.353,0.618,0.379,0.348,0.435,0.146,168.0,98.0,103.0,0.225,-0.1,81.6,69.0,111.0,96.0,,,,,,,,,,,,,0.169,0.351,0.338
2024-09-01,1:41 PM.,BOS,DET,home,Partly Cloudy.,80,681867,3B,3,0,0,0,0,0,0,0,0,1,1,0.208,0.309,0.25,0.559,681867,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.08,4.31,99.1,102.0,100.0,99.0,0.848,6.61,2.81,9.33,0.91,1.51,0.208,0.486,0.153,0.358,0.41,99.0,103.0,102.0,,,,110.0,95.0,99.0,,,,79.0,103.0,93.0,0.297,,0.154,0.288,,0.261,,0.64,0.48,-1.92,,0.55,,86.4,84.4,89.1,77.1,,,,,,,,0.429,0.857,0.154,0.163,0.306,0.294,0.256,0.338,0.171,0.33,0.511,0.073,,,,,,,102.0,108.0,100.0,,,,,,,,,,,,,0.287,0.479,0.207
2024-08-30,6:40 PM.,BOS,DET,home,Clear.,91,656557,3B,5,0,0,0,0,0,0,0,0,2,2,0.222,0.327,0.267,0.594,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,,,,116.0,98.0,108.0,,,,95.0,93.0,93.0,0.324,,0.015,0.414,,,,-0.95,0.67,0.54,,,,87.1,,93.5,83.2,,,,,,,,,,,0.2,0.4,0.235,,,,0.27,0.325,0.142,,,,,,,93.0,102.0,97.0,116.0,103.0,109.0,0.248,1.74,88.4,0.195,0.265,0.208,,,,0.23,0.357,0.302
2024-08-29,1:10 PM.,LAA,DET,home,Overcast.,72,686799,3B,3,0,1,1,0,0,0,0,0,0,2,0.25,0.362,0.3,0.662,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,,,,,,,,,,0.724,0.062,,,,0.03,-1.87,,0.89,,,-3.35,96.3,,88.3,95.8,,,0.167,0.5,0.364,0.235,0.412,0.25,,,,,,,0.333,0.444,0.067,0.286,0.411,0.121,111.0,95.0,106.0,0.184,-1.06,85.0,99.0,103.0,102.0,,,,,,,,,,,,,,,
2024-08-28,8:30 PM.,LAA,DET,home,Cloudy.,79,656288,3B,1,1,0,0,0,0,0,0,2,0,0,0.243,0.364,0.27,0.634,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,73.0,94.0,86.0,107.0,100.0,110.0,,,,,,,0.01,0.376,,0.24,,0.267,-0.85,,-6.83,-0.91,,0.48,93.4,,88.6,93.0,87.7,,0.251,0.529,0.147,0.271,0.438,0.241,0.284,0.444,0.331,,,,0.259,0.387,0.288,0.429,0.857,0.0,75.0,96.0,96.0,0.107,-0.86,80.6,76.0,89.0,78.0,,,,,,,,,,,,,,,
2024-08-26,7:10 PM.,CWS,DET,away,Clear.,91,663436,3B,5,1,2,0,0,0,1,0,0,1,2,0.25,0.341,0.278,0.619,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,92.0,95.0,91.0,114.0,108.0,111.0,,,,76.0,93.0,84.0,,0.285,0.175,0.268,,0.196,-2.03,1.59,,1.22,,-0.16,93.6,89.0,89.3,,83.6,,0.389,0.472,0.202,0.357,0.429,0.348,0.121,0.293,0.378,0.206,0.294,0.231,0.34,0.4,0.204,,,,95.0,91.0,93.0,0.076,-2.54,78.4,,,,,,,,,,,,,,,,,,
2024-08-25,1:10 PM.,CWS,DET,away,Sunny.,90,686563,3B,5,1,2,0,0,0,1,0,0,1,4,0.226,0.333,0.258,0.591,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,117.0,100.0,107.0,,,,79.0,101.0,93.0,0.28,0.123,0.192,0.218,,0.187,-1.13,0.39,0.44,-1.39,,-0.22,94.3,90.2,85.7,93.3,81.9,,0.25,0.411,0.252,,,,,,,0.263,0.45,0.191,0.248,0.394,0.269,0.287,0.449,0.132,,,,,,,86.0,100.0,93.0,,,,,,,,,,,,,0.255,0.489,0.282
2024-08-24,6:10 PM.,CWS,DET,away,Cloudy.,86,681066,3B,2,0,0,0,0,0,0,0,1,1,1,0.192,0.323,0.231,0.554,681066,kybush,Bush,Left,Ky Bush,CHW,5.6,5.35,17.2,91.0,81.0,89.0,0.793,5.6,8.15,10.19,1.02,0.81,0.322,0.39,0.119,0.356,0.388,69.0,91.0,89.0,75.0,92.0,87.0,103.0,83.0,88.0,,,,,,,,0.509,,0.244,,0.098,-3.27,,,-0.25,,4.54,91.7,,85.9,,82.5,,0.412,0.647,0.188,0.364,0.364,0.263,0.118,0.294,0.257,,,,0.0,0.0,0.308,,,,76.0,101.0,94.0,0.149,-1.98,73.4,,,,,,,,,,,,,,,,,,
2024-08-23,7:11 PM.,CWS,DET,away,Clear.,80,623167,3B,5,1,1,1,0,0,0,0,0,3,3,0.208,0.321,0.25,0.571,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,2.0,93.0,82.0,148.0,102.0,103.0,,,,47.0,101.0,90.0,0.002,0.37,0.261,0.087,,0.157,-0.64,-0.75,2.01,-2.65,,-1.32,91.3,87.4,81.3,91.4,80.0,,0.261,0.473,0.132,0.246,0.393,0.308,0.361,0.475,0.271,0.319,0.536,0.218,0.257,0.436,0.379,,,,83.0,98.0,101.0,0.122,0.43,72.0,74.0,108.0,87.0,,,,,,,,,,,,,,,
2024-08-22,1:20 PM.,CHC,DET,away,Partly Cloudy.,75,657006,3B,3,0,0,0,0,0,0,0,0,1,0,0.211,0.348,0.211,0.559,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,89.0,102.0,100.0,130.0,105.0,109.0,,,,,,,0.053,0.595,,0.297,,0.033,0.38,,0.43,1.81,,0.32,91.6,,86.2,91.6,83.3,,0.253,0.396,0.223,0.0,0.0,0.2,0.16,0.243,0.282,,,,0.222,0.222,0.172,0.292,0.458,0.182,92.0,120.0,108.0,0.022,2.76,79.9,64.0,104.0,95.0,,,,,,,,,,,,,,,
2024-08-21,7:05 PM.,CHC,DET,away,Clear.,69,592791,3B,3,1,0,0,0,0,0,0,1,3,0,0.25,0.4,0.25,0.65,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,66.0,106.0,96.0,104.0,116.0,120.0,,,,92.0,103.0,98.0,0.109,0.296,0.251,0.155,,0.043,-0.27,2.12,1.47,0.65,,-2.45,92.3,86.5,86.0,92.5,80.4,,0.287,0.497,0.147,0.232,0.424,0.23,,,,0.252,0.31,0.191,0.273,0.576,0.148,0.219,0.297,0.085,104.0,111.0,113.0,0.147,-1.04,79.5,74.0,104.0,92.0,,,,,,,,,,,,,0.183,0.296,0.317
