date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-09-07,6:44 PM.,PIT,WSH,away,Partly Cloudy.,65,656605,RF,3,0,0,0,0,0,1,0,1,0,2,0.233,0.32,0.512,0.832,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,88.0,103.0,102.0,86.0,103.0,96.0,82.0,102.0,94.0,129.0,100.0,109.0,96.0,99.0,98.0,0.22,0.304,0.122,0.25,0.008,0.3,-1.0,-0.26,-1.04,-12.5,94.4,90.4,89.8,93.4,84.7,0.257,0.4,0.24,0.272,0.593,0.195,0.204,0.331,0.25,0.667,1.333,0.0,0.266,0.405,0.125,0.338,0.636,0.248,,,,,,,0.233,0.442,0.293,111.0,96.0,104.0,0.096,-0.11,78.4,,,,,,,,,,,,
2024-09-07,1:35 PM.,PIT,WSH,away,Partly Cloudy.,66,682847,RF,3,2,2,1,0,1,2,2,1,0,2,0.25,0.333,0.55,0.883,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.31,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.286,0.443,66.0,87.0,88.0,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,90.0,100.0,94.0,0.258,0.268,0.197,0.268,0.009,1.02,0.71,1.13,-0.41,0.21,95.9,91.0,90.6,94.9,85.8,0.187,0.331,0.208,0.273,0.416,0.168,,,,,,,0.237,0.374,0.129,0.203,0.392,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-05,6:42 PM.,PIT,WSH,away,Clear.,81,663559,RF,4,1,1,0,0,0,0,1,1,0,4,0.216,0.293,0.432,0.725,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,,,,0.142,0.484,,0.216,,0.38,,1.23,0.27,,91.8,,,92.0,86.1,0.255,0.41,0.166,,,,,,,,,,0.26,0.448,0.157,0.245,0.304,0.287,,,,,,,0.305,0.61,0.207,100.0,99.0,98.0,0.152,-1.24,77.7,43.0,95.0,70.0,0.006,-7.04,86.9,0.333,1.333,0.125,,,
2024-09-04,6:40 PM.,MIA,WSH,away,Roof Closed.,72,678368,RF,3,0,0,0,0,0,0,0,2,1,2,0.212,0.278,0.455,0.733,678368,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.67,5.14,68.2,99.0,73.0,91.0,0.818,5.77,2.75,9.04,1.97,0.58,0.281,0.404,0.184,0.368,0.427,99.0,95.0,96.0,54.0,102.0,84.0,,,,100.0,105.0,104.0,67.0,98.0,91.0,,0.374,0.253,0.103,0.144,-0.41,1.23,,0.03,-3.12,89.2,82.8,81.1,,77.7,0.247,0.454,0.133,0.205,0.438,0.163,0.233,0.433,0.286,0.326,0.488,0.296,,,,,,,,,,,,,0.333,0.741,0.283,93.0,94.0,94.0,0.125,-3.5,73.7,,,,,,,,,,,,
2024-09-03,6:40 PM.,MIA,WSH,away,Roof Closed.,72,676974,RF,5,0,1,0,0,0,0,1,0,0,4,0.233,0.258,0.5,0.758,676974,maxmeyer,Meyer,Right,Max Meyer,MIA,5.68,4.74,57.0,98.0,98.0,101.0,0.782,7.26,3.0,9.79,2.21,1.38,0.189,0.494,0.144,0.35,0.426,86.0,88.0,88.0,83.0,97.0,94.0,81.0,92.0,82.0,119.0,103.0,115.0,,,,0.021,0.394,,0.407,0.179,-2.29,,-1.39,-0.21,-2.48,94.1,,86.7,92.7,88.2,0.33,0.648,0.139,,,,,,,0.233,0.6,0.235,,,,0.24,0.471,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,1:35 PM.,CHC,WSH,home,Cloudy.,81,696136,RF,4,0,0,0,0,0,0,0,0,0,1,0.24,0.269,0.56,0.829,696136,jordanwicks,Wicks,Left,Jordan Wicks,CHC,5.48,5.18,46.0,102.0,92.0,100.0,0.779,8.22,3.91,10.76,1.76,1.0,0.223,0.426,0.115,0.284,0.378,100.0,100.0,102.0,90.0,105.0,104.0,71.0,101.0,90.0,117.0,96.0,98.0,78.0,103.0,88.0,0.131,0.448,0.014,0.087,0.258,-0.12,-9.26,-3.86,-4.44,1.18,92.6,87.5,82.2,91.7,84.2,0.264,0.425,0.163,0.667,0.667,0.0,,,,0.17,0.358,0.419,0.419,0.677,0.161,0.444,0.889,0.217,,,,,,,0.667,1.167,0.154,93.0,92.0,90.0,0.061,-5.0,78.4,,,,,,,,,,,,
2024-08-31,4:05 PM.,CHC,WSH,home,Cloudy.,83,665871,RF,5,0,1,0,0,0,0,0,0,1,3,0.286,0.318,0.667,0.985,665871,javierassad,Assad,Right,Javier Assad,CHC,3.73,4.97,147.0,99.0,85.0,94.0,0.843,7.59,3.86,8.76,1.22,1.13,0.263,0.373,0.146,0.301,0.422,69.0,91.0,88.0,68.0,102.0,92.0,75.0,101.0,92.0,114.0,94.0,100.0,96.0,97.0,92.0,0.357,0.158,0.216,0.107,0.046,-0.91,-0.73,0.51,-1.54,-1.65,91.5,87.9,83.7,91.4,80.1,0.319,0.472,0.201,0.315,0.583,0.142,0.174,0.37,0.341,0.296,0.296,0.125,0.236,0.373,0.111,0.364,0.636,0.368,,,,,,,0.178,0.329,0.3,98.0,101.0,97.0,0.116,-0.4,76.8,,,,,,,,,,,,
2024-08-30,6:46 PM.,CHC,WSH,home,Overcast.,73,684007,RF,5,1,1,0,0,1,1,0,0,2,2,0.313,0.353,0.813,1.166,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,50.0,107.0,96.0,0.021,0.52,0.005,0.077,0.039,0.36,-6.3,0.77,0.14,0.48,91.7,89.8,81.6,88.7,81.6,0.229,0.47,0.176,0.333,1.333,0.143,0.267,0.311,0.347,0.194,0.226,0.333,0.25,0.333,0.37,,,,,,,0.0,-76.55,53.9,0.444,0.556,0.0,70.0,96.0,97.0,0.032,-0.59,72.7,81.0,106.0,100.0,0.306,1.39,82.9,0.204,0.283,0.431,,,
2024-08-28,6:46 PM.,NYY,WSH,home,Partly Cloudy.,98,607074,RF,4,1,2,1,0,1,2,0,0,2,1,0.364,0.417,0.818,1.235,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,100.0,83.0,82.0,,0.494,0.035,0.26,0.129,0.05,-3.11,,-0.4,1.44,95.4,91.8,85.5,,86.8,0.262,0.514,0.214,0.353,0.647,0.255,,,,0.188,0.247,0.495,,,,0.199,0.361,0.393,,,,,,,0.281,0.531,0.276,103.0,86.0,93.0,0.083,-1.32,81.0,,,,,,,,,,,,
2024-08-27,6:46 PM.,NYY,WSH,home,Clear.,88,543037,RF,4,1,2,1,0,0,0,1,0,0,0,0.286,0.375,0.429,0.804,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,73.0,94.0,90.0,116.0,100.0,104.0,,,,128.0,106.0,112.0,99.0,102.0,102.0,0.002,0.462,0.163,0.146,0.04,0.7,-0.7,17.25,1.25,-3.6,95.9,91.4,88.2,93.7,88.2,0.189,0.365,0.234,0.32,0.56,0.22,,,,0.333,0.667,0.28,0.0,0.0,0.143,0.222,0.27,0.264,102.0,99.0,106.0,0.187,2.35,82.5,0.209,0.239,0.301,,,,,,,,,,,,,,,,,,
