date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2023-05-07,1:08 PM.,LAA,TEX,away,Partly Cloudy.,70,660761,C,1,0,0,0,0,0,0,0,0,0,1,0.211,0.286,0.316,0.602,660761,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.241,0.466,0.19,0.319,0.428,84.0,100.0,103.0,,,,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,99.0,68.0,88.0,0.052,0.398,0.015,0.267,,,0.269,-0.97,0.89,-3.55,-3.72,,,-2.55,92.3,88.1,82.0,90.8,81.5,,,0.273,0.477,0.222,0.591,1.091,0.25,0.31,0.548,0.385,0.444,0.778,0.067,,,,0.0,0.0,0.5,,,,,,,,,,,,
2023-05-06,6:09 PM.,LAA,TEX,away,Partly Cloudy.,66,672282,C,0,0,0,0,0,0,0,0,0,0,0,0.222,0.3,0.333,0.633,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,,,,0.432,,0.319,0.194,,0.054,-0.38,,,0.91,0.14,,-2.03,94.3,,84.8,,88.7,74.7,,0.291,0.505,0.212,0.0,0.0,0.267,0.242,0.424,0.246,,,,0.191,0.326,0.286,,,,,,,,,,,,,,,
2023-05-03,1:07 PM.,AZ,TEX,home,Partly Cloudy.,79,694297,C,4,1,1,1,0,0,0,0,0,3,3,0.222,0.3,0.333,0.633,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,,,,0.099,0.454,,0.27,0.055,,0.122,-1.63,,-0.03,1.21,-1.24,,-3.66,93.6,,86.7,93.1,83.8,78.8,,0.327,0.654,0.176,0.18,0.323,0.337,0.4,0.711,0.33,0.313,0.563,0.188,0.294,0.529,0.294,,,,,,,,,,,,,,,
2023-04-30,1:38 PM.,NYY,TEX,home,Sunny.,82,641482,C,1,0,1,1,0,0,1,0,0,0,0,0.214,0.313,0.286,0.599,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,4.97,3.66,63.1,103.0,104.0,104.0,0.79,9.52,2.84,8.38,1.56,0.46,0.233,0.432,0.176,0.29,0.441,92.0,111.0,110.0,,,,102.0,106.0,106.0,138.0,99.0,111.0,92.0,103.0,103.0,110.0,102.0,102.0,0.005,0.521,0.288,0.158,,,0.028,0.68,0.39,4.05,-1.47,,,-6.99,91.6,86.6,83.4,89.3,76.9,,,0.213,0.352,0.249,0.2,0.2,0.429,0.5,0.6,0.294,,,,,,,0.26,0.545,0.206,,,,,,,,,,,,
2023-04-27,7:07 PM.,NYY,TEX,home,Partly Cloudy.,67,543037,C,3,0,0,0,0,0,0,0,0,1,0,0.154,0.267,0.154,0.421,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,72.0,100.0,96.0,,,,125.0,104.0,108.0,,,,136.0,105.0,114.0,107.0,103.0,102.0,,0.53,0.07,0.208,,0.121,0.071,1.66,0.61,,1.69,,0.94,-0.54,96.7,92.7,89.1,,89.1,,82.9,0.201,0.332,0.228,0.186,0.251,0.327,0.235,0.51,0.286,,,,0.215,0.269,0.244,0.262,0.377,0.311,,,,,,,,,,114.0,103.0,113.0
2023-04-26,12:37 PM.,CIN,TEX,away,Partly Cloudy.,58,668933,C,0,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.2,0.533,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,,,,,,,,,,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,0.097,,0.529,0.373,,,0.0,,0.15,-1.17,-0.37,,,-25.75,,95.8,90.4,96.5,88.3,,,,,,0.221,0.461,0.3289999999999999,,,,0.286,0.429,0.1,,,,0.292,0.436,0.171,,,,,,,,,,,,
2023-04-24,6:41 PM.,CIN,TEX,away,Partly Cloudy.,51,666157,C,3,0,0,0,0,0,0,0,0,2,3,0.2,0.333,0.2,0.533,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,6.29,4.83,34.1,101.0,97.0,98.0,0.722,12.32,2.62,13.11,2.62,1.24,0.304,0.382,0.137,0.314,0.412,78.0,99.0,88.0,97.0,94.0,97.0,103.0,106.0,100.0,92.0,102.0,101.0,,,,,,,0.053,0.464,,,0.358,,0.125,-0.45,,-7.52,,-2.74,,-4.06,93.2,,87.3,93.4,,79.6,,0.297,0.578,0.19,,,,0.471,0.706,0.326,0.7,1.0,0.0,0.286,0.536,0.45,,,,,,,,,,,,,,,
2023-04-22,6:07 PM.,OAK,TEX,home,Roof Closed.,74,660261,C,1,0,1,0,0,0,1,0,0,0,0,0.286,0.444,0.286,0.73,660261,shintarofujinami,Fujinami,Right,Shintaro Fujinami,- - -,7.18,4.8,79.0,92.0,112.0,94.0,0.734,9.46,5.13,8.32,1.03,0.97,0.275,0.392,0.167,0.378,0.42,,,,-279.0,111.0,65.0,107.0,90.0,91.0,,,,118.0,92.0,105.0,94.0,92.0,93.0,,0.566,0.162,0.073,0.001,,,0.08,1.27,,-1.47,-81.55,,,98.4,88.3,,,84.4,75.7,,0.243,0.385,0.255,0.75,0.75,0.3329999999999999,,,,,,,,,,0.171,0.341,0.382,138.0,95.0,100.0,0.199,-1.4,92.8,0.243,0.457,0.372,,,
2023-04-18,6:40 PM.,KC,TEX,away,Clear.,80,641745,C,3,2,1,0,0,0,2,0,1,2,1,0.167,0.375,0.167,0.542,641745,bradkeller,"Keller, B",Right,Brad Keller,KCR,4.57,5.66,45.1,87.0,100.0,89.0,0.789,6.15,8.93,8.34,0.6,2.08,0.22,0.439,0.106,0.242,0.382,91.0,90.0,78.0,120.0,90.0,92.0,94.0,88.0,90.0,66.0,74.0,70.0,135.0,84.0,78.0,,,,0.104,0.311,,0.265,0.197,,0.123,-2.21,,0.62,0.26,-0.24,,1.66,93.3,,90.8,92.5,84.3,85.1,,0.359,0.564,0.165,0.5,0.5,0.0,0.125,0.125,0.273,0.143,0.143,0.08,0.267,0.378,0.2789999999999999,,,,,,,,,,,,,,,
2023-04-12,7:07 PM.,KC,TEX,home,Clear.,75,641745,C,3,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,641745,bradkeller,"Keller, B",Right,Brad Keller,KCR,4.57,5.66,45.1,87.0,100.0,89.0,0.789,6.15,8.93,8.34,0.6,2.08,0.22,0.439,0.106,0.242,0.382,91.0,90.0,78.0,120.0,90.0,92.0,94.0,88.0,90.0,66.0,74.0,70.0,135.0,84.0,78.0,,,,0.104,0.311,,0.265,0.197,,0.123,-2.21,,0.62,0.26,-0.24,,1.66,93.3,,90.8,92.5,84.3,85.1,,0.359,0.564,0.165,0.5,0.5,0.0,0.125,0.125,0.273,0.143,0.143,0.08,0.267,0.378,0.2789999999999999,,,,,,,,,,,,,,,
2023-04-10,7:07 PM.,KC,TEX,home,Partly Cloudy.,73,425844,C,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,86.5,89.8,79.2,72.5,57.9,0.276,0.472,0.159,0.214,0.282,0.231,0.241,0.37,0.207,0.333,0.609,0.081,0.386,0.729,0.155,0.32,0.5,0.186,,,,,,,,,,,,
