date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2023-09-04,1:11 PM.,KC,CWS,away,Sunny.,91,666142,3B,4,0,0,0,0,0,0,0,0,1,0,0.254,0.304,0.325,0.629,666142,coleragans,Ragans,Left,Cole Ragans,- - -,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.178,0.284,0.409,108.0,100.0,100.0,,,,126.0,114.0,125.0,,,,,,,,0.401,,0.104,0.124,0.24,,,2.79,-0.05,96.5,,,86.6,81.8,0.234,0.411,0.2789999999999999,0.18,0.2,0.4,,,,0.194,0.306,0.295,,,,90.0,97.0,103.0,,,,,0.237,,2.84,86.6,,0.152,0.192,0.344,89.0,92.0,87.0,0.134,1.47,91.8,0.27,0.378,0.238,,,,,,
2023-09-03,1:10 PM.,DET,CWS,home,Sunny.,90,669373,PR,0,0,0,0,0,0,0,0,0,0,0,0.262,0.313,0.336,0.649,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,81.0,90.0,93.0,,,,0.122,0.36,,0.207,0.068,2.49,,2.7,-0.49,0.54,95.8,,95.9,87.6,76.4,0.206,0.299,0.256,0.224,0.448,0.24,,,,0.143,0.214,0.36,0.229,0.286,0.173,93.0,102.0,114.0,,,,,0.244,,3.25,84.3,,0.167,0.205,0.506,,,,,,,,,,,,,,,
2023-09-02,6:11 PM.,DET,CWS,home,Partly Cloudy.,86,681857,SS,1,0,0,0,0,0,0,0,0,1,0,0.262,0.313,0.336,0.649,681857,reeseolson,Olson,Right,Reese Olson,DET,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.189,0.4,0.13,0.354,0.4,93.0,103.0,101.0,82.0,108.0,100.0,132.0,98.0,104.0,,,,,,,0.2,0.285,,0.306,,0.85,,1.25,-0.14,,94.8,,94.8,84.8,,0.171,0.381,0.158,0.217,0.433,0.416,,,,0.167,0.222,0.311,0.278,0.367,0.121,98.0,94.0,97.0,95.0,93.0,95.0,0.058,0.151,0.83,0.98,87.8,78.8,0.208,0.283,0.359,,,,,,,,,,,,,,,
2023-08-21,7:10 PM.,SEA,CWS,home,Partly Cloudy.,73,622491,3B,1,0,0,0,0,0,0,0,0,1,3,0.264,0.315,0.339,0.654,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,,,,,,,0.179,0.444,,0.221,,1.31,,0.6,-0.12,,96.3,,95.9,85.7,,0.165,0.384,0.33,0.234,0.455,0.3779999999999999,,,,,,,0.239,0.337,0.136,83.0,108.0,105.0,,,,,0.156,,-1.6,88.3,,0.28,0.42,0.325,,,,,,,,,,,,,,,
2023-08-20,1:11 PM.,COL,CWS,away,Partly Cloudy.,86,623167,SS,4,0,2,1,0,0,1,0,0,0,4,0.267,0.318,0.342,0.66,623167,chrisflexen,Flexen,Right,Chris Flexen,- - -,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.417,0.137,0.346,0.401,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,,,,,,,0.019,0.409,,0.097,,-2.66,,-7.15,-2.44,,91.9,,90.9,80.8,,0.379,0.739,0.174,0.389,0.444,0.148,,,,0.125,0.125,0.357,0.6,0.7,0.111,93.0,97.0,97.0,92.0,95.0,111.0,0.022,0.16,2.61,0.72,81.0,71.6,0.213,0.32,0.397,87.0,100.0,94.0,0.293,-0.47,87.9,0.287,0.504,0.2019999999999999,,,,,,
2023-08-15,7:05 PM.,CHC,CWS,away,Clear.,71,543294,2B,4,1,1,0,0,0,0,1,0,1,0,0.259,0.312,0.328,0.64,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,67.0,100.0,93.0,72.0,110.0,99.0,,,,,,,,,,0.349,0.205,,,,-1.61,,0.04,,,87.8,,87.5,,,0.38,0.658,0.1119999999999999,,,,,,,0.25,0.25,0.4379999999999999,0.318,0.46,0.08,43.0,107.0,90.0,97.0,79.0,84.0,0.035,0.411,0.0,1.43,80.7,73.3,0.18,0.279,0.324,,,,,,,,,,,,,,,
2023-08-13,1:10 PM.,MIL,CWS,home,Cloudy.,75,642547,2B,4,1,1,0,0,0,0,0,0,2,1,0.259,0.314,0.33,0.644,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,117.0,104.0,110.0,,,,115.0,99.0,104.0,,,,,,,,0.512,,0.218,,0.89,,,0.36,,94.4,,,82.4,,0.213,0.387,0.292,0.203,0.392,0.46,,,,0.214,0.381,0.3379999999999999,,,,50.0,97.0,85.0,85.0,103.0,110.0,0.124,0.146,0.2,0.15,88.6,76.9,0.224,0.388,0.312,,,,,,,,,,,,,,,
2023-08-08,7:10 PM.,NYY,CWS,home,Partly Cloudy.,78,657376,2B,3,0,1,0,0,0,0,0,0,1,0,0.259,0.316,0.333,0.649,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,,,,68.0,103.0,88.0,109.0,99.0,107.0,146.0,100.0,118.0,,,,0.241,,,0.274,0.191,,,-0.2,-0.59,-0.46,,,93.4,86.0,83.7,,,,0.276,0.559,0.263,,,,0.198,0.314,0.345,0.288,0.447,0.11,31.0,95.0,88.0,,,,,0.015,,-7.35,89.4,,0.5,0.5,0.091,96.0,106.0,105.0,0.279,0.27,91.3,0.28,0.457,0.222,,,,,,
2023-08-07,7:10 PM.,NYY,CWS,home,Partly Cloudy.,74,543037,2B,0,1,0,0,0,0,0,0,0,0,0,0.257,0.316,0.333,0.649,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,125.0,104.0,108.0,,,,136.0,105.0,114.0,114.0,103.0,113.0,,,,,0.53,,0.208,0.121,1.66,,,1.69,0.94,96.7,,,89.1,82.9,0.201,0.332,0.228,0.186,0.251,0.327,,,,0.215,0.269,0.244,,,,72.0,100.0,96.0,,,,,0.071,,-0.54,89.1,,0.235,0.51,0.286,107.0,103.0,102.0,0.07,0.61,92.7,0.262,0.377,0.311,,,,,,
2023-08-06,12:06 PM.,CLE,CWS,away,Partly Cloudy.,81,675540,2B,4,0,0,0,0,0,0,0,0,1,4,0.257,0.316,0.333,0.649,675540,xzavioncurry,Curry,Right,Xzavion Curry,CLE,4.07,4.93,95.0,101.0,91.0,99.0,0.815,6.35,2.84,9.28,1.14,0.69,0.266,0.357,0.128,0.364,0.448,82.0,97.0,94.0,,,,103.0,110.0,110.0,,,,,,,,0.484,,0.361,,-0.14,,,0.89,,92.5,,,85.1,,0.283,0.478,0.191,0.238,0.361,0.2319999999999999,,,,0.31,0.524,0.259,,,,74.0,89.0,87.0,90.0,93.0,94.0,0.116,0.039,-2.04,-1.29,87.7,75.1,0.278,0.5,0.0,,,,,,,,,,,,,,,
2023-08-05,7:10 PM.,CLE,CWS,away,Cloudy.,77,592789,2B,4,0,1,0,0,0,2,0,0,1,1,0.267,0.327,0.347,0.674,592789,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,- - -,6.5,6.48,88.2,104.0,80.0,99.0,0.834,5.68,1.93,10.56,2.23,0.94,0.203,0.438,0.147,0.363,0.468,65.0,109.0,95.0,87.0,102.0,96.0,88.0,99.0,97.0,,,,43.0,87.0,84.0,0.261,0.181,0.003,0.067,,0.68,1.25,-1.16,-2.33,,92.2,87.7,92.3,85.0,,0.208,0.354,0.182,0.24,0.72,0.083,,,,0.233,0.512,0.22,0.363,0.593,0.138,72.0,104.0,100.0,95.0,104.0,107.0,0.141,0.222,-0.93,-2.71,87.3,77.9,0.286,0.571,0.218,85.0,103.0,98.0,0.126,-0.49,89.5,0.333,0.489,0.1889999999999999,,,,,,
2023-08-03,1:07 PM.,TEX,CWS,away,Roof Closed.,74,453286,2B,4,0,0,0,0,0,0,0,0,1,2,0.268,0.33,0.351,0.681,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,104.0,101.0,101.0,,,,106.0,108.0,108.0,,,,,,,,0.463,,0.168,,0.72,,,-0.21,,93.7,,,84.0,,0.255,0.458,0.238,0.25,0.545,0.364,,,,0.187,0.373,0.326,,,,94.0,106.0,106.0,96.0,101.0,104.0,0.124,0.141,0.51,0.03,83.8,75.4,0.207,0.283,0.275,98.0,108.0,99.0,0.104,2.12,88.4,0.135,0.243,0.3329999999999999,,,,,,
2023-08-02,7:07 PM.,TEX,CWS,away,Roof Closed.,74,641540,2B,3,0,0,0,0,0,0,0,0,1,0,0.28,0.343,0.366,0.709,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,,,,,,,0.331,0.032,,0.234,0.032,-3.75,,1.37,0.14,-0.43,90.5,,91.0,82.1,77.5,0.294,0.765,0.235,0.212,0.364,0.345,,,,0.25,0.25,0.5,0.246,0.354,0.08,65.0,102.0,92.0,78.0,82.0,84.0,0.016,0.156,-3.56,-0.87,85.7,78.1,0.301,0.478,0.258,90.0,100.0,95.0,0.2,0.82,88.9,0.258,0.393,0.231,,,,,,
2023-08-01,7:08 PM.,TEX,CWS,away,Roof Closed.,74,571760,RF,1,0,0,0,0,0,0,0,0,1,1,0.289,0.354,0.378,0.732,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,107.0,99.0,99.0,,,,94.0,104.0,108.0,,,,,,,,0.579,,0.252,,0.1,,,-1.35,,92.5,,,82.0,,0.236,0.431,0.256,0.259,0.443,0.296,,,,,,,,,,101.0,97.0,92.0,80.0,143.0,68.0,0.0,0.169,-3.87,-0.11,84.0,74.4,0.274,0.452,0.24,,,,,,,,,,,,,,,
2023-07-29,6:11 PM.,CLE,CWS,home,Clear.,77,671106,LF,3,2,1,0,0,0,0,0,1,0,1,0.292,0.357,0.382,0.739,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,82.0,101.0,95.0,,,,108.0,98.0,101.0,,,,,,,,0.451,,0.247,,-0.12,,,-0.74,,91.4,,,79.3,,0.257,0.482,0.177,0.3,0.3,0.368,,,,,,,,,,60.0,104.0,105.0,,,,,0.213,,1.49,82.7,,0.191,0.223,0.33,110.0,97.0,98.0,0.089,-2.1,86.3,0.462,0.692,0.17,,,,,,
2023-07-28,6:10 PM.,CLE,CWS,home,Cloudy.,86,675540,2B,4,0,0,0,0,0,0,0,0,2,4,0.291,0.351,0.384,0.735,675540,xzavioncurry,Curry,Right,Xzavion Curry,CLE,4.07,4.93,95.0,101.0,91.0,99.0,0.815,6.35,2.84,9.28,1.14,0.69,0.266,0.357,0.128,0.364,0.448,82.0,97.0,94.0,,,,103.0,110.0,110.0,,,,,,,,0.484,,0.361,,-0.14,,,0.89,,92.5,,,85.1,,0.283,0.478,0.191,0.238,0.361,0.2319999999999999,,,,0.31,0.524,0.259,,,,74.0,89.0,87.0,90.0,93.0,94.0,0.116,0.039,-2.04,-1.29,87.7,75.1,0.278,0.5,0.0,,,,,,,,,,,,,,,
2023-07-23,1:13 PM.,MIN,CWS,away,Overcast.,82,641927,2B,5,2,2,0,0,1,2,0,0,1,4,0.305,0.367,0.402,0.769,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,73.0,107.0,99.0,,,,83.0,99.0,96.0,,,,,,,,0.457,,0.196,,0.75,,,-0.7,,91.3,,,81.0,,0.232,0.425,0.2769999999999999,0.255,0.48,0.3289999999999999,,,,0.194,0.306,0.161,,,,94.0,106.0,105.0,100.0,108.0,106.0,0.067,0.28,1.44,1.08,83.7,77.5,0.226,0.35,0.298,,,,,,,,,,,,,,,
2023-07-22,6:46 PM.,MIN,CWS,away,Cloudy.,77,543243,2B,0,0,0,0,0,0,0,0,0,0,0,0.299,0.365,0.364,0.729,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,,,,,,,0.157,0.271,,0.205,0.001,0.61,,-0.46,3.25,-0.41,92.9,,92.8,84.3,72.9,0.301,0.422,0.1639999999999999,0.096,0.117,0.413,,,,0.257,0.371,0.282,0.275,0.413,0.177,84.0,95.0,89.0,91.0,98.0,101.0,0.168,0.067,0.87,-0.63,87.9,79.6,0.27,0.405,0.174,118.0,102.0,102.0,0.131,1.3,87.6,0.265,0.368,0.278,,,,,,
2023-07-21,7:11 PM.,MIN,CWS,away,Partly Cloudy.,82,657746,RF,4,0,0,0,0,0,0,0,0,3,0,0.299,0.365,0.364,0.729,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,102.0,112.0,108.0,,,,102.0,88.0,94.0,,,,91.0,104.0,102.0,,0.569,0.272,0.159,,0.89,-0.3,,-2.12,,92.3,83.9,,80.3,,0.24,0.457,0.287,0.32,0.56,0.241,0.242,0.415,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-20,1:11 PM.,NYM,CWS,away,Sunny.,85,500779,3B,4,1,2,1,0,0,0,0,0,2,2,0.315,0.383,0.384,0.767,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,81.0,101.0,95.0,78.0,99.0,91.0,,,,,,,,,,0.323,0.242,,,,-2.28,,3.29,,,90.2,,90.4,,,0.391,0.594,0.217,,,,,,,0.214,0.268,0.2689999999999999,0.196,0.25,0.135,65.0,102.0,91.0,96.0,106.0,102.0,0.253,0.181,1.45,-1.18,85.8,77.2,0.276,0.379,0.296,,,,,,,,,,0.211,0.368,0.207,,,
2023-07-18,7:10 PM.,NYM,CWS,away,Clear.,80,471911,2B,5,0,1,0,0,0,0,0,0,1,2,0.304,0.377,0.362,0.739,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,75.0,95.0,85.0,91.0,90.0,87.0,104.0,98.0,108.0,,,,,,,0.1,0.323,,0.184,,-2.35,,-3.88,-1.99,,92.7,,91.5,84.1,,0.358,0.651,0.166,0.329,0.575,0.3289999999999999,,,,0.25,0.594,0.217,0.45,0.725,0.129,108.0,103.0,104.0,88.0,103.0,104.0,0.091,0.299,-1.25,0.12,87.2,80.1,0.22,0.314,0.311,86.0,88.0,95.0,0.004,-9.5,89.5,,,,,,,,,
2023-07-15,7:17 PM.,ATL,CWS,away,Partly Cloudy.,86,675911,2B,4,1,1,0,0,0,0,0,0,1,2,0.313,0.389,0.375,0.764,675911,spencerstrider,Strider,Right,Spencer Strider,ATL,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.328,0.323,0.142,0.354,0.438,141.0,106.0,116.0,,,,104.0,103.0,107.0,,,,,,,,0.589,,0.338,,0.4,,,1.67,,97.2,,,85.6,,0.256,0.431,0.287,0.154,0.269,0.5529999999999999,,,,,,,,,,85.0,98.0,101.0,,,,,0.073,,0.97,87.0,,0.122,0.184,0.444,,,,,,,,,,,,,,,
