date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2023-06-22,12:45 PM.,SF,SD,away,Partly Cloudy.,61,622072,LF,4,0,0,0,0,0,0,0,0,2,2,0.19,0.234,0.328,0.562,622072,alexwood,Wood,Left,Alex Wood,SFG,4.33,4.64,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.393,0.138,0.285,0.413,78.0,103.0,99.0,,,,,,,80.0,95.0,88.0,110.0,93.0,95.0,0.446,,0.261,,0.292,,0.12,-0.8,,-0.33,,85.2,91.5,82.4,,0.288,0.441,0.25,0.234,0.433,0.242,,,,0.273,0.388,0.154,,,,,,,,,,,,,,,,,,,,,,,,,0.001,-5.8,83.6,,,,,,
2023-06-15,5:41 PM.,CLE,SD,home,Partly Cloudy.,68,671106,1B,2,0,0,0,0,0,2,0,0,0,0,0.204,0.25,0.352,0.602,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,,,,82.0,101.0,95.0,,,,108.0,98.0,101.0,,0.451,0.247,,0.213,-0.12,,-0.74,,1.49,91.4,82.7,,79.3,,0.3,0.3,0.368,,,,0.257,0.482,0.177,0.191,0.223,0.33,,,,,,,,,,110.0,97.0,98.0,0.089,-2.1,86.3,0.462,0.692,0.17,,,,,,,,,,,,,,,
2023-06-11,1:10 PM.,COL,SD,away,Cloudy.,66,659275,DH,0,0,0,0,0,0,0,0,0,0,0,0.212,0.259,0.365,0.624,659275,dinelsonlamet,Lamet,Right,Dinelson Lamet,- - -,11.71,6.2,27.2,90.0,87.0,89.0,0.778,10.41,7.48,13.66,2.28,1.09,0.18,0.449,0.135,0.461,0.378,64.0,87.0,84.0,,,,65.0,82.0,76.0,82.0,87.0,80.0,104.0,96.0,103.0,0.277,0.237,0.459,,0.027,-4.11,-2.01,-2.38,,-3.6,94.8,90.4,95.0,85.9,,0.305,0.593,0.368,0.429,0.679,0.111,0.355,0.71,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09,6:40 PM.,COL,SD,away,Cloudy.,70,596295,DH,4,1,1,0,0,1,1,0,0,1,4,0.212,0.259,0.365,0.624,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,0.012,0.439,0.201,,0.181,-1.99,-5.34,0.96,,-0.07,90.6,81.6,90.8,84.8,,0.275,0.383,0.247,0.4,1.0,0.1669999999999999,0.344,0.656,0.118,0.296,0.509,0.1989999999999999,0.226,0.358,0.28,,,,,,,,,,,,,,,,,,,90.0,103.0,104.0,0.168,-0.75,77.6,,,,,,
2023-06-07,1:11 PM.,SEA,SD,home,Partly Cloudy.,66,669923,LF,0,0,0,0,0,0,0,0,0,0,0,0.208,0.259,0.313,0.572,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,0.216,0.394,0.197,,0.018,1.34,0.43,1.03,,-5.31,96.1,86.6,95.8,86.3,,0.264,0.377,0.22,0.261,0.383,0.131,0.234,0.392,0.28,0.5,0.9,0.125,0.265,0.458,0.159,95.0,103.0,110.0,0.061,1.07,84.9,,,,,,,,,,0.143,0.286,0.357,,,,0.115,0.35,81.8,,,,75.1,0.001,0.26
2023-06-06,6:41 PM.,SEA,SD,home,Partly Cloudy.,65,669302,RF,4,0,0,0,0,0,0,0,0,1,3,0.208,0.259,0.313,0.572,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,55.0,90.0,81.0,133.0,101.0,99.0,0.003,0.419,0.297,,,0.01,-11.33,1.84,,,95.7,,93.7,88.7,,0.211,0.349,0.322,0.667,1.0,0.25,0.28,0.491,0.177,,,,0.214,0.371,0.306,98.0,103.0,117.0,0.148,0.25,85.6,,,,,,,,,,0.174,0.34,0.35,110.0,95.0,103.0,0.134,0.39,80.3,,,,,,
2023-06-05,6:12 PM.,CHC,SD,home,Partly Cloudy.,63,543294,RF,4,0,1,0,0,0,0,0,0,1,4,0.227,0.28,0.341,0.621,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,,,,0.349,0.205,,0.035,0.411,-1.61,0.04,,0.0,1.43,87.8,80.7,87.5,,73.3,,,,0.318,0.46,0.08,0.38,0.658,0.1119999999999999,0.18,0.279,0.324,0.25,0.25,0.4379999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-04,2:32 PM.,CHC,SD,home,Sunny.,66,573186,PH,1,0,0,0,0,0,0,0,0,1,0,0.225,0.283,0.35,0.633,573186,marcusstroman,Stroman,Right,Marcus Stroman,CHC,3.95,4.27,136.2,100.0,101.0,99.0,0.793,7.84,3.42,7.9,0.59,2.6,0.207,0.434,0.135,0.302,0.382,,,,139.0,103.0,111.0,58.0,106.0,91.0,102.0,97.0,95.0,78.0,111.0,109.0,0.464,0.082,0.051,0.23,,0.34,1.08,-0.41,0.34,,92.0,,91.4,86.1,84.6,0.184,0.237,0.322,0.245,0.332,0.143,0.154,0.256,0.32,,,,,,,46.0,95.0,91.0,0.077,0.12,86.6,105.0,96.0,98.0,0.096,0.96,89.7,0.26,0.42,0.242,0.205,0.308,0.324,,,,,,,0.24,0.38,0.301,,,
2023-06-03,7:10 PM.,CHC,SD,home,Partly Cloudy.,65,592767,DH,2,0,0,0,0,0,1,0,0,2,2,0.231,0.289,0.359,0.648,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,,,,,,,,,,77.0,94.0,88.0,,,,0.389,,,,,,-1.32,,,,,,91.9,,,,,,0.314,0.6,0.173,,,,,,,0.229,0.399,0.36,,,,,,,86.0,94.0,82.0,0.117,-0.51,88.6,0.293,0.463,0.216,,,,105.0,102.0,103.0,0.494,-0.09,78.6,,,,,,
2023-06-01,1:11 PM.,MIA,SD,away,Roof Closed.,72,666200,1B,4,1,2,1,0,0,2,0,0,1,2,0.243,0.31,0.378,0.688,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,,,,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,0.04,0.457,0.289,,0.21,0.93,-0.81,-0.26,,-0.09,96.7,88.3,96.5,85.1,,0.233,0.389,0.518,0.314,0.686,0.102,0.232,0.384,0.1939999999999999,0.248,0.429,0.361,,,,,,,,,,68.0,87.0,76.0,0.004,0.74,91.4,,,,,,,,,,,,,,,,,,
2023-05-31,6:41 PM.,MIA,SD,away,Roof Closed.,72,666129,1B,3,0,0,0,0,0,0,0,0,2,1,0.212,0.297,0.333,0.63,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,91.0,102.0,97.0,100.0,102.0,102.0,0.317,0.075,0.258,0.084,0.088,-1.84,1.06,0.45,-4.44,0.73,90.8,84.1,90.5,82.8,77.7,0.169,0.302,0.408,0.256,0.377,0.107,0.325,0.575,0.159,0.286,0.327,0.327,0.5,1.059,0.2,,,,,,,95.0,100.0,97.0,0.177,1.53,87.5,0.243,0.477,0.247,,,,,,,,,,,,,,,
2023-05-30,6:42 PM.,MIA,SD,away,Roof Closed.,72,645261,DH,0,1,0,0,0,0,0,0,0,0,0,0.233,0.324,0.367,0.691,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.022,0.273,-0.27,1.72,0.72,-0.52,-0.43,98.0,91.1,97.6,89.9,86.1,0.227,0.364,0.352,0.237,0.366,0.124,0.253,0.448,0.267,0.282,0.401,0.299,0.308,0.308,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-27,1:08 PM.,NYY,SD,away,Sunny.,72,622663,1B,4,0,0,0,0,0,0,0,0,1,3,0.233,0.324,0.367,0.691,622663,luisseverino,"Severino, L",Right,Luis Severino,NYY,6.65,5.89,89.1,103.0,104.0,101.0,0.822,7.96,3.43,11.38,2.32,1.14,0.248,0.399,0.144,0.346,0.447,80.0,99.0,97.0,,,,103.0,104.0,98.0,92.0,91.0,87.0,126.0,109.0,117.0,0.028,0.449,0.188,,0.186,-2.42,5.41,-2.59,,-1.4,96.5,86.7,95.7,84.7,,0.289,0.566,0.254,0.091,0.091,0.208,0.355,0.692,0.196,0.279,0.441,0.216,,,,,,,,,,110.0,100.0,98.0,0.15,-0.08,90.8,0.208,0.313,0.173,,,,,,,,,,,,,,,
2023-05-26,7:08 PM.,NYY,SD,away,Clear.,72,681190,1B,2,0,2,0,0,0,0,1,0,0,0,0.269,0.367,0.423,0.79,681190,randyvasquez,"Vásquez, R",Right,Randy Vásquez,NYY,2.87,5.37,37.2,99.0,100.0,96.0,0.85,7.88,4.3,7.17,1.19,0.87,0.227,0.427,0.255,0.273,0.405,83.0,101.0,94.0,84.0,101.0,98.0,100.0,101.0,96.0,89.0,102.0,98.0,133.0,103.0,112.0,0.223,0.262,0.127,0.105,0.118,1.16,0.44,-1.01,-1.21,1.32,94.4,87.8,94.2,80.9,79.7,0.235,0.294,0.27,0.235,0.441,0.08,0.176,0.206,0.1669999999999999,0.1,0.3,0.171,0.235,0.353,0.276,,,,,,,107.0,85.0,79.0,0.166,-1.61,87.7,0.3,0.65,0.2289999999999999,,,,,,,,,,,,,,,
2023-05-25,4:05 PM.,WSH,SD,away,Sunny.,70,663623,1B,4,1,2,1,0,0,0,0,0,0,1,0.208,0.269,0.375,0.644,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.61,5.1,121.0,101.0,99.0,98.0,0.839,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.427,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,,,,0.287,0.356,,0.306,0.051,-0.01,-0.75,,0.08,1.21,94.5,87.8,93.9,,80.9,,,,0.348,0.525,0.093,0.208,0.376,0.192,0.25,0.5,0.156,0.197,0.362,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-23,7:05 PM.,WSH,SD,away,Partly Cloudy.,70,669022,1B,2,1,1,0,0,1,1,0,0,0,0,0.15,0.19,0.3,0.49,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.42,5.2,136.1,97.0,100.0,101.0,0.749,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,,,,101.0,97.0,102.0,,0.595,0.188,0.188,0.029,-0.27,,0.77,-0.85,1.1,95.0,86.5,,88.5,83.2,0.213,0.415,0.375,,,,0.279,0.503,0.216,0.188,0.25,0.382,0.257,0.416,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-20,7:11 PM.,BOS,SD,home,Overcast.,63,519242,1B,3,0,0,0,0,0,0,0,0,0,2,0.111,0.158,0.111,0.269,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,81.0,103.0,99.0,,,,99.0,102.0,100.0,98.0,94.0,96.0,92.0,98.0,100.0,0.062,0.432,0.375,,0.131,0.46,-1.13,0.7,,-1.09,93.9,86.1,93.3,77.8,,0.162,0.358,0.389,0.267,0.5,0.1669999999999999,0.252,0.437,0.2339999999999999,0.309,0.473,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-19,6:40 PM.,BOS,SD,home,Cloudy.,62,572020,1B,3,0,0,0,0,0,0,0,0,1,2,0.133,0.133,0.133,0.266,572020,jamespaxton,Paxton,Left,James Paxton,BOS,4.5,3.77,96.0,100.0,89.0,96.0,0.744,9.47,3.09,8.72,1.69,1.15,0.311,0.392,0.136,0.337,0.437,112.0,88.0,93.0,,,,95.0,103.0,98.0,98.0,92.0,90.0,,,,0.007,0.566,,,0.067,0.04,-0.01,,,-0.96,95.2,84.4,94.9,,,,,,,,,0.269,0.498,0.217,0.316,0.421,0.467,0.231,0.338,0.376,,,,,,,63.0,101.0,91.0,0.165,-0.15,85.8,0.191,0.426,0.331,,,,87.0,93.0,94.0,0.195,-0.31,81.3,,,,,,
2023-04-17,6:42 PM.,ATL,SD,home,Cloudy.,58,608331,RF,2,0,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,608331,maxfried,Fried,Left,Max Fried,ATL,2.55,2.73,77.2,98.0,96.0,101.0,0.748,9.27,2.09,8.11,0.81,2.26,0.218,0.393,0.147,0.242,0.379,89.0,101.0,106.0,114.0,98.0,106.0,90.0,98.0,99.0,79.0,98.0,88.0,105.0,98.0,105.0,0.117,0.332,0.11,0.231,0.165,0.71,-0.71,-0.19,2.64,1.75,94.0,86.2,93.5,83.6,74.2,0.4,0.9,0.275,0.302,0.395,0.2319999999999999,0.291,0.418,0.177,0.232,0.286,0.377,0.109,0.109,0.391,,,,,,,,,,0.044,1.44,87.5,0.091,0.364,0.19,,,,,,,,,,,,,,,
2023-04-14,6:42 PM.,MIL,SD,home,Partly Cloudy.,59,641778,P,4,0,0,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,641778,ericlauer,Lauer,Left,Eric Lauer,MIL,6.56,7.54,46.2,97.0,82.0,90.0,0.811,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.438,0.431,59.0,99.0,91.0,89.0,91.0,90.0,79.0,101.0,93.0,,,,89.0,105.0,100.0,,0.432,0.078,0.124,0.007,-1.01,,2.07,-6.37,-17.68,90.8,82.8,,82.6,75.3,0.188,0.188,0.111,,,,0.261,0.58,0.258,,,,0.412,1.235,0.138,,,,,,,82.0,93.0,87.0,0.358,-2.06,86.7,0.309,0.568,0.212,,,,,,,,,,,,,,,
2023-04-13,6:42 PM.,MIL,SD,home,Cloudy.,55,607067,PR,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,,,,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,0.299,0.193,0.109,0.079,,2.43,0.31,-0.31,-0.94,,93.2,,92.6,83.1,78.8,0.226,0.377,0.362,0.253,0.42,0.136,0.135,0.27,0.264,,,,0.242,0.455,0.231,62.0,96.0,91.0,0.056,-5.76,86.0,87.0,99.0,95.0,0.265,-0.01,86.7,0.245,0.519,0.293,0.44,0.84,0.184,,,,,,,,,,,,
2023-04-12,1:12 PM.,NYM,SD,away,Sunny.,77,656731,RF,3,0,0,0,0,0,0,0,0,2,1,0.167,0.167,0.167,0.334,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,,,,96.0,103.0,106.0,,0.557,0.206,0.086,0.149,-0.4,,-1.04,-0.05,-0.09,94.9,87.9,,84.4,77.2,0.264,0.445,0.311,,,,0.314,0.494,0.184,0.264,0.396,0.241,0.167,0.167,0.354,116.0,83.0,118.0,0.002,5.58,86.1,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-11,7:10 PM.,NYM,SD,away,Partly Cloudy.,69,656849,RF,3,1,1,0,0,0,0,0,0,2,0,0.333,0.333,0.333,0.666,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,97.0,97.0,95.0,105.0,99.0,102.0,0.253,0.273,0.197,0.088,0.189,-0.83,0.66,-2.58,2.63,-1.35,92.7,85.3,91.5,85.3,78.6,0.268,0.472,0.3939999999999999,0.314,0.486,0.165,0.287,0.425,0.281,0.325,0.55,0.309,0.2,0.2,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
