date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2023-08-05,4:11 PM.,WSH,CIN,home,Cloudy.,87,672851,PR,0,0,0,0,0,0,0,0,0,0,0,0.167,0.2,0.167,0.367,672851,joanadon,Adon,Right,Joan Adon,WSN,6.45,5.59,51.2,98.0,89.0,93.0,0.802,8.36,4.18,10.45,1.39,1.0,0.242,0.406,0.145,0.406,0.411,104.0,101.0,102.0,79.0,101.0,90.0,89.0,89.0,79.0,98.0,93.0,93.0,,,,,,,0.136,0.395,,,0.113,0.205,0.26,,,-1.28,-2.74,-3.51,94.5,,,94.2,87.3,80.8,0.314,0.629,0.0139999999999999,,,,0.288,0.411,0.221,0.318,0.455,0.286,0.315,0.63,0.253,,,,86.0,98.0,102.0,0.152,0.68,88.1,0.148,0.222,0.3389999999999999,,,,,,
2023-06-17,3:10 PM.,HOU,CIN,away,Roof Closed.,73,656232,DH,0,1,0,0,0,0,0,0,0,0,0,0.167,0.2,0.167,0.367,656232,brandonbielak,Bielak,Right,Brandon Bielak,HOU,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.394,101.0,90.0,88.0,73.0,97.0,87.0,78.0,99.0,88.0,99.0,93.0,95.0,,,,,,,0.214,0.306,0.004,,0.118,0.111,-1.15,-0.48,,-0.12,-3.74,-0.81,92.1,84.4,,92.1,82.0,79.5,0.338,0.477,0.135,,,,0.273,0.505,0.159,0.333,0.722,0.355,0.217,0.217,0.302,,,,90.0,100.0,98.0,0.247,0.83,87.1,0.227,0.352,0.332,,,,,,
2023-06-16,7:11 PM.,HOU,CIN,away,Roof Closed.,73,641585,LF,1,0,0,0,0,0,0,0,0,0,2,0.167,0.2,0.167,0.367,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,116.0,98.0,100.0,101.0,97.0,98.0,,,,109.0,99.0,105.0,116.0,108.0,103.0,,,,,0.431,0.189,,0.091,0.137,-0.26,0.33,,,-2.09,0.16,93.0,86.8,,,80.1,76.0,,,,0.317,0.446,0.22,0.308,0.481,0.106,0.25,0.533,0.298,0.145,0.273,0.422,,,,75.0,102.0,112.0,0.152,2.51,81.8,0.183,0.237,0.308,,,,,,
2023-06-14,7:10 PM.,KC,CIN,away,Clear.,82,663738,RF,4,1,1,0,0,0,0,1,0,1,1,0.174,0.208,0.174,0.382,663738,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.5,0.0,,,,0.293,0.537,0.166,0.238,0.452,0.288,0.417,0.667,0.2269999999999999,,,,,,,,,,0.125,0.156,0.347,,,,,,
2023-06-13,7:10 PM.,KC,CIN,away,Partly Cloudy.,77,543475,RF,1,0,0,0,0,0,0,0,0,0,0,0.158,0.2,0.158,0.358,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,,,,0.131,0.306,0.076,,0.247,0.131,1.11,-0.94,,-0.01,-1.31,-1.6,91.2,86.8,,90.5,80.2,79.4,0.248,0.457,0.158,0.314,0.725,0.19,0.227,0.444,0.154,0.28,0.543,0.249,0.238,0.476,0.2189999999999999,,,,73.0,95.0,90.0,0.109,-1.66,85.5,0.26,0.481,0.257,,,,,,
2023-06-12,7:10 PM.,KC,CIN,away,Clear.,73,425844,DH,0,1,0,0,0,0,0,0,0,0,0,0.167,0.211,0.167,0.378,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,,,,0.157,0.265,0.07,,0.2,0.141,0.25,-0.94,,-0.92,1.12,-2.99,89.5,85.2,,89.8,79.2,72.5,0.333,0.609,0.081,0.32,0.5,0.186,0.276,0.472,0.159,0.214,0.282,0.231,0.386,0.729,0.155,,,,84.0,109.0,109.0,0.166,0.06,86.5,0.241,0.37,0.207,0.0,-3.64,57.9,,,
2023-06-11,1:16 PM.,STL,CIN,away,Overcast.,65,425794,DH,0,0,0,0,0,0,0,0,0,0,0,0.167,0.211,0.167,0.378,425794,adamwainwright,Wainwright,Right,Adam Wainwright,STL,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.186,0.439,0.129,0.339,0.425,129.0,102.0,110.0,80.0,94.0,84.0,87.0,99.0,89.0,83.0,78.0,71.0,107.0,99.0,95.0,,,,0.314,0.099,0.226,,0.003,0.306,-1.48,-0.27,,-3.36,-13.9,-1.5,85.7,82.9,,86.9,75.6,71.5,0.394,0.746,0.093,0.344,0.473,0.152,0.326,0.512,0.1169999999999999,,,,0.291,0.475,0.153,,,,66.0,84.0,80.0,0.05,-3.6,81.4,0.389,0.611,0.1,0.002,6.39,65.7,,,
2023-06-10,1:16 PM.,STL,CIN,away,Sunny.,85,571945,LF,0,0,0,0,0,0,0,0,0,0,0,0.167,0.211,0.167,0.378,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,95.0,105.0,102.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,,,,,,,0.243,0.26,,,0.243,0.198,-0.19,,,-1.61,0.62,-0.92,93.3,,,92.7,86.4,75.9,0.34,0.54,0.085,,,,0.29,0.495,0.1889999999999999,0.245,0.375,0.2239999999999999,0.261,0.387,0.198,,,,58.0,96.0,93.0,0.054,2.68,84.4,0.182,0.382,0.085,0.002,-0.89,68.1,,,
2023-06-09,7:16 PM.,STL,CIN,away,Partly Cloudy.,82,656756,RF,4,0,0,0,0,0,0,0,0,2,6,0.167,0.211,0.167,0.378,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,,,,101.0,102.0,87.0,,,,0.426,0.106,0.016,,,0.222,-0.68,-4.4,,1.22,,0.84,93.4,88.2,,93.3,,80.5,0.255,0.374,0.141,0.417,0.667,0.31,0.333,0.5,0.195,,,,0.191,0.357,0.371,,,,99.0,101.0,98.0,0.229,0.2,83.5,0.239,0.405,0.392,,,,,,
2023-06-08,12:36 PM.,LAD,CIN,home,Sunny.,71,477132,RF,4,0,0,0,0,0,0,0,0,2,1,0.214,0.267,0.214,0.481,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,,,,116.0,127.0,165.0,0.002,0.369,,0.002,0.434,0.175,0.23,,13.51,14.84,2.06,0.13,90.7,,84.4,90.9,86.5,73.4,0.0,0.0,0.0,,,,0.281,0.451,0.0969999999999999,0.167,0.338,0.362,0.212,0.338,0.3379999999999999,0.0,0.0,0.0,34.0,98.0,91.0,0.017,-0.46,84.6,0.2,0.2,0.6,,,,,,
2023-06-07,7:11 PM.,LAD,CIN,home,Clear.,74,592789,LF,4,0,2,0,0,0,0,0,0,0,1,0.3,0.364,0.3,0.664,592789,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,- - -,6.5,6.48,88.2,104.0,80.0,99.0,0.834,5.68,1.93,10.56,2.23,0.94,0.203,0.438,0.147,0.363,0.468,95.0,104.0,107.0,65.0,109.0,95.0,87.0,102.0,96.0,88.0,99.0,97.0,85.0,103.0,98.0,43.0,87.0,84.0,0.261,0.181,0.126,0.003,0.067,0.141,0.68,-0.49,1.25,-1.16,-2.33,-0.93,92.2,89.5,87.7,92.3,85.0,77.9,0.363,0.593,0.138,0.333,0.489,0.1889999999999999,0.208,0.354,0.182,0.24,0.72,0.083,0.233,0.512,0.22,,,,72.0,104.0,100.0,0.222,-2.71,87.3,0.286,0.571,0.218,,,,,,
2023-06-06,7:11 PM.,LAD,CIN,home,Partly Cloudy.,81,664062,PR,0,1,0,0,0,0,0,0,0,0,0,0.167,0.286,0.167,0.453,664062,tonygonsolin,Gonsolin,Right,Tony Gonsolin,LAD,4.98,5.89,103.0,97.0,97.0,98.0,0.803,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.388,107.0,83.0,90.0,80.0,99.0,91.0,,,,90.0,103.0,108.0,,,,120.0,98.0,106.0,,0.395,,0.272,0.183,0.151,1.42,,0.21,,-0.82,-2.12,92.4,,83.0,,86.8,80.9,,,,,,,0.221,0.436,0.157,0.268,0.439,0.253,0.313,0.656,0.209,0.181,0.315,0.27,,,,,,,,,,,,,,,
2023-06-05,7:10 PM.,MIL,CIN,home,Partly Cloudy.,80,527054,LF,3,0,1,0,0,0,0,0,0,0,0,0.167,0.286,0.167,0.453,527054,julioteheran,Teheran,Right,Julio Teheran,MIL,4.4,4.93,71.2,104.0,85.0,98.0,0.813,6.28,1.63,8.54,1.63,0.97,0.249,0.362,0.118,0.339,0.428,82.0,103.0,103.0,99.0,109.0,105.0,90.0,104.0,100.0,,,,79.0,101.0,96.0,,,,0.387,0.094,0.287,,,0.115,-5.82,0.93,,-0.03,,1.98,89.2,86.4,,90.0,,77.4,0.285,0.472,0.121,0.219,0.359,0.22,0.368,1.105,0.265,,,,0.074,0.185,0.3279999999999999,,,,94.0,107.0,89.0,0.118,-0.54,83.4,0.286,0.514,0.257,,,,,,
2023-06-04,1:42 PM.,MIL,CIN,home,Partly Cloudy.,81,605288,LF,3,0,0,0,0,0,0,0,0,2,1,0.0,0.25,0.0,0.25,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,67.0,100.0,95.0,80.0,103.0,92.0,86.0,104.0,100.0,83.0,102.0,99.0,,,,,,,0.471,0.238,,,0.166,0.085,0.29,,,0.46,-0.89,-1.08,93.4,,,92.1,82.3,79.4,0.296,0.396,0.129,,,,0.227,0.34,0.237,0.258,0.484,0.284,0.269,0.538,0.127,,,,88.0,92.0,93.0,0.04,-2.07,84.3,0.294,0.471,0.2,,,,,,
2023-06-03,4:14 PM.,MIL,CIN,home,Cloudy.,91,607067,PH,0,0,0,0,0,0,1,0,1,0,0,0.0,1.0,0.0,1.0,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,62.0,96.0,91.0,0.299,0.193,0.265,0.056,0.109,0.079,2.43,-0.01,-5.76,0.31,-0.31,-0.94,93.2,86.7,86.0,92.6,83.1,78.8,0.253,0.42,0.136,0.245,0.519,0.293,0.135,0.27,0.264,0.226,0.377,0.362,0.242,0.455,0.231,0.44,0.84,0.184,,,,,,,,,,,,,,,
