date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff
2024-08-30,7:11 PM.,MIN,TOR,away,Clear.,75,641154,2B,4,0,1,0,0,0,0,0,0,0,1,0.3,0.327,0.46,0.787,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,106.0,103.0,110.0,,,,0.407,,0.219,0.1,0.201,1.65,,-0.84,-1.28,-0.14,95.0,,88.5,84.5,82.4,,,,0.208,0.352,0.259,,,,0.281,0.359,0.249,0.23,0.446,0.341,97.0,107.0,107.0,0.073,-2.77,94.5,0.426,0.639,0.142,0.239,0.436,0.331,,,,,,,,,,,,
2024-08-28,7:12 PM.,BOS,TOR,away,Clear.,87,678394,2B,3,0,0,0,0,0,0,0,0,1,0,0.304,0.333,0.478,0.811,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,,,,74.0,108.0,101.0,114.0,98.0,110.0,,,,0.048,,0.28,,0.269,0.25,,-0.58,,0.15,95.6,,87.6,86.8,,,,,0.12,0.16,0.218,0.268,0.401,0.343,0.177,0.354,0.369,,,,103.0,100.0,101.0,0.403,-0.24,95.7,0.309,0.44,0.111,,,,,,,,,,,,,,,
2024-08-27,7:11 PM.,BOS,TOR,away,Clear.,79,681867,2B,4,1,3,2,0,1,1,0,0,0,0,0.326,0.356,0.512,0.868,681867,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.08,4.31,99.1,102.0,100.0,99.0,0.848,6.61,2.81,9.33,0.91,1.51,0.208,0.486,0.153,0.358,0.41,99.0,103.0,102.0,,,,,,,110.0,95.0,99.0,79.0,103.0,93.0,,0.154,0.288,,0.261,,0.64,-1.92,,0.55,,86.4,84.4,77.1,,0.163,0.306,0.294,,,,0.429,0.857,0.154,0.256,0.338,0.171,,,,102.0,108.0,100.0,0.297,0.48,89.1,0.33,0.511,0.073,0.287,0.479,0.207,,,,,,,,,,,,
2024-08-25,1:40 PM.,LAA,TOR,home,Partly Cloudy.,73,542881,2B,3,1,0,0,0,0,0,0,1,1,0,0.282,0.317,0.359,0.676,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,,,,89.0,99.0,96.0,80.0,141.0,142.0,99.0,100.0,96.0,0.396,0.185,0.013,0.001,0.371,-0.73,-0.41,-0.06,-3.14,1.32,89.4,84.3,78.9,81.3,71.6,0.264,0.455,0.247,0.272,0.494,0.183,0.0,0.0,0.357,0.185,0.259,0.396,,,,66.0,95.0,83.0,0.033,-3.87,88.1,0.261,0.696,0.152,,,,,,,,,,,,,,,
2024-08-23,7:10 PM.,LAA,TOR,home,Clear.,76,686799,2B,4,0,0,0,0,0,0,0,0,0,4,0.306,0.324,0.389,0.713,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,,,,,,,0.062,,,0.184,0.03,-1.87,,,-1.06,-3.35,96.3,,88.3,,85.0,,,,0.167,0.5,0.364,,,,0.333,0.444,0.067,0.235,0.412,0.25,99.0,103.0,102.0,0.724,0.89,95.8,0.286,0.411,0.121,,,,,,,,,,,,,,,
2024-08-22,7:07 PM.,LAA,TOR,home,Partly Cloudy.,75,656271,2B,4,1,1,0,0,0,1,0,0,0,1,0.344,0.364,0.438,0.802,656271,brockburke,Burke,Left,Brock Burke,- - -,5.82,3.49,34.0,101.0,96.0,101.0,0.732,10.85,4.24,9.79,1.06,1.41,0.253,0.337,0.168,0.316,0.47,99.0,105.0,108.0,,,,97.0,103.0,100.0,91.0,96.0,100.0,,,,0.525,,0.259,,0.169,-1.89,,0.16,,1.21,95.7,,88.9,87.0,,,,,0.284,0.612,0.215,0.25,0.321,0.379,0.25,0.281,0.414,,,,99.0,91.0,91.0,0.047,0.18,93.9,0.375,0.5,0.267,,,,,,,,,,,,,,,
2024-08-21,7:08 PM.,CIN,TOR,home,Partly Cloudy.,70,607259,PH,1,0,0,0,0,0,0,0,0,0,0,0.357,0.379,0.464,0.843,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.19,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.23,0.441,118.0,113.0,116.0,107.0,102.0,105.0,91.0,110.0,109.0,105.0,110.0,110.0,96.0,108.0,104.0,0.224,0.203,0.061,0.119,0.216,0.73,1.32,-0.55,-1.69,1.79,92.6,89.1,80.1,84.9,80.8,0.281,0.43,0.12,0.219,0.351,0.212,0.233,0.4,0.364,0.186,0.286,0.416,0.342,0.605,0.247,80.0,106.0,97.0,0.176,0.88,92.0,0.24,0.375,0.09,,,,,,,,,,,,,,,
2024-08-20,7:08 PM.,CIN,TOR,home,Roof Closed.,68,686730,2B,4,0,1,0,0,0,1,0,0,1,2,0.37,0.393,0.481,0.874,686730,carsonspiers,Spiers,Right,Carson Spiers,CIN,5.46,4.84,90.2,103.0,89.0,100.0,0.805,7.94,2.68,11.12,1.99,0.79,0.265,0.413,0.195,0.339,0.452,69.0,102.0,90.0,,,,76.0,101.0,95.0,121.0,106.0,113.0,82.0,103.0,98.0,0.299,0.16,0.245,,0.121,-1.66,-0.84,-1.23,,-5.43,92.4,87.8,86.7,81.5,,0.321,0.547,0.195,0.256,0.462,0.205,0.0,0.0,0.4,0.396,0.774,0.198,,,,80.0,107.0,99.0,0.175,0.68,92.1,0.3,0.5,0.122,0.291,0.544,0.319,,,,,,,,,,,,
2024-08-19,7:08 PM.,CIN,TOR,home,Clear.,65,687924,2B,4,0,1,0,0,0,0,0,0,1,1,0.474,0.5,0.632,1.132,687924,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.25,4.94,31.2,97.0,86.0,97.0,0.836,5.4,3.41,8.53,2.27,0.79,0.24,0.413,0.183,0.231,0.449,97.0,84.0,89.0,93.0,87.0,96.0,,,,94.0,99.0,105.0,,,,,,0.179,0.092,0.189,,,0.21,-2.92,-1.59,,,84.0,80.3,78.0,,,,,,,0.176,0.353,0.25,0.2,0.36,0.25,0.2,0.5,0.158,79.0,102.0,98.0,0.54,-0.41,94.3,0.282,0.563,0.151,,,,,,,,,,,,,,,
2024-08-18,1:20 PM.,CHC,TOR,away,Cloudy.,74,684007,2B,0,0,0,0,0,0,0,0,0,0,0,0.533,0.563,0.733,1.296,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,70.0,96.0,97.0,96.0,104.0,106.0,103.0,105.0,104.0,50.0,107.0,96.0,0.52,0.005,0.077,0.032,0.039,0.36,-6.3,0.14,-0.59,0.48,91.7,89.8,81.6,81.6,72.7,0.333,1.333,0.143,0.229,0.47,0.176,,,,0.194,0.226,0.333,0.444,0.556,0.0,76.0,102.0,91.0,0.021,0.77,88.7,0.25,0.333,0.37,0.267,0.311,0.347,81.0,106.0,100.0,0.306,0.0,1.39,-76.55,82.9,53.9,0.204,0.283,0.431
2024-08-17,1:20 PM.,CHC,TOR,away,Cloudy.,78,657006,2B,3,0,1,0,0,0,0,0,1,1,1,0.533,0.563,0.733,1.296,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,92.0,120.0,108.0,89.0,102.0,100.0,130.0,105.0,109.0,,,,0.595,,0.297,0.022,0.033,0.38,,1.81,2.76,0.32,91.6,,86.2,83.3,79.9,,,,0.253,0.396,0.223,0.16,0.243,0.282,0.222,0.222,0.172,0.0,0.0,0.2,64.0,104.0,95.0,0.053,0.43,91.6,0.292,0.458,0.182,,,,,,,,,,,,,,,
2024-08-16,1:20 PM.,CHC,TOR,away,Partly Cloudy.,81,543294,2B,4,1,2,0,0,0,0,0,0,1,2,0.583,0.583,0.833,1.416,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,87.0,109.0,108.0,59.0,94.0,86.0,,,,,,,0.127,,,0.131,0.387,-1.51,,,0.52,-0.72,87.7,,80.9,,74.3,,,,0.237,0.553,0.209,,,,0.267,0.409,0.239,0.22,0.3,0.244,97.0,106.0,96.0,0.355,-0.77,87.6,0.333,0.493,0.106,,,,,,,,,,,,,,,
2024-08-13,6:39 PM.,LAA,TOR,away,Clear.,81,608334,2B,4,0,2,2,0,0,2,0,0,1,0,0.625,0.625,1.0,1.625,608334,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.74,86.2,101.0,94.0,98.0,0.772,8.41,4.15,8.41,1.14,1.04,0.214,0.429,0.115,0.361,0.393,90.0,104.0,102.0,109.0,102.0,103.0,85.0,105.0,103.0,114.0,96.0,98.0,,,,0.234,,0.204,0.056,0.27,0.19,,1.22,-7.73,-0.64,93.1,,87.8,87.0,82.4,,,,0.224,0.447,0.195,0.157,0.294,0.284,0.228,0.347,0.367,0.471,1.118,0.393,88.0,100.0,94.0,0.237,0.39,92.6,0.299,0.39,0.118,0.286,0.714,0.458,,,,,,,,,,,,
2024-08-12,6:38 PM.,LAA,TOR,away,Clear.,82,669721,2B,4,1,3,1,0,0,1,0,0,0,2,0.75,0.75,1.0,1.75,669721,davisdaniel,Daniel,Right,Davis Daniel,LAA,6.23,4.34,30.1,105.0,81.0,101.0,0.808,8.31,1.78,11.57,1.48,0.84,0.293,0.424,0.162,0.313,0.435,74.0,112.0,104.0,94.0,89.0,85.0,61.0,107.0,98.0,125.0,101.0,108.0,,,,0.48,,0.238,0.077,0.205,-1.06,,-0.4,2.13,-2.86,91.5,,84.6,81.8,74.3,,,,0.328,0.586,0.147,0.226,0.419,0.239,0.4,0.533,0.226,0.125,0.25,0.333,,,,,,,,,,,,,,,,,,,,,,,,
