date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-09-04,6:37 PM.,BAL,CWS,away,Partly Cloudy.,77,544150,C,5,0,1,0,0,0,0,0,0,1,2,0.154,0.175,0.154,0.329,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,90.0,101.0,96.0,,,,,,,,0.5,,0.172,-0.36,,,-0.5,94.8,86.1,,,,,,,,,,,,0.276,0.469,0.228,0.274,0.434,0.228,94.0,99.0,98.0,0.132,0.41,79.0,0.174,0.348,0.252,74.0,99.0,92.0,,,,0.195,,0.73,,86.3,,,,,0.24,0.365,0.308,,,,,,
2024-09-02,3:07 PM.,BAL,CWS,away,Sunny.,81,669203,C,1,0,0,0,0,0,0,0,0,0,0,0.147,0.171,0.147,0.318,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,,,,104.0,95.0,89.0,133.0,105.0,120.0,0.078,,0.146,0.11,,-0.5,0.7,0.2,,89.2,97.0,87.2,0.196,0.268,0.463,0.235,0.412,0.157,0.125,0.5,0.457,,,,0.194,0.339,0.377,109.0,101.0,106.0,0.215,0.44,80.3,0.2,0.326,0.378,125.0,105.0,108.0,,,,0.45,,1.37,,95.3,,,,,0.251,0.362,0.19,,,,,,
2024-09-01,1:10 PM.,NYM,CWS,home,Sunny.,73,640455,C,2,0,0,0,0,0,0,0,0,0,0,0.152,0.176,0.152,0.328,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,0.447,0.113,0.251,0.118,1.13,1.36,0.37,-1.19,92.3,85.3,92.3,79.5,0.174,0.435,0.32,0.201,0.333,0.21,0.193,0.311,0.388,0.167,0.295,0.311,0.25,0.438,0.254,,,,,,,,,,84.0,88.0,85.0,,,,0.071,,0.97,,88.4,,,,,0.222,0.25,0.179,,,,,,
2024-08-28,7:22 PM.,TEX,CWS,home,Partly Cloudy.,78,683004,C,4,0,1,0,0,0,0,0,0,2,1,0.161,0.188,0.161,0.349,683004,jackleiter,Leiter,Right,Jack Leiter,TEX,8.83,6.25,35.2,97.0,121.0,103.0,0.745,7.82,4.29,11.1,1.77,0.88,0.248,0.38,0.149,0.322,0.402,106.0,77.0,85.0,133.0,98.0,105.0,,,,118.0,104.0,109.0,,0.519,0.291,0.058,-2.71,,-0.99,1.36,96.4,89.5,,86.8,0.286,0.429,0.218,,,,,,,0.35,0.625,0.289,0.125,0.125,0.357,90.0,95.0,100.0,0.114,0.97,81.4,0.118,0.294,0.387,58.0,65.0,57.0,,,,0.018,,-13.12,,91.1,,,,,,,,,,,,,
2024-08-25,1:10 PM.,DET,CWS,home,Sunny.,90,689225,C,4,0,1,0,0,0,0,0,0,0,1,0.148,0.179,0.148,0.327,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,0.159,0.404,0.173,0.265,0.99,2.22,-1.62,0.26,95.9,88.4,95.5,86.1,0.241,0.552,0.271,0.235,0.294,0.116,,,,0.222,0.272,0.212,0.212,0.4,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-24,6:10 PM.,DET,CWS,home,Cloudy.,86,669373,C,1,0,0,0,0,0,0,0,0,0,0,0.13,0.167,0.13,0.297,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,0.205,0.332,0.149,0.271,1.84,1.25,0.78,1.13,96.8,86.3,96.6,88.7,0.169,0.364,0.346,0.207,0.305,0.16,,,,0.197,0.286,0.277,0.216,0.322,0.461,,,,,,,0.158,0.316,0.175,,,,,,,,,,,,,,,,,,,95.0,91.0,101.0,0.042,1.26,78.5
2024-08-17,6:10 PM.,HOU,CWS,away,Roof Closed.,73,686613,C,2,0,0,0,0,0,0,0,1,1,0,0.136,0.174,0.136,0.31,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,0.182,0.347,0.051,0.126,0.16,0.92,1.7,0.95,96.0,88.4,95.6,89.1,0.2,0.2,0.236,0.275,0.321,0.161,,,,0.244,0.413,0.288,0.221,0.26,0.296,,,,,,,0.237,0.421,0.305,90.0,103.0,101.0,,,,0.17,,0.14,,92.4,,,,,0.23,0.363,0.216,127.0,100.0,106.0,0.125,-0.79,82.9
2024-08-14,7:10 PM.,NYY,CWS,home,Partly Cloudy.,79,701542,C,2,0,0,0,0,0,0,0,0,2,0,0.15,0.15,0.15,0.3,701542,willwarren,"Warren, W",Right,Will Warren,NYY,10.32,4.52,22.2,99.0,102.0,104.0,0.756,11.51,3.97,13.1,1.99,0.86,0.174,0.406,0.116,0.362,0.376,90.0,101.0,107.0,92.0,102.0,101.0,93.0,104.0,108.0,126.0,88.0,98.0,0.264,0.306,0.264,0.122,1.94,-4.69,-2.61,-6.86,93.8,86.3,93.1,83.1,,,,0.485,0.818,0.164,0.3,0.6,0.371,0.074,0.222,0.246,0.545,1.0,0.32,,,,,,,,,,112.0,117.0,129.0,,,,0.044,,-5.11,,86.4,,,,,0.5,0.5,0.333,,,,,,
2024-08-07,12:37 PM.,OAK,CWS,away,Sunny.,75,683155,C,3,0,1,0,0,0,0,0,0,1,2,0.167,0.167,0.167,0.334,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,0.034,0.517,0.332,0.111,0.08,-1.55,-0.2,-2.46,92.4,84.8,90.8,79.6,0.261,0.435,0.223,0.263,0.579,0.147,0.217,0.367,0.216,0.257,0.469,0.175,0.357,0.738,0.204,,,,,,,,,,111.0,89.0,91.0,,,,0.007,,-13.81,,86.4,,,,,,,,,,,,,
2024-08-05,6:40 PM.,OAK,CWS,away,Partly Cloudy.,66,676664,C,2,0,0,0,0,0,0,0,0,2,1,0.133,0.133,0.133,0.266,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.363,0.339,0.192,-0.8,1.37,-0.1,-0.21,91.9,84.0,90.0,78.9,0.23,0.525,0.259,0.276,0.395,0.104,0.239,0.381,0.213,0.23,0.476,0.256,0.297,0.428,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,1:10 PM.,KC,CWS,home,Cloudy.,86,663903,C,2,0,0,0,0,0,0,0,0,1,1,0.154,0.154,0.154,0.308,663903,bradysinger,Singer,Right,Brady Singer,KCR,3.71,4.65,179.2,99.0,84.0,94.0,0.769,8.52,2.71,8.77,1.1,1.62,0.191,0.419,0.159,0.326,0.414,80.0,77.0,69.0,63.0,96.0,86.0,70.0,101.0,91.0,106.0,99.0,102.0,0.413,0.113,0.455,0.019,-2.09,0.77,0.0,-5.71,91.6,88.1,92.2,82.9,0.207,0.361,0.354,0.267,0.389,0.127,0.327,0.571,0.35,0.326,0.609,0.197,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,7:11 PM.,KC,CWS,home,Cloudy.,79,679525,C,3,0,1,0,0,0,0,0,0,0,1,0.182,0.182,0.182,0.364,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.53,4.97,129.0,99.0,100.0,99.0,0.789,8.58,2.72,8.58,1.33,0.92,0.249,0.42,0.182,0.329,0.429,88.0,95.0,94.0,93.0,98.0,95.0,98.0,99.0,97.0,117.0,99.0,107.0,0.138,0.37,0.228,0.1,0.34,-1.16,-0.57,0.84,94.2,86.3,93.6,86.5,0.29,0.462,0.294,0.317,0.524,0.099,0.2,0.433,0.464,0.208,0.383,0.223,0.204,0.296,0.177,103.0,105.0,103.0,0.164,-1.2,82.8,0.263,0.5,0.274,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-27,6:15 PM.,SEA,CWS,home,Partly Cloudy.,84,693433,C,3,0,0,0,0,0,0,0,0,0,4,0.125,0.125,0.125,0.25,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,0.23,0.489,0.187,0.094,1.44,1.85,1.23,0.0,94.8,89.6,94.7,84.2,0.265,0.529,0.241,0.234,0.315,0.097,0.1,0.1,0.417,0.218,0.355,0.273,0.186,0.373,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-24,7:09 PM.,TEX,CWS,away,Roof Closed.,74,543135,C,2,0,0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,75.0,105.0,98.0,,,,114.0,102.0,102.0,,0.374,0.033,,0.83,,-0.69,,95.4,,,86.3,0.269,0.462,0.25,,,,,,,0.212,0.335,0.178,,,,99.0,104.0,104.0,0.137,-0.79,76.7,0.214,0.471,0.355,91.0,108.0,99.0,127.0,101.0,110.0,0.148,0.308,-1.41,1.55,91.4,88.4,0.2,0.286,0.368,0.327,0.624,0.2,,,,,,
2024-07-23,7:07 PM.,TEX,CWS,away,Roof Closed.,74,592351,C,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.47,4.65,102.2,103.0,85.0,98.0,0.777,7.54,2.45,9.38,0.96,0.98,0.228,0.412,0.145,0.366,0.457,72.0,100.0,94.0,73.0,103.0,91.0,,,,97.0,105.0,105.0,,0.444,0.439,0.071,-0.71,,0.77,-1.39,94.9,88.7,,88.6,0.213,0.344,0.334,,,,,,,0.311,0.443,0.15,0.257,0.543,0.19,97.0,97.0,102.0,0.046,-0.7,78.9,0.333,0.333,0.267,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-20,6:10 PM.,KC,CWS,away,Partly Cloudy.,76,663903,C,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.666,663903,bradysinger,Singer,Right,Brady Singer,KCR,3.71,4.65,179.2,99.0,84.0,94.0,0.769,8.52,2.71,8.77,1.1,1.62,0.191,0.419,0.159,0.326,0.414,80.0,77.0,69.0,63.0,96.0,86.0,70.0,101.0,91.0,106.0,99.0,102.0,0.413,0.113,0.455,0.019,-2.09,0.77,0.0,-5.71,91.6,88.1,92.2,82.9,0.207,0.361,0.354,0.267,0.389,0.127,0.327,0.571,0.35,0.326,0.609,0.197,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
